#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR13929--MA0501.1.MAF::NFE2	chr8	115227110	115227124	+	0.000	0.000	Merged-chr8-115227272-68
NR14291--MA0495.2.MAFF	chr9	48538398	48538418	-	0.000	0.000	Merged-chr9-48538454-59
NR8117--MA0591.1.Bach1::Mafk	chr2	114059831	114059845	+	0.000	0.000	Merged-chr2-114059851-34
NR6584--MA0495.2.MAFF	chr17	86063692	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR207--MA0495.2.MAFF	chr1	52012515	52012535	-	0.000	0.000	Merged-chr1-52012625-13
NR3735--MA0501.1.MAF::NFE2	chr13	44260152	44260166	+	0.000	0.000	Merged-chr13-44260111-9
NR11466--MA0591.1.Bach1::Mafk	chr5	149235159	149235173	+	0.000	0.000	Merged-chr5-149235115-37
NR1--MA0089.1.MAFG::NFE2L1	chr1	4785675	4785680	+	0.000	0.000	Merged-chr1-4785759-53
NR10231--MA0591.1.Bach1::Mafk	chr4	108371533	108371547	+	0.000	0.000	Merged-chr4-108371608-19
NR5272--MA0591.1.Bach1::Mafk	chr15	66795456	66795470	+	0.000	0.000	Merged-chr15-66795478-40
NR10316--MA0591.1.Bach1::Mafk	chr4	121000303	121000317	+	0.000	0.000	Merged-chr4-121000350-3
NR14550--MA0591.1.Bach1::Mafk	chr9	96714260	96714274	+	0.000	0.000	Merged-chr9-96714307-38
NR6116--MA0659.1.MAFG	chr17	5126119	5126139	+	0.000	0.000	Merged-chr17-5126157-22
NR2835--MA0089.1.MAFG::NFE2L1	chr11	120905599	120905604	+	0.000	0.000	Merged-chr11-120905638-37
NR5910--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR3771--MA0495.2.MAFF	chr13	48516052	48516072	-	0.000	0.000	Merged-chr13-48516187-54
NR5043--MA0089.1.MAFG::NFE2L1	chr15	9466674	9466679	+	0.000	0.000	Merged-chr15-9466691-10
NR3764--MA0089.1.MAFG::NFE2L1	chr13	45865707	45865712	+	0.000	0.000	Merged-chr13-45865819-22
NR3081--MA0496.2.MAFK	chr12	69458506	69458524	-	0.000	0.000	Merged-chr12-69458442-59
NR6123--MA0495.2.MAFF	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR14293--MA0659.1.MAFG	chr9	48538398	48538418	+	0.000	0.000	Merged-chr9-48538454-59
NR1490--MA0089.1.MAFG::NFE2L1	chr10	42633419	42633424	+	0.000	0.000	Merged-chr10-42633342-1
NR11555--MA0501.1.MAF::NFE2	chr6	15738694	15738708	+	0.000	0.000	Merged-chr6-15738644-7
NR12238--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR7665--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
