#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR12553--MA0493.1.Klf1	chr11	109671941	109671951	-	0.000	0.000	Merged-chr11-109672054-52
NR31314--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR11118--MA1107.1.KLF9	chr11	69409483	69409495	+	0.000	0.000	Merged-chr11-69409455-74
NR31953--MA0657.1.KLF13	chr18	33464074	33464091	-	0.000	0.000	Merged-chr18-33464031-50
NR12679--MA0599.1.KLF5	chr11	115463462	115463471	-	0.000	0.000	Merged-chr11-115463666-29
NR57126--MA0599.1.KLF5	chr6	128143626	128143635	-	0.000	0.000	Merged-chr6-128143679-59
NR34587--MA0740.1.KLF14	chr19	41206901	41206914	+	0.000	0.000	Merged-chr19-41206944-35
NR65146--MA0741.1.KLF16	chr8	120668183	120668193	+	0.000	0.000	Merged-chr8-120668120-83
NR4621--MA0039.3.KLF4	chr1	181230952	181230962	+	0.000	0.000	Merged-chr1-181230993-50
NR39373--MA0740.1.KLF14	chr2	152112054	152112067	-	0.000	0.000	Merged-chr2-152112124-39
NR29658--MA0599.1.KLF5	chr17	45686276	45686285	-	0.000	0.000	Merged-chr17-45686351-100
NR2515--MA0741.1.KLF16	chr1	119504798	119504808	+	0.000	0.000	Merged-chr1-119504796-62
NR29166--MA0740.1.KLF14	chr17	29394034	29394047	-	0.000	0.000	Merged-chr17-29393996-77
NR68523--MA0741.1.KLF16	chrX	8132735	8132745	+	0.000	0.000	Merged-chrX-8132839-1
NR7848--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
