#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR4027--MA0089.1.MAFG::NFE2L1	chr14	101481168	101481173	-	0.000	0.000	Merged-chr14-101481280-1
NR10657--MA0089.1.MAFG::NFE2L1	chr7	74343822	74343827	+	0.000	0.000	Merged-chr7-74343758-7
NR9451--MA0089.1.MAFG::NFE2L1	chr5	139303792	139303797	+	0.000	0.000	Merged-chr5-139303910-62
NR92--MA0089.1.MAFG::NFE2L1	chr1	35813793	35813798	-	0.000	0.000	Merged-chr1-35813885-25
NR2531--MA0591.1.Bach1::Mafk	chr12	24630454	24630468	+	0.000	0.000	Merged-chr12-24630472-12
NR110--MA0117.2.Mafb	chr1	38777699	38777710	+	0.000	0.000	Merged-chr1-38777708-41
NR6409--MA0496.2.MAFK	chr2	30112755	30112773	-	0.000	0.000	Merged-chr2-30112786-18
NR11788--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR12527--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR10368--MA0089.1.MAFG::NFE2L1	chr6	146481509	146481514	+	0.000	0.000	Merged-chr6-146481511-38
NR269--MA0591.1.Bach1::Mafk	chr1	79581567	79581581	+	0.000	0.000	Merged-chr1-79581562-59
NR7530--MA0496.2.MAFK	chr3	30952368	30952386	+	0.000	0.000	Merged-chr3-30952502-53
NR4818--MA0117.2.Mafb	chr16	52292840	52292851	-	0.000	0.000	Merged-chr16-52292729-42
NR3058--MA0591.1.Bach1::Mafk	chr13	6626713	6626727	+	0.000	0.000	Merged-chr13-6626818-32
NR11312--MA0496.2.MAFK	chr8	54660906	54660924	+	0.000	0.000	Merged-chr8-54660891-16
NR1005--MA0495.2.MAFF	chr10	3238612	3238632	+	0.000	0.000	Merged-chr10-3238463-21
NR5726--MA0501.1.MAF::NFE2	chr18	56412985	56412999	-	0.000	0.000	Merged-chr18-56413005-50
NR4723--MA0501.1.MAF::NFE2	chr16	32915882	32915896	-	0.000	0.000	Merged-chr16-32915900-6
NR8824--MA0089.1.MAFG::NFE2L1	chr4	152038927	152038932	-	0.000	0.000	Merged-chr4-152038898-1
NR3851--MA0089.1.MAFG::NFE2L1	chr14	61774045	61774050	-	0.000	0.000	Merged-chr14-61773988-12
NR10340--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR5828--MA0591.1.Bach1::Mafk	chr18	75455339	75455353	+	0.000	0.000	Merged-chr18-75455371-73
NR9827--MA0495.2.MAFF	chr6	72841910	72841930	-	0.000	0.000	Merged-chr6-72841906-9
NR9063--MA0117.2.Mafb	chr5	64024637	64024648	+	0.000	0.000	Merged-chr5-64024575-33
NR1244--MA0117.2.Mafb	chr10	59392095	59392106	-	0.000	0.000	Merged-chr10-59392092-23
NR9840--MA0089.1.MAFG::NFE2L1	chr6	82702798	82702803	-	0.000	0.000	Merged-chr6-82702849-35
NR8420--MA0089.1.MAFG::NFE2L1	chr4	102983061	102983066	-	0.000	0.000	Merged-chr4-102982899-26
NR3981--MA0496.2.MAFK	chr14	79115183	79115201	-	0.000	0.000	Merged-chr14-79115074-10
NR5615--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR9679--MA0089.1.MAFG::NFE2L1	chr6	39725692	39725697	-	0.000	0.000	Merged-chr6-39725742-2
NR3088--MA0117.2.Mafb	chr13	18757833	18757844	+	0.000	0.000	Merged-chr13-18757680-4
NR7896--MA0089.1.MAFG::NFE2L1	chr3	130571191	130571196	-	0.000	0.000	Merged-chr3-130571110-5
NR1804--MA0089.1.MAFG::NFE2L1	chr11	21164583	21164588	-	0.000	0.000	Merged-chr11-21164625-69
NR11686--MA0089.1.MAFG::NFE2L1	chr8	124573690	124573695	+	0.000	0.000	Merged-chr8-124573741-33
NR227--MA0659.1.MAFG	chr1	64601371	64601391	-	0.000	0.000	Merged-chr1-64601532-28
NR9925--MA0496.2.MAFK	chr6	97447131	97447149	+	0.000	0.000	Merged-chr6-97447180-22
NR1215--MA0496.2.MAFK	chr10	53346650	53346668	+	0.000	0.000	Merged-chr10-53346835-25
NR1313--MA0089.1.MAFG::NFE2L1	chr10	75037062	75037067	-	0.000	0.000	Merged-chr10-75037125-47
NR11195--MA0089.1.MAFG::NFE2L1	chr8	4193656	4193661	-	0.000	0.000	Merged-chr8-4193483-29
NR3321--MA0659.1.MAFG	chr13	67754867	67754887	+	0.000	0.000	Merged-chr13-67755021-56
NR2692--MA0117.2.Mafb	chr12	77020048	77020059	-	0.000	0.000	Merged-chr12-77020175-38
NR10041--MA0117.2.Mafb	chr6	115480473	115480484	+	0.000	0.000	Merged-chr6-115480536-31
NR267--MA0501.1.MAF::NFE2	chr1	78644169	78644183	-	0.000	0.000	Merged-chr1-78644356-22
NR4733--MA0117.2.Mafb	chr16	35984009	35984020	+	0.000	0.000	Merged-chr16-35984000-4
NR361--MA0117.2.Mafb	chr1	92119350	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR2325--MA0117.2.Mafb	chr11	108223400	108223411	-	0.000	0.000	Merged-chr11-108223138-56
NR12136--MA0089.1.MAFG::NFE2L1	chr9	86618231	86618236	-	0.000	0.000	Merged-chr9-86618128-57
NR9845--MA0495.2.MAFF	chr6	82921966	82921986	-	0.000	0.000	Merged-chr6-82922037-57
NR6679--MA0591.1.Bach1::Mafk	chr2	85223660	85223674	-	0.000	0.000	Merged-chr2-85223588-7
NR630--MA0089.1.MAFG::NFE2L1	chr1	155138999	155139004	+	0.000	0.000	Merged-chr1-155138999-23
NR9441--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR1400--MA0089.1.MAFG::NFE2L1	chr10	85163106	85163111	+	0.000	0.000	Merged-chr10-85163133-13
NR12409--MA0117.2.Mafb	chrX	12151874	12151885	+	0.000	0.000	Merged-chrX-12151801-24
NR5373--MA0496.2.MAFK	chr17	71192186	71192204	-	0.000	0.000	Merged-chr17-71192022-46
NR6778--MA0089.1.MAFG::NFE2L1	chr2	112367900	112367905	-	0.000	0.000	Merged-chr2-112367834-78
NR2554--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	-	0.000	0.000	Merged-chr12-25851772-17
NR7549--MA0591.1.Bach1::Mafk	chr3	37272567	37272581	+	0.000	0.000	Merged-chr3-37272616-19
