#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR8410--MA0495.2.MAFF	chr5	115635603	115635623	-	0.000	0.000	Merged-chr5-115635680-25
NR7526--MA0591.1.Bach1::Mafk	chr4	89137848	89137862	-	0.000	0.000	Merged-chr4-89137676-98
NR8515--MA0659.1.MAFG	chr5	136623366	136623386	+	0.000	0.000	Merged-chr5-136623299-40
NR10368--MA0089.1.MAFG::NFE2L1	chr8	105801795	105801800	+	0.000	0.000	Merged-chr8-105801857-10
NR11107--MA0089.1.MAFG::NFE2L1	chr9	122311011	122311016	+	0.000	0.000	Merged-chr9-122310830-40
NR6954--MA0089.1.MAFG::NFE2L1	chr3	106722162	106722167	-	0.000	0.000	Merged-chr3-106722064-87
NR9162--MA0089.1.MAFG::NFE2L1	chr6	120364293	120364298	-	0.000	0.000	Merged-chr6-120364169-90
NR934--MA0591.1.Bach1::Mafk	chr10	9880535	9880549	+	0.000	0.000	Merged-chr10-9880520-21
NR2334--MA0659.1.MAFG	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR11312--MA0496.2.MAFK	chrX	139610653	139610671	+	0.000	0.000	Merged-chrX-139610581-86
NR6729--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR5711--MA0659.1.MAFG	chr2	9946990	9947010	+	0.000	0.000	Merged-chr2-9946908-17
NR10959--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
NR7805--MA0591.1.Bach1::Mafk	chr4	136206419	136206433	-	0.000	0.000	Merged-chr4-136206356-47
NR2922--MA0089.1.MAFG::NFE2L1	chr13	49270737	49270742	-	0.000	0.000	Merged-chr13-49270675-31
NR3475--MA0089.1.MAFG::NFE2L1	chr14	51386090	51386095	-	0.000	0.000	Merged-chr14-51385941-36
NR3997--MA0659.1.MAFG	chr15	57906811	57906831	-	0.000	0.000	Merged-chr15-57906740-47
NR4301--MA0089.1.MAFG::NFE2L1	chr16	23844853	23844858	+	0.000	0.000	Merged-chr16-23844946-41
NR9679--MA0089.1.MAFG::NFE2L1	chr7	72270218	72270223	-	0.000	0.000	Merged-chr7-72270231-51
