#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR6139--MA1104.1.GATA6	chr7	114580610	114580622	+	0.000	0.000	Merged-chr7-114580600-10
NR6174--MA0140.2.GATA1::TAL1	chr7	117604143	117604160	+	0.000	0.000	Merged-chr7-117604327-9
NR671--MA0035.3.Gata1	chr10	39613037	39613047	+	0.000	0.000	Merged-chr10-39613248-57
NR4207--MA0037.3.GATA3	chr3	52878543	52878550	-	0.000	0.000	Merged-chr3-52878450-55
NR3307--MA0035.3.Gata1	chr18	79353029	79353039	-	0.000	0.000	Merged-chr18-79353064-26
NR365--MA0036.3.GATA2	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR6322--MA0766.1.GATA5	chr8	25769097	25769104	+	0.000	0.000	Merged-chr8-25769209-9
NR3678--MA0482.1.Gata4	chr2	58137932	58137942	-	0.000	0.000	Merged-chr2-58137903-53
NR2681--MA0036.3.GATA2	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR323--MA0035.3.Gata1	chr1	131820893	131820903	+	0.000	0.000	Merged-chr1-131821005-30
NR1008--MA0035.3.Gata1	chr11	46056548	46056558	+	0.000	0.000	Merged-chr11-46056388-65
NR503--MA0766.1.GATA5	chr1	179131561	179131568	+	0.000	0.000	Merged-chr1-179131404-17
NR7028--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR1236--MA0482.1.Gata4	chr11	101627409	101627419	+	0.000	0.000	Merged-chr11-101627512-104
NR4613--MA0482.1.Gata4	chr4	40773027	40773037	+	0.000	0.000	Merged-chr4-40772932-1
NR6389--MA0140.2.GATA1::TAL1	chr8	69920372	69920389	+	0.000	0.000	Merged-chr8-69920362-48
