#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR712--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR930--MA0508.2.PRDM1	chr17	8206773	8206782	+	0.000	0.000	Merged-chr17-8206780-14
NR725--MA0508.2.PRDM1	chr14	73175902	73175911	+	0.000	0.000	Merged-chr14-73175814-32
NR1615--MA0508.2.PRDM1	chr5	45790404	45790413	-	0.000	0.000	Merged-chr5-45790409-20
NR1139--MA0508.2.PRDM1	chr2	29820433	29820442	+	0.000	0.000	Merged-chr2-29820454-25
NR563--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR800--MA0508.2.PRDM1	chr15	62482575	62482584	-	0.000	0.000	Merged-chr15-62482463-45
NR1195--MA0508.2.PRDM1	chr2	85725909	85725918	-	0.000	0.000	Merged-chr2-85725914-24
NR1466--MA0508.2.PRDM1	chr4	40134972	40134981	+	0.000	0.000	Merged-chr4-40134878-21
NR1737--MA0508.2.PRDM1	chr6	52158267	52158276	+	0.000	0.000	Merged-chr6-52158464-27
NR162--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR433--MA0508.2.PRDM1	chr12	4082868	4082877	-	0.000	0.000	Merged-chr12-4082819-61
NR704--MA0508.2.PRDM1	chr14	55743838	55743847	+	0.000	0.000	Merged-chr14-55743949-20
NR1989--MA0508.2.PRDM1	chr7	120830961	120830970	+	0.000	0.000	Merged-chr7-120830904-87
NR685--MA0508.2.PRDM1	chr14	27376162	27376171	-	0.000	0.000	Merged-chr14-27376322-41
NR760--MA0508.2.PRDM1	chr14	118109989	118109998	+	0.000	0.000	Merged-chr14-118109992-14
NR2000--MA0508.2.PRDM1	chr7	130476189	130476198	+	0.000	0.000	Merged-chr7-130476284-22
NR141--MA0508.2.PRDM1	chr1	167637268	167637277	-	0.000	0.000	Merged-chr1-167637218-38
NR1697--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR63--MA0508.2.PRDM1	chr1	101902329	101902338	-	0.000	0.000	Merged-chr1-101902483-125
NR393--MA0508.2.PRDM1	chr11	80498186	80498195	-	0.000	0.000	Merged-chr11-80498094-2
NR4--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR839--MA0508.2.PRDM1	chr16	11285845	11285854	-	0.000	0.000	Merged-chr16-11286053-13
NR901--MA0508.2.PRDM1	chr16	78265272	78265281	+	0.000	0.000	Merged-chr16-78265078-57
NR1315--MA0508.2.PRDM1	chr3	55659874	55659883	-	0.000	0.000	Merged-chr3-55660012-44
NR76--MA0508.2.PRDM1	chr1	128103200	128103209	-	0.000	0.000	Merged-chr1-128103135-101
NR677--MA0508.2.PRDM1	chr14	19751176	19751185	+	0.000	0.000	Merged-chr14-19751305-34
NR1296--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR895--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR1288--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1559--MA0508.2.PRDM1	chr4	139598954	139598963	+	0.000	0.000	Merged-chr4-139599159-54
NR460--MA0508.2.PRDM1	chr12	33220845	33220854	-	0.000	0.000	Merged-chr12-33220672-27
NR526--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
