#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR8522--MA0089.1.MAFG::NFE2L1	chr5	139197006	139197011	+	0.000	0.000	Merged-chr5-139197126-38
NR11113--MA0659.1.MAFG	chr9	123087747	123087767	+	0.000	0.000	Merged-chr9-123087769-13
NR3625--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR3986--MA0495.2.MAFF	chr15	55838807	55838827	-	0.000	0.000	Merged-chr15-55838772-33
NR2835--MA0089.1.MAFG::NFE2L1	chr13	24413452	24413457	+	0.000	0.000	Merged-chr13-24413373-17
NR2421--MA0496.2.MAFK	chr12	77060297	77060315	-	0.000	0.000	Merged-chr12-77060270-44
NR2880--MA0501.1.MAF::NFE2	chr13	38050097	38050111	+	0.000	0.000	Merged-chr13-38050052-14
NR5822--MA0501.1.MAF::NFE2	chr2	34977337	34977351	+	0.000	0.000	Merged-chr2-34977109-71
NR4958--MA0591.1.Bach1::Mafk	chr17	80139920	80139934	-	0.000	0.000	Merged-chr17-80140059-47
NR9868--MA0089.1.MAFG::NFE2L1	chr7	110270594	110270599	-	0.000	0.000	Merged-chr7-110270578-16
NR2145--MA0591.1.Bach1::Mafk	chr11	114676579	114676593	-	0.000	0.000	Merged-chr11-114676631-1
NR1502--MA0089.1.MAFG::NFE2L1	chr10	117918024	117918029	-	0.000	0.000	Merged-chr10-117918051-10
NR10489--MA0591.1.Bach1::Mafk	chr8	120715486	120715500	-	0.000	0.000	Merged-chr8-120715474-36
NR5828--MA0591.1.Bach1::Mafk	chr2	35447544	35447558	+	0.000	0.000	Merged-chr2-35447488-46
NR10375--MA0495.2.MAFF	chr8	106795004	106795024	+	0.000	0.000	Merged-chr8-106794988-23
NR1717--MA0089.1.MAFG::NFE2L1	chr11	45959923	45959928	+	0.000	0.000	Merged-chr11-45959987-18
NR9464--MA0089.1.MAFG::NFE2L1	chr7	3693596	3693601	+	0.000	0.000	Merged-chr7-3693587-203
NR6212--MA0496.2.MAFK	chr2	119288419	119288437	+	0.000	0.000	Merged-chr2-119288645-61
NR7334--MA0591.1.Bach1::Mafk	chr4	6934944	6934958	+	0.000	0.000	Merged-chr4-6934910-50
NR8420--MA0089.1.MAFG::NFE2L1	chr5	117388974	117388979	-	0.000	0.000	Merged-chr5-117388866-82
NR10280--MA0501.1.MAF::NFE2	chr8	81861549	81861563	+	0.000	0.000	Merged-chr8-81861625-26
NR7405--MA0496.2.MAFK	chr4	43427724	43427742	+	0.000	0.000	Merged-chr4-43427780-35
NR529--MA0496.2.MAFK	chr1	153288165	153288183	+	0.000	0.000	Merged-chr1-153288080-22
NR1670--MA0501.1.MAF::NFE2	chr11	20553188	20553202	+	0.000	0.000	Merged-chr11-20553238-64
NR167--MA0089.1.MAFG::NFE2L1	chr1	60916635	60916640	-	0.000	0.000	Merged-chr1-60916726-62
NR4603--MA0089.1.MAFG::NFE2L1	chr16	93918207	93918212	-	0.000	0.000	Merged-chr16-93918388-61
NR630--MA0089.1.MAFG::NFE2L1	chr1	165789866	165789871	-	0.000	0.000	Merged-chr1-165789768-126
NR11282--MA0089.1.MAFG::NFE2L1	chrX	106704807	106704812	+	0.000	0.000	Merged-chrX-106704745-40
NR5766--MA0591.1.Bach1::Mafk	chr2	25500911	25500925	-	0.000	0.000	Merged-chr2-25500833-51
NR8298--MA0496.2.MAFK	chr5	97002396	97002414	+	0.000	0.000	Merged-chr5-97002471-16
NR7535--MA0496.2.MAFK	chr4	89351108	89351126	+	0.000	0.000	Merged-chr4-89351221-94
NR1690--MA0089.1.MAFG::NFE2L1	chr11	34009464	34009469	+	0.000	0.000	Merged-chr11-34009597-4
NR3109--MA0089.1.MAFG::NFE2L1	chr13	93340296	93340301	-	0.000	0.000	Merged-chr13-93340292-2
NR6271--MA0495.2.MAFF	chr2	130501722	130501742	-	0.000	0.000	Merged-chr2-130501661-20
NR932--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR7794--MA0089.1.MAFG::NFE2L1	chr4	135801682	135801687	+	0.000	0.000	Merged-chr4-135801650-5
NR2124--MA0659.1.MAFG	chr11	110897174	110897194	-	0.000	0.000	Merged-chr11-110897111-25
NR3509--MA0591.1.Bach1::Mafk	chr14	56284450	56284464	+	0.000	0.000	Merged-chr14-56284559-51
NR7819--MA0089.1.MAFG::NFE2L1	chr4	139337303	139337308	-	0.000	0.000	Merged-chr4-139337251-35
NR9164--MA0501.1.MAF::NFE2	chr6	120470819	120470833	+	0.000	0.000	Merged-chr6-120470872-38
NR8791--MA0495.2.MAFF	chr6	41152250	41152270	-	0.000	0.000	Merged-chr6-41152178-27
NR5252--MA0591.1.Bach1::Mafk	chr18	64476941	64476955	+	0.000	0.000	Merged-chr18-64476957-10
NR3308--MA0659.1.MAFG	chr13	113322300	113322320	+	0.000	0.000	Merged-chr13-113322180-25
NR1920--MA0591.1.Bach1::Mafk	chr11	82235777	82235791	-	0.000	0.000	Merged-chr11-82235744-34
NR6915--MA0591.1.Bach1::Mafk	chr3	101570860	101570874	+	0.000	0.000	Merged-chr3-101570775-35
NR6965--MA0089.1.MAFG::NFE2L1	chr3	107796755	107796760	-	0.000	0.000	Merged-chr3-107796765-38
NR1883--MA0501.1.MAF::NFE2	chr11	75461239	75461253	-	0.000	0.000	Merged-chr11-75461079-106
