#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR712--MA0508.2.PRDM1	chr16	70408304	70408313	+	0.000	0.000	Merged-chr16-70408152-21
NR1758--MA0508.2.PRDM1	chr8	128654845	128654854	+	0.000	0.000	Merged-chr8-128654839-29
NR454--MA0508.2.PRDM1	chr13	19139078	19139087	-	0.000	0.000	Merged-chr13-19139213-36
NR725--MA0508.2.PRDM1	chr16	90277060	90277069	+	0.000	0.000	Merged-chr16-90277146-33
NR1615--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR1867--MA0508.2.PRDM1	chrX	57196547	57196556	-	0.000	0.000	Merged-chrX-57196423-53
NR834--MA0508.2.PRDM1	chr18	32560091	32560100	+	0.000	0.000	Merged-chr18-32559945-41
NR672--MA0508.2.PRDM1	chr16	24446712	24446721	+	0.000	0.000	Merged-chr16-24446565-13
NR1357--MA0508.2.PRDM1	chr5	72938449	72938458	+	0.000	0.000	Merged-chr5-72938590-38
NR1628--MA0508.2.PRDM1	chr7	101348396	101348405	-	0.000	0.000	Merged-chr7-101348573-1
NR1466--MA0508.2.PRDM1	chr6	50560995	50561004	+	0.000	0.000	Merged-chr6-50560959-32
NR1737--MA0508.2.PRDM1	chr8	115232602	115232611	+	0.000	0.000	Merged-chr8-115232618-16
NR162--MA0508.2.PRDM1	chr10	39469525	39469534	-	0.000	0.000	Merged-chr10-39469542-68
NR704--MA0508.2.PRDM1	chr16	55804958	55804967	-	0.000	0.000	Merged-chr16-55805046-17
NR685--MA0508.2.PRDM1	chr16	37094555	37094564	-	0.000	0.000	Merged-chr16-37094405-73
NR1099--MA0508.2.PRDM1	chr3	21838229	21838238	+	0.000	0.000	Merged-chr3-21838264-19
NR271--MA0508.2.PRDM1	chr11	19977900	19977909	+	0.000	0.000	Merged-chr11-19977912-19
NR1227--MA0508.2.PRDM1	chr4	44065641	44065650	+	0.000	0.000	Merged-chr4-44065712-54
NR794--MA0508.2.PRDM1	chr17	50070401	50070410	+	0.000	0.000	Merged-chr17-50070273-24
NR1336--MA0508.2.PRDM1	chr5	24041502	24041511	+	0.000	0.000	Merged-chr5-24041571-31
NR284--MA0508.2.PRDM1	chr11	49085037	49085046	-	0.000	0.000	Merged-chr11-49085061-48
NR141--MA0508.2.PRDM1	chr10	12841683	12841692	-	0.000	0.000	Merged-chr10-12841679-31
NR1697--MA0508.2.PRDM1	chr8	36188856	36188865	-	0.000	0.000	Merged-chr8-36188983-40
NR63--MA0508.2.PRDM1	chr1	133012394	133012403	+	0.000	0.000	Merged-chr1-133012523-20
NR393--MA0508.2.PRDM1	chr12	91298914	91298923	+	0.000	0.000	Merged-chr12-91299013-27
NR521--MA0508.2.PRDM1	chr13	115042838	115042847	+	0.000	0.000	Merged-chr13-115042812-10
NR773--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR1729--MA0508.2.PRDM1	chr8	106795031	106795040	+	0.000	0.000	Merged-chr8-106794988-23
NR630--MA0508.2.PRDM1	chr15	78448343	78448352	-	0.000	0.000	Merged-chr15-78448224-47
NR425--MA0508.2.PRDM1	chr12	115171922	115171931	-	0.000	0.000	Merged-chr12-115171864-49
NR534--MA0508.2.PRDM1	chr14	25839889	25839898	-	0.000	0.000	Merged-chr14-25839841-13
NR1153--MA0508.2.PRDM1	chr3	102738821	102738830	-	0.000	0.000	Merged-chr3-102738606-70
NR1219--MA0508.2.PRDM1	chr4	14921998	14922007	+	0.000	0.000	Merged-chr4-14922203-28
NR786--MA0508.2.PRDM1	chr17	45703412	45703421	+	0.000	0.000	Merged-chr17-45703436-19
NR914--MA0508.2.PRDM1	chr19	32197380	32197389	+	0.000	0.000	Merged-chr19-32197221-70
NR895--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR481--MA0508.2.PRDM1	chr13	74639845	74639854	+	0.000	0.000	Merged-chr13-74639723-103
NR547--MA0508.2.PRDM1	chr14	46788247	46788256	-	0.000	0.000	Merged-chr14-46788198-60
NR818--MA0508.2.PRDM1	chr17	79043560	79043569	+	0.000	0.000	Merged-chr17-79043687-7
NR1437--MA0508.2.PRDM1	chr6	5295256	5295265	+	0.000	0.000	Merged-chr6-5295174-26
NR799--MA0508.2.PRDM1	chr17	51396304	51396313	-	0.000	0.000	Merged-chr17-51396225-19
NR404--MA0508.2.PRDM1	chr12	104214631	104214640	+	0.000	0.000	Merged-chr12-104214522-40
NR656--MA0508.2.PRDM1	chr15	98969819	98969828	-	0.000	0.000	Merged-chr15-98969873-9
NR1275--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR242--MA0508.2.PRDM1	chr10	118507646	118507655	+	0.000	0.000	Merged-chr10-118507756-30
NR494--MA0508.2.PRDM1	chr13	95716408	95716417	-	0.000	0.000	Merged-chr13-95716409-2
NR351--MA0508.2.PRDM1	chr11	121027497	121027506	+	0.000	0.000	Merged-chr11-121027485-17
NR622--MA0508.2.PRDM1	chr15	62780929	62780938	-	0.000	0.000	Merged-chr15-62781008-8
NR669--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR1288--MA0508.2.PRDM1	chr4	135067287	135067296	-	0.000	0.000	Merged-chr4-135067110-46
NR9--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR1145--MA0508.2.PRDM1	chr3	96764775	96764784	+	0.000	0.000	Merged-chr3-96764776-19
NR778--MA0508.2.PRDM1	chr17	36229373	36229382	-	0.000	0.000	Merged-chr17-36229276-20
NR1397--MA0508.2.PRDM1	chr5	113664486	113664495	+	0.000	0.000	Merged-chr5-113664370-10
NR34--MA0508.2.PRDM1	chr1	88008529	88008538	-	0.000	0.000	Merged-chr1-88008403-52
NR635--MA0508.2.PRDM1	chr15	81745152	81745161	-	0.000	0.000	Merged-chr15-81745308-45
NR906--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR539--MA0508.2.PRDM1	chr14	29947062	29947071	-	0.000	0.000	Merged-chr14-29947080-38
NR757--MA0508.2.PRDM1	chr17	25184356	25184365	+	0.000	0.000	Merged-chr17-25184490-56
NR343--MA0508.2.PRDM1	chr11	114244345	114244354	+	0.000	0.000	Merged-chr11-114244322-2
NR1028--MA0508.2.PRDM1	chr2	119477616	119477625	+	0.000	0.000	Merged-chr2-119477609-138
NR866--MA0508.2.PRDM1	chr18	70598098	70598107	+	0.000	0.000	Merged-chr18-70597990-21
NR181--MA0508.2.PRDM1	chr10	70156679	70156688	-	0.000	0.000	Merged-chr10-70156646-22
NR452--MA0508.2.PRDM1	chr13	16341022	16341031	+	0.000	0.000	Merged-chr13-16341023-40
NR518--MA0508.2.PRDM1	chr13	112398359	112398368	-	0.000	0.000	Merged-chr13-112398369-43
NR26--MA0508.2.PRDM1	chr1	81287410	81287419	+	0.000	0.000	Merged-chr1-81287324-28
NR561--MA0508.2.PRDM1	chr14	69241540	69241549	-	0.000	0.000	Merged-chr14-69241687-19
NR356--MA0508.2.PRDM1	chr12	13575973	13575982	+	0.000	0.000	Merged-chr12-13576044-20
NR194--MA0508.2.PRDM1	chr10	81249703	81249712	-	0.000	0.000	Merged-chr10-81249714-12
NR465--MA0508.2.PRDM1	chr13	37801784	37801793	+	0.000	0.000	Merged-chr13-37801685-58
NR322--MA0508.2.PRDM1	chr11	98588212	98588221	+	0.000	0.000	Merged-chr11-98588289-18
