#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1935--MA0463.1.Bcl6	chr4	130931051	130931064	+	0.000	0.000	Merged-chr4-130930977-2
NR479--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR208--MA0731.1.BCL6B	chr1	180778302	180778318	-	0.000	0.000	Merged-chr1-180778261-1
NR1071--MA0463.1.Bcl6	chr16	44321831	44321844	+	0.000	0.000	Merged-chr16-44321913-9
NR2255--MA0463.1.Bcl6	chr6	120470859	120470872	+	0.000	0.000	Merged-chr6-120470872-38
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1819--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR148--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR1760--MA0731.1.BCL6B	chr3	152920442	152920458	-	0.000	0.000	Merged-chr3-152920565-52
NR1412--MA0731.1.BCL6B	chr2	52979409	52979425	-	0.000	0.000	Merged-chr2-52979573-5
NR1949--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR1568--MA0731.1.BCL6B	chr2	162931369	162931385	-	0.000	0.000	Merged-chr2-162931607-133
NR1677--MA0731.1.BCL6B	chr3	100969745	100969761	+	0.000	0.000	Merged-chr3-100969599-56
NR990--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR2399--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR744--MA0463.1.Bcl6	chr13	106936883	106936896	-	0.000	0.000	Merged-chr13-106936851-56
NR1547--MA0731.1.BCL6B	chr2	145957574	145957590	-	0.000	0.000	Merged-chr2-145957643-25
NR1513--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR874--MA0463.1.Bcl6	chr14	79290614	79290627	+	0.000	0.000	Merged-chr14-79290638-34
NR461--MA0731.1.BCL6B	chr11	95261347	95261363	-	0.000	0.000	Merged-chr11-95261394-7
NR2128--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR2095--MA0463.1.Bcl6	chr5	105718531	105718544	-	0.000	0.000	Merged-chr5-105718341-55
NR1906--MA0731.1.BCL6B	chr4	108460927	108460943	-	0.000	0.000	Merged-chr4-108460975-1
NR664--MA0463.1.Bcl6	chr13	41097586	41097599	+	0.000	0.000	Merged-chr13-41097728-40
NR440--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR561--MA0463.1.Bcl6	chr12	73671716	73671729	+	0.000	0.000	Merged-chr12-73671742-5
NR2660--MA0731.1.BCL6B	chr9	103207871	103207887	-	0.000	0.000	Merged-chr9-103208007-48
NR1866--MA0731.1.BCL6B	chr4	86739316	86739332	+	0.000	0.000	Merged-chr4-86739424-15
NR454--MA0463.1.Bcl6	chr11	75533410	75533423	-	0.000	0.000	Merged-chr11-75533258-32
NR2682--MA0463.1.Bcl6	chrX	12006392	12006405	+	0.000	0.000	Merged-chrX-12006353-78
NR351--MA0463.1.Bcl6	chr10	94552062	94552075	+	0.000	0.000	Merged-chr10-94552139-57
NR1008--MA0731.1.BCL6B	chr15	102109295	102109311	+	0.000	0.000	Merged-chr15-102109338-20
NR1006--MA0463.1.Bcl6	chr15	100845568	100845581	-	0.000	0.000	Merged-chr15-100845371-50
NR2557--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR1322--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR481--MA0463.1.Bcl6	chr11	114745307	114745320	-	0.000	0.000	Merged-chr11-114745299-23
NR955--MA0731.1.BCL6B	chr15	36938043	36938059	-	0.000	0.000	Merged-chr15-36937970-1
NR123--MA0463.1.Bcl6	chr1	106595290	106595303	+	0.000	0.000	Merged-chr1-106595404-4
NR2208--MA0463.1.Bcl6	chr6	72401946	72401959	-	0.000	0.000	Merged-chr6-72402055-12
NR1812--MA0463.1.Bcl6	chr4	40781446	40781459	-	0.000	0.000	Merged-chr4-40781341-5
NR2472--MA0463.1.Bcl6	chr8	40961932	40961945	-	0.000	0.000	Merged-chr8-40961976-32
NR1064--MA0731.1.BCL6B	chr16	31683791	31683807	+	0.000	0.000	Merged-chr16-31683796-20
NR1444--MA0731.1.BCL6B	chr2	72283051	72283067	+	0.000	0.000	Merged-chr2-72282934-17
