#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3307--MA0002.2.RUNX1	chr14	55370543	55370553	-	0.000	0.000	Merged-chr14-55370593-10
NR10975--MA0002.2.RUNX1	chrX	159021643	159021653	-	0.000	0.000	Merged-chrX-159021727-36
NR10660--MA0511.2.RUNX2	chr9	108154971	108154979	-	0.000	0.000	Merged-chr9-108154914-20
NR10455--MA0511.2.RUNX2	chr9	75246466	75246474	-	0.000	0.000	Merged-chr9-75246433-36
NR6049--MA0511.2.RUNX2	chr2	128117813	128117821	-	0.000	0.000	Merged-chr2-128117807-36
NR1978--MA0511.2.RUNX2	chr11	108215016	108215024	-	0.000	0.000	Merged-chr11-108215085-33
NR10233--MA0684.1.RUNX3	chr9	11513964	11513973	-	0.000	0.000	Merged-chr9-11513974-36
NR10899--MA0684.1.RUNX3	chrX	71378634	71378643	-	0.000	0.000	Merged-chrX-71378738-26
NR9204--MA0684.1.RUNX3	chr7	49364549	49364558	+	0.000	0.000	Merged-chr7-49364720-42
NR10627--MA0002.2.RUNX1	chr9	99699951	99699961	-	0.000	0.000	Merged-chr9-99699985-12
NR3893--MA0684.1.RUNX3	chr15	85328195	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR10961--MA0684.1.RUNX3	chrX	140505939	140505948	+	0.000	0.000	Merged-chrX-140506133-71
NR5381--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR9932--MA0684.1.RUNX3	chr8	79286679	79286688	+	0.000	0.000	Merged-chr8-79286667-44
NR9264--MA0511.2.RUNX2	chr7	67911936	67911944	+	0.000	0.000	Merged-chr7-67912081-16
NR161--MA0002.2.RUNX1	chr1	64986260	64986270	+	0.000	0.000	Merged-chr1-64986300-23
NR6774--MA0002.2.RUNX1	chr3	129613934	129613944	+	0.000	0.000	Merged-chr3-129613875-22
NR6015--MA0511.2.RUNX2	chr2	123243765	123243773	+	0.000	0.000	Merged-chr2-123243838-1
NR6902--MA0002.2.RUNX1	chr3	146765121	146765131	-	0.000	0.000	Merged-chr3-146765113-32
NR7693--MA0511.2.RUNX2	chr5	35462513	35462521	-	0.000	0.000	Merged-chr5-35462574-17
NR812--MA0002.2.RUNX1	chr1	192136801	192136811	+	0.000	0.000	Merged-chr1-192136916-34
NR10517--MA0684.1.RUNX3	chr9	83441009	83441018	-	0.000	0.000	Merged-chr9-83441063-64
NR5142--MA0511.2.RUNX2	chr18	83011774	83011782	-	0.000	0.000	Merged-chr18-83011883-50
NR2800--MA0684.1.RUNX3	chr13	46984009	46984018	-	0.000	0.000	Merged-chr13-46984100-22
NR2652--MA0002.2.RUNX1	chr13	19357497	19357507	-	0.000	0.000	Merged-chr13-19357442-6
NR9230--MA0511.2.RUNX2	chr7	63999433	63999441	-	0.000	0.000	Merged-chr7-63999373-46
NR3511--MA0684.1.RUNX3	chr14	103469258	103469267	-	0.000	0.000	Merged-chr14-103469232-2
NR3306--MA0684.1.RUNX3	chr14	55370515	55370524	+	0.000	0.000	Merged-chr14-55370593-10
NR7180--MA0002.2.RUNX1	chr4	88115655	88115665	+	0.000	0.000	Merged-chr4-88115597-29
NR5443--MA0684.1.RUNX3	chr19	53972057	53972066	-	0.000	0.000	Merged-chr19-53972113-29
NR1705--MA0511.2.RUNX2	chr11	64116920	64116928	-	0.000	0.000	Merged-chr11-64116814-48
NR10831--MA0684.1.RUNX3	chrX	11647196	11647205	+	0.000	0.000	Merged-chrX-11647127-35
NR1335--MA0002.2.RUNX1	chr10	108168049	108168059	+	0.000	0.000	Merged-chr10-108168166-48
NR10163--MA0511.2.RUNX2	chr8	126200370	126200378	-	0.000	0.000	Merged-chr8-126200294-39
NR7103--MA0002.2.RUNX1	chr4	56114154	56114164	+	0.000	0.000	Merged-chr4-56114012-43
NR5218--MA0002.2.RUNX1	chr19	7234930	7234940	-	0.000	0.000	Merged-chr19-7234989-20
NR8800--MA0002.2.RUNX1	chr6	129747457	129747467	-	0.000	0.000	Merged-chr6-129747542-62
NR9306--MA0002.2.RUNX1	chr7	80167005	80167015	-	0.000	0.000	Merged-chr7-80166871-28
NR10193--MA0684.1.RUNX3	chr8	128223320	128223329	-	0.000	0.000	Merged-chr8-128223372-20
NR283--MA0002.2.RUNX1	chr1	91494509	91494519	-	0.000	0.000	Merged-chr1-91494661-56
NR1987--MA0684.1.RUNX3	chr11	109445751	109445760	-	0.000	0.000	Merged-chr11-109445792-26
NR825--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR510--MA0511.2.RUNX2	chr1	152089699	152089707	+	0.000	0.000	Merged-chr1-152089513-11
NR10543--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR5056--MA0002.2.RUNX1	chr18	69196342	69196352	+	0.000	0.000	Merged-chr18-69196479-70
NR1696--MA0002.2.RUNX1	chr11	61699094	61699104	+	0.000	0.000	Merged-chr11-61699049-20
NR3061--MA0511.2.RUNX2	chr13	104863664	104863672	-	0.000	0.000	Merged-chr13-104863787-63
NR62--MA0002.2.RUNX1	chr1	38557783	38557793	-	0.000	0.000	Merged-chr1-38557840-50
NR5727--MA0684.1.RUNX3	chr2	59160685	59160694	+	0.000	0.000	Merged-chr2-59160665-10
NR1447--MA0511.2.RUNX2	chr10	126013825	126013833	-	0.000	0.000	Merged-chr10-126013819-17
NR3110--MA0684.1.RUNX3	chr13	112355215	112355224	-	0.000	0.000	Merged-chr13-112355130-25
NR663--MA0002.2.RUNX1	chr1	176950177	176950187	-	0.000	0.000	Merged-chr1-176950373-27
NR10301--MA0002.2.RUNX1	chr9	37242477	37242487	+	0.000	0.000	Merged-chr9-37242651-16
NR10967--MA0002.2.RUNX1	chrX	143030812	143030822	+	0.000	0.000	Merged-chrX-143030752-27
NR5165--MA0002.2.RUNX1	chr18	84874255	84874265	+	0.000	0.000	Merged-chr18-84874398-59
NR3904--MA0684.1.RUNX3	chr15	89131568	89131577	+	0.000	0.000	Merged-chr15-89131620-40
NR520--MA0002.2.RUNX1	chr1	153037908	153037918	-	0.000	0.000	Merged-chr1-153037964-21
NR315--MA0002.2.RUNX1	chr1	97623608	97623618	+	0.000	0.000	Merged-chr1-97623545-45
NR10077--MA0002.2.RUNX1	chr8	116928143	116928153	-	0.000	0.000	Merged-chr8-116928093-15
NR7450--MA0684.1.RUNX3	chr4	139367696	139367705	-	0.000	0.000	Merged-chr4-139367606-11
NR10033--MA0511.2.RUNX2	chr8	110079765	110079773	-	0.000	0.000	Merged-chr8-110079856-46
NR9382--MA0684.1.RUNX3	chr7	99794243	99794252	-	0.000	0.000	Merged-chr7-99794311-17
NR3408--MA0002.2.RUNX1	chr14	72863037	72863047	+	0.000	0.000	Merged-chr14-72863184-30
NR9924--MA0684.1.RUNX3	chr8	78975205	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR10205--MA0002.2.RUNX1	chr8	128622959	128622969	+	0.000	0.000	Merged-chr8-128622909-9
NR5274--MA0002.2.RUNX1	chr19	17356206	17356216	+	0.000	0.000	Merged-chr19-17356427-46
NR5545--MA0002.2.RUNX1	chr2	9792666	9792676	-	0.000	0.000	Merged-chr2-9792573-15
NR153--MA0002.2.RUNX1	chr1	62834665	62834675	-	0.000	0.000	Merged-chr1-62834522-10
NR8922--MA0002.2.RUNX1	chr6	142950587	142950597	+	0.000	0.000	Merged-chr6-142950474-44
NR10457--MA0002.2.RUNX1	chr9	75246464	75246474	+	0.000	0.000	Merged-chr9-75246433-36
NR10728--MA0002.2.RUNX1	chr9	116214505	116214515	+	0.000	0.000	Merged-chr9-116214567-36
NR9157--MA0002.2.RUNX1	chr7	43351379	43351389	+	0.000	0.000	Merged-chr7-43351376-2
NR5797--MA0002.2.RUNX1	chr2	72536031	72536041	+	0.000	0.000	Merged-chr2-72536133-16
NR3123--MA0684.1.RUNX3	chr13	113549211	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR10791--MA0684.1.RUNX3	chr9	120943670	120943679	-	0.000	0.000	Merged-chr9-120943869-18
NR3246--MA0002.2.RUNX1	chr14	41050792	41050802	+	0.000	0.000	Merged-chr14-41050635-35
NR5482--MA0511.2.RUNX2	chr19	57113350	57113358	+	0.000	0.000	Merged-chr19-57113185-31
NR1295--MA0002.2.RUNX1	chr10	96481315	96481325	-	0.000	0.000	Merged-chr10-96481360-10
NR10314--MA0002.2.RUNX1	chr9	41143478	41143488	-	0.000	0.000	Merged-chr9-41143309-11
NR903--MA0511.2.RUNX2	chr10	17512262	17512270	-	0.000	0.000	Merged-chr10-17512175-6
NR7063--MA0002.2.RUNX1	chr4	41741302	41741312	+	0.000	0.000	Merged-chr4-41741113-91
NR7334--MA0002.2.RUNX1	chr4	122808311	122808321	-	0.000	0.000	Merged-chr4-122808329-35
NR3646--MA0684.1.RUNX3	chr15	34356866	34356875	+	0.000	0.000	Merged-chr15-34356866-8
NR3498--MA0002.2.RUNX1	chr14	101879179	101879189	-	0.000	0.000	Merged-chr14-101879110-69
NR7956--MA0511.2.RUNX2	chr5	105290974	105290982	-	0.000	0.000	Merged-chr5-105291153-16
NR9143--MA0684.1.RUNX3	chr7	34313586	34313595	-	0.000	0.000	Merged-chr7-34313409-64
