#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR64164--MA0741.1.KLF16	chrX	48147981	48147991	+	0.000	0.000	Merged-chrX-48147927-58
NR10437--MA0741.1.KLF16	chr11	94716767	94716777	+	0.000	0.000	Merged-chr11-94716911-29
NR34239--MA0599.1.KLF5	chr2	131204780	131204789	-	0.000	0.000	Merged-chr2-131204704-19
NR4795--MA0741.1.KLF16	chr10	40171480	40171490	-	0.000	0.000	Merged-chr10-40171372-15
NR31682--MA0657.1.KLF13	chr2	29849974	29849991	+	0.000	0.000	Merged-chr2-29850143-19
NR41803--MA0740.1.KLF14	chr4	122886097	122886110	-	0.000	0.000	Merged-chr4-122886088-92
NR23141--MA0599.1.KLF5	chr16	31275327	31275336	+	0.000	0.000	Merged-chr16-31275130-59
NR25518--MA0742.1.Klf12	chr17	28516093	28516107	-	0.000	0.000	Merged-chr17-28516201-30
NR46458--MA0599.1.KLF5	chr5	117115939	117115948	+	0.000	0.000	Merged-chr5-117115821-87
NR49678--MA0741.1.KLF16	chr6	82740532	82740542	-	0.000	0.000	Merged-chr6-82740470-44
NR59036--MA0742.1.Klf12	chr8	106022674	106022688	-	0.000	0.000	Merged-chr8-106022605-23
NR9105--MA0740.1.KLF14	chr11	60728248	60728261	+	0.000	0.000	Merged-chr11-60728380-41
NR29371--MA0740.1.KLF14	chr19	3943433	3943446	-	0.000	0.000	Merged-chr19-3943382-37
NR10145--MA0493.1.Klf1	chr11	86614201	86614211	+	0.000	0.000	Merged-chr11-86614307-11
NR35360--MA0599.1.KLF5	chr2	164079626	164079635	+	0.000	0.000	Merged-chr2-164079713-44
NR7341--MA0493.1.Klf1	chr10	119031419	119031429	-	0.000	0.000	Merged-chr10-119031618-2
NR60314--MA1107.1.KLF9	chr9	13518705	13518717	-	0.000	0.000	Merged-chr9-13518732-12
NR29443--MA0599.1.KLF5	chr19	4283173	4283182	-	0.000	0.000	Merged-chr19-4283203-50
NR29437--MA0740.1.KLF14	chr19	4283130	4283143	-	0.000	0.000	Merged-chr19-4283203-50
NR62932--MA0039.3.KLF4	chr9	110697434	110697444	-	0.000	0.000	Merged-chr9-110697524-12
NR50982--MA1107.1.KLF9	chr6	125339485	125339497	-	0.000	0.000	Merged-chr6-125339380-7
NR30232--MA0741.1.KLF16	chr19	37175150	37175160	-	0.000	0.000	Merged-chr19-37175347-2
NR59059--MA0493.1.Klf1	chr8	106561316	106561326	-	0.000	0.000	Merged-chr8-106561375-36
NR59735--MA0493.1.Klf1	chr8	121578868	121578878	+	0.000	0.000	Merged-chr8-121578886-116
NR61278--MA0740.1.KLF14	chr9	56950868	56950881	-	0.000	0.000	Merged-chr9-56950936-57
NR19077--MA0599.1.KLF5	chr14	79587576	79587585	-	0.000	0.000	Merged-chr14-79587561-73
NR64903--MA0599.1.KLF5	chrX	159199697	159199706	+	0.000	0.000	Merged-chrX-159199808-53
NR18408--MA0599.1.KLF5	chr14	57684858	57684867	-	0.000	0.000	Merged-chr14-57684714-16
NR6603--MA0741.1.KLF16	chr10	94864859	94864869	-	0.000	0.000	Merged-chr10-94864939-82
NR18342--MA0741.1.KLF16	chr14	55660554	55660564	+	0.000	0.000	Merged-chr14-55660377-55
NR4381--MA0741.1.KLF16	chr10	13869056	13869066	+	0.000	0.000	Merged-chr10-13868873-62
NR61447--MA0742.1.Klf12	chr9	61679861	61679875	+	0.000	0.000	Merged-chr9-61679928-43
NR52576--MA0493.1.Klf1	chr7	19272254	19272264	+	0.000	0.000	Merged-chr7-19272089-134
NR47766--MA1107.1.KLF9	chr5	140999420	140999432	-	0.000	0.000	Merged-chr5-140999389-30
NR26664--MA0741.1.KLF16	chr17	64331966	64331976	+	0.000	0.000	Merged-chr17-64332180-104
NR34010--MA0493.1.Klf1	chr2	126496032	126496042	+	0.000	0.000	Merged-chr2-126496210-58
NR20552--MA0599.1.KLF5	chr15	59648449	59648458	+	0.000	0.000	Merged-chr15-59648235-82
