#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1126--MA0508.2.PRDM1	chr2	52590975	52590984	+	0.000	0.000	Merged-chr2-52591094-36
NR92--MA0508.2.PRDM1	chr1	151011218	151011227	+	0.000	0.000	Merged-chr1-151011231-27
NR821--MA0508.2.PRDM1	chr16	36934827	36934836	+	0.000	0.000	Merged-chr16-36934899-83
NR1506--MA0508.2.PRDM1	chr4	89458845	89458854	+	0.000	0.000	Merged-chr4-89458773-12
NR725--MA0508.2.PRDM1	chr15	9567530	9567539	+	0.000	0.000	Merged-chr15-9567519-26
NR1615--MA0508.2.PRDM1	chr5	53995403	53995412	+	0.000	0.000	Merged-chr5-53995231-101
NR1867--MA0508.2.PRDM1	chr7	48132222	48132231	-	0.000	0.000	Merged-chr7-48132201-46
NR1105--MA0508.2.PRDM1	chr2	26640299	26640308	+	0.000	0.000	Merged-chr2-26640192-42
NR71--MA0508.2.PRDM1	chr1	132341854	132341863	-	0.000	0.000	Merged-chr1-132341932-46
NR672--MA0508.2.PRDM1	chr14	64867111	64867120	+	0.000	0.000	Merged-chr14-64867013-43
NR1195--MA0508.2.PRDM1	chr2	119742213	119742222	-	0.000	0.000	Merged-chr2-119742331-93
NR1052--MA0508.2.PRDM1	chr19	32197380	32197389	+	0.000	0.000	Merged-chr19-32197221-70
NR1118--MA0508.2.PRDM1	chr2	44354957	44354966	-	0.000	0.000	Merged-chr2-44354925-23
NR890--MA0508.2.PRDM1	chr17	26572246	26572255	-	0.000	0.000	Merged-chr17-26572396-49
NR685--MA0508.2.PRDM1	chr14	74918627	74918636	-	0.000	0.000	Merged-chr14-74918775-39
NR1099--MA0508.2.PRDM1	chr2	18765828	18765837	-	0.000	0.000	Merged-chr2-18765910-35
NR271--MA0508.2.PRDM1	chr10	107869222	107869231	-	0.000	0.000	Merged-chr10-107868994-49
NR813--MA0508.2.PRDM1	chr16	30972218	30972227	+	0.000	0.000	Merged-chr16-30972124-45
NR1227--MA0508.2.PRDM1	chr2	144646519	144646528	-	0.000	0.000	Merged-chr2-144646502-21
NR1479--MA0508.2.PRDM1	chr4	59331212	59331221	+	0.000	0.000	Merged-chr4-59331068-10
NR284--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR412--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR393--MA0508.2.PRDM1	chr11	103951374	103951383	-	0.000	0.000	Merged-chr11-103951331-24
NR935--MA0508.2.PRDM1	chr17	86437642	86437651	-	0.000	0.000	Merged-chr17-86437732-58
NR1206--MA0508.2.PRDM1	chr2	128502761	128502770	+	0.000	0.000	Merged-chr2-128502877-18
NR2090--MA0508.2.PRDM1	chr9	63711960	63711969	+	0.000	0.000	Merged-chr9-63712041-20
NR901--MA0508.2.PRDM1	chr17	35353612	35353621	+	0.000	0.000	Merged-chr17-35353468-33
NR882--MA0508.2.PRDM1	chr17	18558993	18559002	+	0.000	0.000	Merged-chr17-18558777-104
NR786--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR500--MA0508.2.PRDM1	chr12	115848086	115848095	-	0.000	0.000	Merged-chr12-115847969-36
NR547--MA0508.2.PRDM1	chr13	54209589	54209598	-	0.000	0.000	Merged-chr13-54209586-83
NR818--MA0508.2.PRDM1	chr16	33685655	33685664	-	0.000	0.000	Merged-chr16-33685543-14
NR404--MA0508.2.PRDM1	chr11	120713871	120713880	+	0.000	0.000	Merged-chr11-120713681-79
NR1689--MA0508.2.PRDM1	chr5	148419286	148419295	+	0.000	0.000	Merged-chr5-148419241-23
NR242--MA0508.2.PRDM1	chr10	77372276	77372285	+	0.000	0.000	Merged-chr10-77372172-15
NR2082--MA0508.2.PRDM1	chr9	57992444	57992453	-	0.000	0.000	Merged-chr9-57992295-1
