#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR12553--MA0493.1.Klf1	chr11	109671941	109671951	-	0.000	0.000	Merged-chr11-109672054-52
NR48990--MA1107.1.KLF9	chr4	150112967	150112979	-	0.000	0.000	Merged-chr4-150113122-17
NR31314--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR16903--MA1107.1.KLF9	chr13	45876477	45876489	+	0.000	0.000	Merged-chr13-45876609-5
NR11118--MA1107.1.KLF9	chr11	69409483	69409495	+	0.000	0.000	Merged-chr11-69409455-74
NR31953--MA0657.1.KLF13	chr18	33464074	33464091	-	0.000	0.000	Merged-chr18-33464031-50
NR21118--MA0740.1.KLF14	chr14	61556993	61557006	-	0.000	0.000	Merged-chr14-61556804-76
NR7341--MA0493.1.Klf1	chr10	77606499	77606509	+	0.000	0.000	Merged-chr10-77606503-166
NR29166--MA0740.1.KLF14	chr17	29394034	29394047	-	0.000	0.000	Merged-chr17-29393996-77
NR68523--MA0741.1.KLF16	chrX	8132735	8132745	+	0.000	0.000	Merged-chrX-8132839-1
NR7848--MA0657.1.KLF13	chr10	84622250	84622267	-	0.000	0.000	Merged-chr10-84622424-60
NR22576--MA0741.1.KLF16	chr14	122983250	122983260	-	0.000	0.000	Merged-chr14-122983276-115
NR53353--MA0599.1.KLF5	chr5	137025263	137025272	+	0.000	0.000	Merged-chr5-137025344-26
NR29335--MA0742.1.Klf12	chr17	33998960	33998974	-	0.000	0.000	Merged-chr17-33999093-34
NR16437--MA0039.3.KLF4	chr13	23453845	23453855	+	0.000	0.000	Merged-chr13-23453663-42
NR12271--MA0740.1.KLF14	chr11	101226464	101226477	+	0.000	0.000	Merged-chr11-101226407-43
NR20230--MA0741.1.KLF16	chr14	32492708	32492718	+	0.000	0.000	Merged-chr14-32492758-31
NR9641--MA1107.1.KLF9	chr11	3517627	3517639	-	0.000	0.000	Merged-chr11-3517558-36
NR12369--MA0741.1.KLF16	chr11	103175214	103175224	-	0.000	0.000	Merged-chr11-103175136-47
NR20990--MA0493.1.Klf1	chr14	57769261	57769271	-	0.000	0.000	Merged-chr14-57769251-39
NR35413--MA0740.1.KLF14	chr2	13575062	13575075	+	0.000	0.000	Merged-chr2-13575035-10
NR43767--MA0741.1.KLF16	chr3	131272103	131272113	+	0.000	0.000	Merged-chr3-131271947-79
NR40256--MA0742.1.Klf12	chr2	173659684	173659698	+	0.000	0.000	Merged-chr2-173659827-104
NR66638--MA0741.1.KLF16	chr9	57708567	57708577	-	0.000	0.000	Merged-chr9-57708660-35
NR37293--MA0493.1.Klf1	chr2	76370325	76370335	-	0.000	0.000	Merged-chr2-76370231-76
NR11113--MA0039.3.KLF4	chr11	69401436	69401446	+	0.000	0.000	Merged-chr11-69401473-44
NR59520--MA0493.1.Klf1	chr7	46639810	46639820	-	0.000	0.000	Merged-chr7-46639840-59
NR36871--MA0741.1.KLF16	chr2	60504639	60504649	-	0.000	0.000	Merged-chr2-60504518-1
NR33834--MA0599.1.KLF5	chr19	4928290	4928299	+	0.000	0.000	Merged-chr19-4928305-60
NR3694--MA0599.1.KLF5	chr1	156660676	156660685	+	0.000	0.000	Merged-chr1-156660698-35
