#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1053--MA0731.1.BCL6B	chr19	10845766	10845782	-	0.000	0.000	Merged-chr19-10845657-6
NR1576--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR2022--MA0463.1.Bcl6	chr7	100591176	100591189	-	0.000	0.000	Merged-chr7-100591140-72
NR1165--MA0463.1.Bcl6	chr2	60370320	60370333	-	0.000	0.000	Merged-chr2-60370406-27
NR1826--MA0731.1.BCL6B	chr6	65578768	65578784	-	0.000	0.000	Merged-chr6-65578768-17
NR2139--MA0463.1.Bcl6	chr8	61436815	61436828	+	0.000	0.000	Merged-chr8-61436904-17
NR2279--MA0731.1.BCL6B	chr9	96916793	96916809	-	0.000	0.000	Merged-chr9-96916836-41
NR1948--MA0731.1.BCL6B	chr7	3645150	3645166	+	0.000	0.000	Merged-chr7-3645035-83
NR296--MA0463.1.Bcl6	chr10	95781360	95781373	-	0.000	0.000	Merged-chr10-95781275-17
NR990--MA0463.1.Bcl6	chr18	42589626	42589639	+	0.000	0.000	Merged-chr18-42589675-37
NR838--MA0463.1.Bcl6	chr16	23988611	23988624	-	0.000	0.000	Merged-chr16-23988801-56
NR744--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1560--MA0463.1.Bcl6	chr4	119339289	119339302	-	0.000	0.000	Merged-chr4-119339139-34
NR2077--MA0463.1.Bcl6	chr7	131540223	131540236	-	0.000	0.000	Merged-chr7-131540239-21
NR780--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR2128--MA0731.1.BCL6B	chr8	41417113	41417129	+	0.000	0.000	Merged-chr8-41416899-78
NR1672--MA0463.1.Bcl6	chr5	68012934	68012947	-	0.000	0.000	Merged-chr5-68012876-26
NR1778--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR1906--MA0731.1.BCL6B	chr6	134124678	134124694	+	0.000	0.000	Merged-chr6-134124552-10
NR854--MA0731.1.BCL6B	chr16	45234682	45234698	-	0.000	0.000	Merged-chr16-45234640-6
NR1268--MA0731.1.BCL6B	chr2	167505401	167505417	+	0.000	0.000	Merged-chr2-167505349-52
NR1539--MA0731.1.BCL6B	chr4	101349648	101349664	-	0.000	0.000	Merged-chr4-101349658-19
NR1350--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR963--MA0731.1.BCL6B	chr17	84314198	84314214	+	0.000	0.000	Merged-chr17-84313962-71
NR315--MA0463.1.Bcl6	chr10	117916353	117916366	+	0.000	0.000	Merged-chr10-117916524-16
NR1122--MA0463.1.Bcl6	chr2	32857719	32857732	+	0.000	0.000	Merged-chr2-32857854-19
NR548--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR310--MA0731.1.BCL6B	chr10	111925666	111925682	+	0.000	0.000	Merged-chr10-111925713-30
NR1140--MA0463.1.Bcl6	chr2	48333073	48333086	+	0.000	0.000	Merged-chr2-48333008-54
NR208--MA0463.1.Bcl6	chr1	191480275	191480288	-	0.000	0.000	Merged-chr1-191480137-17
NR2230--MA0463.1.Bcl6	chr9	37530269	37530282	+	0.000	0.000	Merged-chr9-37530245-22
NR696--MA0463.1.Bcl6	chr14	69146585	69146598	+	0.000	0.000	Merged-chr14-69146788-20
NR1098--MA0731.1.BCL6B	chr2	11331892	11331908	-	0.000	0.000	Merged-chr2-11331773-28
NR1024--MA0463.1.Bcl6	chr18	69939302	69939315	+	0.000	0.000	Merged-chr18-69939182-2
NR1478--MA0731.1.BCL6B	chr4	44669643	44669659	-	0.000	0.000	Merged-chr4-44669679-10
NR356--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1042--MA0463.1.Bcl6	chr18	89197733	89197746	-	0.000	0.000	Merged-chr18-89197638-86
NR1924--MA0463.1.Bcl6	chr6	140657588	140657601	+	0.000	0.000	Merged-chr6-140657459-39
NR468--MA0463.1.Bcl6	chr12	76527674	76527687	+	0.000	0.000	Merged-chr12-76527633-28
NR2011--MA0463.1.Bcl6	chr7	89168600	89168613	-	0.000	0.000	Merged-chr7-89168777-23
NR1369--MA0463.1.Bcl6	chr3	105114429	105114442	-	0.000	0.000	Merged-chr3-105114484-19
NR2132--MA0463.1.Bcl6	chr8	46747876	46747889	-	0.000	0.000	Merged-chr8-46747933-31
NR62--MA0731.1.BCL6B	chr1	86741047	86741063	+	0.000	0.000	Merged-chr1-86740940-3
NR907--MA0463.1.Bcl6	chr17	5010007	5010020	+	0.000	0.000	Merged-chr17-5010046-20
NR925--MA0463.1.Bcl6	chr17	26243768	26243781	-	0.000	0.000	Merged-chr17-26243681-1
NR262--MA0731.1.BCL6B	chr10	71306330	71306346	-	0.000	0.000	Merged-chr10-71306460-33
NR804--MA0731.1.BCL6B	chr15	93405614	93405630	+	0.000	0.000	Merged-chr15-93405700-9
NR1218--MA0731.1.BCL6B	chr2	122243970	122243986	-	0.000	0.000	Merged-chr2-122243973-37
NR88--MA0731.1.BCL6B	chr1	106395688	106395704	+	0.000	0.000	Merged-chr1-106395596-30
NR1750--MA0463.1.Bcl6	chr5	130088207	130088220	+	0.000	0.000	Merged-chr5-130088239-22
NR403--MA0731.1.BCL6B	chr11	106201871	106201887	-	0.000	0.000	Merged-chr11-106202086-45
NR384--MA0731.1.BCL6B	chr11	80086856	80086872	+	0.000	0.000	Merged-chr11-80086992-28
NR2070--MA0463.1.Bcl6	chr7	128724875	128724888	-	0.000	0.000	Merged-chr7-128725026-31
NR1522--MA0463.1.Bcl6	chr4	86722040	86722053	+	0.000	0.000	Merged-chr4-86721990-52
NR1728--MA0463.1.Bcl6	chr5	110653365	110653378	+	0.000	0.000	Merged-chr5-110653386-72
NR31--MA0463.1.Bcl6	chr1	62049899	62049912	-	0.000	0.000	Merged-chr1-62049803-1
NR2222--MA0731.1.BCL6B	chr9	28261428	28261444	+	0.000	0.000	Merged-chr9-28261552-34
NR1097--MA0463.1.Bcl6	chr2	9997856	9997869	-	0.000	0.000	Merged-chr2-9997770-18
NR1048--MA0731.1.BCL6B	chr19	5273246	5273262	-	0.000	0.000	Merged-chr19-5273188-67
NR1979--MA0463.1.Bcl6	chr7	49272654	49272667	+	0.000	0.000	Merged-chr7-49272707-39
NR881--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
NR124--MA0731.1.BCL6B	chr1	137074991	137075007	-	0.000	0.000	Merged-chr1-137074990-14
NR993--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1789--MA0731.1.BCL6B	chr6	29272518	29272534	+	0.000	0.000	Merged-chr6-29272695-53
NR63--MA0463.1.Bcl6	chr1	87988583	87988596	-	0.000	0.000	Merged-chr1-87988595-7
NR1308--MA0463.1.Bcl6	chr3	37738412	37738425	+	0.000	0.000	Merged-chr3-37738517-40
NR1407--MA0731.1.BCL6B	chr3	132791402	132791418	-	0.000	0.000	Merged-chr3-132791387-40
NR671--MA0463.1.Bcl6	chr14	55604120	55604133	-	0.000	0.000	Merged-chr14-55604128-61
NR443--MA0463.1.Bcl6	chr12	40017000	40017013	+	0.000	0.000	Merged-chr12-40017136-45
NR38--MA0731.1.BCL6B	chr1	69657265	69657281	+	0.000	0.000	Merged-chr1-69657362-23
NR605--MA0731.1.BCL6B	chr13	97208356	97208372	-	0.000	0.000	Merged-chr13-97208359-52
NR1474--MA0463.1.Bcl6	chr4	41295729	41295742	+	0.000	0.000	Merged-chr4-41295781-15
NR586--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR714--MA0731.1.BCL6B	chr14	79331625	79331641	-	0.000	0.000	Merged-chr14-79331457-66
NR2140--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR599--MA0731.1.BCL6B	chr13	90929893	90929909	-	0.000	0.000	Merged-chr13-90930019-46
NR1913--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR2336--MA0463.1.Bcl6	chrX	101222330	101222343	-	0.000	0.000	Merged-chrX-101222420-75
NR313--MA0731.1.BCL6B	chr10	117677622	117677638	-	0.000	0.000	Merged-chr10-117677545-62
NR1931--MA0463.1.Bcl6	chr6	144679130	144679143	+	0.000	0.000	Merged-chr6-144679049-11
NR836--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR422--MA0731.1.BCL6B	chr12	12420963	12420979	+	0.000	0.000	Merged-chr12-12421054-45
NR1018--MA0463.1.Bcl6	chr18	68847832	68847845	+	0.000	0.000	Merged-chr18-68847812-21
NR1488--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1394--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR2238--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR932--MA0463.1.Bcl6	chr17	31789358	31789371	+	0.000	0.000	Merged-chr17-31789470-34
NR2135--MA0463.1.Bcl6	chr8	47533574	47533587	+	0.000	0.000	Merged-chr8-47533612-62
NR2256--MA0463.1.Bcl6	chr9	75441295	75441308	-	0.000	0.000	Merged-chr9-75441511-87
