#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR9337--MA0482.1.Gata4	chr8	104655150	104655160	-	0.000	0.000	Merged-chr8-104655147-42
NR3307--MA0035.3.Gata1	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR3714--MA1104.1.GATA6	chr15	91578250	91578262	-	0.000	0.000	Merged-chr15-91578192-2
NR6160--MA0766.1.GATA5	chr3	68967474	68967481	+	0.000	0.000	Merged-chr3-68967303-47
NR4470--MA0036.3.GATA2	chr17	62784083	62784093	+	0.000	0.000	Merged-chr17-62784192-42
NR7690--MA0140.2.GATA1::TAL1	chr5	112271066	112271083	+	0.000	0.000	Merged-chr5-112271148-61
NR8363--MA0766.1.GATA5	chr6	129533346	129533353	+	0.000	0.000	Merged-chr6-129533355-94
NR997--MA0036.3.GATA2	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR5232--MA1104.1.GATA6	chr2	38321310	38321322	-	0.000	0.000	Merged-chr2-38321185-25
NR5205--MA0035.3.Gata1	chr2	22721880	22721890	+	0.000	0.000	Merged-chr2-22721936-56
NR9412--MA0482.1.Gata4	chr8	124520720	124520730	+	0.000	0.000	Merged-chr8-124520851-52
NR4865--MA0482.1.Gata4	chr18	62072967	62072977	+	0.000	0.000	Merged-chr18-62072861-2
NR5499--MA0036.3.GATA2	chr2	109608255	109608265	-	0.000	0.000	Merged-chr2-109608122-1
NR6540--MA0766.1.GATA5	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR9597--MA0766.1.GATA5	chr9	53271837	53271844	-	0.000	0.000	Merged-chr9-53271662-13
NR5043--MA0035.3.Gata1	chr19	27967751	27967761	+	0.000	0.000	Merged-chr19-27967760-35
NR6833--MA1104.1.GATA6	chr4	53384820	53384832	-	0.000	0.000	Merged-chr4-53384912-31
NR2423--MA0482.1.Gata4	chr13	8457034	8457044	+	0.000	0.000	Merged-chr13-8457184-81
NR8985--MA0036.3.GATA2	chr7	125472208	125472218	+	0.000	0.000	Merged-chr7-125472313-74
NR2598--MA0036.3.GATA2	chr13	61996742	61996752	+	0.000	0.000	Merged-chr13-61996796-15
NR1760--MA0140.2.GATA1::TAL1	chr11	106430725	106430742	+	0.000	0.000	Merged-chr11-106430638-37
NR7401--MA1104.1.GATA6	chr5	29200061	29200073	-	0.000	0.000	Merged-chr5-29200032-4
NR6118--MA0037.3.GATA3	chr3	60954285	60954292	+	0.000	0.000	Merged-chr3-60954370-10
NR724--MA0036.3.GATA2	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR1138--MA0036.3.GATA2	chr10	69168673	69168683	+	0.000	0.000	Merged-chr10-69168741-15
NR6885--MA0140.2.GATA1::TAL1	chr4	63049721	63049738	-	0.000	0.000	Merged-chr4-63049665-7
NR577--MA0482.1.Gata4	chr1	136601112	136601122	+	0.000	0.000	Merged-chr1-136600909-41
NR4573--MA0482.1.Gata4	chr17	86038315	86038325	+	0.000	0.000	Merged-chr17-86038391-20
NR9396--MA0035.3.Gata1	chr8	117801964	117801974	-	0.000	0.000	Merged-chr8-117802067-74
NR5192--MA1104.1.GATA6	chr2	20969346	20969358	+	0.000	0.000	Merged-chr2-20969092-180
NR5555--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR6657--MA0035.3.Gata1	chr4	9185020	9185030	-	0.000	0.000	Merged-chr4-9185047-5
NR2545--MA0482.1.Gata4	chr13	41097617	41097627	-	0.000	0.000	Merged-chr13-41097728-40
NR4351--MA0140.2.GATA1::TAL1	chr17	25258005	25258022	-	0.000	0.000	Merged-chr17-25258027-50
NR3164--MA1104.1.GATA6	chr14	60118303	60118315	-	0.000	0.000	Merged-chr14-60118138-14
NR6514--MA0035.3.Gata1	chr3	142560550	142560560	+	0.000	0.000	Merged-chr3-142560586-84
NR272--MA0482.1.Gata4	chr1	69331722	69331732	-	0.000	0.000	Merged-chr1-69331775-34
NR1783--MA0140.2.GATA1::TAL1	chr11	116782937	116782954	+	0.000	0.000	Merged-chr11-116782885-34
NR3544--MA1104.1.GATA6	chr15	36440112	36440124	+	0.000	0.000	Merged-chr15-36440213-15
NR6352--MA0035.3.Gata1	chr3	121343372	121343382	+	0.000	0.000	Merged-chr3-121343370-11
NR2301--MA0766.1.GATA5	chr12	107362207	107362214	+	0.000	0.000	Merged-chr12-107362270-34
NR6774--MA0036.3.GATA2	chr4	33110181	33110191	+	0.000	0.000	Merged-chr4-33110299-20
NR5035--MA0035.3.Gata1	chr19	14668654	14668664	-	0.000	0.000	Merged-chr19-14668781-26
NR699--MA0482.1.Gata4	chr1	161670986	161670996	-	0.000	0.000	Merged-chr1-161671075-50
NR2272--MA0036.3.GATA2	chr12	99544690	99544700	-	0.000	0.000	Merged-chr12-99544732-47
NR2553--MA0766.1.GATA5	chr13	41948368	41948375	+	0.000	0.000	Merged-chr13-41948463-1
NR6360--MA0036.3.GATA2	chr3	121444111	121444121	+	0.000	0.000	Merged-chr3-121444097-11
NR617--MA0766.1.GATA5	chr1	143202926	143202933	+	0.000	0.000	Merged-chr1-143203062-8
NR8639--MA0766.1.GATA5	chr7	24451980	24451987	+	0.000	0.000	Merged-chr7-24452185-33
NR2548--MA0035.3.Gata1	chr13	41097618	41097628	-	0.000	0.000	Merged-chr13-41097728-40
NR8219--MA0140.2.GATA1::TAL1	chr6	99309688	99309705	-	0.000	0.000	Merged-chr6-99309583-50
NR4802--MA0140.2.GATA1::TAL1	chr18	53937578	53937595	+	0.000	0.000	Merged-chr18-53937531-41
NR2314--MA0766.1.GATA5	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR6121--MA0036.3.GATA2	chr3	60954283	60954293	-	0.000	0.000	Merged-chr3-60954370-10
NR1877--MA0037.3.GATA3	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR3758--MA0482.1.Gata4	chr15	100750372	100750382	+	0.000	0.000	Merged-chr15-100750259-57
NR9705--MA1104.1.GATA6	chr9	86579813	86579825	-	0.000	0.000	Merged-chr9-86579809-9
NR6511--MA0766.1.GATA5	chr3	142356729	142356736	+	0.000	0.000	Merged-chr3-142356734-49
NR155--MA0482.1.Gata4	chr1	39895767	39895777	+	0.000	0.000	Merged-chr1-39895697-26
NR8117--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR8914--MA0035.3.Gata1	chr7	110265935	110265945	-	0.000	0.000	Merged-chr7-110265938-33
NR4412--MA0035.3.Gata1	chr17	42782411	42782421	-	0.000	0.000	Merged-chr17-42782364-40
NR668--MA0035.3.Gata1	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR931--MA0140.2.GATA1::TAL1	chr10	19122283	19122300	+	0.000	0.000	Merged-chr10-19122454-26
NR3009--MA0482.1.Gata4	chr14	16164717	16164727	-	0.000	0.000	Merged-chr14-16164885-8
NR8818--MA0035.3.Gata1	chr7	78865892	78865902	+	0.000	0.000	Merged-chr7-78865782-5
NR6201--MA0035.3.Gata1	chr3	81102400	81102410	+	0.000	0.000	Merged-chr3-81102418-9
NR8907--MA0140.2.GATA1::TAL1	chr7	109218345	109218362	-	0.000	0.000	Merged-chr7-109218313-44
NR4866--MA1104.1.GATA6	chr18	62072965	62072977	-	0.000	0.000	Merged-chr18-62072861-2
NR390--MA1104.1.GATA6	chr1	94035511	94035523	-	0.000	0.000	Merged-chr1-94035484-87
NR3645--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR8361--MA0482.1.Gata4	chr6	129533343	129533353	-	0.000	0.000	Merged-chr6-129533355-94
NR979--MA1104.1.GATA6	chr10	28674110	28674122	+	0.000	0.000	Merged-chr10-28674060-27
NR928--MA0482.1.Gata4	chr10	19122265	19122275	+	0.000	0.000	Merged-chr10-19122454-26
NR1276--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR3483--MA0037.3.GATA3	chr15	19857647	19857654	-	0.000	0.000	Merged-chr15-19857574-17
NR8935--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR718--MA0766.1.GATA5	chr1	164494819	164494826	+	0.000	0.000	Merged-chr1-164494906-11
NR4172--MA0766.1.GATA5	chr16	91448309	91448316	+	0.000	0.000	Merged-chr16-91448282-13
NR7567--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR1660--MA0037.3.GATA3	chr11	66906111	66906118	+	0.000	0.000	Merged-chr11-66906049-23
NR6365--MA0036.3.GATA2	chr3	122419824	122419834	-	0.000	0.000	Merged-chr3-122419865-81
NR6350--MA1104.1.GATA6	chr3	121343371	121343383	-	0.000	0.000	Merged-chr3-121343370-11
NR4643--MA0035.3.Gata1	chr18	11913377	11913387	-	0.000	0.000	Merged-chr18-11913705-37
NR1880--MA0036.3.GATA2	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR8916--MA0482.1.Gata4	chr7	110432411	110432421	+	0.000	0.000	Merged-chr7-110432490-32
NR44--MA0140.2.GATA1::TAL1	chr1	10089693	10089710	+	0.000	0.000	Merged-chr1-10089702-15
NR73--MA0037.3.GATA3	chr1	14514553	14514560	+	0.000	0.000	Merged-chr1-14514684-1
NR6162--MA0140.2.GATA1::TAL1	chr3	68967463	68967480	-	0.000	0.000	Merged-chr3-68967303-47
NR2371--MA1104.1.GATA6	chr13	5757295	5757307	+	0.000	0.000	Merged-chr13-5757363-53
