#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR441--MA0508.2.PRDM1	chr11	79993064	79993073	-	0.000	0.000	Merged-chr11-79993076-75
NR92--MA0508.2.PRDM1	chr1	92473989	92473998	-	0.000	0.000	Merged-chr1-92473909-79
NR693--MA0508.2.PRDM1	chr13	85498921	85498930	+	0.000	0.000	Merged-chr13-85498931-37
NR1466--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR380--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR651--MA0508.2.PRDM1	chr13	48978073	48978082	+	0.000	0.000	Merged-chr13-48978131-34
NR1336--MA0508.2.PRDM1	chr19	6869645	6869654	+	0.000	0.000	Merged-chr19-6869528-29
NR303--MA0508.2.PRDM1	chr10	59897143	59897152	-	0.000	0.000	Merged-chr10-59896998-59
NR1174--MA0508.2.PRDM1	chr17	50678358	50678367	-	0.000	0.000	Merged-chr17-50678198-44
NR1697--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR664--MA0508.2.PRDM1	chr13	63886566	63886575	+	0.000	0.000	Merged-chr13-63886405-114
NR250--MA0508.2.PRDM1	chr10	19530182	19530191	-	0.000	0.000	Merged-chr10-19530154-52
NR1206--MA0508.2.PRDM1	chr17	79043560	79043569	+	0.000	0.000	Merged-chr17-79043687-7
NR372--MA0508.2.PRDM1	chr10	107869222	107869231	-	0.000	0.000	Merged-chr10-107868994-49
NR709--MA0508.2.PRDM1	chr13	89634217	89634226	-	0.000	0.000	Merged-chr13-89634283-22
NR1057--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR1437--MA0508.2.PRDM1	chr2	49773281	49773290	-	0.000	0.000	Merged-chr2-49773140-2
NR133--MA0508.2.PRDM1	chr1	136398254	136398263	+	0.000	0.000	Merged-chr1-136398256-13
NR799--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR404--MA0508.2.PRDM1	chr11	4804243	4804252	+	0.000	0.000	Merged-chr11-4804243-58
NR656--MA0508.2.PRDM1	chr13	51115870	51115879	-	0.000	0.000	Merged-chr13-51115960-42
NR255--MA0508.2.PRDM1	chr10	22148954	22148963	-	0.000	0.000	Merged-chr10-22148932-76
NR1145--MA0508.2.PRDM1	chr17	28007329	28007338	+	0.000	0.000	Merged-chr17-28007418-17
NR2571--MA0508.2.PRDM1	chr8	111595747	111595756	-	0.000	0.000	Merged-chr8-111595874-65
NR1015--MA0508.2.PRDM1	chr16	10690479	10690488	-	0.000	0.000	Merged-chr16-10690218-33
NR377--MA0508.2.PRDM1	chr10	111100282	111100291	+	0.000	0.000	Merged-chr10-111100246-10
NR648--MA0508.2.PRDM1	chr13	45907109	45907118	+	0.000	0.000	Merged-chr13-45907051-110
NR2693--MA0508.2.PRDM1	chr9	120582695	120582704	+	0.000	0.000	Merged-chr9-120582751-83
NR2550--MA0508.2.PRDM1	chr8	83740299	83740308	-	0.000	0.000	Merged-chr8-83740218-49
NR1028--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR2311--MA0508.2.PRDM1	chr6	120077187	120077196	+	0.000	0.000	Merged-chr6-120077232-23
NR181--MA0508.2.PRDM1	chr1	165705877	165705886	+	0.000	0.000	Merged-chr1-165706080-46
NR452--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR2563--MA0508.2.PRDM1	chr8	94413698	94413707	+	0.000	0.000	Merged-chr8-94413719-53
NR2420--MA0508.2.PRDM1	chr7	66210154	66210163	-	0.000	0.000	Merged-chr7-66210167-22
NR26--MA0508.2.PRDM1	chr1	21960481	21960490	+	0.000	0.000	Merged-chr1-21960580-1
NR2672--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR2162--MA0508.2.PRDM1	chr5	112283286	112283295	-	0.000	0.000	Merged-chr5-112283317-2
NR2433--MA0508.2.PRDM1	chr7	80918284	80918293	+	0.000	0.000	Merged-chr7-80918248-31
NR574--MA0508.2.PRDM1	chr12	107734619	107734628	+	0.000	0.000	Merged-chr12-107734744-35
NR1259--MA0508.2.PRDM1	chr18	32560091	32560100	+	0.000	0.000	Merged-chr18-32559945-41
NR749--MA0508.2.PRDM1	chr13	107568585	107568594	-	0.000	0.000	Merged-chr13-107568405-110
NR2380--MA0508.2.PRDM1	chr7	17030408	17030417	-	0.000	0.000	Merged-chr7-17030434-6
