#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR52455--MA0493.1.Klf1	chr5	139372352	139372362	-	0.000	0.000	Merged-chr5-139372178-54
NR62484--MA0741.1.KLF16	chr8	18846428	18846438	-	0.000	0.000	Merged-chr8-18846559-82
NR14729--MA0599.1.KLF5	chr12	85486139	85486148	-	0.000	0.000	Merged-chr12-85486103-52
NR31653--MA1107.1.KLF9	chr18	73745214	73745226	-	0.000	0.000	Merged-chr18-73745138-6
NR37288--MA1107.1.KLF9	chr2	118728630	118728642	+	0.000	0.000	Merged-chr2-118728493-40
NR49248--MA0493.1.Klf1	chr5	36945268	36945278	-	0.000	0.000	Merged-chr5-36945334-10
NR11804--MA0599.1.KLF5	chr11	97999427	97999436	+	0.000	0.000	Merged-chr11-97999442-46
NR28107--MA0599.1.KLF5	chr17	33817671	33817680	+	0.000	0.000	Merged-chr17-33817699-57
NR49168--MA0599.1.KLF5	chr5	35757888	35757897	-	0.000	0.000	Merged-chr5-35757894-103
NR41214--MA0493.1.Klf1	chr3	88142222	88142232	-	0.000	0.000	Merged-chr3-88142158-111
NR49949--MA0741.1.KLF16	chr5	77165863	77165873	+	0.000	0.000	Merged-chr5-77165715-4
NR54965--MA0742.1.Klf12	chr6	91515909	91515923	+	0.000	0.000	Merged-chr6-91515827-72
NR57802--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR35360--MA0599.1.KLF5	chr2	33371146	33371155	+	0.000	0.000	Merged-chr2-33371227-82
NR60204--MA0741.1.KLF16	chr7	100493268	100493278	-	0.000	0.000	Merged-chr7-100493381-84
NR9398--MA0742.1.Klf12	chr11	26387473	26387487	-	0.000	0.000	Merged-chr11-26387349-56
NR58250--MA0741.1.KLF16	chr7	25238266	25238276	+	0.000	0.000	Merged-chr7-25238227-126
NR55778--MA0740.1.KLF14	chr6	119451004	119451017	+	0.000	0.000	Merged-chr6-119451010-23
NR63434--MA0740.1.KLF14	chr8	71367448	71367461	+	0.000	0.000	Merged-chr8-71367350-68
NR37591--MA0742.1.Klf12	chr2	127304896	127304910	+	0.000	0.000	Merged-chr2-127304764-20
NR13737--MA0493.1.Klf1	chr12	28649570	28649580	+	0.000	0.000	Merged-chr12-28649710-52
NR34798--MA0493.1.Klf1	chr2	24385320	24385330	+	0.000	0.000	Merged-chr2-24385282-51
NR8883--MA0741.1.KLF16	chr10	128744929	128744939	+	0.000	0.000	Merged-chr10-128744953-65
NR16447--MA0493.1.Klf1	chr13	24786311	24786321	+	0.000	0.000	Merged-chr13-24786227-53
NR64021--MA0599.1.KLF5	chr8	88771394	88771403	-	0.000	0.000	Merged-chr8-88771445-24
NR9641--MA1107.1.KLF9	chr11	48788070	48788082	+	0.000	0.000	Merged-chr11-48788226-76
NR20896--MA0741.1.KLF16	chr14	75131076	75131086	+	0.000	0.000	Merged-chr14-75131133-67
NR13657--MA0599.1.KLF5	chr12	24652139	24652148	-	0.000	0.000	Merged-chr12-24652044-2
NR41150--MA0741.1.KLF16	chr3	84547460	84547470	+	0.000	0.000	Merged-chr3-84547360-14
NR6484--MA0493.1.Klf1	chr10	77624635	77624645	-	0.000	0.000	Merged-chr10-77624666-9
NR39324--MA0039.3.KLF4	chr2	167680327	167680337	-	0.000	0.000	Merged-chr2-167680290-50
NR6998--MA0741.1.KLF16	chr10	81525291	81525301	+	0.000	0.000	Merged-chr10-81525209-7
NR59471--MA0741.1.KLF16	chr7	72349957	72349967	+	0.000	0.000	Merged-chr7-72350151-23
NR6603--MA0741.1.KLF16	chr10	79767155	79767165	-	0.000	0.000	Merged-chr10-79767054-76
NR64958--MA0741.1.KLF16	chr8	120532561	120532571	-	0.000	0.000	Merged-chr8-120532679-9
NR41216--MA0741.1.KLF16	chr3	88142246	88142256	-	0.000	0.000	Merged-chr3-88142158-111
NR10284--MA0742.1.Klf12	chr11	63985077	63985091	+	0.000	0.000	Merged-chr11-63985076-118
NR43904--MA0742.1.Klf12	chr3	154628466	154628480	+	0.000	0.000	Merged-chr3-154628476-23
NR54680--MA0599.1.KLF5	chr6	83326289	83326298	-	0.000	0.000	Merged-chr6-83326116-65
NR31680--MA0742.1.Klf12	chr18	74294917	74294931	+	0.000	0.000	Merged-chr18-74294799-40
NR7043--MA0741.1.KLF16	chr10	82812047	82812057	+	0.000	0.000	Merged-chr10-82812084-42
NR22932--MA1107.1.KLF9	chr15	67145604	67145616	-	0.000	0.000	Merged-chr15-67145484-28
NR61790--MA0599.1.KLF5	chr7	139295887	139295896	-	0.000	0.000	Merged-chr7-139295944-32
NR9781--MA0599.1.KLF5	chr11	51856456	51856465	+	0.000	0.000	Merged-chr11-51856279-106
NR37648--MA0741.1.KLF16	chr2	128403377	128403387	+	0.000	0.000	Merged-chr2-128403401-18
NR54661--MA1107.1.KLF9	chr6	83054595	83054607	+	0.000	0.000	Merged-chr6-83054471-91
NR32559--MA0740.1.KLF14	chr19	4294519	4294532	+	0.000	0.000	Merged-chr19-4294616-52
NR53893--MA0039.3.KLF4	chr6	40325572	40325582	-	0.000	0.000	Merged-chr6-40325371-77
NR47450--MA0742.1.Klf12	chr4	141099176	141099190	+	0.000	0.000	Merged-chr4-141099118-11
NR8211--MA1107.1.KLF9	chr10	117784736	117784748	+	0.000	0.000	Merged-chr10-117784888-21
NR12226--MA0741.1.KLF16	chr11	103412734	103412744	+	0.000	0.000	Merged-chr11-103412657-68
NR66224--MA0741.1.KLF16	chr9	44379433	44379443	-	0.000	0.000	Merged-chr9-44379436-63
NR35409--MA0493.1.Klf1	chr2	34904928	34904938	+	0.000	0.000	Merged-chr2-34905139-61
NR3175--MA0740.1.KLF14	chr1	164966171	164966184	+	0.000	0.000	Merged-chr1-164966286-53
NR52468--MA1107.1.KLF9	chr5	139377609	139377621	-	0.000	0.000	Merged-chr5-139377554-24
NR25187--MA0740.1.KLF14	chr16	22265996	22266009	+	0.000	0.000	Merged-chr16-22266085-1
NR49741--MA0599.1.KLF5	chr5	72948229	72948238	-	0.000	0.000	Merged-chr5-72948182-5
NR10546--MA0741.1.KLF16	chr11	70654716	70654726	+	0.000	0.000	Merged-chr11-70654589-122
NR10177--MA0599.1.KLF5	chr11	60931878	60931887	-	0.000	0.000	Merged-chr11-60932010-53
NR40916--MA1107.1.KLF9	chr3	68784294	68784306	-	0.000	0.000	Merged-chr3-68784168-43
NR3308--MA1107.1.KLF9	chr1	167339538	167339550	-	0.000	0.000	Merged-chr1-167339598-12
NR1766--MA0740.1.KLF14	chr1	106714611	106714624	-	0.000	0.000	Merged-chr1-106714804-1
NR58010--MA0599.1.KLF5	chr7	19332845	19332854	-	0.000	0.000	Merged-chr7-19332998-44
NR35453--MA1107.1.KLF9	chr2	35411651	35411663	+	0.000	0.000	Merged-chr2-35411645-5
NR36665--MA0599.1.KLF5	chr2	92464878	92464887	+	0.000	0.000	Merged-chr2-92464936-24
NR47170--MA0741.1.KLF16	chr4	135963685	135963695	-	0.000	0.000	Merged-chr4-135963723-59
NR65970--MA0741.1.KLF16	chr9	32518407	32518417	-	0.000	0.000	Merged-chr9-32518523-33
NR43169--MA0039.3.KLF4	chr3	137969322	137969332	+	0.000	0.000	Merged-chr3-137969157-49
NR60042--MA0741.1.KLF16	chr7	97355236	97355246	-	0.000	0.000	Merged-chr7-97355237-14
NR59622--MA0039.3.KLF4	chr7	79363684	79363694	-	0.000	0.000	Merged-chr7-79363578-43
NR6586--MA0039.3.KLF4	chr10	79692124	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR60313--MA0741.1.KLF16	chr7	102210348	102210358	-	0.000	0.000	Merged-chr7-102210325-100
NR32892--MA0741.1.KLF16	chr19	9982609	9982619	-	0.000	0.000	Merged-chr19-9982830-75
NR65223--MA0740.1.KLF14	chr8	123859549	123859562	-	0.000	0.000	Merged-chr8-123859431-119
NR65406--MA0493.1.Klf1	chr8	126614509	126614519	-	0.000	0.000	Merged-chr8-126614626-35
NR12786--MA0493.1.Klf1	chr11	115514425	115514435	+	0.000	0.000	Merged-chr11-115514258-56
NR28698--MA0599.1.KLF5	chr17	47542187	47542196	+	0.000	0.000	Merged-chr17-47542240-31
NR32071--MA0039.3.KLF4	chr18	81429992	81430002	-	0.000	0.000	Merged-chr18-81430139-51
NR35554--MA0741.1.KLF16	chr2	43737911	43737921	-	0.000	0.000	Merged-chr2-43737811-44
NR58993--MA0740.1.KLF14	chr7	45510418	45510431	+	0.000	0.000	Merged-chr7-45510367-63
NR66952--MA0741.1.KLF16	chr9	66158205	66158215	+	0.000	0.000	Merged-chr9-66158396-48
NR35078--MA0741.1.KLF16	chr2	29102778	29102788	-	0.000	0.000	Merged-chr2-29102866-17
NR765--MA0741.1.KLF16	chr1	55436003	55436013	+	0.000	0.000	Merged-chr1-55435941-9
NR17388--MA0740.1.KLF14	chr13	64161742	64161755	-	0.000	0.000	Merged-chr13-64161873-63
NR34042--MA0599.1.KLF5	chr19	55643734	55643743	+	0.000	0.000	Merged-chr19-55643563-56
NR68160--MA1107.1.KLF9	chr9	103449317	103449329	-	0.000	0.000	Merged-chr9-103449335-34
NR32883--MA0599.1.KLF5	chr19	9082560	9082569	+	0.000	0.000	Merged-chr19-9082647-26
NR59533--MA1107.1.KLF9	chr7	75416010	75416022	+	0.000	0.000	Merged-chr7-75416159-31
NR49186--MA0599.1.KLF5	chr5	35795648	35795657	-	0.000	0.000	Merged-chr5-35795527-25
NR68366--MA1107.1.KLF9	chr9	107333775	107333787	+	0.000	0.000	Merged-chr9-107333760-1
NR35799--MA0599.1.KLF5	chr2	57117661	57117670	+	0.000	0.000	Merged-chr2-57117653-11
NR41152--MA0599.1.KLF5	chr3	84619257	84619266	+	0.000	0.000	Merged-chr3-84619287-9
NR52243--MA0741.1.KLF16	chr5	136147189	136147199	+	0.000	0.000	Merged-chr5-136147048-39
NR2446--MA0039.3.KLF4	chr1	138584762	138584772	+	0.000	0.000	Merged-chr1-138584849-31
NR16837--MA0741.1.KLF16	chr13	45389696	45389706	-	0.000	0.000	Merged-chr13-45389737-64
NR16465--MA0493.1.Klf1	chr13	24965646	24965656	-	0.000	0.000	Merged-chr13-24965743-47
NR54200--MA1107.1.KLF9	chr6	52640544	52640556	-	0.000	0.000	Merged-chr6-52640387-58
NR39708--MA0741.1.KLF16	chr2	174533127	174533137	+	0.000	0.000	Merged-chr2-174532982-23
NR68884--MA0741.1.KLF16	chr9	116369142	116369152	-	0.000	0.000	Merged-chr9-116369265-54
NR35565--MA1107.1.KLF9	chr2	43737939	43737951	-	0.000	0.000	Merged-chr2-43737811-44
NR25894--MA0599.1.KLF5	chr16	64800628	64800637	-	0.000	0.000	Merged-chr16-64800516-42
NR12335--MA0741.1.KLF16	chr11	106057117	106057127	-	0.000	0.000	Merged-chr11-106057103-42
NR45126--MA0493.1.Klf1	chr4	59035536	59035546	-	0.000	0.000	Merged-chr4-59035352-69
NR60552--MA0493.1.Klf1	chr7	110203788	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR22489--MA1107.1.KLF9	chr15	43282854	43282866	-	0.000	0.000	Merged-chr15-43282649-75
NR34163--MA0599.1.KLF5	chr19	57327839	57327848	-	0.000	0.000	Merged-chr19-57327761-18
NR42121--MA0599.1.KLF5	chr3	108210516	108210525	+	0.000	0.000	Merged-chr3-108210619-89
NR14939--MA0493.1.Klf1	chr12	91684570	91684580	-	0.000	0.000	Merged-chr12-91684536-24
