#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR44497--MA0493.1.Klf1	chr4	41507055	41507065	-	0.000	0.000	Merged-chr4-41507096-33
NR33308--MA0741.1.KLF16	chr19	31337343	31337353	-	0.000	0.000	Merged-chr19-31337298-1
NR10134--MA0740.1.KLF14	chr11	60222930	60222943	-	0.000	0.000	Merged-chr11-60222972-52
NR14729--MA0599.1.KLF5	chr12	85486139	85486148	-	0.000	0.000	Merged-chr12-85486103-52
NR46372--MA0742.1.Klf12	chr4	119733752	119733766	-	0.000	0.000	Merged-chr4-119733692-69
NR34024--MA0599.1.KLF5	chr19	55062151	55062160	+	0.000	0.000	Merged-chr19-55062253-32
NR49248--MA0493.1.Klf1	chr5	36945268	36945278	-	0.000	0.000	Merged-chr5-36945334-10
NR49012--MA0741.1.KLF16	chr5	32192287	32192297	-	0.000	0.000	Merged-chr5-32192251-27
NR28107--MA0599.1.KLF5	chr17	33817671	33817680	+	0.000	0.000	Merged-chr17-33817699-57
NR49168--MA0599.1.KLF5	chr5	35757888	35757897	-	0.000	0.000	Merged-chr5-35757894-103
NR34587--MA0740.1.KLF14	chr2	12923944	12923957	-	0.000	0.000	Merged-chr2-12924162-70
NR57802--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR50770--MA0740.1.KLF14	chr5	110101286	110101299	+	0.000	0.000	Merged-chr5-110101482-63
NR60204--MA0741.1.KLF16	chr7	100493268	100493278	-	0.000	0.000	Merged-chr7-100493381-84
NR9398--MA0742.1.Klf12	chr11	26387473	26387487	-	0.000	0.000	Merged-chr11-26387349-56
NR25279--MA0039.3.KLF4	chr16	29978020	29978030	-	0.000	0.000	Merged-chr16-29977874-22
NR55778--MA0740.1.KLF14	chr6	119451004	119451017	+	0.000	0.000	Merged-chr6-119451010-23
NR52143--MA0742.1.Klf12	chr5	135669956	135669970	+	0.000	0.000	Merged-chr5-135669926-12
NR63434--MA0740.1.KLF14	chr8	71367448	71367461	+	0.000	0.000	Merged-chr8-71367350-68
NR13737--MA0493.1.Klf1	chr12	28649570	28649580	+	0.000	0.000	Merged-chr12-28649710-52
NR57107--MA1107.1.KLF9	chr6	144664961	144664973	+	0.000	0.000	Merged-chr6-144664964-20
