#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR376--MA0463.1.Bcl6	chr11	120800108	120800121	+	0.000	0.000	Merged-chr11-120800256-20
NR1794--MA0731.1.BCL6B	chr9	114582234	114582250	-	0.000	0.000	Merged-chr9-114582440-2
NR1707--MA0463.1.Bcl6	chr8	116439348	116439361	+	0.000	0.000	Merged-chr8-116439156-33
NR269--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR1425--MA0731.1.BCL6B	chr6	29474015	29474031	-	0.000	0.000	Merged-chr6-29474137-48
NR184--MA0463.1.Bcl6	chr10	37207156	37207169	+	0.000	0.000	Merged-chr10-37207171-14
NR992--MA0731.1.BCL6B	chr2	115759235	115759251	+	0.000	0.000	Merged-chr2-115759129-1
NR1534--MA0731.1.BCL6B	chr7	3410200	3410216	-	0.000	0.000	Merged-chr7-3410111-7
NR1506--MA0463.1.Bcl6	chr6	129366053	129366066	+	0.000	0.000	Merged-chr6-129366136-25
NR1627--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR744--MA0463.1.Bcl6	chr17	8244736	8244749	-	0.000	0.000	Merged-chr17-8244871-10
NR1547--MA0731.1.BCL6B	chr7	27196245	27196261	+	0.000	0.000	Merged-chr7-27196117-84
NR1398--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR1672--MA0463.1.Bcl6	chr8	72343924	72343937	-	0.000	0.000	Merged-chr8-72343901-44
NR570--MA0731.1.BCL6B	chr14	63130876	63130892	+	0.000	0.000	Merged-chr14-63130838-17
NR1426--MA0463.1.Bcl6	chr6	29853593	29853606	-	0.000	0.000	Merged-chr6-29853688-66
NR1778--MA0731.1.BCL6B	chr9	98979824	98979840	-	0.000	0.000	Merged-chr9-98979931-56
NR1444--MA0463.1.Bcl6	chr6	57824225	57824238	-	0.000	0.000	Merged-chr6-57824083-13
NR711--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR1377--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR1695--MA0463.1.Bcl6	chr8	104591472	104591485	-	0.000	0.000	Merged-chr8-104591477-51
NR310--MA0731.1.BCL6B	chr11	68199611	68199627	+	0.000	0.000	Merged-chr11-68199450-69
NR976--MA0731.1.BCL6B	chr2	91537930	91537946	-	0.000	0.000	Merged-chr2-91537835-43
NR1140--MA0463.1.Bcl6	chr3	115888037	115888050	+	0.000	0.000	Merged-chr3-115888038-82
NR1346--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR678--MA0463.1.Bcl6	chr16	22548486	22548499	+	0.000	0.000	Merged-chr16-22548400-52
NR1213--MA0731.1.BCL6B	chr4	46689552	46689568	+	0.000	0.000	Merged-chr4-46689596-22
NR1008--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR338--MA0463.1.Bcl6	chr11	94677100	94677113	-	0.000	0.000	Merged-chr11-94677359-58
NR123--MA0463.1.Bcl6	chr1	175672120	175672133	-	0.000	0.000	Merged-chr1-175671979-22
NR793--MA0731.1.BCL6B	chr17	65724222	65724238	-	0.000	0.000	Merged-chr17-65724346-42
NR716--MA0731.1.BCL6B	chr16	76866285	76866301	-	0.000	0.000	Merged-chr16-76866196-31
NR62--MA0731.1.BCL6B	chr1	120033229	120033245	+	0.000	0.000	Merged-chr1-120033205-45
NR1387--MA0463.1.Bcl6	chr5	137770941	137770954	+	0.000	0.000	Merged-chr5-137770863-20
NR1077--MA0731.1.BCL6B	chr3	27314901	27314917	-	0.000	0.000	Merged-chr3-27314931-22
NR1348--MA0731.1.BCL6B	chr5	77130534	77130550	+	0.000	0.000	Merged-chr5-77130540-43
NR392--MA0463.1.Bcl6	chr12	41852146	41852159	-	0.000	0.000	Merged-chr12-41852230-53
NR146--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR1038--MA0463.1.Bcl6	chr2	151968009	151968022	-	0.000	0.000	Merged-chr2-151967993-15
NR947--MA0731.1.BCL6B	chr2	49764785	49764801	-	0.000	0.000	Merged-chr2-49764736-24
NR155--MA0463.1.Bcl6	chr1	189795537	189795550	+	0.000	0.000	Merged-chr1-189795440-7
NR1056--MA0463.1.Bcl6	chr2	162397670	162397683	+	0.000	0.000	Merged-chr2-162397603-1
NR1732--MA0463.1.Bcl6	chr9	14559806	14559819	-	0.000	0.000	Merged-chr9-14559722-16
NR913--MA0731.1.BCL6B	chr2	15049399	15049415	+	0.000	0.000	Merged-chr2-15049301-58
NR403--MA0731.1.BCL6B	chr12	76190937	76190953	+	0.000	0.000	Merged-chr12-76191112-17
NR500--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR1616--MA0463.1.Bcl6	chr7	118135826	118135839	-	0.000	0.000	Merged-chr7-118135744-21
NR512--MA0731.1.BCL6B	chr13	97208356	97208372	-	0.000	0.000	Merged-chr13-97208359-52
NR493--MA0731.1.BCL6B	chr13	73772828	73772844	+	0.000	0.000	Merged-chr13-73772920-55
NR416--MA0731.1.BCL6B	chr12	86082553	86082569	+	0.000	0.000	Merged-chr12-86082692-8
NR1558--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR863--MA0463.1.Bcl6	chr19	5743829	5743842	+	0.000	0.000	Merged-chr19-5743763-3
NR1406--MA0463.1.Bcl6	chr5	146897063	146897076	+	0.000	0.000	Merged-chr5-146897155-34
NR1442--MA0463.1.Bcl6	chr6	54127518	54127531	+	0.000	0.000	Merged-chr6-54127507-32
NR1460--MA0463.1.Bcl6	chr6	91706271	91706284	-	0.000	0.000	Merged-chr6-91706219-53
NR180--MA0731.1.BCL6B	chr10	25185441	25185457	-	0.000	0.000	Merged-chr10-25185355-12
NR517--MA0731.1.BCL6B	chr13	102708557	102708573	+	0.000	0.000	Merged-chr13-102708794-10
NR1388--MA0731.1.BCL6B	chr5	138264029	138264045	-	0.000	0.000	Merged-chr5-138263904-55
NR225--MA0731.1.BCL6B	chr10	86021938	86021954	-	0.000	0.000	Merged-chr10-86022093-75
NR1096--MA0731.1.BCL6B	chr3	66981463	66981479	+	0.000	0.000	Merged-chr3-66981448-51
NR1128--MA0731.1.BCL6B	chr3	104818059	104818075	+	0.000	0.000	Merged-chr3-104818098-119
NR900--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR618--MA0731.1.BCL6B	chr15	38122933	38122949	+	0.000	0.000	Merged-chr15-38122880-9
NR204--MA0731.1.BCL6B	chr10	68443232	68443248	+	0.000	0.000	Merged-chr10-68443235-30
