#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR3898--MA0501.1.MAF::NFE2	chr14	68044961	68044975	-	0.000	0.000	Merged-chr14-68044800-35
NR11666--MA0501.1.MAF::NFE2	chr8	25256137	25256151	-	0.000	0.000	Merged-chr8-25256219-29
NR7633--MA0496.2.MAFK	chr3	19707143	19707161	+	0.000	0.000	Merged-chr3-19706982-40
NR9139--MA0117.2.Mafb	chr4	154981739	154981750	-	0.000	0.000	Merged-chr4-154981680-18
NR4700--MA0591.1.Bach1::Mafk	chr16	22807899	22807913	-	0.000	0.000	Merged-chr16-22807821-35
NR4679--MA0591.1.Bach1::Mafk	chr16	18377405	18377419	+	0.000	0.000	Merged-chr16-18377300-20
NR8031--MA0089.1.MAFG::NFE2L1	chr3	116751425	116751430	+	0.000	0.000	Merged-chr3-116751371-23
NR2620--MA0089.1.MAFG::NFE2L1	chr12	73755706	73755711	-	0.000	0.000	Merged-chr12-73755850-33
NR5010--MA0496.2.MAFK	chr16	89835838	89835856	+	0.000	0.000	Merged-chr16-89835915-50
NR1190--MA0591.1.Bach1::Mafk	chr10	19691915	19691929	-	0.000	0.000	Merged-chr10-19692123-35
NR1--MA0089.1.MAFG::NFE2L1	chr1	4785675	4785680	+	0.000	0.000	Merged-chr1-4785759-53
NR8737--MA0089.1.MAFG::NFE2L1	chr4	102955809	102955814	-	0.000	0.000	Merged-chr4-102955684-33
NR2009--MA0501.1.MAF::NFE2	chr11	62280809	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR6087--MA0089.1.MAFG::NFE2L1	chr19	9939005	9939010	+	0.000	0.000	Merged-chr19-9938920-69
NR1415--MA0089.1.MAFG::NFE2L1	chr10	76531660	76531665	+	0.000	0.000	Merged-chr10-76531480-72
NR11297--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR5889--MA0501.1.MAF::NFE2	chr18	67502760	67502774	-	0.000	0.000	Merged-chr18-67502827-16
NR8955--MA0591.1.Bach1::Mafk	chr4	134924602	134924616	+	0.000	0.000	Merged-chr4-134924520-27
NR6729--MA0501.1.MAF::NFE2	chr2	79062041	79062055	+	0.000	0.000	Merged-chr2-79062091-23
NR10082--MA0591.1.Bach1::Mafk	chr6	53704642	53704656	+	0.000	0.000	Merged-chr6-53704558-10
NR10167--MA0591.1.Bach1::Mafk	chr6	70714458	70714472	+	0.000	0.000	Merged-chr6-70714490-34
NR4627--MA0501.1.MAF::NFE2	chr16	8728556	8728570	+	0.000	0.000	Merged-chr16-8728485-34
NR2055--MA0089.1.MAFG::NFE2L1	chr11	72207276	72207281	-	0.000	0.000	Merged-chr11-72207242-88
NR11760--MA0089.1.MAFG::NFE2L1	chr8	68627407	68627412	+	0.000	0.000	Merged-chr8-68627437-32
NR417--MA0496.2.MAFK	chr1	94497026	94497044	-	0.000	0.000	Merged-chr1-94497080-23
NR10617--MA0501.1.MAF::NFE2	chr6	134425309	134425323	+	0.000	0.000	Merged-chr6-134425334-10
NR7619--MA0089.1.MAFG::NFE2L1	chr3	14667334	14667339	-	0.000	0.000	Merged-chr3-14667308-20
NR11599--MA0089.1.MAFG::NFE2L1	chr8	3467455	3467460	-	0.000	0.000	Merged-chr8-3467584-41
NR10179--MA0089.1.MAFG::NFE2L1	chr6	72347334	72347339	-	0.000	0.000	Merged-chr6-72347537-74
NR11975--MA0089.1.MAFG::NFE2L1	chr8	111527429	111527434	-	0.000	0.000	Merged-chr8-111527388-53
NR1226--MA0089.1.MAFG::NFE2L1	chr10	26364423	26364428	-	0.000	0.000	Merged-chr10-26364475-53
NR6078--MA0591.1.Bach1::Mafk	chr19	8997799	8997813	+	0.000	0.000	Merged-chr19-8997882-60
NR6421--MA0591.1.Bach1::Mafk	chr2	18183235	18183249	+	0.000	0.000	Merged-chr2-18183343-9
