#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2300--MA0508.2.PRDM1	chr8	88298238	88298247	-	0.000	0.000	Merged-chr8-88298148-50
NR1126--MA0508.2.PRDM1	chr18	68969006	68969015	+	0.000	0.000	Merged-chr18-68968994-3
NR2390--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR1487--MA0508.2.PRDM1	chr3	96883898	96883907	+	0.000	0.000	Merged-chr3-96883800-5
NR454--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR1867--MA0508.2.PRDM1	chr5	105145829	105145838	+	0.000	0.000	Merged-chr5-105145750-96
NR71--MA0508.2.PRDM1	chr1	92627921	92627930	-	0.000	0.000	Merged-chr1-92627858-2
NR2260--MA0508.2.PRDM1	chr8	36019746	36019755	-	0.000	0.000	Merged-chr8-36019786-19
NR324--MA0508.2.PRDM1	chr10	118110050	118110059	+	0.000	0.000	Merged-chr10-118110099-23
NR1009--MA0508.2.PRDM1	chr17	27017807	27017816	-	0.000	0.000	Merged-chr17-27018034-35
NR1466--MA0508.2.PRDM1	chr3	81339656	81339665	-	0.000	0.000	Merged-chr3-81339811-7
NR433--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR2401--MA0508.2.PRDM1	chr9	68689470	68689479	-	0.000	0.000	Merged-chr9-68689529-21
NR271--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR542--MA0508.2.PRDM1	chr12	107016932	107016941	-	0.000	0.000	Merged-chr12-107016974-8
NR813--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR2382--MA0508.2.PRDM1	chr9	56418587	56418596	-	0.000	0.000	Merged-chr9-56418520-156
NR794--MA0508.2.PRDM1	chr14	79234765	79234774	-	0.000	0.000	Merged-chr14-79234697-12
NR1607--MA0508.2.PRDM1	chr4	14921998	14922007	+	0.000	0.000	Merged-chr4-14922203-28
NR1174--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR2252--MA0508.2.PRDM1	chr8	33892341	33892350	-	0.000	0.000	Merged-chr8-33892285-10
NR935--MA0508.2.PRDM1	chr16	33687788	33687797	-	0.000	0.000	Merged-chr16-33687969-54
NR425--MA0508.2.PRDM1	chr11	97905575	97905584	+	0.000	0.000	Merged-chr11-97905718-19
NR534--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR1219--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR2340--MA0508.2.PRDM1	chr8	128077461	128077470	+	0.000	0.000	Merged-chr8-128077358-1
NR547--MA0508.2.PRDM1	chr12	110381461	110381470	-	0.000	0.000	Merged-chr12-110381552-59
NR1166--MA0508.2.PRDM1	chr19	16172897	16172906	-	0.000	0.000	Merged-chr19-16172957-13
NR1437--MA0508.2.PRDM1	chr3	52523068	52523077	-	0.000	0.000	Merged-chr3-52523173-17
