#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR3198--MA0495.2.MAFF	chr13	49294318	49294338	+	0.000	0.000	Merged-chr13-49294257-17
NR12312--MA0089.1.MAFG::NFE2L1	chr9	45291890	45291895	+	0.000	0.000	Merged-chr9-45291923-45
NR2656--MA0117.2.Mafb	chr12	82268079	82268090	+	0.000	0.000	Merged-chr12-82268056-22
NR9451--MA0089.1.MAFG::NFE2L1	chr5	77367924	77367929	-	0.000	0.000	Merged-chr5-77367800-15
NR9961--MA0495.2.MAFF	chr6	17060329	17060349	-	0.000	0.000	Merged-chr6-17060384-13
NR542--MA0496.2.MAFK	chr1	128386847	128386865	-	0.000	0.000	Merged-chr1-128386740-22
NR92--MA0089.1.MAFG::NFE2L1	chr1	40268725	40268730	+	0.000	0.000	Merged-chr1-40268723-25
NR11466--MA0591.1.Bach1::Mafk	chr7	127181021	127181035	+	0.000	0.000	Merged-chr7-127180997-43
NR5272--MA0591.1.Bach1::Mafk	chr17	32891345	32891359	-	0.000	0.000	Merged-chr17-32891413-48
NR9119--MA0496.2.MAFK	chr4	150894695	150894713	-	0.000	0.000	Merged-chr4-150894695-19
NR5534--MA0089.1.MAFG::NFE2L1	chr17	86123299	86123304	+	0.000	0.000	Merged-chr17-86123282-19
NR3388--MA0089.1.MAFG::NFE2L1	chr13	89668353	89668358	+	0.000	0.000	Merged-chr13-89668210-22
NR10253--MA0089.1.MAFG::NFE2L1	chr6	90583344	90583349	+	0.000	0.000	Merged-chr6-90583387-2
NR356--MA0089.1.MAFG::NFE2L1	chr1	86580623	86580628	+	0.000	0.000	Merged-chr1-86580596-17
NR2922--MA0089.1.MAFG::NFE2L1	chr12	114301973	114301978	+	0.000	0.000	Merged-chr12-114301848-7
