#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1504--MA0684.1.RUNX3	chr11	10276428	10276437	-	0.000	0.000	Merged-chr11-10276392-45
NR3307--MA0002.2.RUNX1	chr14	118700413	118700423	-	0.000	0.000	Merged-chr14-118700236-58
NR5543--MA0511.2.RUNX2	chr2	103659787	103659795	-	0.000	0.000	Merged-chr2-103659777-12
NR9631--MA0511.2.RUNX2	chr9	48357393	48357401	+	0.000	0.000	Merged-chr9-48357343-17
NR5444--MA0002.2.RUNX1	chr2	73463871	73463881	-	0.000	0.000	Merged-chr2-73463969-56
NR10085--MA0002.2.RUNX1	chrX	37141939	37141949	+	0.000	0.000	Merged-chrX-37141960-22
NR4147--MA0684.1.RUNX3	chr17	12165580	12165589	+	0.000	0.000	Merged-chr17-12165459-54
NR5795--MA0511.2.RUNX2	chr2	160746826	160746834	-	0.000	0.000	Merged-chr2-160746776-15
NR9056--MA0002.2.RUNX1	chr7	140321276	140321286	+	0.000	0.000	Merged-chr7-140321203-63
NR2910--MA0002.2.RUNX1	chr13	117051611	117051621	-	0.000	0.000	Merged-chr13-117051602-40
NR9883--MA0511.2.RUNX2	chr9	98339863	98339871	+	0.000	0.000	Merged-chr9-98339700-17
NR3688--MA0684.1.RUNX3	chr15	97455659	97455668	+	0.000	0.000	Merged-chr15-97455795-23
NR1071--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR575--MA0002.2.RUNX1	chr1	155476448	155476458	+	0.000	0.000	Merged-chr1-155476472-40
NR5381--MA0511.2.RUNX2	chr2	61514185	61514193	-	0.000	0.000	Merged-chr2-61514287-58
NR3972--MA0511.2.RUNX2	chr16	70326814	70326822	-	0.000	0.000	Merged-chr16-70326807-66
NR9784--MA0002.2.RUNX1	chr9	80754779	80754789	+	0.000	0.000	Merged-chr9-80754738-24
NR3496--MA0511.2.RUNX2	chr15	52928624	52928632	+	0.000	0.000	Merged-chr15-52928656-21
NR9579--MA0002.2.RUNX1	chr9	33061074	33061084	-	0.000	0.000	Merged-chr9-33060885-64
NR5282--MA0002.2.RUNX1	chr2	31180525	31180535	-	0.000	0.000	Merged-chr2-31180309-64
NR975--MA0684.1.RUNX3	chr10	28695299	28695308	-	0.000	0.000	Merged-chr10-28695198-52
NR161--MA0002.2.RUNX1	chr1	54647515	54647525	+	0.000	0.000	Merged-chr1-54647549-11
NR7855--MA0511.2.RUNX2	chr6	15728979	15728987	-	0.000	0.000	Merged-chr6-15729145-52
NR703--MA0002.2.RUNX1	chr1	173548629	173548639	+	0.000	0.000	Merged-chr1-173548778-45
NR9436--MA0002.2.RUNX1	chr8	120889313	120889323	-	0.000	0.000	Merged-chr8-120889347-18
NR5682--MA0684.1.RUNX3	chr2	140066580	140066589	+	0.000	0.000	Merged-chr2-140066734-59
NR2543--MA0002.2.RUNX1	chr13	37541894	37541904	-	0.000	0.000	Merged-chr13-37541855-48
NR7170--MA0511.2.RUNX2	chr4	149856499	149856507	-	0.000	0.000	Merged-chr4-149856656-49
NR6188--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR1246--MA0684.1.RUNX3	chr10	91076924	91076933	+	0.000	0.000	Merged-chr10-91076951-31
NR6902--MA0002.2.RUNX1	chr4	101586078	101586088	-	0.000	0.000	Merged-chr4-101585990-74
NR10117--MA0002.2.RUNX1	chrX	52819526	52819536	-	0.000	0.000	Merged-chrX-52819571-21
NR5827--MA0511.2.RUNX2	chr2	167363581	167363589	+	0.000	0.000	Merged-chr2-167363421-42
NR10180--MA0684.1.RUNX3	chrX	98265961	98265970	-	0.000	0.000	Merged-chrX-98266025-47
NR3925--MA0684.1.RUNX3	chr16	52107988	52107997	-	0.000	0.000	Merged-chr16-52108040-37
NR5728--MA0002.2.RUNX1	chr2	152826006	152826016	-	0.000	0.000	Merged-chr2-152825903-49
NR1974--MA0684.1.RUNX3	chr12	17554109	17554118	-	0.000	0.000	Merged-chr12-17554263-40
NR8834--MA0002.2.RUNX1	chr7	105554388	105554398	+	0.000	0.000	Merged-chr7-105554530-56
NR9422--MA0684.1.RUNX3	chr8	119380835	119380844	+	0.000	0.000	Merged-chr8-119380766-18
NR8199--MA0511.2.RUNX2	chr6	108630934	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR2652--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR1848--MA0511.2.RUNX2	chr11	109671974	109671982	+	0.000	0.000	Merged-chr11-109672054-52
NR5043--MA0002.2.RUNX1	chr19	41656259	41656269	+	0.000	0.000	Merged-chr19-41656223-24
NR3363--MA0002.2.RUNX1	chr15	9455443	9455453	+	0.000	0.000	Merged-chr15-9455441-21
NR2288--MA0511.2.RUNX2	chr12	105538366	105538374	+	0.000	0.000	Merged-chr12-105538395-6
NR10160--MA0002.2.RUNX1	chrX	77808854	77808864	-	0.000	0.000	Merged-chrX-77808891-20
NR1478--MA0002.2.RUNX1	chr11	3371444	3371454	+	0.000	0.000	Merged-chr11-3371528-30
NR7789--MA0684.1.RUNX3	chr5	143485093	143485102	-	0.000	0.000	Merged-chr5-143485209-17
NR3763--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR650--MA0002.2.RUNX1	chr1	164973032	164973042	-	0.000	0.000	Merged-chr1-164973033-32
NR8672--MA0002.2.RUNX1	chr7	64141526	64141536	-	0.000	0.000	Merged-chr7-64141555-53
NR716--MA0002.2.RUNX1	chr1	176827609	176827619	+	0.000	0.000	Merged-chr1-176827492-35
NR4269--MA0684.1.RUNX3	chr17	43645417	43645426	+	0.000	0.000	Merged-chr17-43645396-23
NR9326--MA0684.1.RUNX3	chr8	88647368	88647377	+	0.000	0.000	Merged-chr8-88647358-34
NR4441--MA0002.2.RUNX1	chr17	80579292	80579302	+	0.000	0.000	Merged-chr17-80579337-18
NR2761--MA0002.2.RUNX1	chr13	91178712	91178722	-	0.000	0.000	Merged-chr13-91178743-26
NR7103--MA0002.2.RUNX1	chr4	139287490	139287500	+	0.000	0.000	Merged-chr4-139287610-26
NR8086--MA0684.1.RUNX3	chr6	86570877	86570886	-	0.000	0.000	Merged-chr6-86570900-55
NR5218--MA0002.2.RUNX1	chr2	18935683	18935693	+	0.000	0.000	Merged-chr2-18935718-26
NR697--MA0002.2.RUNX1	chr1	172525391	172525401	+	0.000	0.000	Merged-chr1-172525457-28
NR3538--MA0002.2.RUNX1	chr15	66445634	66445644	+	0.000	0.000	Merged-chr15-66445527-47
NR5774--MA0511.2.RUNX2	chr2	158154379	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR1858--MA0002.2.RUNX1	chr11	109860210	109860220	+	0.000	0.000	Merged-chr11-109860424-80
NR7898--MA0684.1.RUNX3	chr6	37046641	37046650	+	0.000	0.000	Merged-chr6-37046555-33
NR9035--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR5281--MA0684.1.RUNX3	chr2	31119118	31119127	-	0.000	0.000	Merged-chr2-31119071-33
NR924--MA0511.2.RUNX2	chr10	19578236	19578244	+	0.000	0.000	Merged-chr10-19578163-111
NR7626--MA0002.2.RUNX1	chr5	114826401	114826411	-	0.000	0.000	Merged-chr5-114826460-42
NR9862--MA0511.2.RUNX2	chr9	94993757	94993765	+	0.000	0.000	Merged-chr9-94993790-30
NR3667--MA0684.1.RUNX3	chr15	94453041	94453050	+	0.000	0.000	Merged-chr15-94453103-20
NR6058--MA0684.1.RUNX3	chr3	62339075	62339084	+	0.000	0.000	Merged-chr3-62339060-22
NR3124--MA0002.2.RUNX1	chr14	64666912	64666922	-	0.000	0.000	Merged-chr14-64666873-42
NR6230--MA0002.2.RUNX1	chr3	99141345	99141355	-	0.000	0.000	Merged-chr3-99141311-74
NR7755--MA0684.1.RUNX3	chr5	136460078	136460087	+	0.000	0.000	Merged-chr5-136460136-37
NR6753--MA0002.2.RUNX1	chr4	55343348	55343358	-	0.000	0.000	Merged-chr4-55343422-62
NR5949--MA0511.2.RUNX2	chr3	21884395	21884403	+	0.000	0.000	Merged-chr3-21884458-21
NR7193--MA0002.2.RUNX1	chr4	154246713	154246723	-	0.000	0.000	Merged-chr4-154246608-23
NR5727--MA0684.1.RUNX3	chr2	152825926	152825935	+	0.000	0.000	Merged-chr2-152825903-49
NR3776--MA0684.1.RUNX3	chr16	17695010	17695019	-	0.000	0.000	Merged-chr16-17695007-34
NR9766--MA0511.2.RUNX2	chr9	80070226	80070234	-	0.000	0.000	Merged-chr9-80070269-16
NR9667--MA0002.2.RUNX1	chr9	55126467	55126477	+	0.000	0.000	Merged-chr9-55126346-49
NR9796--MA0684.1.RUNX3	chr9	82961607	82961616	-	0.000	0.000	Merged-chr9-82961653-22
NR871--MA0511.2.RUNX2	chr10	8176544	8176552	-	0.000	0.000	Merged-chr10-8176500-34
NR4040--MA0002.2.RUNX1	chr16	90456726	90456736	-	0.000	0.000	Merged-chr16-90456669-52
NR2360--MA0002.2.RUNX1	chr12	115145466	115145476	+	0.000	0.000	Merged-chr12-115145586-48
NR3885--MA0684.1.RUNX3	chr16	45224157	45224166	+	0.000	0.000	Merged-chr16-45224130-153
NR5959--MA0002.2.RUNX1	chr3	21987884	21987894	-	0.000	0.000	Merged-chr3-21988078-85
NR772--MA0002.2.RUNX1	chr1	184534678	184534688	-	0.000	0.000	Merged-chr1-184534660-49
NR5373--MA0511.2.RUNX2	chr2	60774692	60774700	+	0.000	0.000	Merged-chr2-60774747-55
NR1186--MA0002.2.RUNX1	chr10	81194415	81194425	+	0.000	0.000	Merged-chr10-81194350-49
NR5644--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR7102--MA0684.1.RUNX3	chr4	139242140	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR4563--MA0002.2.RUNX1	chr18	23954692	23954702	+	0.000	0.000	Merged-chr18-23954757-79
NR7768--MA0684.1.RUNX3	chr5	140567499	140567508	-	0.000	0.000	Merged-chr5-140567603-46
NR4834--MA0002.2.RUNX1	chr18	80280597	80280607	-	0.000	0.000	Merged-chr18-80280568-28
NR1857--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR5230--MA0511.2.RUNX2	chr2	22744596	22744604	+	0.000	0.000	Merged-chr2-22744632-58
NR9091--MA0002.2.RUNX1	chr7	143154070	143154080	-	0.000	0.000	Merged-chr7-143154031-30
NR5025--MA0511.2.RUNX2	chr19	38944666	38944674	-	0.000	0.000	Merged-chr19-38944753-25
NR1109--MA0002.2.RUNX1	chr10	68512654	68512664	+	0.000	0.000	Merged-chr10-68512591-23
NR3616--MA0511.2.RUNX2	chr15	85328196	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR7433--MA0511.2.RUNX2	chr5	74126466	74126474	+	0.000	0.000	Merged-chr5-74126578-67
NR1238--MA0684.1.RUNX3	chr10	89415728	89415737	+	0.000	0.000	Merged-chr10-89415714-14
NR1509--MA0684.1.RUNX3	chr11	11657343	11657352	+	0.000	0.000	Merged-chr11-11657249-55
NR3202--MA0511.2.RUNX2	chr14	78692184	78692192	-	0.000	0.000	Merged-chr14-78692214-30
NR9570--MA0511.2.RUNX2	chr9	32507183	32507191	-	0.000	0.000	Merged-chr9-32507415-81
NR5178--MA0002.2.RUNX1	chr2	9564614	9564624	+	0.000	0.000	Merged-chr2-9564694-16
NR1695--MA0684.1.RUNX3	chr11	75541179	75541188	-	0.000	0.000	Merged-chr11-75541431-19
NR262--MA0002.2.RUNX1	chr1	80015642	80015652	-	0.000	0.000	Merged-chr1-80015644-32
NR7685--MA0511.2.RUNX2	chr5	122430271	122430279	+	0.000	0.000	Merged-chr5-122430278-22
NR3498--MA0002.2.RUNX1	chr15	52928624	52928634	-	0.000	0.000	Merged-chr15-52928656-21
NR9266--MA0002.2.RUNX1	chr8	68674301	68674311	-	0.000	0.000	Merged-chr8-68674402-29
NR9808--MA0002.2.RUNX1	chr9	85671750	85671760	+	0.000	0.000	Merged-chr9-85671881-60
NR662--MA0684.1.RUNX3	chr1	165603453	165603462	+	0.000	0.000	Merged-chr1-165603509-17
NR7813--MA0511.2.RUNX2	chr5	148959172	148959180	+	0.000	0.000	Merged-chr5-148959251-47
NR7337--MA0511.2.RUNX2	chr5	37083389	37083397	-	0.000	0.000	Merged-chr5-37083387-28
NR5657--MA0511.2.RUNX2	chr2	132379841	132379849	+	0.000	0.000	Merged-chr2-132379852-19
NR2773--MA0684.1.RUNX3	chr13	93175820	93175829	+	0.000	0.000	Merged-chr13-93175751-12
NR6097--MA0511.2.RUNX2	chr3	79210462	79210470	+	0.000	0.000	Merged-chr3-79210417-27
NR2896--MA0002.2.RUNX1	chr13	113693580	113693590	-	0.000	0.000	Merged-chr13-113693609-26
NR8812--MA0684.1.RUNX3	chr7	99429114	99429123	-	0.000	0.000	Merged-chr7-99429027-29
NR5558--MA0002.2.RUNX1	chr2	109992835	109992845	+	0.000	0.000	Merged-chr2-109992727-6
NR6590--MA0684.1.RUNX3	chr3	157803537	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR5829--MA0002.2.RUNX1	chr2	167368449	167368459	+	0.000	0.000	Merged-chr2-167368562-3
NR3878--MA0002.2.RUNX1	chr16	44811726	44811736	-	0.000	0.000	Merged-chr16-44811713-22
NR3007--MA0002.2.RUNX1	chr14	25862103	25862113	+	0.000	0.000	Merged-chr14-25862098-51
NR7572--MA0684.1.RUNX3	chr5	105840058	105840067	-	0.000	0.000	Merged-chr5-105840151-44
NR7843--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR7651--MA0511.2.RUNX2	chr5	118331615	118331623	+	0.000	0.000	Merged-chr5-118331615-2
NR8250--MA0002.2.RUNX1	chr6	118350513	118350523	-	0.000	0.000	Merged-chr6-118350408-25
NR7175--MA0511.2.RUNX2	chr4	150808645	150808653	-	0.000	0.000	Merged-chr4-150808794-106
NR6570--MA0002.2.RUNX1	chr3	154778979	154778989	-	0.000	0.000	Merged-chr3-154778992-62
NR9898--MA0002.2.RUNX1	chr9	100400552	100400562	+	0.000	0.000	Merged-chr9-100400570-38
NR4685--MA0002.2.RUNX1	chr18	56413120	56413130	+	0.000	0.000	Merged-chr18-56413005-50
NR2610--MA0002.2.RUNX1	chr13	53000590	53000600	-	0.000	0.000	Merged-chr13-53000704-16
NR1535--MA0511.2.RUNX2	chr11	21253563	21253571	+	0.000	0.000	Merged-chr11-21253599-7
NR3593--MA0684.1.RUNX3	chr15	80572481	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR480--MA0002.2.RUNX1	chr1	133801879	133801889	-	0.000	0.000	Merged-chr1-133801920-3
NR275--MA0002.2.RUNX1	chr1	80855239	80855249	+	0.000	0.000	Merged-chr1-80855392-26
NR7698--MA0511.2.RUNX2	chr5	124241815	124241823	+	0.000	0.000	Merged-chr5-124241668-15
NR1165--MA0002.2.RUNX1	chr10	77627622	77627632	+	0.000	0.000	Merged-chr10-77627731-24
NR5623--MA0511.2.RUNX2	chr2	128153204	128153212	-	0.000	0.000	Merged-chr2-128153146-97
NR9484--MA0002.2.RUNX1	chr8	125871031	125871041	-	0.000	0.000	Merged-chr8-125871015-13
NR4813--MA0002.2.RUNX1	chr18	77746884	77746894	+	0.000	0.000	Merged-chr18-77747090-44
NR7599--MA0002.2.RUNX1	chr5	111178473	111178483	+	0.000	0.000	Merged-chr5-111178626-62
NR7204--MA0002.2.RUNX1	chr4	156013836	156013846	-	0.000	0.000	Merged-chr4-156013915-55
NR1688--MA0002.2.RUNX1	chr11	74908052	74908062	+	0.000	0.000	Merged-chr11-74908000-16
NR9963--MA0511.2.RUNX2	chr9	114778159	114778167	+	0.000	0.000	Merged-chr9-114778253-39
NR9659--MA0002.2.RUNX1	chr9	53787022	53787032	-	0.000	0.000	Merged-chr9-53786922-72
NR3083--MA0684.1.RUNX3	chr14	54426841	54426850	+	0.000	0.000	Merged-chr14-54426956-48
NR9073--MA0511.2.RUNX2	chr7	141637456	141637464	-	0.000	0.000	Merged-chr7-141637525-19
NR6460--MA0684.1.RUNX3	chr3	142437065	142437074	+	0.000	0.000	Merged-chr3-142437047-18
NR241--MA0002.2.RUNX1	chr1	74249027	74249037	+	0.000	0.000	Merged-chr1-74249152-57
NR1469--MA0684.1.RUNX3	chr10	130439227	130439236	-	0.000	0.000	Merged-chr10-130439179-24
NR9201--MA0511.2.RUNX2	chr8	34740486	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR1055--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR8786--MA0002.2.RUNX1	chr7	92420690	92420700	+	0.000	0.000	Merged-chr7-92420666-38
NR6711--MA0002.2.RUNX1	chr4	43000568	43000578	+	0.000	0.000	Merged-chr4-43000576-6
NR5636--MA0511.2.RUNX2	chr2	128430848	128430856	-	0.000	0.000	Merged-chr2-128430953-27
NR6791--MA0511.2.RUNX2	chr4	62757066	62757074	-	0.000	0.000	Merged-chr4-62756958-63
NR5414--MA0684.1.RUNX3	chr2	69415321	69415330	+	0.000	0.000	Merged-chr2-69415236-25
NR7217--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR10055--MA0684.1.RUNX3	chrX	7422998	7423007	+	0.000	0.000	Merged-chrX-7422992-35
NR145--MA0002.2.RUNX1	chr1	52077772	52077782	-	0.000	0.000	Merged-chr1-52077891-6
NR8914--MA0002.2.RUNX1	chr7	117394184	117394194	-	0.000	0.000	Merged-chr7-117394201-50
NR4955--MA0684.1.RUNX3	chr19	20390560	20390569	-	0.000	0.000	Merged-chr19-20390603-26
NR5000--MA0684.1.RUNX3	chr19	32988775	32988784	-	0.000	0.000	Merged-chr19-32988872-27
NR5937--MA0684.1.RUNX3	chr3	18624050	18624059	+	0.000	0.000	Merged-chr3-18624063-31
NR8895--MA0002.2.RUNX1	chr7	114671162	114671172	-	0.000	0.000	Merged-chr7-114671342-44
NR939--MA0002.2.RUNX1	chr10	21535820	21535830	+	0.000	0.000	Merged-chr10-21535730-30
NR624--MA0511.2.RUNX2	chr1	162740461	162740469	+	0.000	0.000	Merged-chr1-162740242-97
NR4935--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR1514--MA0511.2.RUNX2	chr11	14142623	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR1038--MA0511.2.RUNX2	chr10	53528047	53528055	-	0.000	0.000	Merged-chr10-53528225-64
NR8752--MA0002.2.RUNX1	chr7	84196634	84196644	+	0.000	0.000	Merged-chr7-84196453-50
NR254--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR525--MA0002.2.RUNX1	chr1	143731099	143731109	+	0.000	0.000	Merged-chr1-143731119-20
NR7184--MA0684.1.RUNX3	chr4	151977977	151977986	-	0.000	0.000	Merged-chr4-151978013-24
NR10021--MA0684.1.RUNX3	chr9	119823990	119823999	+	0.000	0.000	Merged-chr9-119823942-29
NR7263--MA0511.2.RUNX2	chr5	20942630	20942638	-	0.000	0.000	Merged-chr5-20942646-25
NR3032--MA0511.2.RUNX2	chr14	36316927	36316935	+	0.000	0.000	Merged-chr14-36316941-55
NR733--MA0511.2.RUNX2	chr1	179493151	179493159	+	0.000	0.000	Merged-chr1-179493163-27
NR2888--MA0002.2.RUNX1	chr13	111569257	111569267	+	0.000	0.000	Merged-chr13-111569188-35
NR8927--MA0002.2.RUNX1	chr7	118232820	118232830	-	0.000	0.000	Merged-chr7-118232958-8
NR9515--MA0684.1.RUNX3	chr9	5298619	5298628	-	0.000	0.000	Merged-chr9-5298744-86
NR7293--MA0684.1.RUNX3	chr5	24393606	24393615	+	0.000	0.000	Merged-chr5-24393621-16
NR7088--MA0684.1.RUNX3	chr4	137854093	137854102	+	0.000	0.000	Merged-chr4-137854061-36
NR9367--MA0002.2.RUNX1	chr8	106821447	106821457	+	0.000	0.000	Merged-chr8-106821433-20
NR5679--MA0684.1.RUNX3	chr2	136987996	136988005	-	0.000	0.000	Merged-chr2-136988057-20
NR492--MA0684.1.RUNX3	chr1	136609090	136609099	-	0.000	0.000	Merged-chr1-136609076-3
NR9323--MA0511.2.RUNX2	chr8	86856476	86856484	+	0.000	0.000	Merged-chr8-86856376-59
NR1382--MA0684.1.RUNX3	chr10	118407016	118407025	+	0.000	0.000	Merged-chr10-118407091-36
NR9989--MA0511.2.RUNX2	chr9	116214507	116214515	-	0.000	0.000	Merged-chr9-116214567-36
NR5407--MA0002.2.RUNX1	chr2	69002507	69002517	+	0.000	0.000	Merged-chr2-69002641-39
NR1448--MA0684.1.RUNX3	chr10	127231156	127231165	+	0.000	0.000	Merged-chr10-127231137-38
NR5487--MA0511.2.RUNX2	chr2	85725975	85725983	+	0.000	0.000	Merged-chr2-85725914-24
NR8149--MA0511.2.RUNX2	chr6	97447186	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR3207--MA0511.2.RUNX2	chr14	79115160	79115168	-	0.000	0.000	Merged-chr14-79115074-10
NR7068--MA0002.2.RUNX1	chr4	134787144	134787154	+	0.000	0.000	Merged-chr4-134787167-34
NR5659--MA0002.2.RUNX1	chr2	132643377	132643387	+	0.000	0.000	Merged-chr2-132643452-47
NR8970--MA0002.2.RUNX1	chr7	125597221	125597231	+	0.000	0.000	Merged-chr7-125597306-20
NR472--MA0002.2.RUNX1	chr1	132264780	132264790	-	0.000	0.000	Merged-chr1-132264829-22
NR1305--MA0684.1.RUNX3	chr10	98494580	98494589	+	0.000	0.000	Merged-chr10-98494547-28
NR4411--MA0684.1.RUNX3	chr17	73815028	73815037	-	0.000	0.000	Merged-chr17-73814943-62
NR7739--MA0684.1.RUNX3	chr5	134350926	134350935	+	0.000	0.000	Merged-chr5-134350841-34
NR3508--MA0684.1.RUNX3	chr15	55327442	55327451	-	0.000	0.000	Merged-chr15-55327422-12
