#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR5814--MA0511.2.RUNX2	chr3	60531040	60531048	+	0.000	0.000	Merged-chr3-60530998-30
NR1627--MA0002.2.RUNX1	chr11	87240397	87240407	-	0.000	0.000	Merged-chr11-87240422-3
NR3658--MA0511.2.RUNX2	chr16	23264253	23264261	+	0.000	0.000	Merged-chr16-23264212-1
NR4098--MA0511.2.RUNX2	chr17	19435175	19435183	+	0.000	0.000	Merged-chr17-19435269-18
NR3493--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR1293--MA0511.2.RUNX2	chr10	119382451	119382459	-	0.000	0.000	Merged-chr10-119382475-33
NR3022--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3145--MA0002.2.RUNX1	chr14	115250747	115250757	+	0.000	0.000	Merged-chr14-115250840-27
NR5652--MA0511.2.RUNX2	chr3	21911281	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR1465--MA0002.2.RUNX1	chr11	35537601	35537611	-	0.000	0.000	Merged-chr11-35537638-11
NR7110--MA0684.1.RUNX3	chr5	77134665	77134674	-	0.000	0.000	Merged-chr5-77134607-48
NR2119--MA0684.1.RUNX3	chr12	98269813	98269822	+	0.000	0.000	Merged-chr12-98269804-132
NR2891--MA0002.2.RUNX1	chr14	30675111	30675121	-	0.000	0.000	Merged-chr14-30675172-26
NR7899--MA0002.2.RUNX1	chr6	127582642	127582652	-	0.000	0.000	Merged-chr6-127582626-90
NR5077--MA0002.2.RUNX1	chr2	52315966	52315976	+	0.000	0.000	Merged-chr2-52315890-51
NR5348--MA0002.2.RUNX1	chr2	128470658	128470668	-	0.000	0.000	Merged-chr2-128470524-44
NR5619--MA0002.2.RUNX1	chr3	14944925	14944935	+	0.000	0.000	Merged-chr3-14944781-17
NR8930--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR1051--MA0002.2.RUNX1	chr10	61680237	61680247	-	0.000	0.000	Merged-chr10-61680390-61
