#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR8964--MA0002.2.RUNX1	chr7	125467166	125467176	+	0.000	0.000	Merged-chr7-125467127-13
NR3036--MA0002.2.RUNX1	chr14	21636760	21636770	+	0.000	0.000	Merged-chr14-21636677-36
NR9552--MA0684.1.RUNX3	chr8	128577440	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR10104--MA0002.2.RUNX1	chrX	13652450	13652460	+	0.000	0.000	Merged-chrX-13652412-21
NR1041--MA0511.2.RUNX2	chr10	60381314	60381322	-	0.000	0.000	Merged-chr10-60381393-83
NR3929--MA0511.2.RUNX2	chr16	35905584	35905592	-	0.000	0.000	Merged-chr16-35905598-39
NR5239--MA0002.2.RUNX1	chr19	53479719	53479729	-	0.000	0.000	Merged-chr19-53479762-36
NR73--MA0511.2.RUNX2	chr1	40473884	40473892	-	0.000	0.000	Merged-chr1-40473860-44
NR7253--MA0684.1.RUNX3	chr4	150921506	150921515	+	0.000	0.000	Merged-chr4-150921425-28
NR1008--MA0002.2.RUNX1	chr10	58282404	58282414	+	0.000	0.000	Merged-chr10-58282409-26
NR5967--MA0002.2.RUNX1	chr2	157190868	157190878	-	0.000	0.000	Merged-chr2-157190874-9
NR7061--MA0511.2.RUNX2	chr4	126253864	126253872	+	0.000	0.000	Merged-chr4-126253924-28
NR2990--MA0511.2.RUNX2	chr14	12243740	12243748	+	0.000	0.000	Merged-chr14-12243878-61
NR3145--MA0002.2.RUNX1	chr14	59691123	59691133	+	0.000	0.000	Merged-chr14-59691138-19
NR1408--MA0684.1.RUNX3	chr10	130439221	130439230	-	0.000	0.000	Merged-chr10-130439179-24
NR1736--MA0002.2.RUNX1	chr11	82203896	82203906	-	0.000	0.000	Merged-chr11-82203990-35
NR9579--MA0002.2.RUNX1	chr9	21411818	21411828	+	0.000	0.000	Merged-chr9-21411941-54
NR802--MA0511.2.RUNX2	chr10	4977487	4977495	-	0.000	0.000	Merged-chr10-4977529-37
NR2891--MA0002.2.RUNX1	chr13	108860299	108860309	+	0.000	0.000	Merged-chr13-108860435-34
NR9740--MA0511.2.RUNX2	chr9	66883764	66883772	+	0.000	0.000	Merged-chr9-66883654-39
NR5553--MA0002.2.RUNX1	chr2	66120188	66120198	+	0.000	0.000	Merged-chr2-66120274-20
NR1389--MA0684.1.RUNX3	chr10	127107654	127107663	+	0.000	0.000	Merged-chr10-127107710-55
NR7091--MA0684.1.RUNX3	chr4	133122362	133122371	-	0.000	0.000	Merged-chr4-133122243-22
NR6774--MA0002.2.RUNX1	chr4	40721076	40721086	-	0.000	0.000	Merged-chr4-40721165-38
NR7362--MA0684.1.RUNX3	chr5	32104328	32104337	+	0.000	0.000	Merged-chr5-32104376-51
NR83--MA0002.2.RUNX1	chr1	40522694	40522704	+	0.000	0.000	Merged-chr1-40522880-9
NR6015--MA0511.2.RUNX2	chr2	164497589	164497597	-	0.000	0.000	Merged-chr2-164497556-49
NR1944--MA0511.2.RUNX2	chr11	109790431	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR3797--MA0684.1.RUNX3	chr16	3776569	3776578	+	0.000	0.000	Merged-chr16-3776489-17
NR5205--MA0002.2.RUNX1	chr19	41354447	41354457	+	0.000	0.000	Merged-chr19-41354593-71
NR5761--MA0511.2.RUNX2	chr2	122356334	122356342	-	0.000	0.000	Merged-chr2-122356412-11
NR6902--MA0002.2.RUNX1	chr4	88088942	88088952	+	0.000	0.000	Merged-chr4-88088936-18
NR2943--MA0684.1.RUNX3	chr13	113104952	113104961	-	0.000	0.000	Merged-chr13-113104978-22
NR7137--MA0002.2.RUNX1	chr4	136570152	136570162	+	0.000	0.000	Merged-chr4-136570246-39
NR9373--MA0511.2.RUNX2	chr8	105296374	105296382	+	0.000	0.000	Merged-chr8-105296320-3
NR1974--MA0684.1.RUNX3	chr11	116255860	116255869	-	0.000	0.000	Merged-chr11-116255740-3,Merged-chr11-116256028-23
NR812--MA0002.2.RUNX1	chr10	7839242	7839252	-	0.000	0.000	Merged-chr10-7839436-87
NR2381--MA0002.2.RUNX1	chr12	112720127	112720137	+	0.000	0.000	Merged-chr12-112720162-15
NR2923--MA0002.2.RUNX1	chr13	111269749	111269759	+	0.000	0.000	Merged-chr13-111269948-21
NR3511--MA0684.1.RUNX3	chr15	41846725	41846734	-	0.000	0.000	Merged-chr15-41846585-48
NR3092--MA0002.2.RUNX1	chr14	50870659	50870669	-	0.000	0.000	Merged-chr14-50870513-68
NR7616--MA0511.2.RUNX2	chr5	107946666	107946674	+	0.000	0.000	Merged-chr5-107946729-17
NR9402--MA0002.2.RUNX1	chr8	111967479	111967489	+	0.000	0.000	Merged-chr8-111967453-22
NR7789--MA0684.1.RUNX3	chr5	138280161	138280170	-	0.000	0.000	Merged-chr5-138280109-50
NR5172--MA0684.1.RUNX3	chr19	34168161	34168170	-	0.000	0.000	Merged-chr19-34168201-28
NR1163--MA0511.2.RUNX2	chr10	81255101	81255109	-	0.000	0.000	Merged-chr10-81255041-17
NR3763--MA0684.1.RUNX3	chr15	97836698	97836707	-	0.000	0.000	Merged-chr15-97837039-84
NR5295--MA0002.2.RUNX1	chr19	57100038	57100048	-	0.000	0.000	Merged-chr19-57100169-47
NR3829--MA0684.1.RUNX3	chr16	14088427	14088436	-	0.000	0.000	Merged-chr16-14088440-49
NR1878--MA0684.1.RUNX3	chr11	103375408	103375417	-	0.000	0.000	Merged-chr11-103375376-18
NR716--MA0002.2.RUNX1	chr1	184576648	184576658	-	0.000	0.000	Merged-chr1-184576440-44
NR1606--MA0002.2.RUNX1	chr11	54627046	54627056	-	0.000	0.000	Merged-chr11-54627034-23
NR5317--MA0511.2.RUNX2	chr19	58296930	58296938	+	0.000	0.000	Merged-chr19-58296968-24
NR4441--MA0002.2.RUNX1	chr17	50071769	50071779	+	0.000	0.000	Merged-chr17-50071769-42
NR4712--MA0002.2.RUNX1	chr18	32958414	32958424	+	0.000	0.000	Merged-chr18-32958367-9
NR2761--MA0002.2.RUNX1	chr13	81162518	81162528	+	0.000	0.000	Merged-chr13-81162609-12
NR96--MA0002.2.RUNX1	chr1	52800395	52800405	+	0.000	0.000	Merged-chr1-52800518-18
NR7103--MA0002.2.RUNX1	chr4	134043265	134043275	-	0.000	0.000	Merged-chr4-134043155-17
NR52--MA0511.2.RUNX2	chr1	37030883	37030891	+	0.000	0.000	Merged-chr1-37030914-29
NR302--MA0002.2.RUNX1	chr1	95674257	95674267	+	0.000	0.000	Merged-chr1-95674241-20
NR9783--MA0684.1.RUNX3	chr9	75805158	75805167	+	0.000	0.000	Merged-chr9-75805166-16
NR5774--MA0511.2.RUNX2	chr2	126252466	126252474	+	0.000	0.000	Merged-chr2-126252361-10
NR1587--MA0002.2.RUNX1	chr11	52341242	52341252	-	0.000	0.000	Merged-chr11-52341177-43
NR4964--MA0002.2.RUNX1	chr18	81572214	81572224	-	0.000	0.000	Merged-chr18-81572136-24
NR5552--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR6058--MA0684.1.RUNX3	chr2	168429763	168429772	+	0.000	0.000	Merged-chr2-168429700-17
NR6329--MA0684.1.RUNX3	chr3	87274561	87274570	-	0.000	0.000	Merged-chr3-87274512-10
NR1116--MA0684.1.RUNX3	chr10	75697171	75697180	+	0.000	0.000	Merged-chr10-75697186-22
NR9164--MA0684.1.RUNX3	chr8	22405901	22405910	-	0.000	0.000	Merged-chr8-22405869-37
NR82--MA0684.1.RUNX3	chr1	40515391	40515400	+	0.000	0.000	Merged-chr1-40515347-62
NR4550--MA0002.2.RUNX1	chr17	74140359	74140369	+	0.000	0.000	Merged-chr17-74140468-12
NR9558--MA0002.2.RUNX1	chr9	5298618	5298628	+	0.000	0.000	Merged-chr9-5298744-86
NR3524--MA0684.1.RUNX3	chr15	51842718	51842727	+	0.000	0.000	Merged-chr15-51842617-12
