#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR9281--MA0684.1.RUNX3	chr7	75600614	75600623	+	0.000	0.000	Merged-chr7-75600674-52
NR3036--MA0002.2.RUNX1	chr13	101756918	101756928	+	0.000	0.000	Merged-chr13-101756830-17
NR9675--MA0002.2.RUNX1	chr7	139227267	139227277	+	0.000	0.000	Merged-chr7-139227243-22
NR10931--MA0511.2.RUNX2	chrX	98265962	98265970	-	0.000	0.000	Merged-chrX-98266025-47
NR5239--MA0002.2.RUNX1	chr19	10880208	10880218	+	0.000	0.000	Merged-chr19-10880366-39
NR10356--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR1879--MA0002.2.RUNX1	chr11	97112723	97112733	-	0.000	0.000	Merged-chr11-97112765-38
NR9261--MA0002.2.RUNX1	chr7	67500551	67500561	+	0.000	0.000	Merged-chr7-67500556-27
NR7647--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR1071--MA0684.1.RUNX3	chr10	60346224	60346233	+	0.000	0.000	Merged-chr10-60346273-6
NR7998--MA0511.2.RUNX2	chr5	107564619	107564627	+	0.000	0.000	Merged-chr5-107564651-5
NR5718--MA0511.2.RUNX2	chr2	55082025	55082033	-	0.000	0.000	Merged-chr2-55082182-18
NR4842--MA0002.2.RUNX1	chr17	86880725	86880735	-	0.000	0.000	Merged-chr17-86880662-37
NR2119--MA0684.1.RUNX3	chr12	10589699	10589708	-	0.000	0.000	Merged-chr12-10589543-1
NR1594--MA0684.1.RUNX3	chr11	43358960	43358969	-	0.000	0.000	Merged-chr11-43358857-56
NR703--MA0002.2.RUNX1	chr1	180432048	180432058	+	0.000	0.000	Merged-chr1-180432015-44
NR9313--MA0684.1.RUNX3	chr7	81179605	81179614	-	0.000	0.000	Merged-chr7-81179607-41
NR10736--MA0002.2.RUNX1	chr9	116270573	116270583	+	0.000	0.000	Merged-chr9-116270494-11
NR10150--MA0511.2.RUNX2	chr8	124317964	124317972	-	0.000	0.000	Merged-chr8-124317867-82
NR2814--MA0002.2.RUNX1	chr13	51726394	51726404	+	0.000	0.000	Merged-chr13-51726299-41
NR1180--MA0684.1.RUNX3	chr10	80763638	80763647	+	0.000	0.000	Merged-chr10-80763655-40
NR1722--MA0684.1.RUNX3	chr11	67633799	67633808	+	0.000	0.000	Merged-chr11-67633953-18
NR955--MA0002.2.RUNX1	chr10	26364520	26364530	+	0.000	0.000	Merged-chr10-26364475-53
NR10051--MA0002.2.RUNX1	chr8	112034853	112034863	+	0.000	0.000	Merged-chr8-112034861-32
NR9294--MA0684.1.RUNX3	chr7	75891661	75891670	-	0.000	0.000	Merged-chr7-75891656-12
NR5556--MA0511.2.RUNX2	chr2	11181771	11181779	-	0.000	0.000	Merged-chr2-11181845-48
NR10117--MA0002.2.RUNX1	chr8	121573550	121573560	+	0.000	0.000	Merged-chr8-121573521-19
NR640--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR911--MA0511.2.RUNX2	chr10	18917547	18917555	+	0.000	0.000	Merged-chr10-18917466-61
NR7071--MA0002.2.RUNX1	chr4	43937320	43937330	-	0.000	0.000	Merged-chr4-43937152-65
NR10673--MA0511.2.RUNX2	chr9	111138402	111138410	+	0.000	0.000	Merged-chr9-111138403-3
NR1530--MA0511.2.RUNX2	chr11	11766269	11766277	+	0.000	0.000	Merged-chr11-11766225-56
NR2795--MA0002.2.RUNX1	chr13	45861802	45861812	+	0.000	0.000	Merged-chr13-45862002-29
NR5728--MA0002.2.RUNX1	chr2	59167121	59167131	-	0.000	0.000	Merged-chr2-59167123-35
NR541--MA0002.2.RUNX1	chr1	157438095	157438105	-	0.000	0.000	Merged-chr1-157438110-2
NR1498--MA0684.1.RUNX3	chr11	4339439	4339448	-	0.000	0.000	Merged-chr11-4339426-10
NR3257--MA0511.2.RUNX2	chr14	47476846	47476854	-	0.000	0.000	Merged-chr14-47476839-9
NR3035--MA0684.1.RUNX3	chr13	101707505	101707514	+	0.000	0.000	Merged-chr13-101707362-90
NR1084--MA0684.1.RUNX3	chr10	62507952	62507961	-	0.000	0.000	Merged-chr10-62507815-50,Merged-chr10-62508148-1
NR8420--MA0002.2.RUNX1	chr6	48818041	48818051	+	0.000	0.000	Merged-chr6-48818082-13
NR8056--MA0511.2.RUNX2	chr5	113670843	113670851	-	0.000	0.000	Merged-chr5-113670817-25
NR9797--MA0002.2.RUNX1	chr8	25060029	25060039	-	0.000	0.000	Merged-chr8-25059963-13
NR8820--MA0684.1.RUNX3	chr6	130538634	130538643	+	0.000	0.000	Merged-chr6-130538609-12
