#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1223--MA0482.1.Gata4	chr11	82915121	82915131	-	0.000	0.000	Merged-chr11-82915100-27
NR2004--MA0037.3.GATA3	chr13	91180551	91180558	-	0.000	0.000	Merged-chr13-91180481-23
NR1018--MA0482.1.Gata4	chr10	125330208	125330218	+	0.000	0.000	Merged-chr10-125330277-12
NR2801--MA0035.3.Gata1	chr16	58546298	58546308	-	0.000	0.000	Merged-chr16-58546287-56
NR3605--MA1104.1.GATA6	chr19	41321188	41321200	+	0.000	0.000	Merged-chr19-41321209-31
NR5261--MA0140.2.GATA1::TAL1	chr5	96919394	96919411	+	0.000	0.000	Merged-chr5-96919308-24
NR6142--MA0035.3.Gata1	chr7	105527416	105527426	+	0.000	0.000	Merged-chr7-105527524-9
NR4462--MA0035.3.Gata1	chr3	104638422	104638432	-	0.000	0.000	Merged-chr3-104638712-128
NR2782--MA0035.3.Gata1	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR907--MA0036.3.GATA2	chr10	99194848	99194858	+	0.000	0.000	Merged-chr10-99194642-78
NR1127--MA0482.1.Gata4	chr11	52314534	52314544	-	0.000	0.000	Merged-chr11-52314367-60
NR4755--MA0140.2.GATA1::TAL1	chr4	11900193	11900210	-	0.000	0.000	Merged-chr4-11900204-55
NR67--MA1104.1.GATA6	chr1	61402628	61402640	-	0.000	0.000	Merged-chr1-61402618-25
NR2365--MA0037.3.GATA3	chr14	78436730	78436737	+	0.000	0.000	Merged-chr14-78436741-6
NR4961--MA0482.1.Gata4	chr4	133494708	133494718	+	0.000	0.000	Merged-chr4-133494546-26
NR1415--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR7004--MA0482.1.Gata4	chr9	108163711	108163721	+	0.000	0.000	Merged-chr9-108163865-26
NR6530--MA0036.3.GATA2	chr8	114888651	114888661	+	0.000	0.000	Merged-chr8-114888790-56
NR6628--MA0037.3.GATA3	chr8	127589470	127589477	-	0.000	0.000	Merged-chr8-127589399-43
NR7036--MA0036.3.GATA2	chr9	114426450	114426460	+	0.000	0.000	Merged-chr9-114426433-16
NR2652--MA0035.3.Gata1	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR1850--MA0766.1.GATA5	chr13	42101817	42101824	-	0.000	0.000	Merged-chr13-42101708-35
NR5109--MA0035.3.Gata1	chr5	28123271	28123281	+	0.000	0.000	Merged-chr5-28123342-28
NR2551--MA0036.3.GATA2	chr15	60132890	60132900	-	0.000	0.000	Merged-chr15-60132913-50
NR859--MA0035.3.Gata1	chr10	93228775	93228785	-	0.000	0.000	Merged-chr10-93228796-6
NR6535--MA0035.3.Gata1	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR3067--MA0766.1.GATA5	chr17	44893787	44893794	+	0.000	0.000	Merged-chr17-44893726-24
NR6444--MA0766.1.GATA5	chr8	83779753	83779760	-	0.000	0.000	Merged-chr8-83779707-23
NR3979--MA1104.1.GATA6	chr2	103652310	103652322	-	0.000	0.000	Merged-chr2-103652335-51
NR6240--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR2854--MA1104.1.GATA6	chr16	84603166	84603178	+	0.000	0.000	Merged-chr16-84602933-51
NR6118--MA0037.3.GATA3	chr7	100449172	100449179	-	0.000	0.000	Merged-chr7-100449076-60
NR2261--MA0482.1.Gata4	chr14	48422360	48422370	-	0.000	0.000	Merged-chr14-48422314-53
NR3176--MA0766.1.GATA5	chr17	80323832	80323839	-	0.000	0.000	Merged-chr17-80323753-51
NR2803--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR3243--MA0482.1.Gata4	chr18	34783579	34783589	+	0.000	0.000	Merged-chr18-34783714-45
NR4863--MA0036.3.GATA2	chr4	95530934	95530944	-	0.000	0.000	Merged-chr4-95530923-13
NR283--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
NR7130--MA0037.3.GATA3	chrX	107421595	107421602	+	0.000	0.000	Merged-chrX-107421546-18
NR4550--MA0035.3.Gata1	chr3	131156308	131156318	+	0.000	0.000	Merged-chr3-131156512-43
NR463--MA0766.1.GATA5	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR5446--MA0482.1.Gata4	chr6	4664524	4664534	+	0.000	0.000	Merged-chr6-4664595-18
NR1148--MA0766.1.GATA5	chr11	57952915	57952922	+	0.000	0.000	Merged-chr11-57952769-40
NR4276--MA0037.3.GATA3	chr3	9867517	9867524	+	0.000	0.000	Merged-chr3-9867662-24
NR2574--MA0766.1.GATA5	chr15	62779103	62779110	-	0.000	0.000	Merged-chr15-62779143-25
NR2845--MA0766.1.GATA5	chr16	78237070	78237077	-	0.000	0.000	Merged-chr16-78236959-38
NR2835--MA0036.3.GATA2	chr16	66086701	66086711	+	0.000	0.000	Merged-chr16-66086640-17
NR3990--MA0036.3.GATA2	chr2	105022063	105022073	+	0.000	0.000	Merged-chr2-105022109-54
NR3422--MA0037.3.GATA3	chr18	79257457	79257464	+	0.000	0.000	Merged-chr18-79257508-110
NR1890--MA0140.2.GATA1::TAL1	chr13	58444182	58444199	-	0.000	0.000	Merged-chr13-58444018-18
NR6718--MA0036.3.GATA2	chr9	44772869	44772879	-	0.000	0.000	Merged-chr9-44772887-60
NR1196--MA0482.1.Gata4	chr11	75169169	75169179	+	0.000	0.000	Merged-chr11-75169080-24
NR756--MA1104.1.GATA6	chr10	59636910	59636922	+	0.000	0.000	Merged-chr10-59636988-40
NR663--MA0035.3.Gata1	chr10	13999025	13999035	-	0.000	0.000	Merged-chr10-13999186-36
NR187--MA0035.3.Gata1	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR5488--MA0766.1.GATA5	chr6	39284046	39284053	+	0.000	0.000	Merged-chr6-39284001-16
NR5625--MA0037.3.GATA3	chr6	108606934	108606941	-	0.000	0.000	Merged-chr6-108607013-11
NR2774--MA0035.3.Gata1	chr16	43661708	43661718	-	0.000	0.000	Merged-chr16-43661789-37
NR4353--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR3578--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR7000--MA1104.1.GATA6	chr9	107676231	107676243	-	0.000	0.000	Merged-chr9-107676090-54
NR214--MA0036.3.GATA2	chr1	105543278	105543288	-	0.000	0.000	Merged-chr1-105543373-21
NR838--MA0035.3.Gata1	chr10	82666661	82666671	+	0.000	0.000	Merged-chr10-82666640-30
NR3715--MA0140.2.GATA1::TAL1	chr2	12389239	12389256	-	0.000	0.000	Merged-chr2-12389274-16
NR1232--MA0037.3.GATA3	chr11	85454138	85454145	+	0.000	0.000	Merged-chr11-85454065-23
NR4191--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR2535--MA0035.3.Gata1	chr15	53222538	53222548	+	0.000	0.000	Merged-chr15-53222571-24
NR6650--MA1104.1.GATA6	chr8	128562983	128562995	-	0.000	0.000	Merged-chr8-128563020-29
NR6623--MA0035.3.Gata1	chr8	126824495	126824505	+	0.000	0.000	Merged-chr8-126824669-18
NR2992--MA0035.3.Gata1	chr17	18558831	18558841	-	0.000	0.000	Merged-chr17-18558777-104
NR1337--MA0482.1.Gata4	chr11	104538423	104538433	-	0.000	0.000	Merged-chr11-104538419-8
NR1608--MA0482.1.Gata4	chr12	91384509	91384519	-	0.000	0.000	Merged-chr12-91384407-62
NR442--MA0766.1.GATA5	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR2915--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR1497--MA1104.1.GATA6	chr12	35686611	35686623	+	0.000	0.000	Merged-chr12-35686484-17
NR4781--MA0035.3.Gata1	chr4	33189442	33189452	+	0.000	0.000	Merged-chr4-33189254-36
NR6631--MA0036.3.GATA2	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR7147--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR5171--MA1104.1.GATA6	chr5	64472606	64472618	-	0.000	0.000	Merged-chr5-64472447-77
NR2482--MA0035.3.Gata1	chr15	5108583	5108593	+	0.000	0.000	Merged-chr15-5108448-64
NR2548--MA0035.3.Gata1	chr15	59010877	59010887	+	0.000	0.000	Merged-chr15-59010782-34
NR3649--MA0482.1.Gata4	chr19	55688659	55688669	+	0.000	0.000	Merged-chr19-55688769-29
NR4390--MA0482.1.Gata4	chr3	82333843	82333853	+	0.000	0.000	Merged-chr3-82333766-35
NR6121--MA0036.3.GATA2	chr7	100449171	100449181	+	0.000	0.000	Merged-chr7-100449076-60
NR6402--MA0766.1.GATA5	chr8	36194320	36194327	-	0.000	0.000	Merged-chr8-36194183-57
NR4246--MA0766.1.GATA5	chr2	172405078	172405085	+	0.000	0.000	Merged-chr2-172405200-19
NR697--MA0036.3.GATA2	chr10	28518459	28518469	+	0.000	0.000	Merged-chr10-28518434-39
NR7072--MA0140.2.GATA1::TAL1	chr9	122014389	122014406	-	0.000	0.000	Merged-chr9-122014430-33
NR3073--MA0482.1.Gata4	chr17	48332829	48332839	+	0.000	0.000	Merged-chr17-48332786-43
NR6721--MA0482.1.Gata4	chr9	46015109	46015119	+	0.000	0.000	Merged-chr9-46015200-37
NR1459--MA0482.1.Gata4	chr12	14086786	14086796	+	0.000	0.000	Merged-chr12-14086767-28
NR4565--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR4380--MA0035.3.Gata1	chr3	79128064	79128074	-	0.000	0.000	Merged-chr3-79127993-19
NR4922--MA0035.3.Gata1	chr4	122872201	122872211	+	0.000	0.000	Merged-chr4-122872187-66
NR360--MA0482.1.Gata4	chr1	151002319	151002329	+	0.000	0.000	Merged-chr1-151002204-60
NR6102--MA0482.1.Gata4	chr7	89841971	89841981	-	0.000	0.000	Merged-chr7-89842093-31
NR4267--MA0140.2.GATA1::TAL1	chr2	180656823	180656840	-	0.000	0.000	Merged-chr2-180656918-1
NR2650--MA1104.1.GATA6	chr15	96778479	96778491	-	0.000	0.000	Merged-chr15-96778537-47
NR883--MA0482.1.Gata4	chr10	96201431	96201441	-	0.000	0.000	Merged-chr10-96201472-66
NR1909--MA0037.3.GATA3	chr13	66991739	66991746	+	0.000	0.000	Merged-chr13-66991703-16
NR6440--MA0035.3.Gata1	chr8	81766179	81766189	-	0.000	0.000	Merged-chr8-81766244-47
NR2302--MA1104.1.GATA6	chr14	56284546	56284558	-	0.000	0.000	Merged-chr14-56284559-51
NR729--MA0036.3.GATA2	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR1792--MA0036.3.GATA2	chr13	20094994	20095004	+	0.000	0.000	Merged-chr13-20095026-36
NR6692--MA0035.3.Gata1	chr9	35016830	35016840	+	0.000	0.000	Merged-chr9-35016972-25
NR1128--MA1104.1.GATA6	chr11	52314534	52314546	+	0.000	0.000	Merged-chr11-52314367-60
NR2375--MA0482.1.Gata4	chr14	79557826	79557836	-	0.000	0.000	Merged-chr14-79557870-40
NR5308--MA0482.1.Gata4	chr5	124012995	124013005	-	0.000	0.000	Merged-chr5-124013138-22
NR1142--MA0140.2.GATA1::TAL1	chr11	53656983	53657000	+	0.000	0.000	Merged-chr11-53657053-47
NR7097--MA0036.3.GATA2	chrX	37110342	37110352	-	0.000	0.000	Merged-chrX-37110282-56
NR1786--MA0140.2.GATA1::TAL1	chr13	13559105	13559122	+	0.000	0.000	Merged-chr13-13559096-31
NR3679--MA0037.3.GATA3	chr19	59926171	59926178	-	0.000	0.000	Merged-chr19-59926305-20
NR5503--MA0140.2.GATA1::TAL1	chr6	54158525	54158542	-	0.000	0.000	Merged-chr6-54158471-51
NR6724--MA0035.3.Gata1	chr9	46015108	46015118	+	0.000	0.000	Merged-chr9-46015200-37
NR2787--MA0036.3.GATA2	chr16	49774802	49774812	+	0.000	0.000	Merged-chr16-49774880-113
NR1594--MA0140.2.GATA1::TAL1	chr12	85703762	85703779	-	0.000	0.000	Merged-chr12-85703718-17
NR886--MA0035.3.Gata1	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR6833--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR824--MA0140.2.GATA1::TAL1	chr10	79417360	79417377	+	0.000	0.000	Merged-chr10-79417442-89
NR6732--MA0036.3.GATA2	chr9	48448116	48448126	+	0.000	0.000	Merged-chr9-48448010-22
NR4847--MA0036.3.GATA2	chr4	89486086	89486096	-	0.000	0.000	Merged-chr4-89486149-23
NR2240--MA0766.1.GATA5	chr14	40927279	40927286	+	0.000	0.000	Merged-chr14-40927194-29
NR6999--MA0482.1.Gata4	chr9	107676233	107676243	+	0.000	0.000	Merged-chr9-107676090-54
NR1869--MA0037.3.GATA3	chr13	46360724	46360731	+	0.000	0.000	Merged-chr13-46360893-14
NR4172--MA0766.1.GATA5	chr2	153147906	153147913	+	0.000	0.000	Merged-chr2-153147891-25
NR514--MA0482.1.Gata4	chr1	175672151	175672161	+	0.000	0.000	Merged-chr1-175671979-22
NR2804--MA1104.1.GATA6	chr16	58670208	58670220	-	0.000	0.000	Merged-chr16-58670422-58
NR3244--MA1104.1.GATA6	chr18	34783577	34783589	-	0.000	0.000	Merged-chr18-34783714-45
NR6323--MA0035.3.Gata1	chr7	140983188	140983198	+	0.000	0.000	Merged-chr7-140983161-18
NR2990--MA1104.1.GATA6	chr17	18558830	18558842	+	0.000	0.000	Merged-chr17-18558777-104
NR5447--MA1104.1.GATA6	chr6	4664522	4664534	-	0.000	0.000	Merged-chr6-4664595-18
NR4618--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR73--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR2657--MA0036.3.GATA2	chr15	98510666	98510676	+	0.000	0.000	Merged-chr15-98510679-15
NR1813--MA0766.1.GATA5	chr13	30777933	30777940	+	0.000	0.000	Merged-chr13-30777847-15
NR4794--MA0036.3.GATA2	chr4	40183011	40183021	+	0.000	0.000	Merged-chr4-40183077-21
NR1197--MA1104.1.GATA6	chr11	75169167	75169179	-	0.000	0.000	Merged-chr11-75169080-24
NR5630--MA0766.1.GATA5	chr6	108607018	108607025	-	0.000	0.000	Merged-chr6-108607013-11
NR384--MA0036.3.GATA2	chr1	153847115	153847125	-	0.000	0.000	Merged-chr1-153847127-37
NR732--MA0482.1.Gata4	chr10	40451942	40451952	+	0.000	0.000	Merged-chr10-40451996-39
NR3700--MA0140.2.GATA1::TAL1	chr2	9867382	9867399	-	0.000	0.000	Merged-chr2-9867507-76
NR2480--MA1104.1.GATA6	chr15	5108582	5108594	-	0.000	0.000	Merged-chr15-5108448-64
NR1912--MA0036.3.GATA2	chr13	66991737	66991747	-	0.000	0.000	Merged-chr13-66991703-16
NR4042--MA0766.1.GATA5	chr2	117399745	117399752	+	0.000	0.000	Merged-chr2-117399695-40
NR1398--MA0482.1.Gata4	chr11	111065057	111065067	-	0.000	0.000	Merged-chr11-111065000-37
NR4969--MA0036.3.GATA2	chr4	134746203	134746213	+	0.000	0.000	Merged-chr4-134746190-17
NR6726--MA0482.1.Gata4	chr9	46149548	46149558	-	0.000	0.000	Merged-chr9-46149631-49
NR288--MA0036.3.GATA2	chr1	131638414	131638424	-	0.000	0.000	Merged-chr1-131638408-68
NR6377--MA0140.2.GATA1::TAL1	chr8	27192317	27192334	-	0.000	0.000	Merged-chr8-27192491-24
NR517--MA0035.3.Gata1	chr1	175672150	175672160	+	0.000	0.000	Merged-chr1-175671979-22
NR4427--MA0482.1.Gata4	chr3	96675627	96675637	+	0.000	0.000	Merged-chr3-96675499-26
NR3068--MA0035.3.Gata1	chr17	44893785	44893795	-	0.000	0.000	Merged-chr17-44893726-24
NR6445--MA0035.3.Gata1	chr8	83779752	83779762	+	0.000	0.000	Merged-chr8-83779707-23
NR3985--MA0037.3.GATA3	chr2	104763430	104763437	+	0.000	0.000	Merged-chr2-104763396-33
NR3682--MA0036.3.GATA2	chr19	59926170	59926180	+	0.000	0.000	Merged-chr19-59926305-20
NR3892--MA0035.3.Gata1	chr2	75119412	75119422	+	0.000	0.000	Merged-chr2-75119235-19
NR6944--MA0482.1.Gata4	chr9	95289190	95289200	-	0.000	0.000	Merged-chr9-95289296-28
NR1612--MA0035.3.Gata1	chr12	91746101	91746111	-	0.000	0.000	Merged-chr12-91745848-45
NR2052--MA0035.3.Gata1	chr13	100015781	100015791	-	0.000	0.000	Merged-chr13-100015738-57
NR6248--MA0036.3.GATA2	chr7	125472208	125472218	+	0.000	0.000	Merged-chr7-125472313-74
NR1609--MA0037.3.GATA3	chr12	91746103	91746110	+	0.000	0.000	Merged-chr12-91745848-45
NR464--MA0035.3.Gata1	chr1	165985895	165985905	-	0.000	0.000	Merged-chr1-165985990-54
NR1864--MA0035.3.Gata1	chr13	44089107	44089117	+	0.000	0.000	Merged-chr13-44088979-30
NR2575--MA0035.3.Gata1	chr15	62779102	62779112	+	0.000	0.000	Merged-chr15-62779143-25
NR6105--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR1840--MA0482.1.Gata4	chr13	37325801	37325811	+	0.000	0.000	Merged-chr13-37325634-26
NR678--MA0140.2.GATA1::TAL1	chr10	19577780	19577797	-	0.000	0.000	Merged-chr10-19577648-1
NR4401--MA0140.2.GATA1::TAL1	chr3	84772169	84772186	-	0.000	0.000	Merged-chr3-84772067-31
NR3584--MA0037.3.GATA3	chr19	34254497	34254504	-	0.000	0.000	Merged-chr19-34254414-29
NR3562--MA0766.1.GATA5	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR1872--MA0036.3.GATA2	chr13	46360722	46360732	-	0.000	0.000	Merged-chr13-46360893-14
NR65--MA0037.3.GATA3	chr1	61402630	61402637	-	0.000	0.000	Merged-chr1-61402618-25
NR550--MA0140.2.GATA1::TAL1	chr1	181842529	181842546	+	0.000	0.000	Merged-chr1-181842712-4
NR3074--MA1104.1.GATA6	chr17	48332827	48332839	-	0.000	0.000	Merged-chr17-48332786-43
NR6722--MA1104.1.GATA6	chr9	46015107	46015119	-	0.000	0.000	Merged-chr9-46015200-37
NR4566--MA1104.1.GATA6	chr3	133332577	133332589	-	0.000	0.000	Merged-chr3-133332565-72
NR3759--MA0037.3.GATA3	chr2	31081560	31081567	+	0.000	0.000	Merged-chr2-31081632-31
