#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR2698--MA0463.1.Bcl6	chrX	73082485	73082498	-	0.000	0.000	Merged-chrX-73082481-64
NR1814--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR2125--MA0463.1.Bcl6	chr5	142909449	142909462	+	0.000	0.000	Merged-chr5-142909413-47
NR1781--MA0731.1.BCL6B	chr4	9630902	9630918	-	0.000	0.000	Merged-chr4-9631004-95
NR1935--MA0463.1.Bcl6	chr4	130931051	130931064	+	0.000	0.000	Merged-chr4-130930977-2
NR479--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR1165--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR208--MA0731.1.BCL6B	chr1	180778302	180778318	-	0.000	0.000	Merged-chr1-180778261-1
NR282--MA0463.1.Bcl6	chr10	34127943	34127956	-	0.000	0.000	Merged-chr10-34127873-95
NR1707--MA0463.1.Bcl6	chr3	129308435	129308448	+	0.000	0.000	Merged-chr3-129308560-67
NR1922--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR2428--MA0731.1.BCL6B	chr7	125551776	125551792	+	0.000	0.000	Merged-chr7-125551601-1
NR1032--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR1819--MA0463.1.Bcl6	chr4	43972343	43972356	-	0.000	0.000	Merged-chr4-43972345-49
NR1760--MA0731.1.BCL6B	chr3	152920442	152920458	-	0.000	0.000	Merged-chr3-152920565-52
NR721--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR1949--MA0463.1.Bcl6	chr4	145312772	145312785	-	0.000	0.000	Merged-chr4-145312696-44
NR1568--MA0731.1.BCL6B	chr2	162931369	162931385	-	0.000	0.000	Merged-chr2-162931607-133
NR1967--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1677--MA0731.1.BCL6B	chr3	100969745	100969761	+	0.000	0.000	Merged-chr3-100969599-56
NR990--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR623--MA0463.1.Bcl6	chr13	12257807	12257820	+	0.000	0.000	Merged-chr13-12257954-77
NR2399--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR744--MA0463.1.Bcl6	chr13	106936883	106936896	-	0.000	0.000	Merged-chr13-106936851-56
NR1547--MA0731.1.BCL6B	chr2	145957574	145957590	-	0.000	0.000	Merged-chr2-145957643-25
NR1513--MA0731.1.BCL6B	chr2	130664268	130664284	-	0.000	0.000	Merged-chr2-130664423-57
NR874--MA0463.1.Bcl6	chr14	79290614	79290627	+	0.000	0.000	Merged-chr14-79290638-34
NR461--MA0731.1.BCL6B	chr11	95261347	95261363	-	0.000	0.000	Merged-chr11-95261394-7
NR2128--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR2095--MA0463.1.Bcl6	chr5	105718531	105718544	-	0.000	0.000	Merged-chr5-105718341-55
NR664--MA0463.1.Bcl6	chr13	41097586	41097599	+	0.000	0.000	Merged-chr13-41097728-40
NR440--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR2660--MA0731.1.BCL6B	chr9	103207871	103207887	-	0.000	0.000	Merged-chr9-103208007-48
NR1216--MA0463.1.Bcl6	chr17	78994670	78994683	+	0.000	0.000	Merged-chr17-78994621-3
NR1346--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR2682--MA0463.1.Bcl6	chrX	12006392	12006405	+	0.000	0.000	Merged-chrX-12006353-78
NR351--MA0463.1.Bcl6	chr10	94552062	94552075	+	0.000	0.000	Merged-chr10-94552139-57
NR1008--MA0731.1.BCL6B	chr15	102109295	102109311	+	0.000	0.000	Merged-chr15-102109338-20
NR2557--MA0463.1.Bcl6	chr8	122556837	122556850	-	0.000	0.000	Merged-chr8-122556749-52
NR1322--MA0731.1.BCL6B	chr19	3731212	3731228	-	0.000	0.000	Merged-chr19-3731314-18
NR481--MA0463.1.Bcl6	chr11	114745307	114745320	-	0.000	0.000	Merged-chr11-114745299-23
NR955--MA0731.1.BCL6B	chr15	36938043	36938059	-	0.000	0.000	Merged-chr15-36937970-1
NR123--MA0463.1.Bcl6	chr1	106595290	106595303	+	0.000	0.000	Merged-chr1-106595404-4
NR2360--MA0463.1.Bcl6	chr7	67353779	67353792	-	0.000	0.000	Merged-chr7-67353683-35
NR2208--MA0463.1.Bcl6	chr6	72401946	72401959	-	0.000	0.000	Merged-chr6-72402055-12
NR2472--MA0463.1.Bcl6	chr8	40961932	40961945	-	0.000	0.000	Merged-chr8-40961976-32
NR1444--MA0731.1.BCL6B	chr2	72283051	72283067	+	0.000	0.000	Merged-chr2-72282934-17
NR2356--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR1499--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR1038--MA0463.1.Bcl6	chr16	13448032	13448045	+	0.000	0.000	Merged-chr16-13448119-36
NR2392--MA0463.1.Bcl6	chr7	97696750	97696763	+	0.000	0.000	Merged-chr7-97696718-62
NR1177--MA0463.1.Bcl6	chr17	35997138	35997151	-	0.000	0.000	Merged-chr17-35997233-37
NR500--MA0463.1.Bcl6	chr12	16533510	16533523	-	0.000	0.000	Merged-chr12-16533665-29
NR2276--MA0463.1.Bcl6	chr6	131276621	131276634	-	0.000	0.000	Merged-chr6-131276753-31
