#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR5837--MA0501.1.MAF::NFE2	chr17	31789323	31789337	+	0.000	0.000	Merged-chr17-31789470-34
NR8354--MA0591.1.Bach1::Mafk	chr3	61345900	61345914	+	0.000	0.000	Merged-chr3-61345898-20
NR7796--MA0089.1.MAFG::NFE2L1	chr2	154603870	154603875	+	0.000	0.000	Merged-chr2-154603925-61
NR1011--MA0117.2.Mafb	chr1	185404171	185404182	-	0.000	0.000	Merged-chr1-185404130-28
NR1415--MA0089.1.MAFG::NFE2L1	chr10	41477337	41477342	-	0.000	0.000	Merged-chr10-41477275-81
NR5889--MA0501.1.MAF::NFE2	chr17	36042869	36042883	-	0.000	0.000	Merged-chr17-36042760-57
NR4958--MA0591.1.Bach1::Mafk	chr15	81166475	81166489	-	0.000	0.000	Merged-chr15-81166483-2
NR9868--MA0089.1.MAFG::NFE2L1	chr4	155207923	155207928	+	0.000	0.000	Merged-chr4-155207729-1
NR5266--MA0495.2.MAFF	chr16	36666059	36666079	-	0.000	0.000	Merged-chr16-36665954-31
NR1262--MA0659.1.MAFG	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR9658--MA0501.1.MAF::NFE2	chr4	117202283	117202297	+	0.000	0.000	Merged-chr4-117202479-67
NR8655--MA0501.1.MAF::NFE2	chr3	106449625	106449639	-	0.000	0.000	Merged-chr3-106449359-119
NR10917--MA0591.1.Bach1::Mafk	chr6	41152191	41152205	+	0.000	0.000	Merged-chr6-41152178-27
NR11599--MA0089.1.MAFG::NFE2L1	chr6	142867533	142867538	+	0.000	0.000	Merged-chr6-142867733-58
NR6765--MA0089.1.MAFG::NFE2L1	chr19	9991389	9991394	+	0.000	0.000	Merged-chr19-9991497-15
NR12982--MA0591.1.Bach1::Mafk	chr8	128391561	128391575	-	0.000	0.000	Merged-chr8-128391383-45
NR13062--MA0496.2.MAFK	chr9	21526303	21526321	+	0.000	0.000	Merged-chr9-21526182-42
NR5711--MA0501.1.MAF::NFE2	chr17	12301061	12301075	-	0.000	0.000	Merged-chr17-12301160-36
NR529--MA0496.2.MAFK	chr1	95263049	95263067	-	0.000	0.000	Merged-chr1-95263160-5
NR1000--MA0496.2.MAFK	chr1	180268832	180268850	+	0.000	0.000	Merged-chr1-180268774-35
NR8661--MA0495.2.MAFF	chr3	107278812	107278832	+	0.000	0.000	Merged-chr3-107279033-49
NR2106--MA0659.1.MAFG	chr11	11573642	11573662	+	0.000	0.000	Merged-chr11-11573827-37
NR2820--MA0089.1.MAFG::NFE2L1	chr12	70999533	70999538	+	0.000	0.000	Merged-chr12-70999631-61
NR3303--MA0117.2.Mafb	chr13	51651721	51651732	+	0.000	0.000	Merged-chr13-51651703-54
NR9599--MA0501.1.MAF::NFE2	chr4	98035568	98035582	-	0.000	0.000	Merged-chr4-98035513-10
NR6365--MA0495.2.MAFF	chr18	39068273	39068293	+	0.000	0.000	Merged-chr18-39068377-42
NR5823--MA0117.2.Mafb	chr17	29171515	29171526	+	0.000	0.000	Merged-chr17-29171353-19
NR1591--MA0496.2.MAFK	chr10	67512299	67512317	+	0.000	0.000	Merged-chr10-67512381-13
NR783--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR13152--MA0089.1.MAFG::NFE2L1	chr9	54642838	54642843	+	0.000	0.000	Merged-chr9-54642751-52
NR7893--MA0496.2.MAFK	chr2	168583322	168583340	-	0.000	0.000	Merged-chr2-168583356-49
NR1690--MA0089.1.MAFG::NFE2L1	chr10	82887508	82887513	-	0.000	0.000	Merged-chr10-82887554-36
NR7604--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR13423--MA0591.1.Bach1::Mafk	chr9	108597639	108597653	+	0.000	0.000	Merged-chr9-108597519-47
NR8464--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
