#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR3307--MA0002.2.RUNX1	chr15	36733859	36733869	+	0.000	0.000	Merged-chr15-36733808-27
NR5814--MA0511.2.RUNX2	chr3	60531040	60531048	+	0.000	0.000	Merged-chr3-60530998-30
NR3658--MA0511.2.RUNX2	chr16	23264253	23264261	+	0.000	0.000	Merged-chr16-23264212-1
NR4098--MA0511.2.RUNX2	chr17	19435175	19435183	+	0.000	0.000	Merged-chr17-19435269-18
NR9204--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR9261--MA0002.2.RUNX1	chr9	92217818	92217828	+	0.000	0.000	Merged-chr9-92217904-40
NR1293--MA0511.2.RUNX2	chr10	119382451	119382459	-	0.000	0.000	Merged-chr10-119382475-33
NR8950--MA0684.1.RUNX3	chr8	128473688	128473697	+	0.000	0.000	Merged-chr8-128473725-2
NR3416--MA0002.2.RUNX1	chr15	62165005	62165015	+	0.000	0.000	Merged-chr15-62164994-48
NR846--MA0002.2.RUNX1	chr10	12614550	12614560	-	0.000	0.000	Merged-chr10-12614708-18
NR1465--MA0002.2.RUNX1	chr11	35537601	35537611	-	0.000	0.000	Merged-chr11-35537638-11
NR2119--MA0684.1.RUNX3	chr12	98269813	98269822	+	0.000	0.000	Merged-chr12-98269804-132
NR3274--MA0684.1.RUNX3	chr15	30463080	30463089	+	0.000	0.000	Merged-chr15-30463100-4
NR5077--MA0002.2.RUNX1	chr2	52315966	52315976	+	0.000	0.000	Merged-chr2-52315890-51
NR5348--MA0002.2.RUNX1	chr2	128470658	128470668	-	0.000	0.000	Merged-chr2-128470524-44
NR8930--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR7855--MA0511.2.RUNX2	chr6	120077253	120077261	+	0.000	0.000	Merged-chr6-120077232-23
NR1988--MA0002.2.RUNX1	chr12	70123785	70123795	-	0.000	0.000	Merged-chr12-70123693-6
NR9165--MA0002.2.RUNX1	chr9	70524445	70524455	+	0.000	0.000	Merged-chr9-70524539-1
NR7904--MA0684.1.RUNX3	chr6	128007301	128007310	+	0.000	0.000	Merged-chr6-128007455-5
NR3797--MA0684.1.RUNX3	chr16	57495697	57495706	-	0.000	0.000	Merged-chr16-57495758-66
NR5605--MA0684.1.RUNX3	chr3	9828679	9828688	+	0.000	0.000	Merged-chr3-9828773-58
NR3449--MA0684.1.RUNX3	chr15	73225334	73225343	+	0.000	0.000	Merged-chr15-73225223-4
NR5728--MA0002.2.RUNX1	chr3	41077544	41077554	+	0.000	0.000	Merged-chr3-41077638-22
NR812--MA0002.2.RUNX1	chr10	7834907	7834917	-	0.000	0.000	Merged-chr10-7835023-26
NR9422--MA0684.1.RUNX3	chrX	11647196	11647205	+	0.000	0.000	Merged-chrX-11647127-35
NR3733--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR7594--MA0002.2.RUNX1	chr6	50596767	50596777	+	0.000	0.000	Merged-chr6-50596805-84
NR5043--MA0002.2.RUNX1	chr2	45197066	45197076	-	0.000	0.000	Merged-chr2-45197380-25
