#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR33037--MA0741.1.KLF16	chr19	5567927	5567937	-	0.000	0.000	Merged-chr19-5567991-110
NR3235--MA0742.1.Klf12	chr1	155742404	155742418	-	0.000	0.000	Merged-chr1-155742292-41
NR63258--MA0599.1.KLF5	chr7	133776805	133776814	+	0.000	0.000	Merged-chr7-133776611-71
NR16227--MA1107.1.KLF9	chr13	13784334	13784346	-	0.000	0.000	Merged-chr13-13784433-81
NR1174--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR16903--MA1107.1.KLF9	chr13	51101682	51101694	-	0.000	0.000	Merged-chr13-51101722-7
NR23141--MA0599.1.KLF5	chr15	61538990	61538999	+	0.000	0.000	Merged-chr15-61539170-27
NR46643--MA0742.1.Klf12	chr4	107253785	107253799	-	0.000	0.000	Merged-chr4-107253637-93
NR44941--MA0741.1.KLF16	chr4	40722379	40722389	+	0.000	0.000	Merged-chr4-40722214-26
NR18724--MA0740.1.KLF14	chr13	111725455	111725468	+	0.000	0.000	Merged-chr13-111725455-80
NR58757--MA0493.1.Klf1	chr7	3617324	3617334	-	0.000	0.000	Merged-chr7-3617392-59
NR17224--MA0599.1.KLF5	chr13	58359137	58359146	+	0.000	0.000	Merged-chr13-58359164-70
NR26948--MA0599.1.KLF5	chr16	90220989	90220998	+	0.000	0.000	Merged-chr16-90220998-103
NR38285--MA0599.1.KLF5	chr2	131127350	131127359	+	0.000	0.000	Merged-chr2-131127461-8
NR29469--MA0741.1.KLF16	chr17	55959464	55959474	+	0.000	0.000	Merged-chr17-55959368-72
NR69899--MA1107.1.KLF9	chr9	85319577	85319589	-	0.000	0.000	Merged-chr9-85319747-2
NR23--MA0740.1.KLF14	chr1	6454097	6454110	+	0.000	0.000	Merged-chr1-6454252-50
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR39542--MA0742.1.Klf12	chr2	165983252	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR37964--MA0740.1.KLF14	chr2	121355267	121355280	+	0.000	0.000	Merged-chr2-121355266-61
NR68523--MA0741.1.KLF16	chr9	46012747	46012757	+	0.000	0.000	Merged-chr9-46012745-59
NR55925--MA0741.1.KLF16	chr6	73248456	73248466	+	0.000	0.000	Merged-chr6-73248594-64
NR65012--MA0742.1.Klf12	chr8	60993047	60993061	+	0.000	0.000	Merged-chr8-60993240-112
NR71788--MA0741.1.KLF16	chrX	12160145	12160155	+	0.000	0.000	Merged-chrX-12160238-21
NR53353--MA0599.1.KLF5	chr5	135632599	135632608	+	0.000	0.000	Merged-chr5-135632742-49
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR8883--MA0741.1.KLF16	chr10	127188917	127188927	+	0.000	0.000	Merged-chr10-127189101-51
NR58884--MA0740.1.KLF14	chr7	6286455	6286468	-	0.000	0.000	Merged-chr7-6286404-52
NR42470--MA0599.1.KLF5	chr3	104638363	104638372	-	0.000	0.000	Merged-chr3-104638712-128
NR31863--MA0039.3.KLF4	chr18	63692398	63692408	+	0.000	0.000	Merged-chr18-63692384-62
NR45466--MA0493.1.Klf1	chr4	53012172	53012182	-	0.000	0.000	Merged-chr4-53012213-75
NR656--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR38280--MA0741.1.KLF16	chr2	130840169	130840179	-	0.000	0.000	Merged-chr2-130839995-87
