#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR4247--MA0496.2.MAFK	chr15	51823241	51823259	+	0.000	0.000	Merged-chr15-51823268-39
NR4923--MA0496.2.MAFK	chr16	84879330	84879348	+	0.000	0.000	Merged-chr16-84879378-33
NR9075--MA0089.1.MAFG::NFE2L1	chr5	65867631	65867636	+	0.000	0.000	Merged-chr5-65867573-52
NR8676--MA0591.1.Bach1::Mafk	chr4	139599008	139599022	+	0.000	0.000	Merged-chr4-139599159-54
NR261--MA0501.1.MAF::NFE2	chr1	75179400	75179414	+	0.000	0.000	Merged-chr1-75179465-11
NR2300--MA0496.2.MAFK	chr11	106387155	106387173	+	0.000	0.000	Merged-chr11-106387264-9
NR7204--MA0591.1.Bach1::Mafk	chr2	155775571	155775585	-	0.000	0.000	Merged-chr2-155775687-14
NR1906--MA0089.1.MAFG::NFE2L1	chr11	49984007	49984012	+	0.000	0.000	Merged-chr11-49984021-27
NR5227--MA0591.1.Bach1::Mafk	chr17	35046802	35046816	-	0.000	0.000	Merged-chr17-35046725-56
NR645--MA0089.1.MAFG::NFE2L1	chr1	159232228	159232233	-	0.000	0.000	Merged-chr1-159232355-108
NR6037--MA0501.1.MAF::NFE2	chr19	21646543	21646557	-	0.000	0.000	Merged-chr19-21646506-24
NR5034--MA0501.1.MAF::NFE2	chr16	96358152	96358166	-	0.000	0.000	Merged-chr16-96358039-35
NR9868--MA0591.1.Bach1::Mafk	chr6	87009831	87009845	+	0.000	0.000	Merged-chr6-87009904-63
NR12304--MA0495.2.MAFF	chr9	114787911	114787931	-	0.000	0.000	Merged-chr9-114787935-34
NR6100--MA0496.2.MAFK	chr19	33160167	33160185	+	0.000	0.000	Merged-chr19-33160221-22
NR4705--MA0089.1.MAFG::NFE2L1	chr16	30067035	30067040	+	0.000	0.000	Merged-chr16-30066931-47
NR9753--MA0089.1.MAFG::NFE2L1	chr6	54902653	54902658	+	0.000	0.000	Merged-chr6-54902774-18
NR7213--MA0495.2.MAFF	chr2	157190846	157190866	-	0.000	0.000	Merged-chr2-157190874-9
NR215--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR10493--MA0117.2.Mafb	chr7	25105877	25105888	+	0.000	0.000	Merged-chr7-25106011-25
NR4775--MA0501.1.MAF::NFE2	chr16	44778937	44778951	-	0.000	0.000	Merged-chr16-44778885-37
NR6421--MA0591.1.Bach1::Mafk	chr2	32236636	32236650	-	0.000	0.000	Merged-chr2-32236605-69
NR7405--MA0496.2.MAFK	chr2	174566022	174566040	-	0.000	0.000	Merged-chr2-174566072-46
NR10124--MA0591.1.Bach1::Mafk	chr6	124805730	124805744	+	0.000	0.000	Merged-chr6-124805887-69
NR1511--MA0591.1.Bach1::Mafk	chr10	98880177	98880191	+	0.000	0.000	Merged-chr10-98880383-54
NR3623--MA0496.2.MAFK	chr13	114886265	114886283	+	0.000	0.000	Merged-chr13-114886416-28
NR6539--MA0496.2.MAFK	chr2	52938454	52938472	+	0.000	0.000	Merged-chr2-52938398-15
NR3286--MA0089.1.MAFG::NFE2L1	chr13	56219619	56219624	-	0.000	0.000	Merged-chr13-56219461-20
NR449--MA0495.2.MAFF	chr1	120245346	120245366	-	0.000	0.000	Merged-chr1-120245236-2
NR7290--MA0089.1.MAFG::NFE2L1	chr2	167081817	167081822	+	0.000	0.000	Merged-chr2-167081720-23
NR12271--MA0501.1.MAF::NFE2	chr9	109933210	109933224	-	0.000	0.000	Merged-chr9-109933179-5
NR7215--MA0659.1.MAFG	chr2	157190846	157190866	+	0.000	0.000	Merged-chr2-157190874-9
NR9630--MA0495.2.MAFF	chr6	29735986	29736006	-	0.000	0.000	Merged-chr6-29735888-24
NR5681--MA0591.1.Bach1::Mafk	chr18	43477803	43477817	-	0.000	0.000	Merged-chr18-43477812-17
NR6445--MA0496.2.MAFK	chr2	34140006	34140024	+	0.000	0.000	Merged-chr2-34139840-30
NR6371--MA0117.2.Mafb	chr2	18800281	18800292	+	0.000	0.000	Merged-chr2-18800160-25
NR9763--MA0591.1.Bach1::Mafk	chr6	59411876	59411890	-	0.000	0.000	Merged-chr6-59411943-3
NR11769--MA0496.2.MAFK	chr8	128148523	128148541	+	0.000	0.000	Merged-chr8-128148641-36
NR4848--MA0495.2.MAFF	chr16	57500955	57500975	+	0.000	0.000	Merged-chr16-57500995-13
NR7228--MA0089.1.MAFG::NFE2L1	chr2	158666585	158666590	+	0.000	0.000	Merged-chr2-158666771-26
NR4529--MA0089.1.MAFG::NFE2L1	chr15	97768026	97768031	-	0.000	0.000	Merged-chr15-97767936-47
NR10164--MA0089.1.MAFG::NFE2L1	chr6	128438506	128438511	-	0.000	0.000	Merged-chr6-128438411-111
NR5330--MA0089.1.MAFG::NFE2L1	chr17	57126043	57126048	+	0.000	0.000	Merged-chr17-57126152-41
NR11960--MA0089.1.MAFG::NFE2L1	chr9	60688176	60688181	+	0.000	0.000	Merged-chr9-60688007-55
NR9664--MA0089.1.MAFG::NFE2L1	chr6	34863004	34863009	-	0.000	0.000	Merged-chr6-34862986-94
NR11914--MA0501.1.MAF::NFE2	chr9	53603581	53603595	-	0.000	0.000	Merged-chr9-53603556-33
NR3865--MA0496.2.MAFK	chr14	64434221	64434239	+	0.000	0.000	Merged-chr14-64434245-45
NR1256--MA0501.1.MAF::NFE2	chr10	60162722	60162736	-	0.000	0.000	Merged-chr10-60162645-38
NR11886--MA0089.1.MAFG::NFE2L1	chr9	44582570	44582575	-	0.000	0.000	Merged-chr9-44582588-15
NR9520--MA0117.2.Mafb	chr5	148554828	148554839	-	0.000	0.000	Merged-chr5-148554881-35
NR6979--MA0501.1.MAF::NFE2	chr2	132269394	132269408	+	0.000	0.000	Merged-chr2-132269487-27
NR9507--MA0659.1.MAFG	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR12114--MA0501.1.MAF::NFE2	chr9	82967393	82967407	-	0.000	0.000	Merged-chr9-82967336-26
NR5616--MA0591.1.Bach1::Mafk	chr18	32147664	32147678	+	0.000	0.000	Merged-chr18-32147620-36
NR10953--MA0495.2.MAFF	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR5938--MA0591.1.Bach1::Mafk	chr19	4037976	4037990	+	0.000	0.000	Merged-chr19-4037964-42
NR4427--MA0089.1.MAFG::NFE2L1	chr15	80219461	80219466	-	0.000	0.000	Merged-chr15-80219438-40
NR4803--MA0089.1.MAFG::NFE2L1	chr16	50736973	50736978	-	0.000	0.000	Merged-chr16-50736996-81
NR6235--MA0496.2.MAFK	chr19	57882132	57882150	+	0.000	0.000	Merged-chr19-57882261-17
NR4185--MA0496.2.MAFK	chr15	34389086	34389104	-	0.000	0.000	Merged-chr15-34389092-27
NR5077--MA0501.1.MAF::NFE2	chr17	7164068	7164082	-	0.000	0.000	Merged-chr17-7164154-31
NR1815--MA0089.1.MAFG::NFE2L1	chr11	23754468	23754473	+	0.000	0.000	Merged-chr11-23754497-34
NR3788--MA0089.1.MAFG::NFE2L1	chr14	49226072	49226077	-	0.000	0.000	Merged-chr14-49226087-9
NR4639--MA0591.1.Bach1::Mafk	chr16	18343883	18343897	-	0.000	0.000	Merged-chr16-18343895-61
NR4729--MA0089.1.MAFG::NFE2L1	chr16	33445145	33445150	-	0.000	0.000	Merged-chr16-33445273-4
NR11051--MA0659.1.MAFG	chr7	127014384	127014404	-	0.000	0.000	Merged-chr7-127014477-45
NR265--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR1902--MA0089.1.MAFG::NFE2L1	chr11	49177163	49177168	+	0.000	0.000	Merged-chr11-49177180-1
NR11784--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR5791--MA0591.1.Bach1::Mafk	chr18	67301726	67301740	+	0.000	0.000	Merged-chr18-67301646-31
NR1749--MA0591.1.Bach1::Mafk	chr11	5099440	5099454	-	0.000	0.000	Merged-chr11-5099369-106
NR2455--MA0089.1.MAFG::NFE2L1	chr11	119806512	119806517	+	0.000	0.000	Merged-chr11-119806714-21
NR4541--MA0117.2.Mafb	chr15	99644037	99644048	-	0.000	0.000	Merged-chr15-99643998-26
NR10580--MA0501.1.MAF::NFE2	chr7	49093858	49093872	-	0.000	0.000	Merged-chr7-49093959-29
NR6424--MA0591.1.Bach1::Mafk	chr2	32867505	32867519	-	0.000	0.000	Merged-chr2-32867635-14
NR11487--MA0501.1.MAF::NFE2	chr8	94812834	94812848	-	0.000	0.000	Merged-chr8-94812976-23
NR830--MA0495.2.MAFF	chr1	181866628	181866648	-	0.000	0.000	Merged-chr1-181866572-42
NR2319--MA0496.2.MAFK	chr11	108094972	108094990	+	0.000	0.000	Merged-chr11-108095008-29
NR11029--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR10551--MA0089.1.MAFG::NFE2L1	chr7	44528080	44528085	-	0.000	0.000	Merged-chr7-44527953-37
NR8693--MA0495.2.MAFF	chr4	141861994	141862014	-	0.000	0.000	Merged-chr4-141862091-43
NR7488--MA0501.1.MAF::NFE2	chr3	9853473	9853487	-	0.000	0.000	Merged-chr3-9853322-69
NR11319--MA0591.1.Bach1::Mafk	chr8	61359314	61359328	+	0.000	0.000	Merged-chr8-61359308-50
NR6940--MA0591.1.Bach1::Mafk	chr2	128087140	128087154	+	0.000	0.000	Merged-chr2-128087251-38
NR11600--MA0495.2.MAFF	chr8	117328923	117328943	+	0.000	0.000	Merged-chr8-117329052-8
NR12475--MA0495.2.MAFF	chrX	77801762	77801782	+	0.000	0.000	Merged-chrX-77801758-16
NR3561--MA0496.2.MAFK	chr13	108853810	108853828	+	0.000	0.000	Merged-chr13-108853912-1
NR11682--MA0089.1.MAFG::NFE2L1	chr8	124255706	124255711	-	0.000	0.000	Merged-chr8-124255729-8
NR2145--MA0495.2.MAFF	chr11	85324146	85324166	-	0.000	0.000	Merged-chr11-85324179-42
NR6232--MA0591.1.Bach1::Mafk	chr19	57882134	57882148	-	0.000	0.000	Merged-chr19-57882261-17
NR2337--MA0496.2.MAFK	chr11	109480130	109480148	+	0.000	0.000	Merged-chr11-109480065-23
NR3606--MA0501.1.MAF::NFE2	chr13	113170414	113170428	+	0.000	0.000	Merged-chr13-113170375-49
NR5963--MA0591.1.Bach1::Mafk	chr19	5818192	5818206	+	0.000	0.000	Merged-chr19-5818156-38
NR7513--MA0089.1.MAFG::NFE2L1	chr3	21911158	21911163	+	0.000	0.000	Merged-chr3-21911228-38
NR398--MA0659.1.MAFG	chr1	95573349	95573369	-	0.000	0.000	Merged-chr1-95573255-46
NR11493--MA0089.1.MAFG::NFE2L1	chr8	95697370	95697375	-	0.000	0.000	Merged-chr8-95697272-29
NR259--MA0117.2.Mafb	chr1	75168894	75168905	-	0.000	0.000	Merged-chr1-75168775-61
NR11169--MA0501.1.MAF::NFE2	chr7	142340706	142340720	+	0.000	0.000	Merged-chr7-142340765-26
NR8268--MA0089.1.MAFG::NFE2L1	chr4	59330184	59330189	-	0.000	0.000	Merged-chr4-59330147-19
NR11505--MA0089.1.MAFG::NFE2L1	chr8	95915099	95915104	-	0.000	0.000	Merged-chr8-95915075-27
NR12058--MA0089.1.MAFG::NFE2L1	chr9	72955784	72955789	-	0.000	0.000	Merged-chr9-72955826-8
NR12042--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	+	0.000	0.000	Merged-chr9-69125560-59
NR7600--MA0089.1.MAFG::NFE2L1	chr3	67374057	67374062	+	0.000	0.000	Merged-chr3-67374115-44
