#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1223--MA0482.1.Gata4	chr11	82915121	82915131	-	0.000	0.000	Merged-chr11-82915100-27
NR1018--MA0482.1.Gata4	chr10	125330208	125330218	+	0.000	0.000	Merged-chr10-125330277-12
NR2499--MA0140.2.GATA1::TAL1	chr15	12588890	12588907	+	0.000	0.000	Merged-chr15-12588856-30
NR3605--MA1104.1.GATA6	chr19	41321188	41321200	+	0.000	0.000	Merged-chr19-41321209-31
NR3036--MA0035.3.Gata1	chr17	34628038	34628048	+	0.000	0.000	Merged-chr17-34628097-3
NR6142--MA0035.3.Gata1	chr7	105527416	105527426	+	0.000	0.000	Merged-chr7-105527524-9
NR2486--MA0766.1.GATA5	chr15	8073376	8073383	+	0.000	0.000	Merged-chr15-8073323-37
NR67--MA1104.1.GATA6	chr1	61402628	61402640	-	0.000	0.000	Merged-chr1-61402618-25
NR1507--MA0482.1.Gata4	chr12	39920867	39920877	-	0.000	0.000	Merged-chr12-39920734-11
NR1415--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR3172--MA0037.3.GATA3	chr17	79603740	79603747	-	0.000	0.000	Merged-chr17-79603742-19
NR3219--MA0036.3.GATA2	chr18	4349947	4349957	-	0.000	0.000	Merged-chr18-4350067-14
NR6530--MA0036.3.GATA2	chr8	114888651	114888661	+	0.000	0.000	Merged-chr8-114888790-56
NR607--MA0035.3.Gata1	chr1	189841524	189841534	-	0.000	0.000	Merged-chr1-189841407-2
NR2652--MA0035.3.Gata1	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR5109--MA0035.3.Gata1	chr5	28123271	28123281	+	0.000	0.000	Merged-chr5-28123342-28
NR859--MA0035.3.Gata1	chr10	93228775	93228785	-	0.000	0.000	Merged-chr10-93228796-6
NR6535--MA0035.3.Gata1	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR3979--MA1104.1.GATA6	chr2	103652310	103652322	-	0.000	0.000	Merged-chr2-103652335-51
NR6240--MA0482.1.Gata4	chr7	123108636	123108646	-	0.000	0.000	Merged-chr7-123108481-68
NR3932--MA0037.3.GATA3	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR2854--MA1104.1.GATA6	chr16	84603166	84603178	+	0.000	0.000	Merged-chr16-84602933-51
NR1776--MA0037.3.GATA3	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR4340--MA0036.3.GATA2	chr3	52878542	52878552	+	0.000	0.000	Merged-chr3-52878450-55
NR2261--MA0482.1.Gata4	chr14	48422360	48422370	-	0.000	0.000	Merged-chr14-48422314-53
NR3176--MA0766.1.GATA5	chr17	80323832	80323839	-	0.000	0.000	Merged-chr17-80323753-51
NR2803--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR46--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR4863--MA0036.3.GATA2	chr4	95530934	95530944	-	0.000	0.000	Merged-chr4-95530923-13
NR283--MA0035.3.Gata1	chr1	130838473	130838483	-	0.000	0.000	Merged-chr1-130838519-27
