#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR3307--MA0002.2.RUNX1	chr15	36733859	36733869	+	0.000	0.000	Merged-chr15-36733808-27
NR5543--MA0511.2.RUNX2	chr2	172382248	172382256	+	0.000	0.000	Merged-chr2-172382291-6
NR9204--MA0684.1.RUNX3	chr9	80313775	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR9261--MA0002.2.RUNX1	chr9	92217818	92217828	+	0.000	0.000	Merged-chr9-92217904-40
NR9327--MA0002.2.RUNX1	chr9	106394477	106394487	+	0.000	0.000	Merged-chr9-106394684-34
NR8950--MA0684.1.RUNX3	chr8	128473688	128473697	+	0.000	0.000	Merged-chr8-128473725-2
NR3416--MA0002.2.RUNX1	chr15	62165005	62165015	+	0.000	0.000	Merged-chr15-62164994-48
NR846--MA0002.2.RUNX1	chr10	12614550	12614560	-	0.000	0.000	Merged-chr10-12614708-18
NR7028--MA0002.2.RUNX1	chr5	53809455	53809465	+	0.000	0.000	Merged-chr5-53809637-58
NR3274--MA0684.1.RUNX3	chr15	30463080	30463089	+	0.000	0.000	Merged-chr15-30463100-4
NR7855--MA0511.2.RUNX2	chr6	120077253	120077261	+	0.000	0.000	Merged-chr6-120077232-23
NR3939--MA0002.2.RUNX1	chr16	92801758	92801768	+	0.000	0.000	Merged-chr16-92801827-54
NR9313--MA0684.1.RUNX3	chr9	99243137	99243146	+	0.000	0.000	Merged-chr9-99243262-100
NR1988--MA0002.2.RUNX1	chr12	70123785	70123795	-	0.000	0.000	Merged-chr12-70123693-6
NR3797--MA0684.1.RUNX3	chr16	57495697	57495706	-	0.000	0.000	Merged-chr16-57495758-66
NR9565--MA0684.1.RUNX3	chrX	145307430	145307439	-	0.000	0.000	Merged-chrX-145307441-1
NR2795--MA0002.2.RUNX1	chr14	8659868	8659878	-	0.000	0.000	Merged-chr14-8659683-4
NR5605--MA0684.1.RUNX3	chr3	9828679	9828688	+	0.000	0.000	Merged-chr3-9828773-58
NR7408--MA0002.2.RUNX1	chr6	3620706	3620716	+	0.000	0.000	Merged-chr6-3620670-56
NR3449--MA0684.1.RUNX3	chr15	73225334	73225343	+	0.000	0.000	Merged-chr15-73225223-4
NR5728--MA0002.2.RUNX1	chr3	41077544	41077554	+	0.000	0.000	Merged-chr3-41077638-22
NR812--MA0002.2.RUNX1	chr10	7834907	7834917	-	0.000	0.000	Merged-chr10-7835023-26
NR3733--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR5043--MA0002.2.RUNX1	chr2	45197066	45197076	-	0.000	0.000	Merged-chr2-45197380-25
NR3306--MA0684.1.RUNX3	chr15	36650102	36650111	-	0.000	0.000	Merged-chr15-36650116-39
NR2288--MA0511.2.RUNX2	chr13	12520212	12520220	-	0.000	0.000	Merged-chr13-12520187-58
NR9482--MA0511.2.RUNX2	chrX	59508506	59508514	-	0.000	0.000	Merged-chrX-59508552-38
NR921--MA0002.2.RUNX1	chr10	23812342	23812352	-	0.000	0.000	Merged-chr10-23812313-29
NR7868--MA0511.2.RUNX2	chr6	120957519	120957527	-	0.000	0.000	Merged-chr6-120957473-22
NR3366--MA0511.2.RUNX2	chr15	50841965	50841973	+	0.000	0.000	Merged-chr15-50841998-15
NR7769--MA0002.2.RUNX1	chr6	100072752	100072762	+	0.000	0.000	Merged-chr6-100072784-7
NR3267--MA0002.2.RUNX1	chr15	27596891	27596901	+	0.000	0.000	Merged-chr15-27596992-56
NR1050--MA0684.1.RUNX3	chr10	60381313	60381322	-	0.000	0.000	Merged-chr10-60381393-83
NR2049--MA0511.2.RUNX2	chr12	86047582	86047590	-	0.000	0.000	Merged-chr12-86047582-19
NR5426--MA0511.2.RUNX2	chr2	144594337	144594345	-	0.000	0.000	Merged-chr2-144594184-54
NR3475--MA0511.2.RUNX2	chr15	78422731	78422739	-	0.000	0.000	Merged-chr15-78422686-21
NR9514--MA0511.2.RUNX2	chrX	85839395	85839403	+	0.000	0.000	Merged-chrX-85839388-40
NR7420--MA0511.2.RUNX2	chr6	8068567	8068575	+	0.000	0.000	Merged-chr6-8068549-6
NR8956--MA0002.2.RUNX1	chr9	7830106	7830116	+	0.000	0.000	Merged-chr9-7830026-47
NR1205--MA0002.2.RUNX1	chr10	96481315	96481325	-	0.000	0.000	Merged-chr10-96481360-10
NR9253--MA0002.2.RUNX1	chr9	89212725	89212735	-	0.000	0.000	Merged-chr9-89212688-42
NR5022--MA0002.2.RUNX1	chr2	35259869	35259879	+	0.000	0.000	Merged-chr2-35259882-5
NR4563--MA0002.2.RUNX1	chr18	54722728	54722738	+	0.000	0.000	Merged-chr18-54722634-2
NR4834--MA0002.2.RUNX1	chr19	41656259	41656269	+	0.000	0.000	Merged-chr19-41656223-24
NR18--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR7734--MA0684.1.RUNX3	chr6	89272954	89272963	+	0.000	0.000	Merged-chr6-89272769-1
NR7586--MA0002.2.RUNX1	chr6	49354750	49354760	+	0.000	0.000	Merged-chr6-49354722-8
NR6831--MA0511.2.RUNX2	chr4	155306844	155306852	+	0.000	0.000	Merged-chr4-155306831-50
NR7066--MA0511.2.RUNX2	chr5	65929347	65929355	+	0.000	0.000	Merged-chr5-65929353-41
NR9123--MA0002.2.RUNX1	chr9	57861936	57861946	+	0.000	0.000	Merged-chr9-57862051-8
NR9523--MA0684.1.RUNX3	chrX	93905790	93905799	+	0.000	0.000	Merged-chrX-93905707-8
