#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR358--MA0463.1.Bcl6	chr11	57912017	57912030	+	0.000	0.000	Merged-chr11-57911963-18
NR1832--MA0463.1.Bcl6	chr6	70774131	70774144	+	0.000	0.000	Merged-chr6-70773985-19
NR1794--MA0731.1.BCL6B	chr6	31088367	31088383	-	0.000	0.000	Merged-chr6-31088452-52
NR806--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR2157--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR1032--MA0731.1.BCL6B	chr18	77065401	77065417	+	0.000	0.000	Merged-chr18-77065454-126
NR2027--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1640--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR399--MA0463.1.Bcl6	chr11	101658403	101658416	-	0.000	0.000	Merged-chr11-101658454-78
NR1752--MA0463.1.Bcl6	chr5	134237003	134237016	+	0.000	0.000	Merged-chr5-134237023-52
NR1709--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR838--MA0463.1.Bcl6	chr16	23988611	23988624	-	0.000	0.000	Merged-chr16-23988801-56
NR744--MA0463.1.Bcl6	chr14	120572382	120572395	-	0.000	0.000	Merged-chr14-120572441-59
NR1080--MA0731.1.BCL6B	chr19	46014589	46014605	+	0.000	0.000	Merged-chr19-46014734-21
