#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR12553--MA0493.1.Klf1	chr12	33284667	33284677	-	0.000	0.000	Merged-chr12-33284674-45
NR10807--MA1107.1.KLF9	chr11	100555818	100555830	+	0.000	0.000	Merged-chr11-100555804-21
NR26146--MA0493.1.Klf1	chr17	44745576	44745586	+	0.000	0.000	Merged-chr17-44745562-14
NR6475--MA0741.1.KLF16	chr10	91082996	91083006	-	0.000	0.000	Merged-chr10-91082825-101
NR53539--MA0742.1.Klf12	chr7	44305093	44305107	-	0.000	0.000	Merged-chr7-44305170-86
NR15347--MA0740.1.KLF14	chr13	48546688	48546701	+	0.000	0.000	Merged-chr13-48546690-1
NR28660--MA0740.1.KLF14	chr18	67800045	67800058	+	0.000	0.000	Merged-chr18-67800270-84
NR32935--MA0039.3.KLF4	chr2	77249881	77249891	+	0.000	0.000	Merged-chr2-77250040-39
NR62722--MA1107.1.KLF9	chr9	106481248	106481260	-	0.000	0.000	Merged-chr9-106481275-1
NR12473--MA0599.1.KLF5	chr12	31351413	31351422	+	0.000	0.000	Merged-chr12-31351241-62
NR14729--MA0599.1.KLF5	chr13	13516791	13516800	-	0.000	0.000	Merged-chr13-13516959-38
NR63934--MA0599.1.KLF5	chrX	11999165	11999174	+	0.000	0.000	Merged-chrX-11999203-45
NR45246--MA1107.1.KLF9	chr5	75067331	75067343	+	0.000	0.000	Merged-chr5-75067173-97
NR6005--MA0493.1.Klf1	chr10	80569904	80569914	+	0.000	0.000	Merged-chr10-80569916-4
NR41492--MA0599.1.KLF5	chr4	111414975	111414984	+	0.000	0.000	Merged-chr4-111415155-52
NR35575--MA0599.1.KLF5	chr2	167349466	167349475	-	0.000	0.000	Merged-chr2-167349371-94
NR1209--MA0657.1.KLF13	chr1	85333634	85333651	+	0.000	0.000	Merged-chr1-85333780-8
NR28446--MA1107.1.KLF9	chr18	62169309	62169321	-	0.000	0.000	Merged-chr18-62169369-48
NR24461--MA0741.1.KLF16	chr16	95990955	95990965	+	0.000	0.000	Merged-chr16-95990846-67
NR26948--MA0599.1.KLF5	chr17	74395476	74395485	+	0.000	0.000	Merged-chr17-74395393-93
NR7457--MA0741.1.KLF16	chr10	121781406	121781416	-	0.000	0.000	Merged-chr10-121781382-29
NR17563--MA1107.1.KLF9	chr14	20082821	20082833	-	0.000	0.000	Merged-chr14-20082974-67
NR1841--MA0599.1.KLF5	chr1	126817866	126817875	+	0.000	0.000	Merged-chr1-126817924-65
NR26733--MA0599.1.KLF5	chr17	65885374	65885383	-	0.000	0.000	Merged-chr17-65885183-87
NR22579--MA0493.1.Klf1	chr16	4964450	4964460	-	0.000	0.000	Merged-chr16-4964383-52
