#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1254--MA0493.1.Klf1	chr1	86434464	86434474	+	0.000	0.000	Merged-chr1-86434514-65
NR64435--MA0741.1.KLF16	chr9	106071782	106071792	+	0.000	0.000	Merged-chr9-106071900-22
NR11261--MA1107.1.KLF9	chr11	99116956	99116968	-	0.000	0.000	Merged-chr11-99116882-2
NR32945--MA0493.1.Klf1	chr2	25480736	25480746	-	0.000	0.000	Merged-chr2-25480802-4
NR23356--MA0599.1.KLF5	chr15	102107328	102107337	-	0.000	0.000	Merged-chr15-102107251-9
NR31314--MA0599.1.KLF5	chr19	21785262	21785271	+	0.000	0.000	Merged-chr19-21785424-37
NR12473--MA0599.1.KLF5	chr11	118731921	118731930	+	0.000	0.000	Merged-chr11-118731916-25
NR26066--MA0599.1.KLF5	chr17	18957848	18957857	+	0.000	0.000	Merged-chr17-18957901-23
NR26412--MA0741.1.KLF16	chr17	26917012	26917022	-	0.000	0.000	Merged-chr17-26916999-47
NR46458--MA0599.1.KLF5	chr5	45669790	45669799	-	0.000	0.000	Merged-chr5-45669606-116
NR3215--MA0599.1.KLF5	chr1	169969298	169969307	+	0.000	0.000	Merged-chr1-169969262-62
NR58757--MA0493.1.Klf1	chr8	22185559	22185569	+	0.000	0.000	Merged-chr8-22185664-67
NR15930--MA0493.1.Klf1	chr13	40924185	40924195	+	0.000	0.000	Merged-chr13-40924154-14
NR43872--MA1107.1.KLF9	chr4	131696256	131696268	+	0.000	0.000	Merged-chr4-131696229-22
NR57458--MA0740.1.KLF14	chr7	126884733	126884746	-	0.000	0.000	Merged-chr7-126884820-52
NR37616--MA0599.1.KLF5	chr2	180276054	180276063	+	0.000	0.000	Merged-chr2-180276095-32
NR52516--MA0740.1.KLF14	chr6	116311605	116311618	+	0.000	0.000	Merged-chr6-116311503-1
NR49292--MA1107.1.KLF9	chr5	136149532	136149544	-	0.000	0.000	Merged-chr5-136149395-52
NR47794--MA0599.1.KLF5	chr5	111196087	111196096	+	0.000	0.000	Merged-chr5-111196079-28
NR32507--MA0599.1.KLF5	chr2	3526082	3526091	-	0.000	0.000	Merged-chr2-3525948-8
NR13531--MA0493.1.Klf1	chr12	70825367	70825377	-	0.000	0.000	Merged-chr12-70825421-128
NR33237--MA0039.3.KLF4	chr2	30587365	30587375	-	0.000	0.000	Merged-chr2-30587397-33
NR32846--MA1107.1.KLF9	chr2	23069326	23069338	+	0.000	0.000	Merged-chr2-23069196-4
NR33923--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR49835--MA0599.1.KLF5	chr5	142926603	142926612	-	0.000	0.000	Merged-chr5-142926803-39
NR9856--MA1107.1.KLF9	chr11	69266483	69266495	+	0.000	0.000	Merged-chr11-69266485-18
NR57107--MA1107.1.KLF9	chr7	116484542	116484554	-	0.000	0.000	Merged-chr7-116484434-42
NR5897--MA0657.1.KLF13	chr10	78075169	78075186	+	0.000	0.000	Merged-chr10-78075213-37
NR9302--MA0599.1.KLF5	chr11	53755181	53755190	-	0.000	0.000	Merged-chr11-53755025-7
NR58319--MA0599.1.KLF5	chr7	143461128	143461137	+	0.000	0.000	Merged-chr7-143461111-46
NR45456--MA0039.3.KLF4	chr4	155306826	155306836	-	0.000	0.000	Merged-chr4-155306831-50
NR42676--MA0599.1.KLF5	chr4	89458761	89458770	-	0.000	0.000	Merged-chr4-89458773-12
NR58104--MA0599.1.KLF5	chr7	139994946	139994955	+	0.000	0.000	Merged-chr7-139994921-18
NR13442--MA0599.1.KLF5	chr12	69184143	69184152	-	0.000	0.000	Merged-chr12-69184335-85
NR51423--MA0741.1.KLF16	chr6	67296113	67296123	+	0.000	0.000	Merged-chr6-67296295-29
NR6484--MA0493.1.Klf1	chr10	82780506	82780516	-	0.000	0.000	Merged-chr10-82780687-69
NR4381--MA0741.1.KLF16	chr1	193589280	193589290	-	0.000	0.000	Merged-chr1-193589231-21
NR60534--MA0493.1.Klf1	chr8	105746602	105746612	+	0.000	0.000	Merged-chr8-105746434-56
NR30223--MA1107.1.KLF9	chr18	74442353	74442365	+	0.000	0.000	Merged-chr18-74442456-61
NR4652--MA0741.1.KLF16	chr10	17948093	17948103	+	0.000	0.000	Merged-chr10-17948244-7
NR59440--MA0599.1.KLF5	chr8	64771048	64771057	+	0.000	0.000	Merged-chr8-64771092-36
NR26664--MA0741.1.KLF16	chr17	29841842	29841852	-	0.000	0.000	Merged-chr17-29841943-28
NR37960--MA0493.1.Klf1	chr3	28402423	28402433	-	0.000	0.000	Merged-chr3-28402386-46
NR45028--MA0599.1.KLF5	chr4	148160116	148160125	+	0.000	0.000	Merged-chr4-148160107-67
NR44175--MA0740.1.KLF14	chr4	134879786	134879799	-	0.000	0.000	Merged-chr4-134879674-31
NR9833--MA0740.1.KLF14	chr11	69073165	69073178	-	0.000	0.000	Merged-chr11-69073010-1
NR20552--MA0599.1.KLF5	chr14	122104963	122104972	+	0.000	0.000	Merged-chr14-122105066-47
NR60454--MA0599.1.KLF5	chr8	104565149	104565158	-	0.000	0.000	Merged-chr8-104565019-56
NR59418--MA0657.1.KLF13	chr8	61321593	61321610	+	0.000	0.000	Merged-chr8-61321606-56
NR49806--MA0741.1.KLF16	chr5	142551116	142551126	-	0.000	0.000	Merged-chr5-142551043-31
NR51827--MA0599.1.KLF5	chr6	87997972	87997981	-	0.000	0.000	Merged-chr6-87998120-21
NR34484--MA1107.1.KLF9	chr2	84740803	84740815	-	0.000	0.000	Merged-chr2-84740933-21
NR52768--MA0740.1.KLF14	chr6	124782501	124782514	+	0.000	0.000	Merged-chr6-124782672-28
NR51951--MA1107.1.KLF9	chr6	91156640	91156652	+	0.000	0.000	Merged-chr6-91156791-33
NR9781--MA0599.1.KLF5	chr11	67021101	67021110	+	0.000	0.000	Merged-chr11-67021187-12
NR5716--MA1107.1.KLF9	chr10	71399679	71399691	+	0.000	0.000	Merged-chr10-71399794-69
NR37821--MA0740.1.KLF14	chr3	19694221	19694234	-	0.000	0.000	Merged-chr3-19694346-63
NR38467--MA0039.3.KLF4	chr3	65958276	65958286	+	0.000	0.000	Merged-chr3-65958089-130
NR16323--MA0742.1.Klf12	chr13	55199724	55199738	-	0.000	0.000	Merged-chr13-55199787-10
NR27343--MA0740.1.KLF14	chr17	46283075	46283088	-	0.000	0.000	Merged-chr17-46282976-55
NR45304--MA0741.1.KLF16	chr4	152120730	152120740	-	0.000	0.000	Merged-chr4-152120692-77
NR53831--MA0741.1.KLF16	chr6	145002395	145002405	-	0.000	0.000	Merged-chr6-145002461-23
NR48744--MA1107.1.KLF9	chr5	125444711	125444723	+	0.000	0.000	Merged-chr5-125444595-53
NR20739--MA1107.1.KLF9	chr15	9528792	9528804	+	0.000	0.000	Merged-chr15-9528468-81
NR513--MA0741.1.KLF16	chr1	40228152	40228162	-	0.000	0.000	Merged-chr1-40228252-23
NR12227--MA0599.1.KLF5	chr11	116464003	116464012	+	0.000	0.000	Merged-chr11-116463971-10
NR66224--MA0741.1.KLF16	chrX	75382320	75382330	+	0.000	0.000	Merged-chrX-75382175-2,Merged-chrX-75382490-45
NR35472--MA0599.1.KLF5	chr2	128470481	128470490	+	0.000	0.000	Merged-chr2-128470524-44
NR26845--MA0599.1.KLF5	chr17	33092753	33092762	+	0.000	0.000	Merged-chr17-33092643-43
NR41585--MA1107.1.KLF9	chr4	20033081	20033093	+	0.000	0.000	Merged-chr4-20033263-40
NR10546--MA0741.1.KLF16	chr11	85843522	85843532	+	0.000	0.000	Merged-chr11-85843420-10
NR29894--MA1107.1.KLF9	chr18	65512461	65512473	-	0.000	0.000	Merged-chr18-65512491-27
NR6855--MA0741.1.KLF16	chr10	95442498	95442508	+	0.000	0.000	Merged-chr10-95442476-5
NR22190--MA0599.1.KLF5	chr15	81926351	81926360	-	0.000	0.000	Merged-chr15-81926183-56
NR47691--MA0599.1.KLF5	chr5	108001136	108001145	-	0.000	0.000	Merged-chr5-108001250-29
NR13563--MA0599.1.KLF5	chr12	71310063	71310072	-	0.000	0.000	Merged-chr12-71309948-65
NR371--MA0493.1.Klf1	chr1	37317898	37317908	+	0.000	0.000	Merged-chr1-37317711-58
NR16559--MA0493.1.Klf1	chr13	64252367	64252377	-	0.000	0.000	Merged-chr13-64252474-17
NR54337--MA0741.1.KLF16	chr7	12961805	12961815	-	0.000	0.000	Merged-chr7-12961778-99
NR50540--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR3670--MA0039.3.KLF4	chr1	180546429	180546439	-	0.000	0.000	Merged-chr1-180546359-32
NR54881--MA0493.1.Klf1	chr7	27258718	27258728	-	0.000	0.000	Merged-chr7-27258672-61
NR44623--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR20949--MA0039.3.KLF4	chr15	30662274	30662284	-	0.000	0.000	Merged-chr15-30662184-17
