#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR5837--MA0501.1.MAF::NFE2	chr17	31789323	31789337	+	0.000	0.000	Merged-chr17-31789470-34
NR898--MA0117.2.Mafb	chr1	165828817	165828828	-	0.000	0.000	Merged-chr1-165828679-59
NR4593--MA0089.1.MAFG::NFE2L1	chr15	8109315	8109320	-	0.000	0.000	Merged-chr15-8109261-61
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR1415--MA0089.1.MAFG::NFE2L1	chr10	41477337	41477342	-	0.000	0.000	Merged-chr10-41477275-81
NR5889--MA0501.1.MAF::NFE2	chr17	36042869	36042883	-	0.000	0.000	Merged-chr17-36042760-57
NR6825--MA0501.1.MAF::NFE2	chr19	34501031	34501045	-	0.000	0.000	Merged-chr19-34500926-32
NR5749--MA0089.1.MAFG::NFE2L1	chr17	17766518	17766523	+	0.000	0.000	Merged-chr17-17766663-23
NR7404--MA0089.1.MAFG::NFE2L1	chr2	85047883	85047888	-	0.000	0.000	Merged-chr2-85048071-98
NR5266--MA0495.2.MAFF	chr16	36666059	36666079	-	0.000	0.000	Merged-chr16-36665954-31
NR1262--MA0659.1.MAFG	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR11745--MA0591.1.Bach1::Mafk	chr7	24082177	24082191	-	0.000	0.000	Merged-chr7-24082240-79
NR8333--MA0089.1.MAFG::NFE2L1	chr3	59260918	59260923	+	0.000	0.000	Merged-chr3-59260932-51
NR12123--MA0089.1.MAFG::NFE2L1	chr7	101302097	101302102	+	0.000	0.000	Merged-chr7-101301960-107
NR11716--MA0501.1.MAF::NFE2	chr7	16314093	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR10917--MA0591.1.Bach1::Mafk	chr6	41152191	41152205	+	0.000	0.000	Merged-chr6-41152178-27
NR2102--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR9679--MA0089.1.MAFG::NFE2L1	chr4	121016847	121016852	-	0.000	0.000	Merged-chr4-121016870-126
NR13469--MA0089.1.MAFG::NFE2L1	chr9	115481296	115481301	-	0.000	0.000	Merged-chr9-115481366-14
NR1141--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR267--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR2106--MA0659.1.MAFG	chr11	11573642	11573662	+	0.000	0.000	Merged-chr11-11573827-37
NR13178--MA0501.1.MAF::NFE2	chr9	63602416	63602430	+	0.000	0.000	Merged-chr9-63602538-63
NR8627--MA0117.2.Mafb	chr3	103927761	103927772	-	0.000	0.000	Merged-chr3-103927636-31
NR9651--MA0089.1.MAFG::NFE2L1	chr4	114947349	114947354	-	0.000	0.000	Merged-chr4-114947588-34
NR3303--MA0117.2.Mafb	chr13	51651721	51651732	+	0.000	0.000	Merged-chr13-51651703-54
NR9751--MA0495.2.MAFF	chr4	142153734	142153754	+	0.000	0.000	Merged-chr4-142153700-30
NR2317--MA0591.1.Bach1::Mafk	chr11	74838655	74838669	+	0.000	0.000	Merged-chr11-74838839-1
NR5823--MA0117.2.Mafb	chr17	29171515	29171526	+	0.000	0.000	Merged-chr17-29171353-19
NR783--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR13152--MA0089.1.MAFG::NFE2L1	chr9	54642838	54642843	+	0.000	0.000	Merged-chr9-54642751-52
NR2303--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR11125--MA0495.2.MAFF	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR8464--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR8533--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR12667--MA0495.2.MAFF	chr8	72571103	72571123	+	0.000	0.000	Merged-chr8-72571324-95
NR3130--MA0501.1.MAF::NFE2	chr13	9027369	9027383	+	0.000	0.000	Merged-chr13-9027395-10
NR13037--MA0591.1.Bach1::Mafk	chr9	14867165	14867179	-	0.000	0.000	Merged-chr9-14867208-21
NR4501--MA0089.1.MAFG::NFE2L1	chr14	118823538	118823543	+	0.000	0.000	Merged-chr14-118823574-15
NR6907--MA0495.2.MAFF	chr2	6478400	6478420	+	0.000	0.000	Merged-chr2-6478572-51
NR3271--MA0089.1.MAFG::NFE2L1	chr13	37963598	37963603	-	0.000	0.000	Merged-chr13-37963615-35
NR8538--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR11127--MA0659.1.MAFG	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR5835--MA0495.2.MAFF	chr17	31789317	31789337	-	0.000	0.000	Merged-chr17-31789470-34
NR11205--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR4212--MA0089.1.MAFG::NFE2L1	chr14	54361015	54361020	+	0.000	0.000	Merged-chr14-54361034-73
NR6813--MA0495.2.MAFF	chr19	32320554	32320574	+	0.000	0.000	Merged-chr19-32320426-40
NR13756--MA0089.1.MAFG::NFE2L1	chrX	167231321	167231326	+	0.000	0.000	Merged-chrX-167231316-28
NR8431--MA0089.1.MAFG::NFE2L1	chr3	75499333	75499338	+	0.000	0.000	Merged-chr3-75499335-90
NR1145--MA0501.1.MAF::NFE2	chr10	7470135	7470149	+	0.000	0.000	Merged-chr10-7470291-37
NR10234--MA0591.1.Bach1::Mafk	chr5	65514773	65514787	+	0.000	0.000	Merged-chr5-65514883-10
NR12989--MA0496.2.MAFK	chr8	128596687	128596705	+	0.000	0.000	Merged-chr8-128596588-1
NR12927--MA0089.1.MAFG::NFE2L1	chr8	118830484	118830489	+	0.000	0.000	Merged-chr8-118830505-12
NR10768--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR11507--MA0089.1.MAFG::NFE2L1	chr6	131433513	131433518	-	0.000	0.000	Merged-chr6-131433462-1
NR9077--MA0117.2.Mafb	chr4	8712299	8712310	-	0.000	0.000	Merged-chr4-8712432-5
NR9753--MA0117.2.Mafb	chr4	142153734	142153745	+	0.000	0.000	Merged-chr4-142153700-30
NR10691--MA0501.1.MAF::NFE2	chr6	3345469	3345483	+	0.000	0.000	Merged-chr6-3345422-65
NR145--MA0495.2.MAFF	chr1	31616474	31616494	-	0.000	0.000	Merged-chr1-31616471-4
NR12858--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR13672--MA0495.2.MAFF	chrX	103981222	103981242	+	0.000	0.000	Merged-chrX-103981115-84
NR8733--MA0089.1.MAFG::NFE2L1	chr3	121474886	121474891	-	0.000	0.000	Merged-chr3-121474891-3
NR12322--MA0496.2.MAFK	chr7	141072585	141072603	-	0.000	0.000	Merged-chr7-141072410-71
NR5154--MA0089.1.MAFG::NFE2L1	chr16	11501222	11501227	+	0.000	0.000	Merged-chr16-11501282-30
NR7800--MA0495.2.MAFF	chr2	155082571	155082591	-	0.000	0.000	Merged-chr2-155082625-23
NR1831--MA0117.2.Mafb	chr10	99592177	99592188	-	0.000	0.000	Merged-chr10-99592304-27
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR9859--MA0495.2.MAFF	chr4	155129613	155129633	-	0.000	0.000	Merged-chr4-155129607-22
NR12586--MA0501.1.MAF::NFE2	chr8	57427711	57427725	-	0.000	0.000	Merged-chr8-57427831-53
NR13618--MA0496.2.MAFK	chrX	71468814	71468832	-	0.000	0.000	Merged-chrX-71468864-48
NR487--MA0117.2.Mafb	chr1	89741176	89741187	-	0.000	0.000	Merged-chr1-89741042-1
NR7615--MA0089.1.MAFG::NFE2L1	chr2	130642558	130642563	+	0.000	0.000	Merged-chr2-130642738-65
NR6485--MA0501.1.MAF::NFE2	chr18	54987013	54987027	+	0.000	0.000	Merged-chr18-54986948-23
NR11607--MA0089.1.MAFG::NFE2L1	chr6	143609272	143609277	+	0.000	0.000	Merged-chr6-143609389-48
NR2468--MA0089.1.MAFG::NFE2L1	chr11	118260066	118260071	+	0.000	0.000	Merged-chr11-118260262-42
NR1990--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR4544--MA0501.1.MAF::NFE2	chr14	121965188	121965202	+	0.000	0.000	Merged-chr14-121965362-59
NR11712--MA0495.2.MAFF	chr7	16314087	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR741--MA0089.1.MAFG::NFE2L1	chr1	138159131	138159136	+	0.000	0.000	Merged-chr1-138159171-7
NR13176--MA0089.1.MAFG::NFE2L1	chr9	63602415	63602420	+	0.000	0.000	Merged-chr9-63602538-63
NR1265--MA0496.2.MAFK	chr10	20119543	20119561	-	0.000	0.000	Merged-chr10-20119637-31
NR2243--MA0496.2.MAFK	chr11	51898837	51898855	+	0.000	0.000	Merged-chr11-51898870-27
NR12364--MA0501.1.MAF::NFE2	chr8	10927708	10927722	+	0.000	0.000	Merged-chr8-10927860-5
NR2398--MA0501.1.MAF::NFE2	chr11	100588664	100588678	-	0.000	0.000	Merged-chr11-100588743-35
NR13478--MA0089.1.MAFG::NFE2L1	chr9	117653680	117653685	-	0.000	0.000	Merged-chr9-117653773-19
NR11945--MA0495.2.MAFF	chr7	70628281	70628301	+	0.000	0.000	Merged-chr7-70628191-1
NR5945--MA0089.1.MAFG::NFE2L1	chr17	56162384	56162389	-	0.000	0.000	Merged-chr17-56162461-54
NR4525--MA0089.1.MAFG::NFE2L1	chr14	120572338	120572343	-	0.000	0.000	Merged-chr14-120572441-59
NR725--MA0591.1.Bach1::Mafk	chr1	131384554	131384568	-	0.000	0.000	Merged-chr1-131384650-38
NR382--MA0496.2.MAFK	chr1	72870500	72870518	+	0.000	0.000	Merged-chr1-72870469-25
NR7790--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR5515--MA0117.2.Mafb	chr16	75855587	75855598	-	0.000	0.000	Merged-chr16-75855662-51
NR491--MA0591.1.Bach1::Mafk	chr1	89957109	89957123	+	0.000	0.000	Merged-chr1-89957067-1
NR9188--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR5541--MA0089.1.MAFG::NFE2L1	chr16	78199485	78199490	+	0.000	0.000	Merged-chr16-78199529-2
NR2109--MA0496.2.MAFK	chr11	11573643	11573661	+	0.000	0.000	Merged-chr11-11573827-37
NR6106--MA0089.1.MAFG::NFE2L1	chr17	83846446	83846451	-	0.000	0.000	Merged-chr17-83846499-25
NR10627--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR11730--MA0591.1.Bach1::Mafk	chr7	19332924	19332938	-	0.000	0.000	Merged-chr7-19332998-44
NR2373--MA0496.2.MAFK	chr11	95834502	95834520	+	0.000	0.000	Merged-chr11-95834511-50
NR12257--MA0591.1.Bach1::Mafk	chr7	126369619	126369633	-	0.000	0.000	Merged-chr7-126369585-49
NR8542--MA0089.1.MAFG::NFE2L1	chr3	89459082	89459087	+	0.000	0.000	Merged-chr3-89459176-81
NR4879--MA0591.1.Bach1::Mafk	chr15	66824942	66824956	-	0.000	0.000	Merged-chr15-66824845-11
NR5885--MA0495.2.MAFF	chr17	36042869	36042889	-	0.000	0.000	Merged-chr17-36042760-57
NR5214--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR3193--MA0089.1.MAFG::NFE2L1	chr13	21735093	21735098	-	0.000	0.000	Merged-chr13-21734996-112
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR3018--MA0659.1.MAFG	chr12	114615864	114615884	-	0.000	0.000	Merged-chr12-114615725-85
NR7424--MA0089.1.MAFG::NFE2L1	chr2	91265163	91265168	-	0.000	0.000	Merged-chr2-91265194-57
NR12950--MA0495.2.MAFF	chr8	125557551	125557571	-	0.000	0.000	Merged-chr8-125557520-11
NR1522--MA0089.1.MAFG::NFE2L1	chr10	56848210	56848215	+	0.000	0.000	Merged-chr10-56848025-2
NR5323--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR13585--MA0117.2.Mafb	chrX	56346306	56346317	-	0.000	0.000	Merged-chrX-56346415-28
NR10517--MA0117.2.Mafb	chr5	121335516	121335527	+	0.000	0.000	Merged-chr5-121335584-25
NR9224--MA0495.2.MAFF	chr4	40773395	40773415	-	0.000	0.000	Merged-chr4-40773188-44
NR3091--MA0089.1.MAFG::NFE2L1	chr13	6689943	6689948	-	0.000	0.000	Merged-chr13-6690119-33
NR13482--MA0117.2.Mafb	chr9	118706052	118706063	+	0.000	0.000	Merged-chr9-118706091-31
NR7149--MA0117.2.Mafb	chr2	49482494	49482505	+	0.000	0.000	Merged-chr2-49482478-20
NR2377--MA0089.1.MAFG::NFE2L1	chr11	97684305	97684310	-	0.000	0.000	Merged-chr11-97684318-65
NR8559--MA0496.2.MAFK	chr3	90587052	90587070	+	0.000	0.000	Merged-chr3-90587051-129
NR4520--MA0501.1.MAF::NFE2	chr14	120275574	120275588	-	0.000	0.000	Merged-chr14-120275634-49
NR300--MA0659.1.MAFG	chr1	65186472	65186492	-	0.000	0.000	Merged-chr1-65186701-72
NR3009--MA0117.2.Mafb	chr12	111713117	111713128	-	0.000	0.000	Merged-chr12-111713191-55
NR5322--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR3203--MA0089.1.MAFG::NFE2L1	chr13	23752647	23752652	-	0.000	0.000	Merged-chr13-23752435-52
NR179--MA0117.2.Mafb	chr1	38884008	38884019	+	0.000	0.000	Merged-chr1-38884000-31
NR12340--MA0501.1.MAF::NFE2	chr8	3711786	3711800	+	0.000	0.000	Merged-chr8-3711702-3
NR1259--MA0089.1.MAFG::NFE2L1	chr10	19597194	19597199	+	0.000	0.000	Merged-chr10-19597137-35
NR12458--MA0089.1.MAFG::NFE2L1	chr8	27137160	27137165	-	0.000	0.000	Merged-chr8-27137178-38
NR3291--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR11522--MA0117.2.Mafb	chr6	135436457	135436468	+	0.000	0.000	Merged-chr6-135436569-8
NR7711--MA0089.1.MAFG::NFE2L1	chr2	144217402	144217407	-	0.000	0.000	Merged-chr2-144217495-19
NR9452--MA0496.2.MAFK	chr4	75279033	75279051	+	0.000	0.000	Merged-chr4-75279089-1
NR13592--MA0496.2.MAFK	chrX	59568330	59568348	+	0.000	0.000	Merged-chrX-59568240-6
NR12039--MA0117.2.Mafb	chr7	83144175	83144186	+	0.000	0.000	Merged-chr7-83144158-16
NR6310--MA0117.2.Mafb	chr18	25061740	25061751	+	0.000	0.000	Merged-chr18-25061659-23
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR12646--MA0591.1.Bach1::Mafk	chr8	70549976	70549990	+	0.000	0.000	Merged-chr8-70549860-20
NR4723--MA0089.1.MAFG::NFE2L1	chr15	36261593	36261598	+	0.000	0.000	Merged-chr15-36261569-31
NR5066--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR9771--MA0089.1.MAFG::NFE2L1	chr4	145263661	145263666	-	0.000	0.000	Merged-chr4-145263821-10
NR8351--MA0089.1.MAFG::NFE2L1	chr3	60639296	60639301	-	0.000	0.000	Merged-chr3-60639254-17
NR2953--MA0089.1.MAFG::NFE2L1	chr12	99796041	99796046	-	0.000	0.000	Merged-chr12-99796151-6
NR6581--MA0089.1.MAFG::NFE2L1	chr18	70053250	70053255	-	0.000	0.000	Merged-chr18-70053424-8
NR4938--MA0089.1.MAFG::NFE2L1	chr15	78597115	78597120	+	0.000	0.000	Merged-chr15-78597127-20
