#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2399--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR7932--MA0037.3.GATA3	chrX	13461670	13461677	+	0.000	0.000	Merged-chrX-13461805-52
NR4876--MA0035.3.Gata1	chr3	60565492	60565502	-	0.000	0.000	Merged-chr3-60565389-13
NR7560--MA0140.2.GATA1::TAL1	chr9	41118241	41118258	-	0.000	0.000	Merged-chr9-41118206-38
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5587--MA0035.3.Gata1	chr4	124769255	124769265	-	0.000	0.000	Merged-chr4-124769177-27
NR3063--MA1104.1.GATA6	chr16	44965406	44965418	+	0.000	0.000	Merged-chr16-44965339-61
NR856--MA0482.1.Gata4	chr10	81137369	81137379	+	0.000	0.000	Merged-chr10-81137276-7
NR671--MA0035.3.Gata1	chr10	13999025	13999035	-	0.000	0.000	Merged-chr10-13999186-36
NR3036--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR6413--MA0035.3.Gata1	chr6	99801066	99801076	+	0.000	0.000	Merged-chr6-99800956-8
NR7124--MA0035.3.Gata1	chr8	8685731	8685741	-	0.000	0.000	Merged-chr8-8685770-4
NR1970--MA0036.3.GATA2	chr13	52922196	52922206	-	0.000	0.000	Merged-chr13-52922066-27
NR7689--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR1008--MA0035.3.Gata1	chr10	120895743	120895753	-	0.000	0.000	Merged-chr10-120895921-55
NR5138--MA0036.3.GATA2	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR7469--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR873--MA1104.1.GATA6	chr10	85359513	85359525	-	0.000	0.000	Merged-chr10-85359625-39
NR6248--MA0037.3.GATA3	chr6	49354721	49354728	-	0.000	0.000	Merged-chr6-49354722-8
NR4839--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1507--MA0482.1.Gata4	chr12	40427688	40427698	-	0.000	0.000	Merged-chr12-40427719-34
NR3714--MA0037.3.GATA3	chr18	49982268	49982275	-	0.000	0.000	Merged-chr18-49982392-61
NR3281--MA1104.1.GATA6	chr16	92307631	92307643	+	0.000	0.000	Merged-chr16-92307633-7
NR4241--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR1001--MA1104.1.GATA6	chr10	120183060	120183072	-	0.000	0.000	Merged-chr10-120183053-23
NR854--MA0036.3.GATA2	chr10	80827013	80827023	-	0.000	0.000	Merged-chr10-80827107-1
NR5484--MA1104.1.GATA6	chr4	88275646	88275658	-	0.000	0.000	Merged-chr4-88275744-16
NR1278--MA0766.1.GATA5	chr11	80068121	80068128	-	0.000	0.000	Merged-chr11-80068268-1
NR1415--MA0037.3.GATA3	chr11	114883356	114883363	+	0.000	0.000	Merged-chr11-114883420-19
NR3025--MA0482.1.Gata4	chr16	33073040	33073050	-	0.000	0.000	Merged-chr16-33073178-28
NR363--MA1104.1.GATA6	chr1	133571484	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR5109--MA0035.3.Gata1	chr3	130810235	130810245	-	0.000	0.000	Merged-chr3-130810133-82
NR859--MA0035.3.Gata1	chr10	81137368	81137378	+	0.000	0.000	Merged-chr10-81137276-7
NR6173--MA0766.1.GATA5	chr6	4664524	4664531	-	0.000	0.000	Merged-chr6-4664595-18
NR743--MA1104.1.GATA6	chr10	39488317	39488329	+	0.000	0.000	Merged-chr10-39488240-32
NR3979--MA1104.1.GATA6	chr19	32998969	32998981	+	0.000	0.000	Merged-chr19-32999080-29
NR2675--MA0482.1.Gata4	chr15	5108584	5108594	+	0.000	0.000	Merged-chr15-5108448-64
NR354--MA0766.1.GATA5	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR4964--MA0035.3.Gata1	chr3	89183058	89183068	+	0.000	0.000	Merged-chr3-89183015-64
NR877--MA0766.1.GATA5	chr10	85411169	85411176	+	0.000	0.000	Merged-chr10-85411172-67
NR7625--MA0140.2.GATA1::TAL1	chr9	57955143	57955160	-	0.000	0.000	Merged-chr9-57955089-22
NR6282--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR3217--MA1104.1.GATA6	chr16	66086700	66086712	-	0.000	0.000	Merged-chr16-66086640-17
NR4914--MA1104.1.GATA6	chr3	69041531	69041543	+	0.000	0.000	Merged-chr3-69041504-24
NR4345--MA0035.3.Gata1	chr2	84887895	84887905	+	0.000	0.000	Merged-chr2-84887926-27
NR2963--MA1104.1.GATA6	chr16	8640131	8640143	+	0.000	0.000	Merged-chr16-8639905-53
NR1419--MA0766.1.GATA5	chr11	114883356	114883363	+	0.000	0.000	Merged-chr11-114883420-19
NR7904--MA0140.2.GATA1::TAL1	chr9	119255026	119255043	+	0.000	0.000	Merged-chr9-119254891-26
NR5032--MA0482.1.Gata4	chr3	115704680	115704690	-	0.000	0.000	Merged-chr3-115704719-34
NR7259--MA0035.3.Gata1	chr8	69168492	69168502	-	0.000	0.000	Merged-chr8-69168549-18
NR6718--MA0036.3.GATA2	chr7	6127301	6127311	+	0.000	0.000	Merged-chr7-6127268-44
NR4101--MA0036.3.GATA2	chr2	25111312	25111322	+	0.000	0.000	Merged-chr2-25111409-51
NR2160--MA0766.1.GATA5	chr13	107571661	107571668	-	0.000	0.000	Merged-chr13-107571801-8
NR692--MA0140.2.GATA1::TAL1	chr10	19747774	19747791	-	0.000	0.000	Merged-chr10-19747869-22
NR4844--MA0482.1.Gata4	chr3	51744642	51744652	+	0.000	0.000	Merged-chr3-51744632-10
NR1348--MA0035.3.Gata1	chr11	100545860	100545870	+	0.000	0.000	Merged-chr11-100545700-39
NR357--MA0036.3.GATA2	chr1	131204670	131204680	-	0.000	0.000	Merged-chr1-131204658-49
NR2749--MA0766.1.GATA5	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR6362--MA0482.1.Gata4	chr6	87041202	87041212	-	0.000	0.000	Merged-chr6-87041204-35
NR466--MA0036.3.GATA2	chr1	161309341	161309351	-	0.000	0.000	Merged-chr1-161309457-43
NR7225--MA0035.3.Gata1	chr8	46859563	46859573	+	0.000	0.000	Merged-chr8-46859659-64
NR2678--MA0035.3.Gata1	chr15	5108583	5108593	+	0.000	0.000	Merged-chr15-5108448-64
NR3021--MA1104.1.GATA6	chr16	27395271	27395283	-	0.000	0.000	Merged-chr16-27395267-15
NR3958--MA1104.1.GATA6	chr19	29418704	29418716	-	0.000	0.000	Merged-chr19-29418635-70
NR7666--MA0037.3.GATA3	chr9	72465984	72465991	+	0.000	0.000	Merged-chr9-72465991-47
NR4810--MA0482.1.Gata4	chr3	27067360	27067370	+	0.000	0.000	Merged-chr3-27067455-6
NR7867--MA0482.1.Gata4	chr9	110685719	110685729	+	0.000	0.000	Merged-chr9-110685799-1
NR6936--MA0036.3.GATA2	chr7	90068041	90068051	-	0.000	0.000	Merged-chr7-90068033-46
NR3007--MA0140.2.GATA1::TAL1	chr16	22608368	22608385	-	0.000	0.000	Merged-chr16-22608248-9
NR6742--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR4791--MA0482.1.Gata4	chr3	9867514	9867524	-	0.000	0.000	Merged-chr3-9867662-24
NR1388--MA1104.1.GATA6	chr11	108910988	108911000	-	0.000	0.000	Merged-chr11-108910906-74
NR4467--MA0035.3.Gata1	chr2	117412149	117412159	-	0.000	0.000	Merged-chr2-117412269-30
NR5297--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR1397--MA0140.2.GATA1::TAL1	chr11	108911014	108911031	+	0.000	0.000	Merged-chr11-108910906-74
NR1740--MA0140.2.GATA1::TAL1	chr12	104067617	104067634	+	0.000	0.000	Merged-chr12-104067684-35
NR5822--MA0140.2.GATA1::TAL1	chr5	32767952	32767969	-	0.000	0.000	Merged-chr5-32768073-31
NR5700--MA0037.3.GATA3	chr4	148638466	148638473	+	0.000	0.000	Merged-chr4-148638535-16
NR161--MA0036.3.GATA2	chr1	84817775	84817785	-	0.000	0.000	Merged-chr1-84817778-11
NR5062--MA1104.1.GATA6	chr3	121689284	121689296	+	0.000	0.000	Merged-chr3-121689232-23
NR5035--MA0035.3.Gata1	chr3	115704681	115704691	-	0.000	0.000	Merged-chr3-115704719-34
NR6580--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3177--MA1104.1.GATA6	chr16	58534725	58534737	+	0.000	0.000	Merged-chr16-58534735-63
NR7086--MA0482.1.Gata4	chr7	139861701	139861711	-	0.000	0.000	Merged-chr7-139861613-5
NR7807--MA1104.1.GATA6	chr9	100522270	100522282	+	0.000	0.000	Merged-chr9-100522209-27
NR5585--MA1104.1.GATA6	chr4	124769254	124769266	+	0.000	0.000	Merged-chr4-124769177-27
NR6458--MA0037.3.GATA3	chr6	108532094	108532101	+	0.000	0.000	Merged-chr6-108531954-46
NR6631--MA0036.3.GATA2	chr6	140308146	140308156	-	0.000	0.000	Merged-chr6-140308190-9
