#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR68803--MA0742.1.Klf12	chrX	48234630	48234644	+	0.000	0.000	Merged-chrX-48234508-35
NR12553--MA0493.1.Klf1	chr11	109671941	109671951	-	0.000	0.000	Merged-chr11-109672054-52
NR48990--MA1107.1.KLF9	chr4	150112967	150112979	-	0.000	0.000	Merged-chr4-150113122-17
NR8878--MA1107.1.KLF9	chr10	116853275	116853287	+	0.000	0.000	Merged-chr10-116853312-9
NR14729--MA0599.1.KLF5	chr12	81807420	81807429	+	0.000	0.000	Merged-chr12-81807409-36
NR31953--MA0657.1.KLF13	chr18	33464074	33464091	-	0.000	0.000	Merged-chr18-33464031-50
NR12679--MA0599.1.KLF5	chr11	115463462	115463471	-	0.000	0.000	Merged-chr11-115463666-29
NR43533--MA0599.1.KLF5	chr3	124708074	124708083	-	0.000	0.000	Merged-chr3-124708012-3
NR49949--MA0741.1.KLF16	chr5	24598565	24598575	-	0.000	0.000	Merged-chr5-24598728-19
NR57126--MA0599.1.KLF5	chr6	128143626	128143635	-	0.000	0.000	Merged-chr6-128143679-59
NR34587--MA0740.1.KLF14	chr19	41206901	41206914	+	0.000	0.000	Merged-chr19-41206944-35
NR4621--MA0039.3.KLF4	chr1	181230952	181230962	+	0.000	0.000	Merged-chr1-181230993-50
NR39373--MA0740.1.KLF14	chr2	152112054	152112067	-	0.000	0.000	Merged-chr2-152112124-39
NR29658--MA0599.1.KLF5	chr17	45686276	45686285	-	0.000	0.000	Merged-chr17-45686351-100
NR21118--MA0740.1.KLF14	chr14	61556993	61557006	-	0.000	0.000	Merged-chr14-61556804-76
NR58677--MA0599.1.KLF5	chr7	25082747	25082756	-	0.000	0.000	Merged-chr7-25082743-14
NR2515--MA0741.1.KLF16	chr1	119504798	119504808	+	0.000	0.000	Merged-chr1-119504796-62
NR10065--MA0599.1.KLF5	chr11	20831250	20831259	-	0.000	0.000	Merged-chr11-20831042-78
NR22576--MA0741.1.KLF16	chr14	122983250	122983260	-	0.000	0.000	Merged-chr14-122983276-115
NR53353--MA0599.1.KLF5	chr5	137025263	137025272	+	0.000	0.000	Merged-chr5-137025344-26
NR64575--MA1107.1.KLF9	chr8	104632611	104632623	-	0.000	0.000	Merged-chr8-104632399-10
NR55948--MA1107.1.KLF9	chr6	88924915	88924927	+	0.000	0.000	Merged-chr6-88924833-5
NR9641--MA1107.1.KLF9	chr11	3517627	3517639	-	0.000	0.000	Merged-chr11-3517558-36
NR35413--MA0740.1.KLF14	chr2	13575062	13575075	+	0.000	0.000	Merged-chr2-13575035-10
NR927--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR66638--MA0741.1.KLF16	chr9	57708567	57708577	-	0.000	0.000	Merged-chr9-57708660-35
NR37293--MA0493.1.Klf1	chr2	76370325	76370335	-	0.000	0.000	Merged-chr2-76370231-76
NR47221--MA0599.1.KLF5	chr4	98436895	98436904	-	0.000	0.000	Merged-chr4-98436733-103
NR11123--MA0493.1.Klf1	chr11	69491679	69491689	-	0.000	0.000	Merged-chr11-69491804-11
NR35311--MA0742.1.Klf12	chr2	11187395	11187409	-	0.000	0.000	Merged-chr2-11187260-69
NR62070--MA0741.1.KLF16	chr8	4193384	4193394	-	0.000	0.000	Merged-chr8-4193483-29
NR36871--MA0741.1.KLF16	chr2	60504639	60504649	-	0.000	0.000	Merged-chr2-60504518-1
NR44380--MA0740.1.KLF14	chr3	146812929	146812942	+	0.000	0.000	Merged-chr3-146812896-87
NR60669--MA0599.1.KLF5	chr7	98309544	98309553	-	0.000	0.000	Merged-chr7-98309453-63
NR57791--MA0741.1.KLF16	chr6	144922866	144922876	-	0.000	0.000	Merged-chr6-144923057-24
NR26664--MA0741.1.KLF16	chr16	45389924	45389934	+	0.000	0.000	Merged-chr16-45389886-49
NR68273--MA0599.1.KLF5	chr9	119579109	119579118	+	0.000	0.000	Merged-chr9-119579003-30
NR21292--MA0493.1.Klf1	chr14	70520270	70520280	+	0.000	0.000	Merged-chr14-70520372-68
NR29894--MA0740.1.KLF14	chr17	51876640	51876653	+	0.000	0.000	Merged-chr17-51876629-40
NR50454--MA0741.1.KLF16	chr5	44239421	44239431	+	0.000	0.000	Merged-chr5-44239344-7
NR52768--MA0740.1.KLF14	chr5	124095850	124095863	-	0.000	0.000	Merged-chr5-124095874-61
NR44384--MA0039.3.KLF4	chr3	146915036	146915046	-	0.000	0.000	Merged-chr3-146915000-36
NR51951--MA1107.1.KLF9	chr5	105114874	105114886	-	0.000	0.000	Merged-chr5-105114898-53
NR68775--MA0741.1.KLF16	chrX	38635144	38635154	-	0.000	0.000	Merged-chrX-38635204-84
NR37648--MA0741.1.KLF16	chr2	91921923	91921933	+	0.000	0.000	Merged-chr2-91921982-40
NR69466--MA0599.1.KLF5	chrX	150812966	150812975	+	0.000	0.000	Merged-chrX-150813149-62
NR17883--MA0741.1.KLF16	chr13	80885659	80885669	-	0.000	0.000	Merged-chr13-80885729-117
NR11015--MA1107.1.KLF9	chr11	64978884	64978896	-	0.000	0.000	Merged-chr11-64979086-60
NR66700--MA0741.1.KLF16	chr9	60995329	60995339	-	0.000	0.000	Merged-chr9-60995190-9
NR38397--MA0599.1.KLF5	chr2	121457045	121457054	+	0.000	0.000	Merged-chr2-121457132-54
NR44036--MA0493.1.Klf1	chr3	139205639	139205649	-	0.000	0.000	Merged-chr3-139205719-57
NR6713--MA0599.1.KLF5	chr10	59916789	59916798	+	0.000	0.000	Merged-chr10-59916836-10
NR12551--MA0657.1.KLF13	chr11	109671935	109671952	-	0.000	0.000	Merged-chr11-109672054-52
NR35422--MA0657.1.KLF13	chr2	13760533	13760550	+	0.000	0.000	Merged-chr2-13760550-51
NR38109--MA0039.3.KLF4	chr2	115581751	115581761	-	0.000	0.000	Merged-chr2-115581699-80
NR46015--MA0741.1.KLF16	chr4	45766155	45766165	-	0.000	0.000	Merged-chr4-45766216-17
NR9629--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
NR10853--MA0599.1.KLF5	chr11	60223072	60223081	+	0.000	0.000	Merged-chr11-60222972-52
NR24446--MA0599.1.KLF5	chr15	80264287	80264296	+	0.000	0.000	Merged-chr15-80264351-45
NR13381--MA0741.1.KLF16	chr12	17737292	17737302	+	0.000	0.000	Merged-chr12-17737331-11
NR69232--MA1107.1.KLF9	chrX	108834384	108834396	-	0.000	0.000	Merged-chrX-108834442-59
NR10937--MA0657.1.KLF13	chr11	61684378	61684395	+	0.000	0.000	Merged-chr11-61684230-57
NR26826--MA1107.1.KLF9	chr16	52454391	52454403	+	0.000	0.000	Merged-chr16-52454226-6
NR59145--MA0742.1.Klf12	chr7	34912357	34912371	+	0.000	0.000	Merged-chr7-34912506-54
NR68394--MA0599.1.KLF5	chr9	122294587	122294596	-	0.000	0.000	Merged-chr9-122294367-85
NR7263--MA0740.1.KLF14	chr10	75978464	75978477	-	0.000	0.000	Merged-chr10-75978406-17
NR27823--MA0599.1.KLF5	chr16	91011059	91011068	+	0.000	0.000	Merged-chr16-91011174-91
NR53446--MA1107.1.KLF9	chr5	137770770	137770782	+	0.000	0.000	Merged-chr5-137770863-20
NR21502--MA1107.1.KLF9	chr14	79154091	79154103	-	0.000	0.000	Merged-chr14-79154092-10
NR65406--MA0493.1.Klf1	chr8	125734219	125734229	-	0.000	0.000	Merged-chr8-125734356-90
NR28698--MA0599.1.KLF5	chr17	18004866	18004875	+	0.000	0.000	Merged-chr17-18004943-3
NR52523--MA0742.1.Klf12	chr5	119359915	119359929	-	0.000	0.000	Merged-chr5-119360019-16
NR9091--MA0493.1.Klf1	chr10	121033846	121033856	-	0.000	0.000	Merged-chr10-121033809-97
NR63543--MA0740.1.KLF14	chr8	69176605	69176618	-	0.000	0.000	Merged-chr8-69176623-23
NR35554--MA0741.1.KLF16	chr2	17703232	17703242	+	0.000	0.000	Merged-chr2-17703026-82
NR37100--MA0742.1.Klf12	chr2	69713289	69713303	+	0.000	0.000	Merged-chr2-69713363-57
NR54649--MA0599.1.KLF5	chr6	30391067	30391076	+	0.000	0.000	Merged-chr6-30391012-49
NR34042--MA0599.1.KLF5	chr19	8837509	8837518	+	0.000	0.000	Merged-chr19-8837631-55
NR68160--MA1107.1.KLF9	chr9	116114512	116114524	-	0.000	0.000	Merged-chr9-116114550-42
