#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR10975--MA0002.2.RUNX1	chr9	119823983	119823993	-	0.000	0.000	Merged-chr9-119823942-29
NR5543--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR5444--MA0002.2.RUNX1	chr19	5257354	5257364	+	0.000	0.000	Merged-chr19-5257394-33
NR4369--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR10899--MA0684.1.RUNX3	chr9	110907689	110907698	+	0.000	0.000	Merged-chr9-110907689-47
NR10504--MA0684.1.RUNX3	chr9	52287479	52287488	+	0.000	0.000	Merged-chr9-52287500-36
NR5573--MA0684.1.RUNX3	chr19	36083078	36083087	-	0.000	0.000	Merged-chr19-36083098-3
NR3893--MA0684.1.RUNX3	chr15	52928624	52928633	+	0.000	0.000	Merged-chr15-52928656-21
NR11023--MA0511.2.RUNX2	chrX	7618418	7618426	+	0.000	0.000	Merged-chrX-7618327-48
NR7603--MA0511.2.RUNX2	chr4	132040469	132040477	+	0.000	0.000	Merged-chr4-132040319-80
NR9727--MA0684.1.RUNX3	chr7	126330204	126330213	-	0.000	0.000	Merged-chr7-126330286-32
NR3101--MA0511.2.RUNX2	chr13	94144821	94144829	-	0.000	0.000	Merged-chr13-94144726-31
NR10293--MA0511.2.RUNX2	chr8	123034335	123034343	-	0.000	0.000	Merged-chr8-123034437-42
NR3816--MA0684.1.RUNX3	chr15	18951818	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR5348--MA0002.2.RUNX1	chr18	78161547	78161557	+	0.000	0.000	Merged-chr18-78161600-30
NR703--MA0002.2.RUNX1	chr1	172197312	172197322	+	0.000	0.000	Merged-chr1-172197316-25
NR7091--MA0684.1.RUNX3	chr3	144207653	144207662	-	0.000	0.000	Merged-chr3-144207712-15
NR3624--MA0511.2.RUNX2	chr14	73117173	73117181	+	0.000	0.000	Merged-chr14-73117167-52
NR5205--MA0002.2.RUNX1	chr18	39185902	39185912	-	0.000	0.000	Merged-chr18-39185847-29
NR10051--MA0002.2.RUNX1	chr8	70160137	70160147	+	0.000	0.000	Merged-chr8-70160118-32
NR5761--MA0511.2.RUNX2	chr2	11339397	11339405	+	0.000	0.000	Merged-chr2-11339259-65
NR3049--MA0002.2.RUNX1	chr13	86046840	86046850	+	0.000	0.000	Merged-chr13-86046681-54
NR9688--MA0002.2.RUNX1	chr7	119673632	119673642	-	0.000	0.000	Merged-chr7-119673662-33
NR7071--MA0002.2.RUNX1	chr3	142490534	142490544	-	0.000	0.000	Merged-chr3-142490676-34
NR6267--MA0511.2.RUNX2	chr2	135737687	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR9545--MA0002.2.RUNX1	chr7	100950768	100950778	+	0.000	0.000	Merged-chr7-100950799-22
NR8248--MA0684.1.RUNX3	chr5	115693470	115693479	+	0.000	0.000	Merged-chr5-115693567-32
NR10226--MA0002.2.RUNX1	chr8	115568645	115568655	+	0.000	0.000	Merged-chr8-115568627-19
NR9402--MA0002.2.RUNX1	chr7	67353072	67353082	-	0.000	0.000	Merged-chr7-67353153-2
NR4855--MA0002.2.RUNX1	chr17	47739701	47739711	-	0.000	0.000	Merged-chr17-47739612-38
NR4811--MA0511.2.RUNX2	chr17	35258409	35258417	+	0.000	0.000	Merged-chr17-35258304-47
NR650--MA0002.2.RUNX1	chr1	164316867	164316877	-	0.000	0.000	Merged-chr1-164316890-23
NR4269--MA0684.1.RUNX3	chr16	25426503	25426512	-	0.000	0.000	Merged-chr16-25426499-60
NR10478--MA0002.2.RUNX1	chr9	44515670	44515680	-	0.000	0.000	Merged-chr9-44515753-69
NR1193--MA0684.1.RUNX3	chr10	80848619	80848628	-	0.000	0.000	Merged-chr10-80848752-35
NR302--MA0002.2.RUNX1	chr1	87847453	87847463	-	0.000	0.000	Merged-chr1-87847290-68
NR968--MA0002.2.RUNX1	chr10	22714805	22714815	-	0.000	0.000	Merged-chr10-22714818-39
NR5281--MA0684.1.RUNX3	chr18	65312498	65312507	+	0.000	0.000	Merged-chr18-65312505-49
NR1050--MA0684.1.RUNX3	chr10	56378078	56378087	-	0.000	0.000	Merged-chr10-56378043-79
NR7311--MA0511.2.RUNX2	chr4	53826424	53826432	-	0.000	0.000	Merged-chr4-53826364-82
NR5327--MA0002.2.RUNX1	chr18	75043965	75043975	-	0.000	0.000	Merged-chr18-75044050-32
NR10573--MA0684.1.RUNX3	chr9	61715134	61715143	-	0.000	0.000	Merged-chr9-61715160-12
NR392--MA0002.2.RUNX1	chr1	106268547	106268557	+	0.000	0.000	Merged-chr1-106268464-31
NR7215--MA0511.2.RUNX2	chr4	11494798	11494806	-	0.000	0.000	Merged-chr4-11494764-12
NR5042--MA0684.1.RUNX3	chr17	86038397	86038406	+	0.000	0.000	Merged-chr17-86038391-20
NR9623--MA0511.2.RUNX2	chr7	112400402	112400410	-	0.000	0.000	Merged-chr7-112400264-32
NR5707--MA0002.2.RUNX1	chr19	59208599	59208609	+	0.000	0.000	Merged-chr19-59208711-26
NR11158--MA0511.2.RUNX2	chrX	105928699	105928707	+	0.000	0.000	Merged-chrX-105928639-1
NR315--MA0002.2.RUNX1	chr1	89108563	89108573	+	0.000	0.000	Merged-chr1-89108793-22
NR10553--MA0002.2.RUNX1	chr9	58131982	58131992	-	0.000	0.000	Merged-chr9-58131900-14
NR3507--MA0511.2.RUNX2	chr14	57730111	57730119	+	0.000	0.000	Merged-chr14-57729995-40
NR7097--MA0002.2.RUNX1	chr3	144411165	144411175	+	0.000	0.000	Merged-chr3-144411311-32
NR9875--MA0511.2.RUNX2	chr8	3205373	3205381	-	0.000	0.000	Merged-chr8-3205181-19
NR8942--MA0684.1.RUNX3	chr6	120902183	120902192	+	0.000	0.000	Merged-chr6-120902116-7
NR10761--MA0511.2.RUNX2	chr9	88273496	88273504	+	0.000	0.000	Merged-chr9-88273504-34
NR7225--MA0002.2.RUNX1	chr4	11771740	11771750	-	0.000	0.000	Merged-chr4-11771838-52
NR153--MA0002.2.RUNX1	chr1	54647515	54647525	+	0.000	0.000	Merged-chr1-54647549-11
NR4963--MA0684.1.RUNX3	chr17	73263238	73263247	-	0.000	0.000	Merged-chr17-73263273-50
NR6100--MA0002.2.RUNX1	chr2	91078419	91078429	+	0.000	0.000	Merged-chr2-91078502-21
NR10728--MA0002.2.RUNX1	chr9	84031079	84031089	-	0.000	0.000	Merged-chr9-84030961-27
NR9491--MA0684.1.RUNX3	chr7	84681780	84681789	+	0.000	0.000	Merged-chr7-84681796-26
NR3246--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR10043--MA0002.2.RUNX1	chr8	68793925	68793935	+	0.000	0.000	Merged-chr8-68794098-69
NR5449--MA0002.2.RUNX1	chr19	6304990	6305000	+	0.000	0.000	Merged-chr19-6305008-11
NR7463--MA0684.1.RUNX3	chr4	99829122	99829131	+	0.000	0.000	Merged-chr4-99829355-64
NR7258--MA0684.1.RUNX3	chr4	35140640	35140649	-	0.000	0.000	Merged-chr4-35140607-53
