#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR8672--MA1107.1.KLF9	chr10	128411642	128411654	-	0.000	0.000	Merged-chr10-128411568-50
NR38965--MA0741.1.KLF16	chr3	52297522	52297532	+	0.000	0.000	Merged-chr3-52297502-16
NR15253--MA0039.3.KLF4	chr12	112589074	112589084	-	0.000	0.000	Merged-chr12-112588954-88
NR56850--MA0742.1.Klf12	chr7	58758695	58758709	+	0.000	0.000	Merged-chr7-58758564-8
NR8878--MA1107.1.KLF9	chr11	4344284	4344296	-	0.000	0.000	Merged-chr11-4344147-20
NR1143--MA0657.1.KLF13	chr1	75399077	75399094	+	0.000	0.000	Merged-chr1-75398921-21
NR33774--MA0742.1.Klf12	chr2	32288142	32288156	+	0.000	0.000	Merged-chr2-32288192-62
NR3769--MA1107.1.KLF9	chr1	177257452	177257464	+	0.000	0.000	Merged-chr1-177257476-7
NR38116--MA0742.1.Klf12	chr2	173659567	173659581	+	0.000	0.000	Merged-chr2-173659827-104
NR34363--MA1107.1.KLF9	chr2	60172407	60172419	+	0.000	0.000	Merged-chr2-60172440-46
NR23480--MA1107.1.KLF9	chr16	3859465	3859477	-	0.000	0.000	Merged-chr16-3859586-8
NR49851--MA0740.1.KLF14	chr5	123907169	123907182	+	0.000	0.000	Merged-chr5-123907214-53
NR31325--MA0740.1.KLF14	chr19	6974947	6974960	-	0.000	0.000	Merged-chr19-6974819-71
NR49033--MA0493.1.Klf1	chr5	108461190	108461200	+	0.000	0.000	Merged-chr5-108461291-62
NR21475--MA0657.1.KLF13	chr15	38143660	38143677	+	0.000	0.000	Merged-chr15-38143465-33
NR9105--MA0740.1.KLF14	chr11	20561487	20561500	-	0.000	0.000	Merged-chr11-20561447-13
NR46438--MA0742.1.Klf12	chr4	152341102	152341116	+	0.000	0.000	Merged-chr4-152341132-7
NR47874--MA0493.1.Klf1	chr5	66190794	66190804	-	0.000	0.000	Merged-chr5-66190965-54
NR47332--MA0741.1.KLF16	chr5	33629645	33629655	+	0.000	0.000	Merged-chr5-33629620-114
NR9874--MA0742.1.Klf12	chr11	55031656	55031670	-	0.000	0.000	Merged-chr11-55031517-56
NR50723--MA0493.1.Klf1	chr5	139791466	139791476	-	0.000	0.000	Merged-chr5-139791708-104
NR2515--MA0741.1.KLF16	chr1	143505176	143505186	+	0.000	0.000	Merged-chr1-143505261-1
NR49292--MA1107.1.KLF9	chr5	113643658	113643670	+	0.000	0.000	Merged-chr5-113643605-6
NR19604--MA1107.1.KLF9	chr14	59441020	59441032	-	0.000	0.000	Merged-chr14-59440946-75
NR30251--MA0599.1.KLF5	chr18	67724732	67724741	-	0.000	0.000	Merged-chr18-67724731-110
NR13531--MA0493.1.Klf1	chr12	41494840	41494850	-	0.000	0.000	Merged-chr12-41494873-26
NR6807--MA0599.1.KLF5	chr10	81477662	81477671	+	0.000	0.000	Merged-chr10-81477667-3
NR40292--MA0740.1.KLF14	chr3	105825730	105825743	+	0.000	0.000	Merged-chr3-105825792-34
NR67026--MA0493.1.Klf1	chrX	9202980	9202990	-	0.000	0.000	Merged-chrX-9203018-6
NR60670--MA0742.1.Klf12	chr8	53639081	53639095	+	0.000	0.000	Merged-chr8-53639020-77
NR14222--MA0740.1.KLF14	chr12	82326689	82326702	-	0.000	0.000	Merged-chr12-82326673-11
NR64236--MA0599.1.KLF5	chr9	55512349	55512358	+	0.000	0.000	Merged-chr9-55512060-92
NR54093--MA0493.1.Klf1	chr6	127575361	127575371	+	0.000	0.000	Merged-chr6-127575169-36
NR55948--MA1107.1.KLF9	chr7	27508261	27508273	-	0.000	0.000	Merged-chr7-27508351-96
NR10947--MA0599.1.KLF5	chr11	79698234	79698243	+	0.000	0.000	Merged-chr11-79698290-25
NR19157--MA0493.1.Klf1	chr14	46578516	46578526	+	0.000	0.000	Merged-chr14-46578431-37
NR47099--MA1107.1.KLF9	chr5	24685861	24685873	+	0.000	0.000	Merged-chr5-24685796-115
NR34583--MA0493.1.Klf1	chr2	69917455	69917465	-	0.000	0.000	Merged-chr2-69917342-25
NR43767--MA0741.1.KLF16	chr4	94979124	94979134	-	0.000	0.000	Merged-chr4-94979011-66
NR48163--MA0657.1.KLF13	chr5	75662514	75662531	-	0.000	0.000	Merged-chr5-75662405-46
NR40347--MA0039.3.KLF4	chr3	107357412	107357422	-	0.000	0.000	Merged-chr3-107357315-31
NR42676--MA0599.1.KLF5	chr4	41275168	41275177	-	0.000	0.000	Merged-chr4-41275221-94
NR49816--MA1107.1.KLF9	chr5	123150865	123150877	-	0.000	0.000	Merged-chr5-123150677-160
NR16152--MA0599.1.KLF5	chr13	42049184	42049193	-	0.000	0.000	Merged-chr13-42049130-34
NR39334--MA0493.1.Klf1	chr3	79237833	79237843	+	0.000	0.000	Merged-chr3-79237925-42
NR31505--MA0039.3.KLF4	chr19	11494658	11494668	-	0.000	0.000	Merged-chr19-11494704-35
NR28441--MA0039.3.KLF4	chr17	80169134	80169144	+	0.000	0.000	Merged-chr17-80169005-20
NR5192--MA1107.1.KLF9	chr10	26373344	26373356	+	0.000	0.000	Merged-chr10-26373188-33
NR14993--MA0599.1.KLF5	chr12	106468246	106468255	+	0.000	0.000	Merged-chr12-106468276-1
NR28615--MA0741.1.KLF16	chr17	84116731	84116741	+	0.000	0.000	Merged-chr17-84116630-65
NR27917--MA0599.1.KLF5	chr17	57275563	57275572	+	0.000	0.000	Merged-chr17-57275446-78
NR8999--MA1107.1.KLF9	chr11	9048543	9048555	+	0.000	0.000	Merged-chr11-9048714-36
NR42103--MA0599.1.KLF5	chr3	154628467	154628476	+	0.000	0.000	Merged-chr3-154628476-23
NR40268--MA0599.1.KLF5	chr3	104967953	104967962	-	0.000	0.000	Merged-chr3-104968115-29
NR47584--MA0741.1.KLF16	chr5	45669765	45669775	+	0.000	0.000	Merged-chr5-45669606-116
NR366--MA1107.1.KLF9	chr1	37286804	37286816	-	0.000	0.000	Merged-chr1-37286924-34
NR35551--MA0039.3.KLF4	chr2	104286394	104286404	-	0.000	0.000	Merged-chr2-104286317-9
NR47855--MA0741.1.KLF16	chr5	65914612	65914622	-	0.000	0.000	Merged-chr5-65914511-22
NR47408--MA1107.1.KLF9	chr5	35462422	35462434	+	0.000	0.000	Merged-chr5-35462574-17
NR16901--MA0740.1.KLF14	chr13	67500246	67500259	+	0.000	0.000	Merged-chr13-67500378-53
NR14083--MA1107.1.KLF9	chr12	77765417	77765429	+	0.000	0.000	Merged-chr12-77765433-12
NR39235--MA1107.1.KLF9	chr3	68784302	68784314	-	0.000	0.000	Merged-chr3-68784168-43
NR40962--MA0741.1.KLF16	chr3	129533714	129533724	+	0.000	0.000	Merged-chr3-129533518-164
NR27584--MA0039.3.KLF4	chr17	47564782	47564792	+	0.000	0.000	Merged-chr17-47564757-20
NR14626--MA0599.1.KLF5	chr12	100876277	100876286	-	0.000	0.000	Merged-chr12-100876279-15
NR23592--MA1107.1.KLF9	chr16	8655801	8655813	-	0.000	0.000	Merged-chr16-8655850-21
NR35302--MA0741.1.KLF16	chr2	93468972	93468982	+	0.000	0.000	Merged-chr2-93469030-22
NR6376--MA1107.1.KLF9	chr10	78243970	78243982	-	0.000	0.000	Merged-chr10-78243898-1
NR51880--MA0741.1.KLF16	chr6	38360277	38360287	-	0.000	0.000	Merged-chr6-38360325-47
NR35472--MA0599.1.KLF5	chr2	103703495	103703504	-	0.000	0.000	Merged-chr2-103703560-39
NR38182--MA0599.1.KLF5	chr2	174556043	174556052	-	0.000	0.000	Merged-chr2-174555978-36
NR38119--MA0493.1.Klf1	chr2	173659567	173659577	+	0.000	0.000	Merged-chr2-173659827-104
NR8806--MA0741.1.KLF16	chr11	3335914	3335924	-	0.000	0.000	Merged-chr11-3336028-55
NR11798--MA0039.3.KLF4	chr11	98959593	98959603	+	0.000	0.000	Merged-chr11-98959702-39
NR3203--MA0657.1.KLF13	chr1	164053794	164053811	-	0.000	0.000	Merged-chr1-164053798-7
NR38056--MA0740.1.KLF14	chr2	173021882	173021895	-	0.000	0.000	Merged-chr2-173022060-54
NR56017--MA0741.1.KLF16	chr7	28665852	28665862	-	0.000	0.000	Merged-chr7-28665750-36
NR35834--MA0742.1.Klf12	chr2	118883343	118883357	-	0.000	0.000	Merged-chr2-118883436-40
NR32404--MA0599.1.KLF5	chr19	46761489	46761498	+	0.000	0.000	Merged-chr19-46761432-95
NR27011--MA0039.3.KLF4	chr17	33998962	33998972	-	0.000	0.000	Merged-chr17-33999093-34
NR48227--MA0742.1.Klf12	chr5	77144722	77144736	-	0.000	0.000	Merged-chr5-77144936-48
NR39455--MA0493.1.Klf1	chr3	85574109	85574119	-	0.000	0.000	Merged-chr3-85574094-56
NR4157--MA0740.1.KLF14	chr1	185204125	185204138	+	0.000	0.000	Merged-chr1-185204112-85
NR36665--MA0599.1.KLF5	chr2	144245646	144245655	+	0.000	0.000	Merged-chr2-144245539-27
NR44303--MA0740.1.KLF14	chr4	116123782	116123795	-	0.000	0.000	Merged-chr4-116123762-43
NR52657--MA0741.1.KLF16	chr6	72644737	72644747	+	0.000	0.000	Merged-chr6-72644677-18
NR33740--MA0599.1.KLF5	chr2	31612939	31612948	-	0.000	0.000	Merged-chr2-31612988-19
NR7354--MA1107.1.KLF9	chr10	94942931	94942943	+	0.000	0.000	Merged-chr10-94942923-6
NR67725--MA0599.1.KLF5	chrX	102189390	102189399	+	0.000	0.000	Merged-chrX-102189182-65
NR58340--MA1107.1.KLF9	chr7	114356564	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR52777--MA0657.1.KLF13	chr6	83107756	83107773	-	0.000	0.000	Merged-chr6-83107807-23
NR55763--MA0741.1.KLF16	chr7	24628979	24628989	+	0.000	0.000	Merged-chr7-24629039-26
NR39651--MA0742.1.Klf12	chr3	89430208	89430222	-	0.000	0.000	Merged-chr3-89430392-53
NR63356--MA0493.1.Klf1	chr9	14365715	14365725	+	0.000	0.000	Merged-chr9-14365673-24
NR60566--MA0599.1.KLF5	chr8	41374831	41374840	-	0.000	0.000	Merged-chr8-41374695-65
NR494--MA0741.1.KLF16	chr1	40359125	40359135	+	0.000	0.000	Merged-chr1-40359035-4
NR478--MA1107.1.KLF9	chr1	39918290	39918302	-	0.000	0.000	Merged-chr1-39918240-76
NR37766--MA0742.1.Klf12	chr2	167831831	167831845	-	0.000	0.000	Merged-chr2-167831852-3
NR8960--MA0740.1.KLF14	chr11	5878227	5878240	+	0.000	0.000	Merged-chr11-5878307-47
NR24780--MA0039.3.KLF4	chr16	64800653	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR17457--MA0599.1.KLF5	chr13	95524227	95524236	+	0.000	0.000	Merged-chr13-95524041-1
NR22551--MA0742.1.Klf12	chr15	83100169	83100183	-	0.000	0.000	Merged-chr15-83100216-49
NR28182--MA0741.1.KLF16	chr17	71551940	71551950	-	0.000	0.000	Merged-chr17-71552127-66
NR48650--MA1107.1.KLF9	chr5	96990707	96990719	-	0.000	0.000	Merged-chr5-96990741-12
NR33842--MA0740.1.KLF14	chr2	32854392	32854405	+	0.000	0.000	Merged-chr2-32854345-8
NR29531--MA0039.3.KLF4	chr18	39141874	39141884	-	0.000	0.000	Merged-chr18-39141814-16
NR46261--MA0599.1.KLF5	chr4	150901915	150901924	+	0.000	0.000	Merged-chr4-150901809-14
NR42097--MA0039.3.KLF4	chr3	154628449	154628459	+	0.000	0.000	Merged-chr3-154628476-23
NR53029--MA0742.1.Klf12	chr6	88939585	88939599	-	0.000	0.000	Merged-chr6-88939617-36
