#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR28963--MA0741.1.KLF16	chr18	20896433	20896443	-	0.000	0.000	Merged-chr18-20896385-98
NR12854--MA0742.1.Klf12	chr12	16580526	16580540	-	0.000	0.000	Merged-chr12-16580677-15
NR28660--MA0740.1.KLF14	chr17	87107218	87107231	+	0.000	0.000	Merged-chr17-87107301-129
NR64706--MA0741.1.KLF16	chr9	110732780	110732790	-	0.000	0.000	Merged-chr9-110732795-38
NR13396--MA0740.1.KLF14	chr12	59012042	59012055	-	0.000	0.000	Merged-chr12-59012056-72
NR25530--MA1107.1.KLF9	chr16	97326255	97326267	+	0.000	0.000	Merged-chr16-97326270-33
NR18756--MA0741.1.KLF16	chr14	33447301	33447311	-	0.000	0.000	Merged-chr14-33447186-64
NR18845--MA0039.3.KLF4	chr14	44977559	44977569	+	0.000	0.000	Merged-chr14-44977527-23
NR921--MA1107.1.KLF9	chr1	69499064	69499076	-	0.000	0.000	Merged-chr1-69499196-51
NR9875--MA0599.1.KLF5	chr11	69581607	69581616	-	0.000	0.000	Merged-chr11-69581385-45
NR7186--MA0741.1.KLF16	chr10	110920129	110920139	+	0.000	0.000	Merged-chr10-110920143-70
NR7556--MA0493.1.Klf1	chr10	117969969	117969979	-	0.000	0.000	Merged-chr10-117970017-9
NR46243--MA0599.1.KLF5	chr5	34761607	34761616	-	0.000	0.000	Merged-chr5-34761763-63
NR9874--MA0742.1.Klf12	chr11	69581603	69581617	-	0.000	0.000	Merged-chr11-69581385-45
NR21118--MA0740.1.KLF14	chr15	38143661	38143674	+	0.000	0.000	Merged-chr15-38143465-33
NR58542--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR18775--MA0599.1.KLF5	chr14	34502803	34502812	+	0.000	0.000	Merged-chr14-34502705-107
NR2515--MA0741.1.KLF16	chr1	151501003	151501013	-	0.000	0.000	Merged-chr1-151500785-93
NR42141--MA0742.1.Klf12	chr4	46565804	46565818	+	0.000	0.000	Merged-chr4-46565631-17
