#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR6139--MA1104.1.GATA6	chr7	67500440	67500452	+	0.000	0.000	Merged-chr7-67500556-27
NR1499--MA0035.3.Gata1	chr12	85818540	85818550	-	0.000	0.000	Merged-chr12-85818661-14
NR3088--MA0766.1.GATA5	chr17	18615310	18615317	+	0.000	0.000	Merged-chr17-18615356-8
NR1750--MA0037.3.GATA3	chr13	20094995	20095002	-	0.000	0.000	Merged-chr13-20095026-36
NR2801--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR195--MA0035.3.Gata1	chr1	105543278	105543288	-	0.000	0.000	Merged-chr1-105543373-21
NR3307--MA0035.3.Gata1	chr18	34783578	34783588	+	0.000	0.000	Merged-chr18-34783714-45
NR397--MA0037.3.GATA3	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR7124--MA0035.3.Gata1	chrX	77640426	77640436	+	0.000	0.000	Merged-chrX-77640531-25
NR1240--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR3559--MA0035.3.Gata1	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR2747--MA0036.3.GATA2	chr16	10585579	10585589	-	0.000	0.000	Merged-chr16-10585448-58
NR232--MA0766.1.GATA5	chr1	131170137	131170144	-	0.000	0.000	Merged-chr1-131170011-6
NR3468--MA0766.1.GATA5	chr18	89206490	89206497	+	0.000	0.000	Merged-chr18-89206335-76
NR2824--MA0482.1.Gata4	chr16	33073040	33073050	-	0.000	0.000	Merged-chr16-33073178-28
NR4884--MA0036.3.GATA2	chr4	122829338	122829348	-	0.000	0.000	Merged-chr4-122829434-12
NR6912--MA0482.1.Gata4	chr9	92274723	92274733	-	0.000	0.000	Merged-chr9-92274591-56
NR2333--MA0036.3.GATA2	chr14	78436106	78436116	-	0.000	0.000	Merged-chr14-78436014-44
NR5742--MA0037.3.GATA3	chr6	97311130	97311137	+	0.000	0.000	Merged-chr6-97311024-32
NR345--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR474--MA0036.3.GATA2	chr1	191102863	191102873	+	0.000	0.000	Merged-chr1-191102990-43
NR6431--MA0766.1.GATA5	chr8	69328896	69328903	-	0.000	0.000	Merged-chr8-69328899-30
NR4480--MA0766.1.GATA5	chr3	132886775	132886782	-	0.000	0.000	Merged-chr3-132886809-16
NR2866--MA0766.1.GATA5	chr16	49774803	49774810	-	0.000	0.000	Merged-chr16-49774880-113
NR341--MA0766.1.GATA5	chr1	161767272	161767279	-	0.000	0.000	Merged-chr1-161767386-1
NR126--MA0036.3.GATA2	chr1	79752488	79752498	-	0.000	0.000	Merged-chr1-79752241-78
NR6105--MA0037.3.GATA3	chr7	45526451	45526458	-	0.000	0.000	Merged-chr7-45526317-62
NR3373--MA0482.1.Gata4	chr18	57249951	57249961	-	0.000	0.000	Merged-chr18-57249763-26
NR3168--MA0482.1.Gata4	chr17	48450374	48450384	+	0.000	0.000	Merged-chr17-48450233-8
NR1396--MA1104.1.GATA6	chr12	26460150	26460162	-	0.000	0.000	Merged-chr12-26460097-25
NR1001--MA1104.1.GATA6	chr11	45959891	45959903	-	0.000	0.000	Merged-chr11-45959987-18
NR3049--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR3219--MA0036.3.GATA2	chr17	71618157	71618167	+	0.000	0.000	Merged-chr17-71618121-41
NR3204--MA1104.1.GATA6	chr17	65558608	65558620	-	0.000	0.000	Merged-chr17-65558424-20
NR4645--MA0036.3.GATA2	chr3	152928849	152928859	+	0.000	0.000	Merged-chr3-152928852-31
NR2975--MA0766.1.GATA5	chr16	93454221	93454228	+	0.000	0.000	Merged-chr16-93454367-31
NR4897--MA0036.3.GATA2	chr4	123510578	123510588	+	0.000	0.000	Merged-chr4-123510606-7
NR5960--MA0037.3.GATA3	chr6	142809494	142809501	+	0.000	0.000	Merged-chr6-142809719-29
NR1478--MA0035.3.Gata1	chr12	76533014	76533024	+	0.000	0.000	Merged-chr12-76533132-4
NR3042--MA1104.1.GATA6	chr17	7904964	7904976	-	0.000	0.000	Merged-chr17-7905100-9
NR3108--MA1104.1.GATA6	chr17	27323301	27323313	-	0.000	0.000	Merged-chr17-27323176-36
NR2213--MA0766.1.GATA5	chr14	52437183	52437190	-	0.000	0.000	Merged-chr14-52437010-8
NR7130--MA1104.1.GATA6	chrX	94235876	94235888	-	0.000	0.000	Merged-chrX-94235790-6
NR2854--MA1104.1.GATA6	chr16	45025477	45025489	+	0.000	0.000	Merged-chr16-45025536-40
NR302--MA0035.3.Gata1	chr1	151572722	151572732	-	0.000	0.000	Merged-chr1-151572860-7
NR3543--MA0140.2.GATA1::TAL1	chr19	25360755	25360772	-	0.000	0.000	Merged-chr19-25360847-26
NR211--MA0766.1.GATA5	chr1	106738290	106738297	+	0.000	0.000	Merged-chr1-106738280-22
NR3309--MA0482.1.Gata4	chr18	34783894	34783904	-	0.000	0.000	Merged-chr18-34783714-45
NR1358--MA0482.1.Gata4	chr12	12172556	12172566	+	0.000	0.000	Merged-chr12-12172464-29
NR6501--MA0035.3.Gata1	chr8	94240435	94240445	+	0.000	0.000	Merged-chr8-94240399-13
NR4735--MA0482.1.Gata4	chr4	46152004	46152014	+	0.000	0.000	Merged-chr4-46152127-36
NR5175--MA0482.1.Gata4	chr5	36722516	36722526	-	0.000	0.000	Merged-chr5-36722614-37
NR6410--MA0766.1.GATA5	chr8	40595271	40595278	+	0.000	0.000	Merged-chr8-40595277-53
NR310--MA0036.3.GATA2	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR3055--MA1104.1.GATA6	chr17	12513726	12513738	-	0.000	0.000	Merged-chr17-12513699-7
NR7158--MA0036.3.GATA2	chrX	107325958	107325968	+	0.000	0.000	Merged-chrX-107325945-70
NR2201--MA0140.2.GATA1::TAL1	chr14	48422200	48422217	-	0.000	0.000	Merged-chr14-48422314-53
NR3578--MA1104.1.GATA6	chr19	33053335	33053347	-	0.000	0.000	Merged-chr19-33053321-32
NR2478--MA0766.1.GATA5	chr15	11533053	11533060	+	0.000	0.000	Merged-chr15-11533088-60
NR6657--MA0035.3.Gata1	chr8	128530707	128530717	-	0.000	0.000	Merged-chr8-128530780-6
NR59--MA1104.1.GATA6	chr1	40399748	40399760	+	0.000	0.000	Merged-chr1-40399864-38
NR5207--MA0482.1.Gata4	chr5	64472608	64472618	+	0.000	0.000	Merged-chr5-64472447-77
NR3256--MA0482.1.Gata4	chr17	80062160	80062170	+	0.000	0.000	Merged-chr17-80062114-120
NR2086--MA0037.3.GATA3	chr13	113031447	113031454	+	0.000	0.000	Merged-chr13-113031425-1
NR7047--MA1104.1.GATA6	chr9	120961807	120961819	+	0.000	0.000	Merged-chr9-120961674-26
NR2883--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR1232--MA0037.3.GATA3	chr11	105946775	105946782	-	0.000	0.000	Merged-chr11-105946795-5
NR5367--MA1104.1.GATA6	chr5	118069582	118069594	+	0.000	0.000	Merged-chr5-118069472-39
NR3687--MA1104.1.GATA6	chr2	11706149	11706161	+	0.000	0.000	Merged-chr2-11706228-2
NR2802--MA0140.2.GATA1::TAL1	chr16	24826508	24826525	+	0.000	0.000	Merged-chr16-24826564-20
NR4605--MA0482.1.Gata4	chr3	146275831	146275841	+	0.000	0.000	Merged-chr3-146275724-31
NR1960--MA0037.3.GATA3	chr13	95449901	95449908	+	0.000	0.000	Merged-chr13-95449730-51
