#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR152--MA0463.1.Bcl6	chr1	180906885	180906898	+	0.000	0.000	Merged-chr1-180906731-1,Merged-chr1-180906986-1
NR891--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR1162--MA0731.1.BCL6B	chr2	150915316	150915332	-	0.000	0.000	Merged-chr2-150915256-26
NR479--MA0463.1.Bcl6	chr12	118411158	118411171	+	0.000	0.000	Merged-chr12-118411153-21
NR1953--MA0463.1.Bcl6	chr8	110813182	110813195	-	0.000	0.000	Merged-chr8-110813191-16
NR1183--MA0463.1.Bcl6	chr2	170520575	170520588	-	0.000	0.000	Merged-chr2-170520657-42
NR1922--MA0731.1.BCL6B	chr8	71537596	71537612	+	0.000	0.000	Merged-chr8-71537469-55
NR2009--MA0463.1.Bcl6	chr9	50414258	50414271	-	0.000	0.000	Merged-chr9-50414250-13
NR1819--MA0463.1.Bcl6	chr7	99468976	99468989	+	0.000	0.000	Merged-chr7-99468692-92
NR64--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR824--MA0463.1.Bcl6	chr17	12165427	12165440	+	0.000	0.000	Merged-chr17-12165459-54
NR708--MA0463.1.Bcl6	chr15	59263509	59263522	+	0.000	0.000	Merged-chr15-59263707-44
NR2063--MA0463.1.Bcl6	chr9	102577622	102577635	+	0.000	0.000	Merged-chr9-102577518-37
NR296--MA0463.1.Bcl6	chr11	4497614	4497627	-	0.000	0.000	Merged-chr11-4497649-38
NR1197--MA0463.1.Bcl6	chr2	180081045	180081058	-	0.000	0.000	Merged-chr2-180080885-21
NR1770--MA0463.1.Bcl6	chr7	27804765	27804778	+	0.000	0.000	Merged-chr7-27804809-45
NR838--MA0463.1.Bcl6	chr17	34603939	34603952	+	0.000	0.000	Merged-chr17-34603959-87
NR1891--MA0463.1.Bcl6	chr7	144560768	144560781	+	0.000	0.000	Merged-chr7-144560836-20
NR623--MA0463.1.Bcl6	chr14	55603985	55603998	+	0.000	0.000	Merged-chr14-55604128-61
NR1524--MA0463.1.Bcl6	chr5	72167799	72167812	-	0.000	0.000	Merged-chr5-72167906-73
NR1542--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR22--MA0731.1.BCL6B	chr1	53843227	53843243	+	0.000	0.000	Merged-chr1-53843171-20
NR780--MA0463.1.Bcl6	chr16	64824085	64824098	-	0.000	0.000	Merged-chr16-64824096-19
NR984--MA0731.1.BCL6B	chr19	30095535	30095551	-	0.000	0.000	Merged-chr19-30095625-14
NR1887--MA0463.1.Bcl6	chr7	141302903	141302916	-	0.000	0.000	Merged-chr7-141303065-41
NR1999--MA0463.1.Bcl6	chr9	43784218	43784231	+	0.000	0.000	Merged-chr9-43784156-3
NR1220--MA0463.1.Bcl6	chr3	55494350	55494363	+	0.000	0.000	Merged-chr3-55494225-1
NR1690--MA0463.1.Bcl6	chr6	114916515	114916528	+	0.000	0.000	Merged-chr6-114916622-10
NR1547--MA0463.1.Bcl6	chr5	92392655	92392668	+	0.000	0.000	Merged-chr5-92392769-24
NR56--MA0463.1.Bcl6	chr1	87626517	87626530	+	0.000	0.000	Merged-chr1-87626553-50
NR758--MA0463.1.Bcl6	chr16	23988611	23988624	-	0.000	0.000	Merged-chr16-23988801-56
NR1473--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR315--MA0463.1.Bcl6	chr11	53769773	53769786	-	0.000	0.000	Merged-chr11-53769580-6
NR221--MA0463.1.Bcl6	chr10	59879764	59879777	+	0.000	0.000	Merged-chr10-59879607-101
NR1614--MA0731.1.BCL6B	chr5	146882273	146882289	-	0.000	0.000	Merged-chr5-146882424-24
NR1910--MA0463.1.Bcl6	chr8	46943697	46943710	+	0.000	0.000	Merged-chr8-46943576-48
NR1627--MA0731.1.BCL6B	chr6	22340070	22340086	+	0.000	0.000	Merged-chr6-22340067-27
NR1213--MA0731.1.BCL6B	chr3	37199139	37199155	-	0.000	0.000	Merged-chr3-37199060-11
NR1465--MA0731.1.BCL6B	chr4	145250058	145250074	-	0.000	0.000	Merged-chr4-145250198-42
NR703--MA0731.1.BCL6B	chr15	57508722	57508738	-	0.000	0.000	Merged-chr15-57508665-16
NR1597--MA0463.1.Bcl6	chr5	139750719	139750732	-	0.000	0.000	Merged-chr5-139750779-16
NR1382--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR141--MA0463.1.Bcl6	chr1	176827398	176827411	+	0.000	0.000	Merged-chr1-176827492-35
NR1257--MA0463.1.Bcl6	chr3	96306494	96306507	+	0.000	0.000	Merged-chr3-96306635-3
NR1335--MA0731.1.BCL6B	chr3	144561897	144561913	+	0.000	0.000	Merged-chr3-144561824-38
NR1060--MA0463.1.Bcl6	chr2	52570335	52570348	-	0.000	0.000	Merged-chr2-52570542-44
NR598--MA0463.1.Bcl6	chr14	25534393	25534406	-	0.000	0.000	Merged-chr14-25534315-15
NR1826--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR1177--MA0463.1.Bcl6	chr2	167975579	167975592	-	0.000	0.000	Merged-chr2-167975780-28
NR817--MA0731.1.BCL6B	chr17	5887463	5887479	-	0.000	0.000	Merged-chr17-5887399-51
NR809--MA0463.1.Bcl6	chr16	93977791	93977804	-	0.000	0.000	Merged-chr16-93977807-10
NR1022--MA0731.1.BCL6B	chr2	11331892	11331908	-	0.000	0.000	Merged-chr2-11331773-28
NR1688--MA0731.1.BCL6B	chr6	113661633	113661649	-	0.000	0.000	Merged-chr6-113661383-125
NR715--MA0463.1.Bcl6	chr15	67398242	67398255	-	0.000	0.000	Merged-chr15-67398131-20
NR500--MA0463.1.Bcl6	chr13	21750310	21750323	-	0.000	0.000	Merged-chr13-21750455-56
NR2100--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR621--MA0463.1.Bcl6	chr14	54554429	54554442	+	0.000	0.000	Merged-chr14-54554312-80
NR493--MA0731.1.BCL6B	chr13	14063560	14063576	-	0.000	0.000	Merged-chr13-14063519-130
NR764--MA0731.1.BCL6B	chr16	32430855	32430871	+	0.000	0.000	Merged-chr16-32431022-65
NR1178--MA0731.1.BCL6B	chr2	167975579	167975595	+	0.000	0.000	Merged-chr2-167975780-28
NR1449--MA0731.1.BCL6B	chr4	136031599	136031615	-	0.000	0.000	Merged-chr4-136031447-41
NR350--MA0731.1.BCL6B	chr11	81996268	81996284	-	0.000	0.000	Merged-chr11-81996367-24
NR416--MA0731.1.BCL6B	chr12	80643868	80643884	-	0.000	0.000	Merged-chr12-80643898-100
NR1306--MA0731.1.BCL6B	chr3	133544249	133544265	+	0.000	0.000	Merged-chr3-133544434-91
NR1634--MA0463.1.Bcl6	chr6	37046476	37046489	-	0.000	0.000	Merged-chr6-37046555-33
NR845--MA0463.1.Bcl6	chr17	44121575	44121588	+	0.000	0.000	Merged-chr17-44121634-62
NR1079--MA0463.1.Bcl6	chr2	69712420	69712433	-	0.000	0.000	Merged-chr2-69712301-22
NR634--MA0731.1.BCL6B	chr14	74847825	74847841	+	0.000	0.000	Merged-chr14-74847708-53
NR1518--MA0463.1.Bcl6	chr5	65326391	65326404	+	0.000	0.000	Merged-chr5-65326399-35
NR376--MA0731.1.BCL6B	chr11	110911232	110911248	-	0.000	0.000	Merged-chr11-110911126-2
NR451--MA0731.1.BCL6B	chr12	108765902	108765918	-	0.000	0.000	Merged-chr12-108765872-68
NR313--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR3--MA0463.1.Bcl6	chr1	13560072	13560085	+	0.000	0.000	Merged-chr1-13560165-1
NR783--MA0463.1.Bcl6	chr16	75617789	75617802	+	0.000	0.000	Merged-chr16-75617911-31
NR1684--MA0463.1.Bcl6	chr6	108836146	108836159	-	0.000	0.000	Merged-chr6-108836247-72
NR464--MA0731.1.BCL6B	chr12	113485485	113485501	+	0.000	0.000	Merged-chr12-113485346-21
NR443--MA0463.1.Bcl6	chr12	102330251	102330264	+	0.000	0.000	Merged-chr12-102330247-36
NR17--MA0731.1.BCL6B	chr1	37478656	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR345--MA0463.1.Bcl6	chr11	76399039	76399052	-	0.000	0.000	Merged-chr11-76399136-77
NR599--MA0731.1.BCL6B	chr14	25832478	25832494	-	0.000	0.000	Merged-chr14-25832526-44
NR1031--MA0463.1.Bcl6	chr2	19201757	19201770	-	0.000	0.000	Merged-chr2-19201871-12
NR363--MA0463.1.Bcl6	chr11	98497618	98497631	+	0.000	0.000	Merged-chr11-98497586-22
NR1264--MA0463.1.Bcl6	chr3	104675451	104675464	-	0.000	0.000	Merged-chr3-104675564-49
NR475--MA0463.1.Bcl6	chr12	116049825	116049838	+	0.000	0.000	Merged-chr12-116049840-17
NR2010--MA0731.1.BCL6B	chr9	50414258	50414274	+	0.000	0.000	Merged-chr9-50414250-13
NR1376--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR198--MA0731.1.BCL6B	chr10	19566218	19566234	+	0.000	0.000	Merged-chr10-19566068-15
