#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR11666--MA0501.1.MAF::NFE2	chr7	29816016	29816030	-	0.000	0.000	Merged-chr7-29816029-62
NR8117--MA0591.1.Bach1::Mafk	chr3	32708647	32708661	+	0.000	0.000	Merged-chr3-32708836-74
NR585--MA0501.1.MAF::NFE2	chr1	133146154	133146168	+	0.000	0.000	Merged-chr1-133146237-29
NR1466--MA0495.2.MAFF	chr10	67566240	67566260	+	0.000	0.000	Merged-chr10-67566323-15
NR4176--MA0495.2.MAFF	chr14	50931026	50931046	-	0.000	0.000	Merged-chr14-50931007-84
NR12493--MA0501.1.MAF::NFE2	chr8	57477025	57477039	-	0.000	0.000	Merged-chr8-57477126-15
NR11788--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR4961--MA0117.2.Mafb	chr15	99009003	99009014	+	0.000	0.000	Merged-chr15-99008995-43
NR5043--MA0089.1.MAFG::NFE2L1	chr16	17024650	17024655	-	0.000	0.000	Merged-chr16-17024705-22
NR10253--MA0089.1.MAFG::NFE2L1	chr5	111273723	111273728	+	0.000	0.000	Merged-chr5-111273731-20
NR13839--MA0659.1.MAFG	chrX	159829363	159829383	+	0.000	0.000	Merged-chrX-159829427-31
NR1005--MA0495.2.MAFF	chr1	182528172	182528192	+	0.000	0.000	Merged-chr1-182528373-67
NR9025--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR4941--MA0496.2.MAFK	chr15	97213230	97213248	-	0.000	0.000	Merged-chr15-97213099-28
NR10596--MA0117.2.Mafb	chr6	8299319	8299330	+	0.000	0.000	Merged-chr6-8299314-15
NR11384--MA0089.1.MAFG::NFE2L1	chr6	134220514	134220519	+	0.000	0.000	Merged-chr6-134220428-49
NR12422--MA0117.2.Mafb	chr8	34173438	34173449	-	0.000	0.000	Merged-chr8-34173383-21
NR3475--MA0089.1.MAFG::NFE2L1	chr13	43788990	43788995	-	0.000	0.000	Merged-chr13-43789112-65
NR2748--MA0496.2.MAFK	chr12	36067683	36067701	-	0.000	0.000	Merged-chr12-36067752-18
NR2621--MA0501.1.MAF::NFE2	chr12	8521718	8521732	+	0.000	0.000	Merged-chr12-8521654-50
NR8620--MA0496.2.MAFK	chr3	132791339	132791357	+	0.000	0.000	Merged-chr3-132791387-40
NR947--MA0089.1.MAFG::NFE2L1	chr1	178449465	178449470	+	0.000	0.000	Merged-chr1-178449320-25
NR10555--MA0089.1.MAFG::NFE2L1	chr5	149647571	149647576	-	0.000	0.000	Merged-chr5-149647772-15
NR5163--MA0495.2.MAFF	chr16	43700788	43700808	-	0.000	0.000	Merged-chr16-43700750-21
NR5721--MA0089.1.MAFG::NFE2L1	chr17	33940346	33940351	+	0.000	0.000	Merged-chr17-33940486-52
NR2786--MA0117.2.Mafb	chr12	51543650	51543661	-	0.000	0.000	Merged-chr12-51543736-20
NR4491--MA0089.1.MAFG::NFE2L1	chr14	115131895	115131900	-	0.000	0.000	Merged-chr14-115131915-1
NR5355--MA0496.2.MAFK	chr16	78564465	78564483	+	0.000	0.000	Merged-chr16-78564490-1
NR990--MA0501.1.MAF::NFE2	chr1	181230925	181230939	-	0.000	0.000	Merged-chr1-181230993-50
NR7215--MA0089.1.MAFG::NFE2L1	chr2	80638781	80638786	+	0.000	0.000	Merged-chr2-80638943-54
NR13845--MA0089.1.MAFG::NFE2L1	chrX	159910903	159910908	+	0.000	0.000	Merged-chrX-159910945-21
NR12872--MA0496.2.MAFK	chr8	124242444	124242462	-	0.000	0.000	Merged-chr8-124242348-54
NR10151--MA0089.1.MAFG::NFE2L1	chr5	96919260	96919265	+	0.000	0.000	Merged-chr5-96919308-24
NR12702--MA0591.1.Bach1::Mafk	chr8	94186727	94186741	+	0.000	0.000	Merged-chr8-94186753-31
NR3068--MA0496.2.MAFK	chr12	102069872	102069890	-	0.000	0.000	Merged-chr12-102069942-3
NR5681--MA0591.1.Bach1::Mafk	chr17	29716890	29716904	+	0.000	0.000	Merged-chr17-29717022-42
NR8609--MA0501.1.MAF::NFE2	chr3	130905293	130905307	+	0.000	0.000	Merged-chr3-130905343-29
NR4340--MA0501.1.MAF::NFE2	chr14	72778152	72778166	-	0.000	0.000	Merged-chr14-72778135-45
NR4713--MA0496.2.MAFK	chr15	51823241	51823259	-	0.000	0.000	Merged-chr15-51823268-39
NR11004--MA0495.2.MAFF	chr6	85075166	85075186	+	0.000	0.000	Merged-chr6-85075148-16
NR13530--MA0117.2.Mafb	chr9	118519336	118519347	+	0.000	0.000	Merged-chr9-118519152-31
NR1463--MA0501.1.MAF::NFE2	chr10	67100362	67100376	-	0.000	0.000	Merged-chr10-67100599-74
NR3988--MA0117.2.Mafb	chr13	117198874	117198885	+	0.000	0.000	Merged-chr13-117198790-41
NR6557--MA0496.2.MAFK	chr19	12473171	12473189	-	0.000	0.000	Merged-chr19-12473105-63
NR10017--MA0591.1.Bach1::Mafk	chr5	72763765	72763779	+	0.000	0.000	Merged-chr5-72763794-20
NR1641--MA0591.1.Bach1::Mafk	chr10	90969639	90969653	-	0.000	0.000	Merged-chr10-90969735-47
NR8885--MA0495.2.MAFF	chr4	3929725	3929745	-	0.000	0.000	Merged-chr4-3929769-34
NR5192--MA0659.1.MAFG	chr16	45310575	45310595	+	0.000	0.000	Merged-chr16-45310615-7
NR2207--MA0501.1.MAF::NFE2	chr11	69411743	69411757	+	0.000	0.000	Merged-chr11-69411912-30
NR8533--MA0089.1.MAFG::NFE2L1	chr3	116434961	116434966	+	0.000	0.000	Merged-chr3-116434903-21
NR2255--MA0089.1.MAFG::NFE2L1	chr11	78247040	78247045	-	0.000	0.000	Merged-chr11-78247027-5
NR5501--MA0659.1.MAFG	chr17	5802392	5802412	-	0.000	0.000	Merged-chr17-5802429-65
NR10030--MA0496.2.MAFK	chr5	74456859	74456877	+	0.000	0.000	Merged-chr5-74456993-19
NR1917--MA0089.1.MAFG::NFE2L1	chr10	130324372	130324377	-	0.000	0.000	Merged-chr10-130324467-31
NR11572--MA0496.2.MAFK	chr7	3617196	3617214	+	0.000	0.000	Merged-chr7-3617392-59
NR6098--MA0089.1.MAFG::NFE2L1	chr18	10532602	10532607	+	0.000	0.000	Merged-chr18-10532827-93
NR4424--MA0591.1.Bach1::Mafk	chr14	99539107	99539121	-	0.000	0.000	Merged-chr14-99539207-2
NR5841--MA0117.2.Mafb	chr17	57100227	57100238	-	0.000	0.000	Merged-chr17-57100117-14
NR2259--MA0501.1.MAF::NFE2	chr11	79071779	79071793	+	0.000	0.000	Merged-chr11-79071709-8
NR2447--MA0591.1.Bach1::Mafk	chr11	109722132	109722146	-	0.000	0.000	Merged-chr11-109721852-70
NR5256--MA0089.1.MAFG::NFE2L1	chr16	55637046	55637051	-	0.000	0.000	Merged-chr16-55636906-56
NR1137--MA0089.1.MAFG::NFE2L1	chr1	193444441	193444446	+	0.000	0.000	Merged-chr1-193444336-29
NR6529--MA0591.1.Bach1::Mafk	chr19	9100874	9100888	-	0.000	0.000	Merged-chr19-9100672-23
NR1856--MA0591.1.Bach1::Mafk	chr10	122194327	122194341	-	0.000	0.000	Merged-chr10-122194311-33
NR6137--MA0495.2.MAFF	chr18	24116934	24116954	-	0.000	0.000	Merged-chr18-24116838-23
