#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR441--MA0508.2.PRDM1	chr11	79993064	79993073	-	0.000	0.000	Merged-chr11-79993076-75
NR92--MA0508.2.PRDM1	chr1	92473989	92473998	-	0.000	0.000	Merged-chr1-92473909-79
NR693--MA0508.2.PRDM1	chr13	85498921	85498930	+	0.000	0.000	Merged-chr13-85498931-37
NR2390--MA0508.2.PRDM1	chr7	29908552	29908561	-	0.000	0.000	Merged-chr7-29908489-59
NR977--MA0508.2.PRDM1	chr15	61539046	61539055	+	0.000	0.000	Merged-chr15-61539170-27
NR420--MA0508.2.PRDM1	chr11	32039765	32039774	-	0.000	0.000	Merged-chr11-32039842-30
NR1466--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR1989--MA0508.2.PRDM1	chr4	141618939	141618948	+	0.000	0.000	Merged-chr4-141618821-28
NR2382--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR2510--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR380--MA0508.2.PRDM1	chr10	117571672	117571681	+	0.000	0.000	Merged-chr10-117571495-58
NR651--MA0508.2.PRDM1	chr13	48978073	48978082	+	0.000	0.000	Merged-chr13-48978131-34
NR1336--MA0508.2.PRDM1	chr19	6869645	6869654	+	0.000	0.000	Merged-chr19-6869528-29
NR303--MA0508.2.PRDM1	chr10	59897143	59897152	-	0.000	0.000	Merged-chr10-59896998-59
NR412--MA0508.2.PRDM1	chr11	14111025	14111034	+	0.000	0.000	Merged-chr11-14111026-9
NR1697--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR664--MA0508.2.PRDM1	chr13	63886566	63886575	+	0.000	0.000	Merged-chr13-63886405-114
NR805--MA0508.2.PRDM1	chr14	18271189	18271198	-	0.000	0.000	Merged-chr14-18271014-66
NR547--MA0508.2.PRDM1	chr12	83987859	83987868	+	0.000	0.000	Merged-chr12-83987988-78
NR55--MA0508.2.PRDM1	chr1	52388418	52388427	+	0.000	0.000	Merged-chr1-52388435-48
NR656--MA0508.2.PRDM1	chr13	51115870	51115879	-	0.000	0.000	Merged-chr13-51115960-42
NR765--MA0508.2.PRDM1	chr13	113198243	113198252	-	0.000	0.000	Merged-chr13-113198047-76
NR351--MA0508.2.PRDM1	chr10	93938811	93938820	+	0.000	0.000	Merged-chr10-93938916-38
NR1307--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR2462--MA0508.2.PRDM1	chr7	113263266	113263275	+	0.000	0.000	Merged-chr7-113263148-32
NR2733--MA0508.2.PRDM1	chrX	159159850	159159859	+	0.000	0.000	Merged-chrX-159159822-7
NR460--MA0508.2.PRDM1	chr11	117965735	117965744	+	0.000	0.000	Merged-chr11-117965771-41
NR2223--MA0508.2.PRDM1	chr6	29287297	29287306	+	0.000	0.000	Merged-chr6-29287093-11
NR2603--MA0508.2.PRDM1	chr9	15003374	15003383	-	0.000	0.000	Merged-chr9-15003468-19
NR744--MA0508.2.PRDM1	chr13	106691942	106691951	-	0.000	0.000	Merged-chr13-106691961-50
NR377--MA0508.2.PRDM1	chr10	111100282	111100291	+	0.000	0.000	Merged-chr10-111100246-10
NR648--MA0508.2.PRDM1	chr13	45907109	45907118	+	0.000	0.000	Merged-chr13-45907051-110
NR1267--MA0508.2.PRDM1	chr18	39801356	39801365	-	0.000	0.000	Merged-chr18-39801283-11
NR2550--MA0508.2.PRDM1	chr8	83740299	83740308	-	0.000	0.000	Merged-chr8-83740218-49
NR975--MA0508.2.PRDM1	chr15	59524943	59524952	+	0.000	0.000	Merged-chr15-59525009-64
NR2672--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR988--MA0508.2.PRDM1	chr15	74918567	74918576	-	0.000	0.000	Merged-chr15-74918683-40
NR683--MA0508.2.PRDM1	chr13	77708751	77708760	-	0.000	0.000	Merged-chr13-77708849-66
NR858--MA0508.2.PRDM1	chr14	78307348	78307357	+	0.000	0.000	Merged-chr14-78307471-124
NR2555--MA0508.2.PRDM1	chr8	88161505	88161514	-	0.000	0.000	Merged-chr8-88161496-26
NR391--MA0508.2.PRDM1	chr10	122047135	122047144	+	0.000	0.000	Merged-chr10-122047468-83
NR186--MA0508.2.PRDM1	chr1	172368889	172368898	+	0.000	0.000	Merged-chr1-172369010-35
NR457--MA0508.2.PRDM1	chr11	110897214	110897223	+	0.000	0.000	Merged-chr11-110897111-25
