#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR1126--MA0508.2.PRDM1	chr2	16568488	16568497	-	0.000	0.000	Merged-chr2-16568402-24
NR1615--MA0508.2.PRDM1	chr5	97055825	97055834	+	0.000	0.000	Merged-chr5-97055881-18
NR1139--MA0508.2.PRDM1	chr2	31026998	31027007	+	0.000	0.000	Merged-chr2-31026852-15
NR1596--MA0508.2.PRDM1	chr5	72212796	72212805	-	0.000	0.000	Merged-chr5-72212800-19
NR1182--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR71--MA0508.2.PRDM1	chr1	93401870	93401879	+	0.000	0.000	Merged-chr1-93401739-47
NR1628--MA0508.2.PRDM1	chr5	108349919	108349928	-	0.000	0.000	Merged-chr5-108349848-29
NR1009--MA0508.2.PRDM1	chr18	24237097	24237106	-	0.000	0.000	Merged-chr18-24237197-17
NR847--MA0508.2.PRDM1	chr16	23100343	23100352	-	0.000	0.000	Merged-chr16-23100189-17
NR433--MA0508.2.PRDM1	chr12	4918270	4918279	-	0.000	0.000	Merged-chr12-4918314-6
NR1575--MA0508.2.PRDM1	chr5	33034186	33034195	+	0.000	0.000	Merged-chr5-33034240-11
NR1336--MA0508.2.PRDM1	chr3	84622122	84622131	+	0.000	0.000	Merged-chr3-84622230-22
NR1588--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR555--MA0508.2.PRDM1	chr13	3897013	3897022	-	0.000	0.000	Merged-chr13-3897020-16
NR2000--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR141--MA0508.2.PRDM1	chr1	167340225	167340234	+	0.000	0.000	Merged-chr1-167340348-59
NR412--MA0508.2.PRDM1	chr11	103346320	103346329	+	0.000	0.000	Merged-chr11-103346367-17
NR250--MA0508.2.PRDM1	chr10	62544539	62544548	-	0.000	0.000	Merged-chr10-62544557-11
NR1206--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1187--MA0508.2.PRDM1	chr2	84809681	84809690	-	0.000	0.000	Merged-chr2-84809578-14
NR630--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR1044--MA0508.2.PRDM1	chr18	70611308	70611317	+	0.000	0.000	Merged-chr18-70611498-71
NR948--MA0508.2.PRDM1	chr17	42887604	42887613	+	0.000	0.000	Merged-chr17-42887503-23
NR1219--MA0508.2.PRDM1	chr2	117542987	117542996	+	0.000	0.000	Merged-chr2-117542874-17
NR895--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR481--MA0508.2.PRDM1	chr12	75727468	75727477	+	0.000	0.000	Merged-chr12-75727609-33
NR547--MA0508.2.PRDM1	chr12	117712709	117712718	-	0.000	0.000	Merged-chr12-117712681-21
