#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR25977--MA0657.1.KLF13	chr16	16146889	16146906	+	0.000	0.000	Merged-chr16-16146725-61
NR12553--MA0493.1.Klf1	chr11	109671941	109671951	-	0.000	0.000	Merged-chr11-109672054-52
NR48990--MA1107.1.KLF9	chr4	150112967	150112979	-	0.000	0.000	Merged-chr4-150113122-17
NR31314--MA0599.1.KLF5	chr18	4296001	4296010	+	0.000	0.000	Merged-chr18-4296046-21
NR1174--MA0599.1.KLF5	chr1	58973436	58973445	+	0.000	0.000	Merged-chr1-58973623-66
NR16903--MA1107.1.KLF9	chr13	45876477	45876489	+	0.000	0.000	Merged-chr13-45876609-5
NR31953--MA0657.1.KLF13	chr18	33464074	33464091	-	0.000	0.000	Merged-chr18-33464031-50
NR39010--MA0741.1.KLF16	chr2	136917805	136917815	-	0.000	0.000	Merged-chr2-136917960-10
NR12679--MA0599.1.KLF5	chr11	115463462	115463471	-	0.000	0.000	Merged-chr11-115463666-29
NR49168--MA0599.1.KLF5	chr4	155050348	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR26190--MA1107.1.KLF9	chr16	23102918	23102930	-	0.000	0.000	Merged-chr16-23102925-22
NR57126--MA0599.1.KLF5	chr6	128143626	128143635	-	0.000	0.000	Merged-chr6-128143679-59
NR34587--MA0740.1.KLF14	chr19	41206901	41206914	+	0.000	0.000	Merged-chr19-41206944-35
NR68348--MA1107.1.KLF9	chr9	121314942	121314954	-	0.000	0.000	Merged-chr9-121314876-15
NR29658--MA0599.1.KLF5	chr17	45686276	45686285	-	0.000	0.000	Merged-chr17-45686351-100
NR7341--MA0493.1.Klf1	chr10	77606499	77606509	+	0.000	0.000	Merged-chr10-77606503-166
NR2515--MA0741.1.KLF16	chr1	119504798	119504808	+	0.000	0.000	Merged-chr1-119504796-62
NR29166--MA0740.1.KLF14	chr17	29394034	29394047	-	0.000	0.000	Merged-chr17-29393996-77
NR10065--MA0599.1.KLF5	chr11	20831250	20831259	-	0.000	0.000	Merged-chr11-20831042-78
NR45923--MA0741.1.KLF16	chr4	43656491	43656501	-	0.000	0.000	Merged-chr4-43656546-52
NR62942--MA0493.1.Klf1	chr8	39056373	39056383	-	0.000	0.000	Merged-chr8-39056272-4
NR55948--MA1107.1.KLF9	chr6	88924915	88924927	+	0.000	0.000	Merged-chr6-88924833-5
NR20230--MA0741.1.KLF16	chr14	32492708	32492718	+	0.000	0.000	Merged-chr14-32492758-31
NR48011--MA0740.1.KLF14	chr4	128962502	128962515	+	0.000	0.000	Merged-chr4-128962566-44
NR43767--MA0741.1.KLF16	chr3	131272103	131272113	+	0.000	0.000	Merged-chr3-131271947-79
NR927--MA0741.1.KLF16	chr1	44101586	44101596	+	0.000	0.000	Merged-chr1-44101717-6
NR40256--MA0742.1.Klf12	chr2	173659684	173659698	+	0.000	0.000	Merged-chr2-173659827-104
NR69326--MA1107.1.KLF9	chrX	135601842	135601854	+	0.000	0.000	Merged-chrX-135601772-31
NR47221--MA0599.1.KLF5	chr4	98436895	98436904	-	0.000	0.000	Merged-chr4-98436733-103
NR11113--MA0039.3.KLF4	chr11	69401436	69401446	+	0.000	0.000	Merged-chr11-69401473-44
NR59520--MA0493.1.Klf1	chr7	46639810	46639820	-	0.000	0.000	Merged-chr7-46639840-59
NR2482--MA1107.1.KLF9	chr1	119151861	119151873	-	0.000	0.000	Merged-chr1-119151846-1
NR62070--MA0741.1.KLF16	chr8	4193384	4193394	-	0.000	0.000	Merged-chr8-4193483-29
NR34215--MA0039.3.KLF4	chr19	21747506	21747516	+	0.000	0.000	Merged-chr19-21747536-25
NR59440--MA0599.1.KLF5	chr7	45339645	45339654	+	0.000	0.000	Merged-chr7-45339768-30
NR57791--MA0741.1.KLF16	chr6	144922866	144922876	-	0.000	0.000	Merged-chr6-144923057-24
NR26664--MA0741.1.KLF16	chr16	45389924	45389934	+	0.000	0.000	Merged-chr16-45389886-49
NR68273--MA0599.1.KLF5	chr9	119579109	119579118	+	0.000	0.000	Merged-chr9-119579003-30
NR31009--MA0741.1.KLF16	chr17	86963020	86963030	+	0.000	0.000	Merged-chr17-86962989-104
NR31774--MA1107.1.KLF9	chr18	24309578	24309590	-	0.000	0.000	Merged-chr18-24309700-12
NR40268--MA0599.1.KLF5	chr2	173679404	173679413	+	0.000	0.000	Merged-chr2-173679251-44
NR21292--MA0493.1.Klf1	chr14	70520270	70520280	+	0.000	0.000	Merged-chr14-70520372-68
NR29894--MA0740.1.KLF14	chr17	51876640	51876653	+	0.000	0.000	Merged-chr17-51876629-40
NR65205--MA0599.1.KLF5	chr8	122432956	122432965	+	0.000	0.000	Merged-chr8-122432955-76
NR44384--MA0039.3.KLF4	chr3	146915036	146915046	-	0.000	0.000	Merged-chr3-146915000-36
NR11639--MA0740.1.KLF14	chr11	84513563	84513576	-	0.000	0.000	Merged-chr11-84513596-65
NR68775--MA0741.1.KLF16	chrX	38635144	38635154	-	0.000	0.000	Merged-chrX-38635204-84
NR58663--MA0493.1.Klf1	chr7	24934917	24934927	+	0.000	0.000	Merged-chr7-24934785-2
NR69466--MA0599.1.KLF5	chrX	150812966	150812975	+	0.000	0.000	Merged-chrX-150813149-62
NR61512--MA0493.1.Klf1	chr7	127708351	127708361	-	0.000	0.000	Merged-chr7-127708553-93
NR32186--MA0742.1.Klf12	chr18	39031323	39031337	+	0.000	0.000	Merged-chr18-39031215-33
NR43082--MA0741.1.KLF16	chr3	104992828	104992838	+	0.000	0.000	Merged-chr3-104992904-39
NR65806--MA0742.1.Klf12	chr9	21320730	21320744	-	0.000	0.000	Merged-chr9-21320762-47
NR11015--MA1107.1.KLF9	chr11	64978884	64978896	-	0.000	0.000	Merged-chr11-64979086-60
NR66700--MA0741.1.KLF16	chr9	60995329	60995339	-	0.000	0.000	Merged-chr9-60995190-9
NR12551--MA0657.1.KLF13	chr11	109671935	109671952	-	0.000	0.000	Merged-chr11-109672054-52
NR35422--MA0657.1.KLF13	chr2	13760533	13760550	+	0.000	0.000	Merged-chr2-13760550-51
NR12566--MA1107.1.KLF9	chr11	111792065	111792077	+	0.000	0.000	Merged-chr11-111792002-31
NR10853--MA0599.1.KLF5	chr11	60223072	60223081	+	0.000	0.000	Merged-chr11-60222972-52
NR49947--MA0599.1.KLF5	chr5	24577499	24577508	-	0.000	0.000	Merged-chr5-24577562-64
NR26250--MA0741.1.KLF16	chr16	24450149	24450159	-	0.000	0.000	Merged-chr16-24450067-2
NR33279--MA0599.1.KLF5	chr18	75370567	75370576	+	0.000	0.000	Merged-chr18-75370606-43
NR25862--MA0493.1.Klf1	chr16	10969311	10969321	-	0.000	0.000	Merged-chr16-10969472-37
NR26826--MA1107.1.KLF9	chr16	52454391	52454403	+	0.000	0.000	Merged-chr16-52454226-6
NR21432--MA0740.1.KLF14	chr14	75754080	75754093	+	0.000	0.000	Merged-chr14-75754322-81
NR62659--MA0741.1.KLF16	chr8	27161537	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR53446--MA1107.1.KLF9	chr5	137770770	137770782	+	0.000	0.000	Merged-chr5-137770863-20
NR65406--MA0493.1.Klf1	chr8	125734219	125734229	-	0.000	0.000	Merged-chr8-125734356-90
NR37234--MA0741.1.KLF16	chr2	72997221	72997231	-	0.000	0.000	Merged-chr2-72997142-44
NR45761--MA0741.1.KLF16	chr4	41348061	41348071	+	0.000	0.000	Merged-chr4-41348000-22
NR64114--MA1107.1.KLF9	chr8	84128439	84128451	+	0.000	0.000	Merged-chr8-84128468-26
NR52523--MA0742.1.Klf12	chr5	119359915	119359929	-	0.000	0.000	Merged-chr5-119360019-16
NR25087--MA1107.1.KLF9	chr15	93275403	93275415	+	0.000	0.000	Merged-chr15-93275409-98
NR9091--MA0493.1.Klf1	chr10	121033846	121033856	-	0.000	0.000	Merged-chr10-121033809-97
NR63543--MA0740.1.KLF14	chr8	69176605	69176618	-	0.000	0.000	Merged-chr8-69176623-23
NR30070--MA0741.1.KLF16	chr17	56758320	56758330	-	0.000	0.000	Merged-chr17-56758329-12
