#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR10918--MA0684.1.RUNX3	chr9	69174164	69174173	-	0.000	0.000	Merged-chr9-69174203-32
NR10975--MA0002.2.RUNX1	chr9	75805158	75805168	-	0.000	0.000	Merged-chr9-75805166-16
NR3387--MA0511.2.RUNX2	chr14	27376333	27376341	-	0.000	0.000	Merged-chr14-27376322-41
NR3658--MA0511.2.RUNX2	chr14	79115160	79115168	-	0.000	0.000	Merged-chr14-79115074-10
NR3370--MA0684.1.RUNX3	chr14	25476286	25476295	-	0.000	0.000	Merged-chr14-25476250-18
NR9360--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR9631--MA0511.2.RUNX2	chr7	65373500	65373508	+	0.000	0.000	Merged-chr7-65373607-20
NR5239--MA0002.2.RUNX1	chr18	11931782	11931792	-	0.000	0.000	Merged-chr18-11931736-46
NR10899--MA0684.1.RUNX3	chr9	66274930	66274939	+	0.000	0.000	Merged-chr9-66274857-15
NR10290--MA0002.2.RUNX1	chr8	64726328	64726338	-	0.000	0.000	Merged-chr8-64726365-32
NR3288--MA0002.2.RUNX1	chr13	112458796	112458806	-	0.000	0.000	Merged-chr13-112458738-9
NR5030--MA0002.2.RUNX1	chr17	52125413	52125423	+	0.000	0.000	Merged-chr17-52125389-32
NR10690--MA0684.1.RUNX3	chr9	14200216	14200225	+	0.000	0.000	Merged-chr9-14200294-59
NR780--MA0002.2.RUNX1	chr1	180943004	180943014	-	0.000	0.000	Merged-chr1-180943118-2
NR10485--MA0684.1.RUNX3	chr8	110988279	110988288	-	0.000	0.000	Merged-chr8-110988305-13
NR1342--MA0684.1.RUNX3	chr10	95998151	95998160	+	0.000	0.000	Merged-chr10-95998321-17
NR9185--MA0684.1.RUNX3	chr6	122837925	122837934	+	0.000	0.000	Merged-chr6-122837963-9
NR7776--MA0684.1.RUNX3	chr4	120984725	120984734	-	0.000	0.000	Merged-chr4-120984598-23
NR6158--MA0511.2.RUNX2	chr2	61514185	61514193	-	0.000	0.000	Merged-chr2-61514287-58
NR6429--MA0511.2.RUNX2	chr2	129816123	129816131	-	0.000	0.000	Merged-chr2-129816219-15
NR5553--MA0002.2.RUNX1	chr18	82493046	82493056	-	0.000	0.000	Merged-chr18-82492983-14
NR10465--MA0002.2.RUNX1	chr8	106292649	106292659	+	0.000	0.000	Merged-chr8-106292794-10
NR1988--MA0002.2.RUNX1	chr11	97309587	97309597	+	0.000	0.000	Merged-chr11-97309548-7
NR9165--MA0002.2.RUNX1	chr6	120956488	120956498	-	0.000	0.000	Merged-chr6-120956639-2
NR5682--MA0684.1.RUNX3	chr19	14805365	14805374	-	0.000	0.000	Merged-chr19-14805435-8
NR9707--MA0002.2.RUNX1	chr7	80450004	80450014	-	0.000	0.000	Merged-chr7-80450087-44
NR1673--MA0511.2.RUNX2	chr11	43767288	43767296	+	0.000	0.000	Merged-chr11-43767173-52
NR83--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR6015--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR5748--MA0684.1.RUNX3	chr19	30095464	30095473	+	0.000	0.000	Merged-chr19-30095625-14
NR3797--MA0684.1.RUNX3	chr15	6569140	6569149	+	0.000	0.000	Merged-chr15-6569076-63
NR10594--MA0684.1.RUNX3	chr8	124260282	124260291	-	0.000	0.000	Merged-chr8-124260405-50
NR5490--MA0511.2.RUNX2	chr18	75374182	75374190	-	0.000	0.000	Merged-chr18-75374196-25
NR3525--MA0002.2.RUNX1	chr14	65330856	65330866	+	0.000	0.000	Merged-chr14-65330788-23
NR5761--MA0511.2.RUNX2	chr19	32266644	32266652	+	0.000	0.000	Merged-chr19-32266743-101
NR9022--MA0002.2.RUNX1	chr6	88757235	88757245	+	0.000	0.000	Merged-chr6-88757111-24
NR4951--MA0002.2.RUNX1	chr17	35423349	35423359	+	0.000	0.000	Merged-chr17-35423448-36
NR6267--MA0511.2.RUNX2	chr2	91924163	91924171	-	0.000	0.000	Merged-chr2-91924034-46
NR5605--MA0684.1.RUNX3	chr19	5002038	5002047	-	0.000	0.000	Merged-chr19-5002085-56
NR10180--MA0684.1.RUNX3	chr8	22728940	22728949	+	0.000	0.000	Merged-chr8-22728865-15
NR7964--MA0511.2.RUNX2	chr4	149912636	149912644	-	0.000	0.000	Merged-chr4-149912693-20
NR9151--MA0684.1.RUNX3	chr6	119918695	119918704	+	0.000	0.000	Merged-chr6-119918835-40
NR10574--MA0002.2.RUNX1	chr8	122008583	122008593	+	0.000	0.000	Merged-chr8-122008515-14
NR10845--MA0002.2.RUNX1	chr9	58280706	58280716	+	0.000	0.000	Merged-chr9-58280700-28
NR7471--MA0684.1.RUNX3	chr4	34881101	34881110	+	0.000	0.000	Merged-chr4-34881201-30
NR9274--MA0002.2.RUNX1	chr6	134068866	134068876	-	0.000	0.000	Merged-chr6-134068734-14
NR9501--MA0511.2.RUNX2	chr7	27357789	27357797	+	0.000	0.000	Merged-chr7-27357694-29
NR5314--MA0002.2.RUNX1	chr18	39049169	39049179	+	0.000	0.000	Merged-chr18-39049078-69
NR5109--MA0002.2.RUNX1	chr17	73815027	73815037	+	0.000	0.000	Merged-chr17-73814943-62
NR8420--MA0002.2.RUNX1	chr5	111059038	111059048	+	0.000	0.000	Merged-chr5-111059205-94
NR10431--MA0002.2.RUNX1	chr8	94633718	94633728	+	0.000	0.000	Merged-chr8-94633712-19
NR7180--MA0002.2.RUNX1	chr3	133391894	133391904	+	0.000	0.000	Merged-chr3-133392067-9
NR5172--MA0684.1.RUNX3	chr17	84056421	84056430	+	0.000	0.000	Merged-chr17-84056540-29
NR4855--MA0002.2.RUNX1	chr17	21733926	21733936	-	0.000	0.000	Merged-chr17-21733799-41
NR5509--MA0684.1.RUNX3	chr18	79092884	79092893	-	0.000	0.000	Merged-chr18-79092831-54
NR9753--MA0511.2.RUNX2	chr7	92087616	92087624	-	0.000	0.000	Merged-chr7-92087702-17
NR10749--MA0002.2.RUNX1	chr9	40423740	40423750	-	0.000	0.000	Merged-chr9-40423772-79
NR7375--MA0684.1.RUNX3	chr4	3209765	3209774	+	0.000	0.000	Merged-chr4-3209817-19
NR4441--MA0002.2.RUNX1	chr16	44339245	44339255	-	0.000	0.000	Merged-chr16-44339420-21
NR4712--MA0002.2.RUNX1	chr16	94660419	94660429	+	0.000	0.000	Merged-chr16-94660460-20
NR3637--MA0511.2.RUNX2	chr14	76217065	76217073	-	0.000	0.000	Merged-chr14-76217096-104
NR9449--MA0002.2.RUNX1	chr7	4501006	4501016	-	0.000	0.000	Merged-chr7-4501103-9
NR96--MA0002.2.RUNX1	chr1	39896692	39896702	+	0.000	0.000	Merged-chr1-39896761-43
NR7103--MA0002.2.RUNX1	chr3	121345090	121345100	-	0.000	0.000	Merged-chr3-121345048-25
NR302--MA0002.2.RUNX1	chr1	80755834	80755844	-	0.000	0.000	Merged-chr1-80755729-75
NR968--MA0002.2.RUNX1	chr10	19321988	19321998	+	0.000	0.000	Merged-chr10-19321944-43
NR9578--MA0684.1.RUNX3	chr7	48795272	48795281	-	0.000	0.000	Merged-chr7-48795353-37
NR4693--MA0002.2.RUNX1	chr16	93552970	93552980	-	0.000	0.000	Merged-chr16-93552984-42
NR7898--MA0684.1.RUNX3	chr4	139242140	139242149	-	0.000	0.000	Merged-chr4-139242159-17
NR9035--MA0002.2.RUNX1	chr6	91864815	91864825	-	0.000	0.000	Merged-chr6-91864766-17
NR10020--MA0511.2.RUNX2	chr7	132749006	132749014	+	0.000	0.000	Merged-chr7-132748920-16
NR7626--MA0002.2.RUNX1	chr4	86887117	86887127	+	0.000	0.000	Merged-chr4-86887188-3
NR5618--MA0684.1.RUNX3	chr19	6452356	6452365	-	0.000	0.000	Merged-chr19-6452354-3
NR3938--MA0684.1.RUNX3	chr15	58750401	58750410	+	0.000	0.000	Merged-chr15-58750240-28
NR8781--MA0002.2.RUNX1	chr6	30592265	30592275	+	0.000	0.000	Merged-chr6-30592201-27
NR554--MA0002.2.RUNX1	chr1	144846347	144846357	+	0.000	0.000	Merged-chr1-144846158-2
NR5360--MA0511.2.RUNX2	chr18	56455834	56455842	+	0.000	0.000	Merged-chr18-56455831-43
NR825--MA0002.2.RUNX1	chr1	184534678	184534688	-	0.000	0.000	Merged-chr1-184534660-49
NR5204--MA0684.1.RUNX3	chr17	86880725	86880734	+	0.000	0.000	Merged-chr17-86880662-37
NR2665--MA0002.2.RUNX1	chr12	110454469	110454479	+	0.000	0.000	Merged-chr12-110454424-31
NR954--MA0684.1.RUNX3	chr10	14066228	14066237	+	0.000	0.000	Merged-chr10-14066140-19
NR10050--MA0684.1.RUNX3	chr7	137438347	137438356	-	0.000	0.000	Merged-chr7-137438337-3
NR1639--MA0684.1.RUNX3	chr11	32013609	32013618	+	0.000	0.000	Merged-chr11-32013500-11
NR10173--MA0002.2.RUNX1	chr8	22405907	22405917	+	0.000	0.000	Merged-chr8-22405869-37
NR5949--MA0511.2.RUNX2	chr2	9872965	9872973	+	0.000	0.000	Merged-chr2-9872839-11
NR9144--MA0002.2.RUNX1	chr6	119408839	119408849	+	0.000	0.000	Merged-chr6-119408748-28
NR10795--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR6389--MA0511.2.RUNX2	chr2	125948469	125948477	+	0.000	0.000	Merged-chr2-125948432-8
NR5806--MA0511.2.RUNX2	chr19	40300140	40300148	+	0.000	0.000	Merged-chr19-40300210-18
NR3584--MA0511.2.RUNX2	chr14	69980921	69980929	+	0.000	0.000	Merged-chr14-69980861-5
NR4930--MA0002.2.RUNX1	chr17	33484228	33484238	-	0.000	0.000	Merged-chr17-33484214-28
NR5042--MA0684.1.RUNX3	chr17	56289436	56289445	+	0.000	0.000	Merged-chr17-56289493-28
NR10923--MA0511.2.RUNX2	chr9	69314631	69314639	+	0.000	0.000	Merged-chr9-69314546-65
NR7987--MA0002.2.RUNX1	chr4	150808643	150808653	+	0.000	0.000	Merged-chr4-150808794-106
NR3091--MA0684.1.RUNX3	chr13	81182721	81182730	+	0.000	0.000	Merged-chr13-81182564-34
