#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR2390--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR202--MA0508.2.PRDM1	chr1	191396353	191396362	+	0.000	0.000	Merged-chr1-191396236-4
NR454--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR311--MA0508.2.PRDM1	chr10	108093215	108093224	-	0.000	0.000	Merged-chr10-108093126-24
NR1867--MA0508.2.PRDM1	chr5	105145829	105145838	+	0.000	0.000	Merged-chr5-105145750-96
NR2422--MA0508.2.PRDM1	chr9	83652851	83652860	-	0.000	0.000	Merged-chr9-83653017-27
NR563--MA0508.2.PRDM1	chr12	115262600	115262609	-	0.000	0.000	Merged-chr12-115262701-27
NR1182--MA0508.2.PRDM1	chr19	32268756	32268765	+	0.000	0.000	Merged-chr19-32268730-8
NR420--MA0508.2.PRDM1	chr11	96667233	96667242	+	0.000	0.000	Merged-chr11-96667069-36
NR71--MA0508.2.PRDM1	chr1	92627921	92627930	-	0.000	0.000	Merged-chr1-92627858-2
NR324--MA0508.2.PRDM1	chr10	118110050	118110059	+	0.000	0.000	Merged-chr10-118110099-23
NR433--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR704--MA0508.2.PRDM1	chr13	111461449	111461458	-	0.000	0.000	Merged-chr13-111461542-22
NR1052--MA0508.2.PRDM1	chr17	73814695	73814704	-	0.000	0.000	Merged-chr17-73814943-62
NR2382--MA0508.2.PRDM1	chr9	56418587	56418596	-	0.000	0.000	Merged-chr9-56418520-156
NR1065--MA0508.2.PRDM1	chr17	86040918	86040927	-	0.000	0.000	Merged-chr17-86040828-28
NR555--MA0508.2.PRDM1	chr12	113155326	113155335	+	0.000	0.000	Merged-chr12-113155292-10
NR826--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR1174--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1445--MA0508.2.PRDM1	chr3	60486666	60486675	+	0.000	0.000	Merged-chr3-60486566-72
NR935--MA0508.2.PRDM1	chr16	33687788	33687797	-	0.000	0.000	Merged-chr16-33687969-54
NR1187--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR677--MA0508.2.PRDM1	chr13	91224129	91224138	+	0.000	0.000	Merged-chr13-91224009-83
NR948--MA0508.2.PRDM1	chr16	44999616	44999625	-	0.000	0.000	Merged-chr16-44999747-49
NR1296--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR1153--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR2231--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR914--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR1328--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR385--MA0508.2.PRDM1	chr11	69838281	69838290	-	0.000	0.000	Merged-chr11-69838250-77
NR494--MA0508.2.PRDM1	chr12	69357234	69357243	-	0.000	0.000	Merged-chr12-69357106-39
NR1179--MA0508.2.PRDM1	chr19	29372000	29372009	-	0.000	0.000	Merged-chr19-29372024-45
NR874--MA0508.2.PRDM1	chr15	80681449	80681458	-	0.000	0.000	Merged-chr15-80681651-57
NR731--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR112--MA0508.2.PRDM1	chr1	138157197	138157206	-	0.000	0.000	Merged-chr1-138157317-43
NR2332--MA0508.2.PRDM1	chr8	122772822	122772831	-	0.000	0.000	Merged-chr8-122772813-21
NR2441--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR2507--MA0508.2.PRDM1	chrX	163869098	163869107	+	0.000	0.000	Merged-chrX-163869062-41
NR582--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR234--MA0508.2.PRDM1	chr10	39492380	39492389	+	0.000	0.000	Merged-chr10-39492279-24
NR614--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR879--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR160--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR431--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR1097--MA0508.2.PRDM1	chr18	39250832	39250841	-	0.000	0.000	Merged-chr18-39250948-35
NR444--MA0508.2.PRDM1	chr11	119228903	119228912	+	0.000	0.000	Merged-chr11-119228815-89
NR696--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR2393--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR2459--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2316--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR2297--MA0508.2.PRDM1	chr8	84759395	84759404	-	0.000	0.000	Merged-chr8-84759322-6
NR2154--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR423--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR2329--MA0508.2.PRDM1	chr8	120489343	120489352	+	0.000	0.000	Merged-chr8-120489155-2
NR675--MA0508.2.PRDM1	chr13	90929901	90929910	-	0.000	0.000	Merged-chr13-90930019-46
NR946--MA0508.2.PRDM1	chr16	44508329	44508338	+	0.000	0.000	Merged-chr16-44508258-19
NR2372--MA0508.2.PRDM1	chr9	42238781	42238790	-	0.000	0.000	Merged-chr9-42238939-28
NR449--MA0508.2.PRDM1	chr12	3983944	3983953	+	0.000	0.000	Merged-chr12-3983883-10
NR2351--MA0508.2.PRDM1	chr9	13652158	13652167	-	0.000	0.000	Merged-chr9-13652196-20
NR2146--MA0508.2.PRDM1	chr7	90145981	90145990	+	0.000	0.000	Merged-chr7-90145874-1
NR2398--MA0508.2.PRDM1	chr9	64831979	64831988	-	0.000	0.000	Merged-chr9-64831906-29
NR2003--MA0508.2.PRDM1	chr6	99095795	99095804	-	0.000	0.000	Merged-chr6-99095913-165
NR415--MA0508.2.PRDM1	chr11	89100911	89100920	+	0.000	0.000	Merged-chr11-89100844-64
NR253--MA0508.2.PRDM1	chr10	57799699	57799708	+	0.000	0.000	Merged-chr10-57799667-19
NR2159--MA0508.2.PRDM1	chr7	102565193	102565202	+	0.000	0.000	Merged-chr7-102565413-55
NR2016--MA0508.2.PRDM1	chr6	108165118	108165127	-	0.000	0.000	Merged-chr6-108164965-54
NR2125--MA0508.2.PRDM1	chr7	66210154	66210163	-	0.000	0.000	Merged-chr7-66210167-22
NR537--MA0508.2.PRDM1	chr12	102725355	102725364	+	0.000	0.000	Merged-chr12-102725313-9
NR789--MA0508.2.PRDM1	chr14	75527432	75527441	-	0.000	0.000	Merged-chr14-75527299-19
NR2486--MA0508.2.PRDM1	chrX	94033120	94033129	+	0.000	0.000	Merged-chrX-94033132-22
NR2138--MA0508.2.PRDM1	chr7	80647609	80647618	-	0.000	0.000	Merged-chr7-80647614-48
NR2409--MA0508.2.PRDM1	chr9	73039628	73039637	+	0.000	0.000	Merged-chr9-73039544-65
NR279--MA0508.2.PRDM1	chr10	80684387	80684396	+	0.000	0.000	Merged-chr10-80684383-19
NR407--MA0508.2.PRDM1	chr11	84252631	84252640	+	0.000	0.000	Merged-chr11-84252620-21
NR2356--MA0508.2.PRDM1	chr9	21235478	21235487	+	0.000	0.000	Merged-chr9-21235513-26
NR149--MA0508.2.PRDM1	chr1	162740472	162740481	+	0.000	0.000	Merged-chr1-162740242-97
NR1611--MA0508.2.PRDM1	chr4	16102103	16102112	-	0.000	0.000	Merged-chr4-16102324-55
NR1720--MA0508.2.PRDM1	chr4	132422318	132422327	+	0.000	0.000	Merged-chr4-132422317-46
NR2205--MA0508.2.PRDM1	chr7	128738213	128738222	-	0.000	0.000	Merged-chr7-128738261-29
NR1170--MA0508.2.PRDM1	chr19	16781168	16781177	+	0.000	0.000	Merged-chr19-16781022-84
NR1712--MA0508.2.PRDM1	chr4	127021123	127021132	+	0.000	0.000	Merged-chr4-127021266-22
NR2056--MA0508.2.PRDM1	chr6	135011572	135011581	-	0.000	0.000	Merged-chr6-135011680-51
NR229--MA0508.2.PRDM1	chr10	28516279	28516288	+	0.000	0.000	Merged-chr10-28516243-39
NR338--MA0508.2.PRDM1	chr10	123092007	123092016	+	0.000	0.000	Merged-chr10-123091933-23
NR1672--MA0508.2.PRDM1	chr4	88544152	88544161	-	0.000	0.000	Merged-chr4-88544037-33
NR1943--MA0508.2.PRDM1	chr6	54088344	54088353	-	0.000	0.000	Merged-chr6-54088359-21
NR1890--MA0508.2.PRDM1	chr5	137760357	137760366	-	0.000	0.000	Merged-chr5-137760235-32
NR2396--MA0508.2.PRDM1	chr9	64179231	64179240	-	0.000	0.000	Merged-chr9-64179300-60
NR208--MA0508.2.PRDM1	chr1	193303781	193303790	+	0.000	0.000	Merged-chr1-193303652-18
NR1271--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR1608--MA0508.2.PRDM1	chr4	15300070	15300079	+	0.000	0.000	Merged-chr4-15300125-32
NR2048--MA0508.2.PRDM1	chr6	130031881	130031890	+	0.000	0.000	Merged-chr6-130031811-45
