#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR7071--MA0501.1.MAF::NFE2	chr2	58107023	58107037	+	0.000	0.000	Merged-chr2-58107175-53
NR2873--MA0496.2.MAFK	chr12	76385222	76385240	-	0.000	0.000	Merged-chr12-76385327-16
NR5823--MA0089.1.MAFG::NFE2L1	chr17	52182987	52182992	+	0.000	0.000	Merged-chr17-52182908-22
NR5290--MA0659.1.MAFG	chr16	58507690	58507710	+	0.000	0.000	Merged-chr16-58507733-27
NR5366--MA0117.2.Mafb	chr16	84625359	84625370	+	0.000	0.000	Merged-chr16-84625247-15
NR9451--MA0089.1.MAFG::NFE2L1	chr4	134128831	134128836	+	0.000	0.000	Merged-chr4-134128895-71
NR1894--MA0089.1.MAFG::NFE2L1	chr10	127211598	127211603	-	0.000	0.000	Merged-chr10-127211540-55
NR9927--MA0117.2.Mafb	chr5	53605736	53605747	+	0.000	0.000	Merged-chr5-53605625-25
NR3401--MA0591.1.Bach1::Mafk	chr13	30186632	30186646	-	0.000	0.000	Merged-chr13-30186492-12
NR96--MA0495.2.MAFF	chr1	33454541	33454561	-	0.000	0.000	Merged-chr1-33454547-11
NR2341--MA0495.2.MAFF	chr11	94243314	94243334	+	0.000	0.000	Merged-chr11-94243595-44
NR6389--MA0089.1.MAFG::NFE2L1	chr18	75489514	75489519	-	0.000	0.000	Merged-chr18-75489446-39
NR8044--MA0089.1.MAFG::NFE2L1	chr3	9550142	9550147	-	0.000	0.000	Merged-chr3-9550148-51
NR98--MA0659.1.MAFG	chr1	33454541	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR4679--MA0501.1.MAF::NFE2	chr15	38697583	38697597	+	0.000	0.000	Merged-chr15-38697617-10
NR2352--MA0659.1.MAFG	chr11	94275920	94275940	-	0.000	0.000	Merged-chr11-94275707-70
NR9162--MA0591.1.Bach1::Mafk	chr4	89516002	89516016	-	0.000	0.000	Merged-chr4-89516226-43
NR1804--MA0089.1.MAFG::NFE2L1	chr10	117393416	117393421	-	0.000	0.000	Merged-chr10-117393432-68
NR3777--MA0089.1.MAFG::NFE2L1	chr13	101706693	101706698	-	0.000	0.000	Merged-chr13-101706581-30
NR15--MA0089.1.MAFG::NFE2L1	chr1	13161508	13161513	+	0.000	0.000	Merged-chr1-13161604-37
NR10266--MA0089.1.MAFG::NFE2L1	chr5	114041780	114041785	-	0.000	0.000	Merged-chr5-114041714-24
NR3321--MA0659.1.MAFG	chr13	9106913	9106933	+	0.000	0.000	Merged-chr13-9106869-1
NR1000--MA0496.2.MAFK	chr1	182100629	182100647	+	0.000	0.000	Merged-chr1-182100503-13
NR8448--MA0501.1.MAF::NFE2	chr3	101600447	101600461	-	0.000	0.000	Merged-chr3-101600504-6
NR1125--MA0591.1.Bach1::Mafk	chr1	192736802	192736816	-	0.000	0.000	Merged-chr1-192736716-7
NR8421--MA0117.2.Mafb	chr3	96309560	96309571	+	0.000	0.000	Merged-chr3-96309602-13
NR5343--MA0501.1.MAF::NFE2	chr16	77644513	77644527	+	0.000	0.000	Merged-chr16-77644361-24
NR9441--MA0591.1.Bach1::Mafk	chr4	130900053	130900067	-	0.000	0.000	Merged-chr4-130900085-53
NR8231--MA0089.1.MAFG::NFE2L1	chr3	67374055	67374060	-	0.000	0.000	Merged-chr3-67374115-44
