#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR3122--MA0591.1.Bach1::Mafk	chr13	8385608	8385622	+	0.000	0.000	Merged-chr13-8385507-1
NR898--MA0117.2.Mafb	chr1	165828817	165828828	-	0.000	0.000	Merged-chr1-165828679-59
NR12765--MA0495.2.MAFF	chr8	84985336	84985356	+	0.000	0.000	Merged-chr8-84985409-5
NR13241--MA0089.1.MAFG::NFE2L1	chr9	80332504	80332509	+	0.000	0.000	Merged-chr9-80332405-28
NR4593--MA0089.1.MAFG::NFE2L1	chr15	8109315	8109320	-	0.000	0.000	Merged-chr15-8109261-61
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR2835--MA0089.1.MAFG::NFE2L1	chr12	77535137	77535142	-	0.000	0.000	Merged-chr12-77535328-6
NR8737--MA0495.2.MAFF	chr3	121593326	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR7828--MA0501.1.MAF::NFE2	chr2	158723942	158723956	-	0.000	0.000	Merged-chr2-158724013-3
NR6825--MA0501.1.MAF::NFE2	chr19	34501031	34501045	-	0.000	0.000	Merged-chr19-34500926-32
NR1981--MA0089.1.MAFG::NFE2L1	chr10	121474179	121474184	-	0.000	0.000	Merged-chr10-121474163-48
NR5749--MA0089.1.MAFG::NFE2L1	chr17	17766518	17766523	+	0.000	0.000	Merged-chr17-17766663-23
NR7404--MA0089.1.MAFG::NFE2L1	chr2	85047883	85047888	-	0.000	0.000	Merged-chr2-85048071-98
NR11745--MA0591.1.Bach1::Mafk	chr7	24082177	24082191	-	0.000	0.000	Merged-chr7-24082240-79
NR8333--MA0089.1.MAFG::NFE2L1	chr3	59260918	59260923	+	0.000	0.000	Merged-chr3-59260932-51
NR12123--MA0089.1.MAFG::NFE2L1	chr7	101302097	101302102	+	0.000	0.000	Merged-chr7-101301960-107
NR11716--MA0501.1.MAF::NFE2	chr7	16314093	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR12210--MA0495.2.MAFF	chr7	112369096	112369116	+	0.000	0.000	Merged-chr7-112369142-36
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR2102--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR9679--MA0089.1.MAFG::NFE2L1	chr4	121016847	121016852	-	0.000	0.000	Merged-chr4-121016870-126
NR12916--MA0089.1.MAFG::NFE2L1	chr8	116439098	116439103	+	0.000	0.000	Merged-chr8-116439156-33
NR13469--MA0089.1.MAFG::NFE2L1	chr9	115481296	115481301	-	0.000	0.000	Merged-chr9-115481366-14
NR12514--MA0496.2.MAFK	chr8	40962897	40962915	+	0.000	0.000	Merged-chr8-40963134-88
NR1141--MA0117.2.Mafb	chr10	7076368	7076379	+	0.000	0.000	Merged-chr10-7076382-12
NR267--MA0501.1.MAF::NFE2	chr1	58734252	58734266	-	0.000	0.000	Merged-chr1-58734414-54
NR13178--MA0501.1.MAF::NFE2	chr9	63602416	63602430	+	0.000	0.000	Merged-chr9-63602538-63
NR8627--MA0117.2.Mafb	chr3	103927761	103927772	-	0.000	0.000	Merged-chr3-103927636-31
NR9651--MA0089.1.MAFG::NFE2L1	chr4	114947349	114947354	-	0.000	0.000	Merged-chr4-114947588-34
NR13144--MA0591.1.Bach1::Mafk	chr9	49489131	49489145	+	0.000	0.000	Merged-chr9-49489147-43
NR5181--MA0495.2.MAFF	chr16	14237421	14237441	-	0.000	0.000	Merged-chr16-14237452-27
NR5766--MA0591.1.Bach1::Mafk	chr17	21909598	21909612	-	0.000	0.000	Merged-chr17-21909627-78
NR9751--MA0495.2.MAFF	chr4	142153734	142153754	+	0.000	0.000	Merged-chr4-142153700-30
NR2317--MA0591.1.Bach1::Mafk	chr11	74838655	74838669	+	0.000	0.000	Merged-chr11-74838839-1
NR6698--MA0117.2.Mafb	chr18	86601872	86601883	+	0.000	0.000	Merged-chr18-86601765-23
NR2303--MA0501.1.MAF::NFE2	chr11	72941083	72941097	-	0.000	0.000	Merged-chr11-72940930-27
NR7334--MA0501.1.MAF::NFE2	chr2	70875326	70875340	+	0.000	0.000	Merged-chr2-70875354-33
NR11125--MA0495.2.MAFF	chr6	70709472	70709492	+	0.000	0.000	Merged-chr6-70709572-48
NR7461--MA0117.2.Mafb	chr2	101993240	101993251	+	0.000	0.000	Merged-chr2-101993125-49
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR12667--MA0495.2.MAFF	chr8	72571103	72571123	+	0.000	0.000	Merged-chr8-72571324-95
