#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR5543--MA0511.2.RUNX2	chr2	172382248	172382256	+	0.000	0.000	Merged-chr2-172382291-6
NR4098--MA0511.2.RUNX2	chr17	19435175	19435183	+	0.000	0.000	Merged-chr17-19435269-18
NR3493--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR8950--MA0684.1.RUNX3	chr8	128473688	128473697	+	0.000	0.000	Merged-chr8-128473725-2
NR3022--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3416--MA0002.2.RUNX1	chr15	62165005	62165015	+	0.000	0.000	Merged-chr15-62164994-48
NR5652--MA0511.2.RUNX2	chr3	21911281	21911289	-	0.000	0.000	Merged-chr3-21911228-38
NR7110--MA0684.1.RUNX3	chr5	77134665	77134674	-	0.000	0.000	Merged-chr5-77134607-48
NR2891--MA0002.2.RUNX1	chr14	30675111	30675121	-	0.000	0.000	Merged-chr14-30675172-26
NR7899--MA0002.2.RUNX1	chr6	127582642	127582652	-	0.000	0.000	Merged-chr6-127582626-90
NR3274--MA0684.1.RUNX3	chr15	30463080	30463089	+	0.000	0.000	Merged-chr15-30463100-4
NR5077--MA0002.2.RUNX1	chr2	52315966	52315976	+	0.000	0.000	Merged-chr2-52315890-51
NR5348--MA0002.2.RUNX1	chr2	128470658	128470668	-	0.000	0.000	Merged-chr2-128470524-44
NR5619--MA0002.2.RUNX1	chr3	14944925	14944935	+	0.000	0.000	Merged-chr3-14944781-17
NR7855--MA0511.2.RUNX2	chr6	120077253	120077261	+	0.000	0.000	Merged-chr6-120077232-23
NR3797--MA0684.1.RUNX3	chr16	57495697	57495706	-	0.000	0.000	Merged-chr16-57495758-66
NR7408--MA0002.2.RUNX1	chr6	3620706	3620716	+	0.000	0.000	Merged-chr6-3620670-56
NR3449--MA0684.1.RUNX3	chr15	73225334	73225343	+	0.000	0.000	Merged-chr15-73225223-4
NR812--MA0002.2.RUNX1	chr10	7834907	7834917	-	0.000	0.000	Merged-chr10-7835023-26
NR3733--MA0511.2.RUNX2	chr16	43376988	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR7594--MA0002.2.RUNX1	chr6	50596767	50596777	+	0.000	0.000	Merged-chr6-50596805-84
NR9501--MA0511.2.RUNX2	chrX	77580137	77580145	-	0.000	0.000	Merged-chrX-77580117-37
NR3306--MA0684.1.RUNX3	chr15	36650102	36650111	-	0.000	0.000	Merged-chr15-36650116-39
NR2288--MA0511.2.RUNX2	chr13	12520212	12520220	-	0.000	0.000	Merged-chr13-12520187-58
NR8420--MA0002.2.RUNX1	chr7	117433803	117433813	-	0.000	0.000	Merged-chr7-117433722-72
NR1749--MA0002.2.RUNX1	chr11	118232694	118232704	-	0.000	0.000	Merged-chr11-118232579-51
NR3492--MA0684.1.RUNX3	chr15	80572481	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR7517--MA0002.2.RUNX1	chr6	34476053	34476063	-	0.000	0.000	Merged-chr6-34476190-64
NR1335--MA0002.2.RUNX1	chr10	128991149	128991159	+	0.000	0.000	Merged-chr10-128991197-23
NR4170--MA0002.2.RUNX1	chr17	34210705	34210715	+	0.000	0.000	Merged-chr17-34210763-36
NR5423--MA0002.2.RUNX1	chr2	144224564	144224574	+	0.000	0.000	Merged-chr2-144224483-67
NR1735--MA0684.1.RUNX3	chr11	117872035	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR7232--MA0684.1.RUNX3	chr5	106677005	106677014	+	0.000	0.000	Merged-chr5-106676986-37
NR5281--MA0684.1.RUNX3	chr2	104177463	104177472	-	0.000	0.000	Merged-chr2-104177493-61
NR5347--MA0684.1.RUNX3	chr2	128153203	128153212	-	0.000	0.000	Merged-chr2-128153146-97
NR1050--MA0684.1.RUNX3	chr10	60381313	60381322	-	0.000	0.000	Merged-chr10-60381393-83
NR1444--MA0002.2.RUNX1	chr11	30182877	30182887	+	0.000	0.000	Merged-chr11-30182963-54
NR5426--MA0511.2.RUNX2	chr2	144594337	144594345	-	0.000	0.000	Merged-chr2-144594184-54
NR3475--MA0511.2.RUNX2	chr15	78422731	78422739	-	0.000	0.000	Merged-chr15-78422686-21
NR7834--MA0511.2.RUNX2	chr6	114899130	114899138	-	0.000	0.000	Merged-chr6-114899119-6
NR1368--MA0684.1.RUNX3	chr11	8663613	8663622	-	0.000	0.000	Merged-chr11-8663603-1
NR3647--MA0002.2.RUNX1	chr16	21689352	21689362	-	0.000	0.000	Merged-chr16-21689391-19
NR1696--MA0002.2.RUNX1	chr11	108223122	108223132	+	0.000	0.000	Merged-chr11-108223138-56
NR3332--MA0511.2.RUNX2	chr15	41846676	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR5456--MA0684.1.RUNX3	chr2	150307354	150307363	+	0.000	0.000	Merged-chr2-150307166-50
NR540--MA0684.1.RUNX3	chr1	144355777	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR7196--MA0511.2.RUNX2	chr5	100585346	100585354	+	0.000	0.000	Merged-chr5-100585262-59
