#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR441--MA0508.2.PRDM1	chr12	15930301	15930310	-	0.000	0.000	Merged-chr12-15930360-26
NR92--MA0508.2.PRDM1	chr1	127732844	127732853	+	0.000	0.000	Merged-chr1-127732945-24
NR693--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR1378--MA0508.2.PRDM1	chr3	115729369	115729378	-	0.000	0.000	Merged-chr3-115729400-55
NR550--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR202--MA0508.2.PRDM1	chr10	10224719	10224728	+	0.000	0.000	Merged-chr10-10224805-34
NR725--MA0508.2.PRDM1	chr14	63383605	63383614	-	0.000	0.000	Merged-chr14-63383555-18
NR1073--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR311--MA0508.2.PRDM1	chr10	117571562	117571571	+	0.000	0.000	Merged-chr10-117571495-58
NR977--MA0508.2.PRDM1	chr17	73814695	73814704	-	0.000	0.000	Merged-chr17-73814943-62
NR1867--MA0508.2.PRDM1	chr7	79547413	79547422	-	0.000	0.000	Merged-chr7-79547352-18
NR292--MA0508.2.PRDM1	chr10	99459789	99459798	+	0.000	0.000	Merged-chr10-99459996-60
NR563--MA0508.2.PRDM1	chr13	8831758	8831767	-	0.000	0.000	Merged-chr13-8831757-38
NR1453--MA0508.2.PRDM1	chr4	40279588	40279597	-	0.000	0.000	Merged-chr4-40279458-68
NR420--MA0508.2.PRDM1	chr11	109434487	109434496	-	0.000	0.000	Merged-chr11-109434619-26
NR1086--MA0508.2.PRDM1	chr19	34607771	34607780	+	0.000	0.000	Merged-chr19-34607589-82
NR1214--MA0508.2.PRDM1	chr2	114541164	114541173	+	0.000	0.000	Merged-chr2-114541019-1
NR1118--MA0508.2.PRDM1	chr2	6545732	6545741	+	0.000	0.000	Merged-chr2-6545738-14
NR890--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR956--MA0508.2.PRDM1	chr17	47150678	47150687	-	0.000	0.000	Merged-chr17-47150762-7
NR542--MA0508.2.PRDM1	chr12	115262600	115262609	-	0.000	0.000	Merged-chr12-115262701-27
NR1607--MA0508.2.PRDM1	chr5	92467531	92467540	+	0.000	0.000	Merged-chr5-92467651-16
NR97--MA0508.2.PRDM1	chr1	131089790	131089799	-	0.000	0.000	Merged-chr1-131089879-35
NR969--MA0508.2.PRDM1	chr17	66065307	66065316	+	0.000	0.000	Merged-chr17-66065343-15
NR826--MA0508.2.PRDM1	chr15	100605063	100605072	+	0.000	0.000	Merged-chr15-100605074-53
NR1174--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR1445--MA0508.2.PRDM1	chr4	14882162	14882171	+	0.000	0.000	Merged-chr4-14882054-55
NR1697--MA0508.2.PRDM1	chr6	51060200	51060209	+	0.000	0.000	Merged-chr6-51060161-45
NR393--MA0508.2.PRDM1	chr11	86544930	86544939	-	0.000	0.000	Merged-chr11-86544801-80
NR4--MA0508.2.PRDM1	chr1	13574160	13574169	+	0.000	0.000	Merged-chr1-13574247-18
NR521--MA0508.2.PRDM1	chr12	107119457	107119466	-	0.000	0.000	Merged-chr12-107119357-16
NR901--MA0508.2.PRDM1	chr16	92443872	92443881	-	0.000	0.000	Merged-chr16-92443749-37
NR1315--MA0508.2.PRDM1	chr3	52791142	52791151	+	0.000	0.000	Merged-chr3-52791161-46
NR677--MA0508.2.PRDM1	chr14	7914225	7914234	+	0.000	0.000	Merged-chr14-7914040-29
NR1567--MA0508.2.PRDM1	chr5	20082490	20082499	-	0.000	0.000	Merged-chr5-20082786-46
NR2122--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR534--MA0508.2.PRDM1	chr12	112853338	112853347	+	0.000	0.000	Merged-chr12-112853218-38
NR120--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR372--MA0508.2.PRDM1	chr11	70271902	70271911	+	0.000	0.000	Merged-chr11-70271808-9
NR799--MA0508.2.PRDM1	chr15	66849882	66849891	-	0.000	0.000	Merged-chr15-66849889-24
NR1689--MA0508.2.PRDM1	chr6	38360194	38360203	-	0.000	0.000	Merged-chr6-38360325-47
NR590--MA0508.2.PRDM1	chr13	42246167	42246176	-	0.000	0.000	Merged-chr13-42246030-46
NR861--MA0508.2.PRDM1	chr16	35485119	35485128	+	0.000	0.000	Merged-chr16-35485007-20
NR927--MA0508.2.PRDM1	chr17	22352994	22353003	+	0.000	0.000	Merged-chr17-22353026-21
NR513--MA0508.2.PRDM1	chr12	98601099	98601108	+	0.000	0.000	Merged-chr12-98601119-23
NR2082--MA0508.2.PRDM1	chr9	56464104	56464113	-	0.000	0.000	Merged-chr9-56464045-2
NR765--MA0508.2.PRDM1	chr14	121147144	121147153	+	0.000	0.000	Merged-chr14-121147378-58
