#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR8354--MA0591.1.Bach1::Mafk	chr3	61345900	61345914	+	0.000	0.000	Merged-chr3-61345898-20
NR3122--MA0591.1.Bach1::Mafk	chr13	8385608	8385622	+	0.000	0.000	Merged-chr13-8385507-1
NR7796--MA0089.1.MAFG::NFE2L1	chr2	154603870	154603875	+	0.000	0.000	Merged-chr2-154603925-61
NR12765--MA0495.2.MAFF	chr8	84985336	84985356	+	0.000	0.000	Merged-chr8-84985409-5
NR13241--MA0089.1.MAFG::NFE2L1	chr9	80332504	80332509	+	0.000	0.000	Merged-chr9-80332405-28
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR1011--MA0117.2.Mafb	chr1	185404171	185404182	-	0.000	0.000	Merged-chr1-185404130-28
NR2835--MA0089.1.MAFG::NFE2L1	chr12	77535137	77535142	-	0.000	0.000	Merged-chr12-77535328-6
NR8737--MA0495.2.MAFF	chr3	121593326	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR7828--MA0501.1.MAF::NFE2	chr2	158723942	158723956	-	0.000	0.000	Merged-chr2-158724013-3
NR1981--MA0089.1.MAFG::NFE2L1	chr10	121474179	121474184	-	0.000	0.000	Merged-chr10-121474163-48
NR4958--MA0591.1.Bach1::Mafk	chr15	81166475	81166489	-	0.000	0.000	Merged-chr15-81166483-2
NR9868--MA0089.1.MAFG::NFE2L1	chr4	155207923	155207928	+	0.000	0.000	Merged-chr4-155207729-1
NR9658--MA0501.1.MAF::NFE2	chr4	117202283	117202297	+	0.000	0.000	Merged-chr4-117202479-67
NR8655--MA0501.1.MAF::NFE2	chr3	106449625	106449639	-	0.000	0.000	Merged-chr3-106449359-119
NR12210--MA0495.2.MAFF	chr7	112369096	112369116	+	0.000	0.000	Merged-chr7-112369142-36
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR11599--MA0089.1.MAFG::NFE2L1	chr6	142867533	142867538	+	0.000	0.000	Merged-chr6-142867733-58
NR6765--MA0089.1.MAFG::NFE2L1	chr19	9991389	9991394	+	0.000	0.000	Merged-chr19-9991497-15
NR12982--MA0591.1.Bach1::Mafk	chr8	128391561	128391575	-	0.000	0.000	Merged-chr8-128391383-45
NR13062--MA0496.2.MAFK	chr9	21526303	21526321	+	0.000	0.000	Merged-chr9-21526182-42
NR5711--MA0501.1.MAF::NFE2	chr17	12301061	12301075	-	0.000	0.000	Merged-chr17-12301160-36
NR529--MA0496.2.MAFK	chr1	95263049	95263067	-	0.000	0.000	Merged-chr1-95263160-5
NR12916--MA0089.1.MAFG::NFE2L1	chr8	116439098	116439103	+	0.000	0.000	Merged-chr8-116439156-33
NR12514--MA0496.2.MAFK	chr8	40962897	40962915	+	0.000	0.000	Merged-chr8-40963134-88
NR1000--MA0496.2.MAFK	chr1	180268832	180268850	+	0.000	0.000	Merged-chr1-180268774-35
NR8661--MA0495.2.MAFF	chr3	107278812	107278832	+	0.000	0.000	Merged-chr3-107279033-49
NR2820--MA0089.1.MAFG::NFE2L1	chr12	70999533	70999538	+	0.000	0.000	Merged-chr12-70999631-61
NR13144--MA0591.1.Bach1::Mafk	chr9	49489131	49489145	+	0.000	0.000	Merged-chr9-49489147-43
NR5181--MA0495.2.MAFF	chr16	14237421	14237441	-	0.000	0.000	Merged-chr16-14237452-27
NR5766--MA0591.1.Bach1::Mafk	chr17	21909598	21909612	-	0.000	0.000	Merged-chr17-21909627-78
