#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR7932--MA0037.3.GATA3	chrX	13461670	13461677	+	0.000	0.000	Merged-chrX-13461805-52
NR4876--MA0035.3.Gata1	chr3	60565492	60565502	-	0.000	0.000	Merged-chr3-60565389-13
NR3701--MA0037.3.GATA3	chr18	46448741	46448748	+	0.000	0.000	Merged-chr18-46448750-18
NR3155--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR5587--MA0035.3.Gata1	chr4	124769255	124769265	-	0.000	0.000	Merged-chr4-124769177-27
NR856--MA0482.1.Gata4	chr10	81137369	81137379	+	0.000	0.000	Merged-chr10-81137276-7
NR671--MA0035.3.Gata1	chr10	13999025	13999035	-	0.000	0.000	Merged-chr10-13999186-36
NR3036--MA0035.3.Gata1	chr16	36602847	36602857	+	0.000	0.000	Merged-chr16-36602811-38
NR6803--MA0482.1.Gata4	chr7	30717422	30717432	+	0.000	0.000	Merged-chr7-30717543-30
NR6413--MA0035.3.Gata1	chr6	99801066	99801076	+	0.000	0.000	Merged-chr6-99800956-8
NR7124--MA0035.3.Gata1	chr8	8685731	8685741	-	0.000	0.000	Merged-chr8-8685770-4
NR1970--MA0036.3.GATA2	chr13	52922196	52922206	-	0.000	0.000	Merged-chr13-52922066-27
NR7689--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR2476--MA0036.3.GATA2	chr14	61853657	61853667	+	0.000	0.000	Merged-chr14-61853631-6
NR1008--MA0035.3.Gata1	chr10	120895743	120895753	-	0.000	0.000	Merged-chr10-120895921-55
NR5138--MA0036.3.GATA2	chr3	136531892	136531902	+	0.000	0.000	Merged-chr3-136531691-41
NR7469--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR873--MA1104.1.GATA6	chr10	85359513	85359525	-	0.000	0.000	Merged-chr10-85359625-39
NR2343--MA0766.1.GATA5	chr14	31401017	31401024	+	0.000	0.000	Merged-chr14-31401139-16
NR6248--MA0037.3.GATA3	chr6	49354721	49354728	-	0.000	0.000	Merged-chr6-49354722-8
NR4839--MA0037.3.GATA3	chr3	37738511	37738518	+	0.000	0.000	Merged-chr3-37738517-40
NR1492--MA0037.3.GATA3	chr12	36019796	36019803	+	0.000	0.000	Merged-chr12-36019766-41
