#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1499--MA0035.3.Gata1	chr13	68588414	68588424	-	0.000	0.000	Merged-chr13-68588513-35
NR5029--MA0036.3.GATA2	chr7	27725771	27725781	+	0.000	0.000	Merged-chr7-27725861-23
NR3430--MA0037.3.GATA3	chr2	157131308	157131315	-	0.000	0.000	Merged-chr2-157131278-25
NR1545--MA0037.3.GATA3	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR2842--MA0140.2.GATA1::TAL1	chr19	14386879	14386896	+	0.000	0.000	Merged-chr19-14386985-23
NR4852--MA0482.1.Gata4	chr6	129997694	129997704	+	0.000	0.000	Merged-chr6-129997694-33
NR20--MA1104.1.GATA6	chr1	21896406	21896418	+	0.000	0.000	Merged-chr1-21896423-20
NR2476--MA0036.3.GATA2	chr17	29193400	29193410	-	0.000	0.000	Merged-chr17-29193494-23
NR3458--MA0036.3.GATA2	chr2	166719517	166719527	+	0.000	0.000	Merged-chr2-166719426-29
NR2434--MA0035.3.Gata1	chr17	17444591	17444601	+	0.000	0.000	Merged-chr17-17444556-14
NR3535--MA0482.1.Gata4	chr3	37753351	37753361	+	0.000	0.000	Merged-chr3-37753406-27
NR4316--MA0037.3.GATA3	chr5	72636321	72636328	-	0.000	0.000	Merged-chr5-72636293-57
NR1543--MA0140.2.GATA1::TAL1	chr13	95524828	95524845	+	0.000	0.000	Merged-chr13-95524749-120
NR4284--MA0140.2.GATA1::TAL1	chr5	64472609	64472626	+	0.000	0.000	Merged-chr5-64472447-77
NR6150--MA0036.3.GATA2	chrX	169086112	169086122	-	0.000	0.000	Merged-chrX-169085977-25
NR3121--MA0482.1.Gata4	chr2	72146194	72146204	-	0.000	0.000	Merged-chr2-72146258-17
NR4480--MA0766.1.GATA5	chr5	137787618	137787625	+	0.000	0.000	Merged-chr5-137787536-7
NR4807--MA0036.3.GATA2	chr6	124901073	124901083	+	0.000	0.000	Merged-chr6-124900946-82
NR1507--MA0482.1.Gata4	chr13	88833906	88833916	+	0.000	0.000	Merged-chr13-88833857-16
NR2272--MA0035.3.Gata1	chr16	56800671	56800681	+	0.000	0.000	Merged-chr16-56800625-33
NR2543--MA0035.3.Gata1	chr17	71618157	71618167	+	0.000	0.000	Merged-chr17-71618121-41
NR5898--MA1104.1.GATA6	chr9	100522270	100522282	+	0.000	0.000	Merged-chr9-100522209-27
NR1488--MA0482.1.Gata4	chr13	66991736	66991746	-	0.000	0.000	Merged-chr13-66991703-16
NR6009--MA1104.1.GATA6	chr9	121477469	121477481	+	0.000	0.000	Merged-chr9-121477472-25
NR864--MA0766.1.GATA5	chr11	23754518	23754525	+	0.000	0.000	Merged-chr11-23754497-34
NR4475--MA0035.3.Gata1	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR6086--MA0037.3.GATA3	chrX	77580110	77580117	+	0.000	0.000	Merged-chrX-77580117-37
NR1549--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR726--MA0482.1.Gata4	chr10	107941789	107941799	-	0.000	0.000	Merged-chr10-107941661-64
NR4374--MA0036.3.GATA2	chr5	96919453	96919463	-	0.000	0.000	Merged-chr5-96919308-24
NR2965--MA0036.3.GATA2	chr2	10581343	10581353	-	0.000	0.000	Merged-chr2-10581253-23
NR1436--MA0140.2.GATA1::TAL1	chr13	33068288	33068305	-	0.000	0.000	Merged-chr13-33068250-9
NR5228--MA0482.1.Gata4	chr7	113572975	113572985	-	0.000	0.000	Merged-chr7-113573033-33
NR3185--MA1104.1.GATA6	chr2	90562250	90562262	+	0.000	0.000	Merged-chr2-90562207-12
NR3548--MA0482.1.Gata4	chr3	52840429	52840439	+	0.000	0.000	Merged-chr3-52840378-53
NR3027--MA0140.2.GATA1::TAL1	chr2	29870233	29870250	-	0.000	0.000	Merged-chr2-29870260-12
NR3910--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR6020--MA0036.3.GATA2	chr9	123087720	123087730	-	0.000	0.000	Merged-chr9-123087769-13
NR4219--MA0140.2.GATA1::TAL1	chr5	21227246	21227263	+	0.000	0.000	Merged-chr5-21227345-8
NR3538--MA0035.3.Gata1	chr3	37753350	37753360	+	0.000	0.000	Merged-chr3-37753406-27
NR581--MA1104.1.GATA6	chr10	62327712	62327724	+	0.000	0.000	Merged-chr10-62327638-49
NR3038--MA0482.1.Gata4	chr2	33853817	33853827	+	0.000	0.000	Merged-chr2-33853667-12
NR3309--MA0482.1.Gata4	chr2	128366015	128366025	-	0.000	0.000	Merged-chr2-128365920-27
NR4735--MA0482.1.Gata4	chr6	97311127	97311137	-	0.000	0.000	Merged-chr6-97311024-32
NR4345--MA0035.3.Gata1	chr5	92327550	92327560	+	0.000	0.000	Merged-chr5-92327493-24
NR5446--MA0482.1.Gata4	chr8	79734392	79734402	-	0.000	0.000	Merged-chr8-79734534-16
NR4254--MA0766.1.GATA5	chr5	30887493	30887500	+	0.000	0.000	Merged-chr5-30887642-12
NR4868--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR961--MA1104.1.GATA6	chr11	80508690	80508702	+	0.000	0.000	Merged-chr11-80508634-95
NR4101--MA0036.3.GATA2	chr4	135895435	135895445	+	0.000	0.000	Merged-chr4-135895375-12
NR692--MA0140.2.GATA1::TAL1	chr10	96015944	96015961	-	0.000	0.000	Merged-chr10-96015913-48
NR934--MA0035.3.Gata1	chr11	70653430	70653440	-	0.000	0.000	Merged-chr11-70653653-5
NR5354--MA0037.3.GATA3	chr8	19703493	19703500	+	0.000	0.000	Merged-chr8-19703358-67
NR357--MA0036.3.GATA2	chr1	170867890	170867900	-	0.000	0.000	Merged-chr1-170867765-57
NR2137--MA0140.2.GATA1::TAL1	chr15	100265749	100265766	-	0.000	0.000	Merged-chr15-100265875-19
NR5096--MA1104.1.GATA6	chr7	58181821	58181833	+	0.000	0.000	Merged-chr7-58181650-26
NR4605--MA0482.1.Gata4	chr6	22409091	22409101	-	0.000	0.000	Merged-chr6-22409213-46
NR585--MA0140.2.GATA1::TAL1	chr10	62590405	62590422	+	0.000	0.000	Merged-chr10-62590420-43
NR2444--MA0766.1.GATA5	chr17	18597640	18597647	+	0.000	0.000	Merged-chr17-18597509-40
NR2511--MA0482.1.Gata4	chr17	49435334	49435344	+	0.000	0.000	Merged-chr17-49435295-16
NR5449--MA0035.3.Gata1	chr8	79734393	79734403	-	0.000	0.000	Merged-chr8-79734534-16
NR4095--MA0036.3.GATA2	chr4	135108870	135108880	+	0.000	0.000	Merged-chr4-135108844-32
NR2957--MA0036.3.GATA2	chr2	9688418	9688428	-	0.000	0.000	Merged-chr2-9688295-16
NR5358--MA0766.1.GATA5	chr8	19703493	19703500	+	0.000	0.000	Merged-chr8-19703358-67
NR4714--MA0482.1.Gata4	chr6	86853546	86853556	-	0.000	0.000	Merged-chr6-86853576-1
NR2763--MA0482.1.Gata4	chr18	79353028	79353038	-	0.000	0.000	Merged-chr18-79353064-26
NR5425--MA0482.1.Gata4	chr8	70558448	70558458	-	0.000	0.000	Merged-chr8-70558477-31
NR2915--MA0035.3.Gata1	chr19	46338613	46338623	+	0.000	0.000	Merged-chr19-46338710-45
NR3653--MA0140.2.GATA1::TAL1	chr3	109362135	109362152	-	0.000	0.000	Merged-chr3-109362131-9
NR4233--MA0766.1.GATA5	chr5	24505729	24505736	-	0.000	0.000	Merged-chr5-24505685-17
NR1497--MA1104.1.GATA6	chr13	68588413	68588425	+	0.000	0.000	Merged-chr13-68588513-35
NR2620--MA0482.1.Gata4	chr18	13016561	13016571	+	0.000	0.000	Merged-chr18-13016580-10
NR336--MA0036.3.GATA2	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
