#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR358--MA0463.1.Bcl6	chr11	108101668	108101681	-	0.000	0.000	Merged-chr11-108101692-19
NR376--MA0463.1.Bcl6	chr11	117081940	117081953	-	0.000	0.000	Merged-chr11-117081831-19
NR1542--MA0731.1.BCL6B	chr5	136929158	136929174	-	0.000	0.000	Merged-chr5-136929293-20
NR497--MA0463.1.Bcl6	chr13	23517779	23517792	-	0.000	0.000	Merged-chr13-23517753-112
NR189--MA0731.1.BCL6B	chr10	46012269	46012285	+	0.000	0.000	Merged-chr10-46012127-41
NR1971--MA0463.1.Bcl6	chr9	104373447	104373460	+	0.000	0.000	Merged-chr9-104373447-21
NR64--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR269--MA0463.1.Bcl6	chr11	5505967	5505980	-	0.000	0.000	Merged-chr11-5506116-24
NR30--MA0731.1.BCL6B	chr1	66279479	66279495	+	0.000	0.000	Merged-chr1-66279555-43
NR1067--MA0463.1.Bcl6	chr2	79774685	79774698	+	0.000	0.000	Merged-chr2-79774648-24
NR1154--MA0731.1.BCL6B	chr2	164184484	164184500	-	0.000	0.000	Merged-chr2-164184609-17
NR1873--MA0463.1.Bcl6	chr8	107056890	107056903	-	0.000	0.000	Merged-chr8-107056733-66
NR1709--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR990--MA0463.1.Bcl6	chr19	57803334	57803347	-	0.000	0.000	Merged-chr19-57803146-21
NR744--MA0463.1.Bcl6	chr16	17508851	17508864	+	0.000	0.000	Merged-chr16-17508961-62
NR1547--MA0731.1.BCL6B	chr5	138659019	138659035	+	0.000	0.000	Merged-chr5-138659127-29
NR762--MA0463.1.Bcl6	chr16	42172789	42172802	+	0.000	0.000	Merged-chr16-42172689-43
NR1242--MA0731.1.BCL6B	chr3	103374119	103374135	-	0.000	0.000	Merged-chr3-103374270-26
