#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR13622--MA0495.2.MAFF	chr8	72571103	72571123	+	0.000	0.000	Merged-chr8-72571324-95
NR14776--MA0089.1.MAFG::NFE2L1	chr9	121354998	121355003	+	0.000	0.000	Merged-chr9-121354935-22
NR4700--MA0591.1.Bach1::Mafk	chr14	69813199	69813213	-	0.000	0.000	Merged-chr14-69813335-19
NR2748--MA0089.1.MAFG::NFE2L1	chr11	109193450	109193455	+	0.000	0.000	Merged-chr11-109193354-25
NR13592--MA0501.1.MAF::NFE2	chr8	69967958	69967972	+	0.000	0.000	Merged-chr8-69967994-19
NR1789--MA0591.1.Bach1::Mafk	chr10	85829474	85829488	-	0.000	0.000	Merged-chr10-85829298-76
NR645--MA0089.1.MAFG::NFE2L1	chr1	121220533	121220538	+	0.000	0.000	Merged-chr1-121220429-14
NR4114--MA0089.1.MAFG::NFE2L1	chr13	104789851	104789856	+	0.000	0.000	Merged-chr13-104789884-18
NR13720--MA0496.2.MAFK	chr8	83131933	83131951	-	0.000	0.000	Merged-chr8-83131891-13
NR7828--MA0501.1.MAF::NFE2	chr2	68364446	68364460	-	0.000	0.000	Merged-chr2-68364639-40
NR9868--MA0591.1.Bach1::Mafk	chr4	41569528	41569542	+	0.000	0.000	Merged-chr4-41569502-63
NR2060--MA0591.1.Bach1::Mafk	chr10	122815305	122815319	+	0.000	0.000	Merged-chr10-122815337-49
NR437--MA0117.2.Mafb	chr1	85953685	85953696	+	0.000	0.000	Merged-chr1-85953523-25
