#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR2035--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR358--MA0463.1.Bcl6	chr11	112782287	112782300	-	0.000	0.000	Merged-chr11-112782319-1
NR1847--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR1720--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1162--MA0731.1.BCL6B	chr3	21809898	21809914	-	0.000	0.000	Merged-chr3-21809864-17
NR1071--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR1707--MA0463.1.Bcl6	chr7	64141777	64141790	+	0.000	0.000	Merged-chr7-64141555-53
NR2009--MA0463.1.Bcl6	chr9	106160174	106160187	+	0.000	0.000	Merged-chr9-106160171-45
NR703--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR1604--MA0463.1.Bcl6	chr6	94500235	94500248	-	0.000	0.000	Merged-chr6-94500344-53
NR824--MA0463.1.Bcl6	chr17	31831308	31831321	+	0.000	0.000	Merged-chr17-31831136-47
NR1284--MA0731.1.BCL6B	chr3	146783896	146783912	-	0.000	0.000	Merged-chr3-146783871-10
NR1622--MA0463.1.Bcl6	chr6	114916515	114916528	+	0.000	0.000	Merged-chr6-114916622-10
NR1935--MA0731.1.BCL6B	chr9	42897667	42897683	-	0.000	0.000	Merged-chr9-42897501-20
NR2045--MA0463.1.Bcl6	chrX	73214350	73214363	+	0.000	0.000	Merged-chrX-73214374-69
NR1425--MA0731.1.BCL6B	chr5	7996658	7996674	+	0.000	0.000	Merged-chr5-7996471-1
NR1752--MA0463.1.Bcl6	chr7	101896592	101896605	+	0.000	0.000	Merged-chr7-101896554-69
NR296--MA0463.1.Bcl6	chr11	55204358	55204371	-	0.000	0.000	Merged-chr11-55204497-48
NR1914--MA0731.1.BCL6B	chr9	8017291	8017307	+	0.000	0.000	Merged-chr9-8017480-33
NR838--MA0463.1.Bcl6	chr17	50525278	50525291	-	0.000	0.000	Merged-chr17-50525188-50
NR623--MA0463.1.Bcl6	chr14	57680251	57680264	-	0.000	0.000	Merged-chr14-57680165-28
NR1524--MA0463.1.Bcl6	chr5	137338377	137338390	-	0.000	0.000	Merged-chr5-137338498-22
NR1818--MA0731.1.BCL6B	chr8	22405971	22405987	-	0.000	0.000	Merged-chr8-22405869-37
NR35--MA0731.1.BCL6B	chr1	69657265	69657281	+	0.000	0.000	Merged-chr1-69657362-23
NR1426--MA0463.1.Bcl6	chr5	8985858	8985871	-	0.000	0.000	Merged-chr5-8985734-11
NR646--MA0463.1.Bcl6	chr14	74947736	74947749	+	0.000	0.000	Merged-chr14-74947864-55
NR1690--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
