#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR170--MA0508.2.PRDM1	chr1	175564520	175564529	-	0.000	0.000	Merged-chr1-175564566-22
NR693--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR2390--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR1758--MA0508.2.PRDM1	chr4	149914600	149914609	+	0.000	0.000	Merged-chr4-149914394-27
NR1615--MA0508.2.PRDM1	chr4	32424569	32424578	+	0.000	0.000	Merged-chr4-32424580-38
NR311--MA0508.2.PRDM1	chr10	108093215	108093224	-	0.000	0.000	Merged-chr10-108093126-24
NR1201--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR1867--MA0508.2.PRDM1	chr5	105145829	105145838	+	0.000	0.000	Merged-chr5-105145750-96
NR2422--MA0508.2.PRDM1	chr9	83652851	83652860	-	0.000	0.000	Merged-chr9-83653017-27
NR420--MA0508.2.PRDM1	chr11	96667233	96667242	+	0.000	0.000	Merged-chr11-96667069-36
NR71--MA0508.2.PRDM1	chr1	92627921	92627930	-	0.000	0.000	Merged-chr1-92627858-2
NR433--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR1052--MA0508.2.PRDM1	chr17	73814695	73814704	-	0.000	0.000	Merged-chr17-73814943-62
NR2382--MA0508.2.PRDM1	chr9	56418587	56418596	-	0.000	0.000	Merged-chr9-56418520-156
NR794--MA0508.2.PRDM1	chr14	79234765	79234774	-	0.000	0.000	Merged-chr14-79234697-12
NR555--MA0508.2.PRDM1	chr12	113155326	113155335	+	0.000	0.000	Merged-chr12-113155292-10
NR826--MA0508.2.PRDM1	chr14	122290592	122290601	-	0.000	0.000	Merged-chr14-122290582-19
NR1174--MA0508.2.PRDM1	chr19	21785917	21785926	-	0.000	0.000	Merged-chr19-21785964-7
NR1445--MA0508.2.PRDM1	chr3	60486666	60486675	+	0.000	0.000	Merged-chr3-60486566-72
NR141--MA0508.2.PRDM1	chr1	160765700	160765709	+	0.000	0.000	Merged-chr1-160765870-25
NR935--MA0508.2.PRDM1	chr16	33687788	33687797	-	0.000	0.000	Merged-chr16-33687969-54
NR1187--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR677--MA0508.2.PRDM1	chr13	91224129	91224138	+	0.000	0.000	Merged-chr13-91224009-83
NR948--MA0508.2.PRDM1	chr16	44999616	44999625	-	0.000	0.000	Merged-chr16-44999747-49
NR1296--MA0508.2.PRDM1	chr2	92205376	92205385	+	0.000	0.000	Merged-chr2-92205451-35
NR2122--MA0508.2.PRDM1	chr7	64373931	64373940	+	0.000	0.000	Merged-chr7-64373946-61
NR534--MA0508.2.PRDM1	chr12	101053592	101053601	-	0.000	0.000	Merged-chr12-101053641-9
NR1153--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR914--MA0508.2.PRDM1	chr16	11475626	11475635	+	0.000	0.000	Merged-chr16-11475731-38
NR1328--MA0508.2.PRDM1	chr2	117089713	117089722	-	0.000	0.000	Merged-chr2-117089625-28
NR2340--MA0508.2.PRDM1	chr8	128077461	128077470	+	0.000	0.000	Merged-chr8-128077358-1
NR133--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR404--MA0508.2.PRDM1	chr11	83118250	83118259	-	0.000	0.000	Merged-chr11-83118266-24
NR513--MA0508.2.PRDM1	chr12	86836926	86836935	+	0.000	0.000	Merged-chr12-86836773-41
NR2353--MA0508.2.PRDM1	chr9	13894666	13894675	-	0.000	0.000	Merged-chr9-13894754-54
NR874--MA0508.2.PRDM1	chr15	80681449	80681458	-	0.000	0.000	Merged-chr15-80681651-57
NR731--MA0508.2.PRDM1	chr14	15770067	15770076	+	0.000	0.000	Merged-chr14-15770075-60
NR112--MA0508.2.PRDM1	chr1	138157197	138157206	-	0.000	0.000	Merged-chr1-138157317-43
NR778--MA0508.2.PRDM1	chr14	66260600	66260609	-	0.000	0.000	Merged-chr14-66260585-50
NR364--MA0508.2.PRDM1	chr11	32000055	32000064	-	0.000	0.000	Merged-chr11-32000120-91
NR539--MA0508.2.PRDM1	chr12	104062022	104062031	+	0.000	0.000	Merged-chr12-104062030-43
NR2170--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR2441--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR2507--MA0508.2.PRDM1	chrX	163869098	163869107	+	0.000	0.000	Merged-chrX-163869062-41
NR582--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR919--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR234--MA0508.2.PRDM1	chr10	39492380	39492389	+	0.000	0.000	Merged-chr10-39492279-24
NR614--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR104--MA0508.2.PRDM1	chr1	127732844	127732853	+	0.000	0.000	Merged-chr1-127732945-24
NR356--MA0508.2.PRDM1	chr11	19977900	19977909	+	0.000	0.000	Merged-chr11-19977912-19
NR1961--MA0508.2.PRDM1	chr6	65564421	65564430	-	0.000	0.000	Merged-chr6-65564422-101
NR879--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR988--MA0508.2.PRDM1	chr16	96061193	96061202	-	0.000	0.000	Merged-chr16-96061094-16
NR117--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR369--MA0508.2.PRDM1	chr11	34101846	34101855	+	0.000	0.000	Merged-chr11-34101959-21
NR160--MA0508.2.PRDM1	chr1	171281209	171281218	+	0.000	0.000	Merged-chr1-171281333-62
NR431--MA0508.2.PRDM1	chr11	101448428	101448437	-	0.000	0.000	Merged-chr11-101448490-55
NR1097--MA0508.2.PRDM1	chr18	39250832	39250841	-	0.000	0.000	Merged-chr18-39250948-35
NR173--MA0508.2.PRDM1	chr1	176939833	176939842	-	0.000	0.000	Merged-chr1-176939939-16
NR444--MA0508.2.PRDM1	chr11	119228903	119228912	+	0.000	0.000	Merged-chr11-119228815-89
NR696--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR301--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR2393--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR2459--MA0508.2.PRDM1	chr9	121718416	121718425	+	0.000	0.000	Merged-chr9-121718412-3
NR2316--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR2297--MA0508.2.PRDM1	chr8	84759395	84759404	-	0.000	0.000	Merged-chr8-84759322-6
NR2154--MA0508.2.PRDM1	chr7	98108972	98108981	+	0.000	0.000	Merged-chr7-98109106-60
NR423--MA0508.2.PRDM1	chr11	97703273	97703282	+	0.000	0.000	Merged-chr11-97703111-88
NR2329--MA0508.2.PRDM1	chr8	120489343	120489352	+	0.000	0.000	Merged-chr8-120489155-2
NR946--MA0508.2.PRDM1	chr16	44508329	44508338	+	0.000	0.000	Merged-chr16-44508258-19
NR2372--MA0508.2.PRDM1	chr9	42238781	42238790	-	0.000	0.000	Merged-chr9-42238939-28
NR165--MA0508.2.PRDM1	chr1	173510783	173510792	+	0.000	0.000	Merged-chr1-173510865-36
NR707--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR2133--MA0508.2.PRDM1	chr7	76047974	76047983	+	0.000	0.000	Merged-chr7-76048040-27
NR178--MA0508.2.PRDM1	chr1	179130250	179130259	+	0.000	0.000	Merged-chr1-179130359-23
NR2351--MA0508.2.PRDM1	chr9	13652158	13652167	-	0.000	0.000	Merged-chr9-13652196-20
NR2146--MA0508.2.PRDM1	chr7	90145981	90145990	+	0.000	0.000	Merged-chr7-90145874-1
NR829--MA0508.2.PRDM1	chr15	6549062	6549071	-	0.000	0.000	Merged-chr15-6549135-35
NR2398--MA0508.2.PRDM1	chr9	64831979	64831988	-	0.000	0.000	Merged-chr9-64831906-29
NR2003--MA0508.2.PRDM1	chr6	99095795	99095804	-	0.000	0.000	Merged-chr6-99095913-165
NR415--MA0508.2.PRDM1	chr11	89100911	89100920	+	0.000	0.000	Merged-chr11-89100844-64
NR938--MA0508.2.PRDM1	chr16	35742514	35742523	+	0.000	0.000	Merged-chr16-35742622-74
NR253--MA0508.2.PRDM1	chr10	57799699	57799708	+	0.000	0.000	Merged-chr10-57799667-19
