#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR1689--MA0741.1.KLF16	chr1	91825521	91825531	-	0.000	0.000	Merged-chr1-91825474-20
NR33037--MA0741.1.KLF16	chr19	5567927	5567937	-	0.000	0.000	Merged-chr19-5567991-110
NR53539--MA0742.1.Klf12	chr5	137741613	137741627	-	0.000	0.000	Merged-chr5-137741418-73
NR63258--MA0599.1.KLF5	chr7	133776805	133776814	+	0.000	0.000	Merged-chr7-133776611-71
NR18756--MA0741.1.KLF16	chr13	112464079	112464089	-	0.000	0.000	Merged-chr13-112464093-61
NR63934--MA0599.1.KLF5	chr8	3353394	3353403	+	0.000	0.000	Merged-chr8-3353373-47
NR16903--MA1107.1.KLF9	chr13	51101682	51101694	-	0.000	0.000	Merged-chr13-51101722-7
NR52160--MA0599.1.KLF5	chr5	114667679	114667688	+	0.000	0.000	Merged-chr5-114667670-56
NR58757--MA0493.1.Klf1	chr7	3617324	3617334	-	0.000	0.000	Merged-chr7-3617392-59
NR17224--MA0599.1.KLF5	chr13	58359137	58359146	+	0.000	0.000	Merged-chr13-58359164-70
NR64594--MA0599.1.KLF5	chr8	34163502	34163511	-	0.000	0.000	Merged-chr8-34163505-53
NR29469--MA0741.1.KLF16	chr17	55959464	55959474	+	0.000	0.000	Merged-chr17-55959368-72
NR58250--MA0741.1.KLF16	chr6	140722427	140722437	+	0.000	0.000	Merged-chr6-140722560-90
NR37964--MA0740.1.KLF14	chr2	121355267	121355280	+	0.000	0.000	Merged-chr2-121355266-61
NR590--MA0741.1.KLF16	chr1	40400001	40400011	+	0.000	0.000	Merged-chr1-40399864-38
NR65012--MA0742.1.Klf12	chr8	60993047	60993061	+	0.000	0.000	Merged-chr8-60993240-112
NR13737--MA0493.1.Klf1	chr12	25266909	25266919	-	0.000	0.000	Merged-chr12-25266933-26
NR53353--MA0599.1.KLF5	chr5	135632599	135632608	+	0.000	0.000	Merged-chr5-135632742-49
NR42746--MA0039.3.KLF4	chr3	115692528	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR42470--MA0599.1.KLF5	chr3	104638363	104638372	-	0.000	0.000	Merged-chr3-104638712-128
NR31863--MA0039.3.KLF4	chr18	63692398	63692408	+	0.000	0.000	Merged-chr18-63692384-62
NR45466--MA0493.1.Klf1	chr4	53012172	53012182	-	0.000	0.000	Merged-chr4-53012213-75
NR38280--MA0741.1.KLF16	chr2	130840169	130840179	-	0.000	0.000	Merged-chr2-130839995-87
NR927--MA0741.1.KLF16	chr1	61181511	61181521	+	0.000	0.000	Merged-chr1-61181462-55
NR10732--MA0599.1.KLF5	chr11	69094967	69094976	-	0.000	0.000	Merged-chr11-69095094-65
NR37283--MA0039.3.KLF4	chr2	101209305	101209315	+	0.000	0.000	Merged-chr2-101209230-18
NR24664--MA1107.1.KLF9	chr15	98927707	98927719	+	0.000	0.000	Merged-chr15-98927787-24
NR57685--MA0493.1.Klf1	chr6	128227933	128227943	-	0.000	0.000	Merged-chr6-128227783-25
NR10386--MA0740.1.KLF14	chr11	58995975	58995988	+	0.000	0.000	Merged-chr11-58995988-22
NR36544--MA0599.1.KLF5	chr2	71055641	71055650	-	0.000	0.000	Merged-chr2-71055719-62
NR26393--MA0741.1.KLF16	chr16	59639196	59639206	+	0.000	0.000	Merged-chr16-59639250-60
NR28371--MA0599.1.KLF5	chr17	28594072	28594081	+	0.000	0.000	Merged-chr17-28593992-6
NR22050--MA1107.1.KLF9	chr14	120830492	120830504	-	0.000	0.000	Merged-chr14-120830600-27
NR70663--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
