#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1165--MA0463.1.Bcl6	chr2	173023764	173023777	+	0.000	0.000	Merged-chr2-173023748-35
NR1685--MA0731.1.BCL6B	chr6	146813207	146813223	-	0.000	0.000	Merged-chr6-146813295-20
NR1956--MA0731.1.BCL6B	chr9	86662058	86662074	-	0.000	0.000	Merged-chr9-86661955-9
NR394--MA0463.1.Bcl6	chr12	40010076	40010089	+	0.000	0.000	Merged-chr12-40010101-23
NR2009--MA0463.1.Bcl6	chrX	48462749	48462762	-	0.000	0.000	Merged-chrX-48462861-31
NR870--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR148--MA0463.1.Bcl6	chr1	185193768	185193781	+	0.000	0.000	Merged-chr1-185193700-43
NR1049--MA0463.1.Bcl6	chr2	62411685	62411698	-	0.000	0.000	Merged-chr2-62411627-90
NR1510--MA0463.1.Bcl6	chr5	114378385	114378398	-	0.000	0.000	Merged-chr5-114378322-36
NR842--MA0463.1.Bcl6	chr17	51879893	51879906	-	0.000	0.000	Merged-chr17-51879858-102
NR1734--MA0463.1.Bcl6	chr7	80183688	80183701	-	0.000	0.000	Merged-chr7-80183609-6
NR1568--MA0731.1.BCL6B	chr6	8641006	8641022	-	0.000	0.000	Merged-chr6-8641126-10
NR1839--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR399--MA0463.1.Bcl6	chr12	55438927	55438940	+	0.000	0.000	Merged-chr12-55438958-24
NR184--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR296--MA0463.1.Bcl6	chr11	53324630	53324643	-	0.000	0.000	Merged-chr11-53324720-33
NR1263--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR1627--MA0463.1.Bcl6	chr6	99432932	99432945	-	0.000	0.000	Merged-chr6-99433049-65
NR1645--MA0463.1.Bcl6	chr6	122557215	122557228	-	0.000	0.000	Merged-chr6-122557216-31
NR1404--MA0731.1.BCL6B	chr4	134714153	134714169	-	0.000	0.000	Merged-chr4-134714108-20
NR856--MA0463.1.Bcl6	chr17	72949324	72949337	+	0.000	0.000	Merged-chr17-72949450-92
NR22--MA0731.1.BCL6B	chr1	59608673	59608689	+	0.000	0.000	Merged-chr1-59608730-64
NR968--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR1494--MA0731.1.BCL6B	chr5	97009427	97009443	+	0.000	0.000	Merged-chr5-97009545-38
NR516--MA0463.1.Bcl6	chr13	48528494	48528507	+	0.000	0.000	Merged-chr13-48528650-27
NR301--MA0463.1.Bcl6	chr11	67564460	67564473	+	0.000	0.000	Merged-chr11-67564427-31
NR1408--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR1417--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR780--MA0463.1.Bcl6	chr16	75696404	75696417	+	0.000	0.000	Merged-chr16-75696433-23
NR892--MA0463.1.Bcl6	chr18	36803026	36803039	+	0.000	0.000	Merged-chr18-36803077-8
NR1268--MA0731.1.BCL6B	chr3	127887922	127887938	-	0.000	0.000	Merged-chr3-127887835-6
NR692--MA0731.1.BCL6B	chr15	64107395	64107411	-	0.000	0.000	Merged-chr15-64107284-11
NR1234--MA0731.1.BCL6B	chr3	97297574	97297590	-	0.000	0.000	Merged-chr3-97297834-52
NR1583--MA0463.1.Bcl6	chr6	38534853	38534866	-	0.000	0.000	Merged-chr6-38535012-59
NR92--MA0463.1.Bcl6	chr1	160044884	160044897	-	0.000	0.000	Merged-chr1-160044750-78
NR221--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR1695--MA0463.1.Bcl6	chr7	17056197	17056210	-	0.000	0.000	Merged-chr7-17056338-38
NR27--MA0731.1.BCL6B	chr1	60979383	60979399	-	0.000	0.000	Merged-chr1-60979583-29
NR1467--MA0463.1.Bcl6	chr5	64360596	64360609	+	0.000	0.000	Merged-chr5-64360756-39
NR1579--MA0463.1.Bcl6	chr6	35191383	35191396	+	0.000	0.000	Merged-chr6-35191420-18
NR1006--MA0463.1.Bcl6	chr2	29666834	29666847	-	0.000	0.000	Merged-chr2-29666836-9
NR1194--MA0731.1.BCL6B	chr3	36495642	36495658	-	0.000	0.000	Merged-chr3-36495675-35
NR1051--MA0731.1.BCL6B	chr2	66409307	66409323	+	0.000	0.000	Merged-chr2-66409801-61
NR481--MA0463.1.Bcl6	chr13	5757343	5757356	+	0.000	0.000	Merged-chr13-5757363-53
NR1136--MA0463.1.Bcl6	chr2	145226199	145226212	+	0.000	0.000	Merged-chr2-145225956-93
NR486--MA0463.1.Bcl6	chr13	12412143	12412156	-	0.000	0.000	Merged-chr13-12412239-11
NR271--MA0463.1.Bcl6	chr11	19977881	19977894	+	0.000	0.000	Merged-chr11-19977912-19
NR392--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR663--MA0731.1.BCL6B	chr15	3213990	3214006	-	0.000	0.000	Merged-chr15-3213823-14
NR1284--MA0463.1.Bcl6	chr3	137213022	137213035	+	0.000	0.000	Merged-chr3-137212969-10
NR1314--MA0731.1.BCL6B	chr3	157876762	157876778	+	0.000	0.000	Merged-chr3-157876978-32
NR881--MA0731.1.BCL6B	chr18	4292095	4292111	-	0.000	0.000	Merged-chr18-4292169-11
NR1611--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR1056--MA0463.1.Bcl6	chr2	70091937	70091950	+	0.000	0.000	Merged-chr2-70091832-100
NR276--MA0463.1.Bcl6	chr11	29526252	29526265	+	0.000	0.000	Merged-chr11-29526463-59
NR1327--MA0731.1.BCL6B	chr4	41723223	41723239	+	0.000	0.000	Merged-chr4-41723185-51
NR1750--MA0463.1.Bcl6	chr7	98341516	98341529	-	0.000	0.000	Merged-chr7-98341648-39
NR132--MA0731.1.BCL6B	chr1	178744505	178744521	-	0.000	0.000	Merged-chr1-178744547-4
NR403--MA0731.1.BCL6B	chr12	59206850	59206866	+	0.000	0.000	Merged-chr12-59206918-90
NR1688--MA0731.1.BCL6B	chr6	148295825	148295841	+	0.000	0.000	Merged-chr6-148295778-2
NR54--MA0731.1.BCL6B	chr1	106601003	106601019	-	0.000	0.000	Merged-chr1-106601056-67
NR1880--MA0463.1.Bcl6	chr8	114133551	114133564	+	0.000	0.000	Merged-chr8-114133765-61
NR764--MA0731.1.BCL6B	chr16	45197058	45197074	-	0.000	0.000	Merged-chr16-45197037-17
NR1728--MA0463.1.Bcl6	chr7	73531189	73531202	+	0.000	0.000	Merged-chr7-73531012-64
NR621--MA0731.1.BCL6B	chr14	62928209	62928225	+	0.000	0.000	Merged-chr14-62928345-50
NR1396--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR1097--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR1048--MA0731.1.BCL6B	chr2	61754995	61755011	-	0.000	0.000	Merged-chr2-61755182-23
NR1319--MA0731.1.BCL6B	chr4	8903258	8903274	-	0.000	0.000	Merged-chr4-8903379-6
NR1764--MA0463.1.Bcl6	chr7	106441215	106441228	-	0.000	0.000	Merged-chr7-106441134-51
NR220--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1518--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR1997--MA0463.1.Bcl6	chr9	124146171	124146184	+	0.000	0.000	Merged-chr9-124146419-55
NR1536--MA0463.1.Bcl6	chr5	134295811	134295824	-	0.000	0.000	Merged-chr5-134295794-17
NR1321--MA0463.1.Bcl6	chr4	9009922	9009935	+	0.000	0.000	Merged-chr4-9009782-37
NR408--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR59--MA0731.1.BCL6B	chr1	127733005	127733021	-	0.000	0.000	Merged-chr1-127732945-24
NR3--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR998--MA0463.1.Bcl6	chr2	11170163	11170176	-	0.000	0.000	Merged-chr2-11170102-28
NR1796--MA0463.1.Bcl6	chr7	130800943	130800956	+	0.000	0.000	Merged-chr7-130801003-64
NR1223--MA0463.1.Bcl6	chr3	88043087	88043100	+	0.000	0.000	Merged-chr3-88043136-39
NR443--MA0463.1.Bcl6	chr12	104750166	104750179	+	0.000	0.000	Merged-chr12-104750134-9
NR430--MA0731.1.BCL6B	chr12	94115005	94115021	-	0.000	0.000	Merged-chr12-94114920-18
NR309--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR86--MA0463.1.Bcl6	chr1	155293642	155293655	-	0.000	0.000	Merged-chr1-155293636-24
NR215--MA0463.1.Bcl6	chr10	89463939	89463952	-	0.000	0.000	Merged-chr10-89463808-10
NR1116--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR685--MA0463.1.Bcl6	chr15	61455052	61455065	-	0.000	0.000	Merged-chr15-61455154-11
NR327--MA0463.1.Bcl6	chr11	88614046	88614059	+	0.000	0.000	Merged-chr11-88614184-77
NR112--MA0463.1.Bcl6	chr1	171827960	171827973	-	0.000	0.000	Merged-chr1-171827855-20
NR172--MA0731.1.BCL6B	chr10	14066209	14066225	+	0.000	0.000	Merged-chr10-14066140-19
NR117--MA0463.1.Bcl6	chr1	173339678	173339691	+	0.000	0.000	Merged-chr1-173339682-29
NR1018--MA0463.1.Bcl6	chr2	38510347	38510360	-	0.000	0.000	Merged-chr2-38510276-11
NR1931--MA0731.1.BCL6B	chr9	63740650	63740666	-	0.000	0.000	Merged-chr9-63740717-42
NR1036--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR706--MA0731.1.BCL6B	chr15	78896369	78896385	+	0.000	0.000	Merged-chr15-78896310-38
NR171--MA0463.1.Bcl6	chr10	14066209	14066222	-	0.000	0.000	Merged-chr10-14066140-19
NR283--MA0463.1.Bcl6	chr11	34010313	34010326	-	0.000	0.000	Merged-chr11-34010377-133
NR950--MA0463.1.Bcl6	chr19	8984436	8984449	-	0.000	0.000	Merged-chr19-8984601-50
NR807--MA0463.1.Bcl6	chr17	8234813	8234826	-	0.000	0.000	Merged-chr17-8234688-5
NR1184--MA0463.1.Bcl6	chr2	181377375	181377388	+	0.000	0.000	Merged-chr2-181377481-47
NR1296--MA0463.1.Bcl6	chr3	146685379	146685392	+	0.000	0.000	Merged-chr3-146685292-26
NR1717--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR1838--MA0463.1.Bcl6	chr8	66486578	66486591	+	0.000	0.000	Merged-chr8-66486443-62
NR1623--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR1068--MA0463.1.Bcl6	chr2	79865555	79865568	-	0.000	0.000	Merged-chr2-79865504-43
NR1735--MA0463.1.Bcl6	chr7	80789263	80789276	+	0.000	0.000	Merged-chr7-80789417-43
NR185--MA0463.1.Bcl6	chr10	42897936	42897949	-	0.000	0.000	Merged-chr10-42897771-65
NR1753--MA0463.1.Bcl6	chr7	99003329	99003342	+	0.000	0.000	Merged-chr7-99003498-20
NR374--MA0731.1.BCL6B	chr11	116669950	116669966	-	0.000	0.000	Merged-chr11-116669972-23
NR297--MA0463.1.Bcl6	chr11	53769773	53769786	-	0.000	0.000	Merged-chr11-53769580-6
NR400--MA0463.1.Bcl6	chr12	55438940	55438953	-	0.000	0.000	Merged-chr12-55438958-24
NR25--MA0463.1.Bcl6	chr1	60744573	60744586	+	0.000	0.000	Merged-chr1-60744410-6
NR512--MA0463.1.Bcl6	chr13	43250727	43250740	+	0.000	0.000	Merged-chr13-43250604-89
NR1883--MA0731.1.BCL6B	chr8	115496170	115496186	+	0.000	0.000	Merged-chr8-115496222-29
NR1413--MA0463.1.Bcl6	chr4	138259675	138259688	+	0.000	0.000	Merged-chr4-138259629-9
NR1525--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR875--MA0463.1.Bcl6	chr17	90100539	90100552	+	0.000	0.000	Merged-chr17-90100479-11
NR1776--MA0463.1.Bcl6	chr7	114069447	114069460	+	0.000	0.000	Merged-chr7-114069379-29
NR1409--MA0463.1.Bcl6	chr4	136081884	136081897	+	0.000	0.000	Merged-chr4-136081901-45
NR1888--MA0463.1.Bcl6	chr8	123924781	123924794	-	0.000	0.000	Merged-chr8-123924931-30
NR526--MA0463.1.Bcl6	chr13	62856642	62856655	+	0.000	0.000	Merged-chr13-62856398-51
